"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"ba8a131bc261d92c","100 Male Male 6 Jumper Wires","https://www.tindie.com/products/openbrite/100-male-male-6-jumper-wires","已逐页阅读（精确商品页、售价、缺货状态与BriteBlox店铺生态）","标准杜邦跳线批量包","BriteBlox教育连接器与线材附件产品族","靠教育积木主产品、配套线材和课程生态销售；线材本身无独立壁垒","淘汰线材SKU；主教育生态另案研究","100根6英寸公对公2.54mm跳线","电子教学、面包板原型和BriteBlox用户","批量连接面包板、传感器和教育积木","100.00","页面标价100美元且自2016-02-04缺货；卖家自2015年仅17单，历史价值主要来自BriteBlox教育产品","极高；杜邦跳线全球低价大量供应","依赖标准端子、线材和上游压接供应","低；压接拉力、线序、镀层和数量需抽检","中；异常高价、接触不良和线材质量易引发退换","低","标准线材转售，无原创设计资产","自动图来自商品页但图片时间明显晚于老商品，未能证明与原库存版本一致","淘汰","标准线材、长期缺货、价格异常且卖家销量弱；商业价值若存在也在教育生态，不在该线材包","https://www.tindie.com/products/openbrite/100-male-male-6-jumper-wires|https://www.tindie.com/stores/openbrite/","2026-07-25"
"a341f265e48408f1","10Bit50Msps High Speed Adc Module","https://www.tindie.com/products/evoinmotion/10bit50msps-high-speed-adc-module","已逐页阅读（精确商品页、芯片、价格、缺货状态与卖家评价）","高速ADC通用模块","EIM实验工具与高速ADC/DAC模块产品族","靠教育测试工具、开发板和模块目录销售；该模块未形成独立测量生态","淘汰通用模块；保留便携实验工具产品族启发","采用3PA1030的16针10位50Msps高速ADC小模块","FPGA/DSP实验者和高速采集教学用户","快速接入中速并行ADC而无需自行设计模拟前端","24.99","售价24.99美元并缺货；卖家157单、5条评价，但评价集中在其他产品，未见该ADC独立销量、动态指标或案例","高；高速ADC评估板和模块供给成熟","依赖3PA1030、外部时钟、FPGA接口和用户模拟前端","中高；高速布局、电源、时钟和信号完整性需验证","高；缺少SNR、ENOB、输入带宽和接口文档会造成集成争议","低至中","未见Gerber、BOM或商业复用许可","明确错配：自动英雄图文件名为ruler.JPG，不是ADC模块","淘汰","缺乏测量指标、文档和销量证据的通用芯片小板，不能仅凭50Msps当商业机会","https://www.tindie.com/products/evoinmotion/10bit50msps-high-speed-adc-module|https://www.tindie.com/stores/evoinmotion/","2026-07-25"
"79a7b5e96f770648","12 Bit8 Chan Adc Weeprom For Wireless Dev Board","https://www.tindie.com/products/cburgess129/12-bit8-chan-adc-weeprom-for-wireless-dev-board","已逐页阅读（精确商品页、完整规格、兼容限制与卖家产品族）","NodeMCU专用ADC扩展板","BurgessWorld ADC HAT与开发板扩展产品族","靠多平台扩展板、装配选项、文档和长期店铺信誉销售","淘汰生态扩展板；参考完整产品族与支持能力","LTC1863八通道12位200ksps ADC加EEPROM的NodeMCU扩展板，带端子并可堆叠","NodeMCU无线传感和低速采集开发者","NodeMCU缺少高质量模拟输入，需要多路端子和校准存储","17.50","售价17.50美元；卖家约1285单、28条评价和79款扩展板，但该SKU无独立销量证据且与其他MCU物理不兼容","高；ADC模块和NodeMCU扩展板供给成熟","强依赖NodeMCU机械脚位、LTC1863和软件库","低至中；输入保护、参考和版本管理需验证","中高；兼容限制、量程、接线与库维护造成支持成本","低","未见明确商业许可","自动图为2018年商品实拍，可能匹配但未核对丝印和布局","淘汰","成熟生态扩展板且强绑定NodeMCU；卖家产品族成功不等于该小板存在新空白","https://www.tindie.com/products/cburgess129/12-bit8-chan-adc-weeprom-for-wireless-dev-board|https://www.tindie.com/stores/cburgess129/","2026-07-25"
"01bd69a3b7e33920","12 Digit 035 Max7219 Display","https://www.tindie.com/products/saturnvalleytech/12-digit-035-max7219-display","已逐页阅读（精确商品页、库存、售价与单品店铺）","MAX7219十二位数码管模块","通用数码显示模块产品族","单人小批量制作高位数显示板，但无销量、软件或行业方案壁垒","淘汰单品","基于MAX7219的12位0.35英寸七段显示板","时钟、计数器和仪表DIY用户","用少量控制线驱动十二位数值显示","49.99","售价49.99美元且仅余1件；卖家自2025年仅1单，店铺只有此产品","极高；MAX7219模块大量存在，12位可由标准板组合","依赖MAX7219、通用数码管和现成库","低；常规PCB和插件显示器装配","中；高价格、亮度一致性和库配置可能引发争议","低","未见开放设计或商业复用许可","原记录无合格英雄图，不使用相似MAX7219模块代替","淘汰","标准芯片组合、销售验证极弱且售价偏高；位数增加不足以构成壁垒","https://www.tindie.com/products/saturnvalleytech/12-digit-035-max7219-display|https://www.tindie.com/stores/saturnvalleytech/","2026-07-25"
"1daf11d507035056","12 Volt Analog Signal Conditioner","https://www.tindie.com/products/cnjboards/12-volt-analog-signal-conditioner","已逐页阅读（精确商品页、选配外壳与CNJ海事电子产品族）","低价12V模拟信号调理小板","CNJ NMEA2000海事发动机监测与接口产品族","靠NMEA2000发动机监测、CAN接口和显示适配器形成垂直目录；该板只是配套件","淘汰单独SKU；海事监测产品族另案研究","12V系统模拟信号调理板，可选PETG外壳，具体精度与通道规格未充分披露","船舶/汽车传感器改装和CNJ发动机监测用户","把12V车辆或船舶传感信号转换为控制器可测范围","7.00","售价7美元；卖家仅9单但有9款NMEA2000/CAN产品，未见本板独立销量、精度或校准证据","高；分压、滤波和保护调理板易复制，工业调理器也大量存在","依赖终端CNJ/ESP32系统、车辆传感器和用户接线","中；12V浪涌、反接、地环路、精度和温漂需验证","高；车辆/船舶接线、标定和过压损坏会带来支持","中高；汽车/海事环境需EMC、瞬态和可靠性考虑","未见Gerber、BOM或商业复用许可","原记录无合格英雄图，不能用发动机监测器或其他适配板代替","淘汰","真实场景属于完整海事产品族，但7美元调理板本身规格、验证和壁垒不足","https://www.tindie.com/products/cnjboards/12-volt-analog-signal-conditioner|https://www.tindie.com/stores/cnjboards/","2026-07-25"
"4507815da23f8fb8","039 Micro Oled Display 1024Rgb 768 For Arvr","https://www.tindie.com/products/hicenda/039-micro-oled-display-1024rgb-768-for-arvr","已逐页阅读（完整商品正文、面板型号、驱动/光学交付与Hicenda目录）","微OLED加驱动与光学整套组件","微显示、驱动板与近眼光学供应产品族","靠面板渠道、规格目录、控制板与光学组合及集成支持销售","市场参考；合并到既有微显示供应产品族","HGECX334AF 0.39英寸1024×768、300cd/m²微OLED，含CVBS驱动板和光学件","AR/VR、取景器和微型监视器研发团队","快速获得面板、视频驱动和光学组合进行样机验证","285.00","售价285美元；Hicenda约22单、29款显示与光学产品，存在多条0.39英寸近重复页面","中高；专业集成有门槛，但多家供应商已覆盖相邻规格","依赖上游微OLED、CVBS板和光学结构","高；坏点、亮度、色彩、时序与光学装调需测试","高；版本、焦距、接口和画质差异会造成集成支持","中；近眼眼安全及部分瞄具/夜视用途有地区限制","供应组件，无开放制造许可","原记录无合格英雄图；不能借用同店其他0.39英寸屏或光学件","市场参考案例","真实专业供应业务，但属于成熟规格目录的一项；价值在渠道、检测和集成支持","https://www.tindie.com/products/hicenda/039-micro-oled-display-1024rgb-768-for-arvr|https://www.tindie.com/stores/hicenda/items/","2026-07-25"
"96b7e62febe20c5a","049 Inch Micro Oled 1920X1080 1800Nits","https://www.tindie.com/products/oled-modules/049-inch-micro-oled-1920x1080-1800nits","已逐页阅读（精确商品页、控制板/光学选项与66款卖家目录）","0.49英寸FHD微OLED套件","微显示、驱动板与近眼光学供应产品族","靠上游面板、控制板、光学选配和规格目录销售","市场参考；合并到微显示供应产品族","0.49/0.5英寸1920×1080、1800nit、90Hz微OLED，配HDMI板并可选光学件","AR眼镜、EVF和近眼显示研发团队","快速集成FHD微显示、控制板与光学件","229.00","售价229美元；卖家约72单、66款产品，另有109美元裸屏/MIPI及多条相近页面","中高；专业供给但页面重复、版本众多且竞争明确","依赖上游面板、HDMI/MIPI控制板和客户光学结构","高；坏点、亮度、帧率、排线和控制板兼容需检测","高；选配组合和版本容易导致交付争议","中","标准供应组件，无开放制造许可","原记录无合格英雄图；不能用BirdBath或裸屏页面图片代替","市场参考案例","高客单但属于同一成熟微显示目录的套件版本，不应拆成新的机会","https://www.tindie.com/products/oled-modules/049-inch-micro-oled-1920x1080-1800nits|https://www.tindie.com/stores/oled-modules/items/","2026-07-25"
"c06e54e6e7ef3222","055 Micro Oled Screen 1920X1080 5000 Nits Lvds","https://www.tindie.com/products/oled-modules/055-micro-oled-screen-1920x1080-5000-nits-lvds","已逐页阅读（精确商品页、近重复90Hz页面与卖家目录）","高亮FHD微OLED组件","微显示、驱动板与近眼光学供应产品族","靠高亮面板渠道、规格目录和控制/光学配套销售","市场参考；合并到微显示供应产品族","0.55英寸1920×1080、5000nit微OLED，页面称120Hz/LVDS，另有379美元90Hz版本","AR眼镜、瞄具、夜视和高环境光近眼显示研发团队","在强光场景获得高亮FHD微显示","389.00","售价389美元；卖家约71单、66款产品，同规格另有379美元90Hz页面，版本和定价重复","中高；高亮器件专业，但多家微显示渠道已覆盖","依赖上游OLED面板、LVDS/控制板和终端光学","高；5000nit寿命、烧屏、热管理、坏点和帧率需验证","高；90/120Hz版本差异、寿命和驱动兼容可能引发退换","中高；高亮近眼眼安全及特定夜视/瞄具用途","供应组件，无开放制造资料","原记录无合格英雄图；不得借用近重复页面图片","市场参考案例","专业需求存在，但页面近重复、版本定义不一致；价值属于供应链和测试服务","https://www.tindie.com/products/oled-modules/055-micro-oled-screen-1920x1080-5000-nits-lvds|https://www.tindie.com/products/oled-module/055-micro-oledos-display-1920x1080-90hz-5000nits/|https://www.tindie.com/stores/oled-modules/items/","2026-07-25"
"1618866c40e1ca4f","1000 Base T Tab Down Magjack","https://www.tindie.com/products/Ingketech/1000-base-t-tab-down-magjack","已逐页/精确同标题页面交叉核验（料号、价格与工厂目录）","千兆集成磁性RJ45连接器","Ingke RJ45/MagJack/PoE连接器制造目录","靠模具、磁性器件、认证、替代料号和批量工厂制造销售","淘汰单品；仅作工业连接器供应链案例","HFJ11-1G02E/YKGD-8229NL类1000Base-T Tab-Down MagJack","网络设备和工控板制造商","采购兼容特定脚位、磁性参数和机械尺寸的千兆网口","1.48","同标题页面售价1.48至1.65美元；卖家仅2单但有大量1G/10G/PoE和替代料号连接器，并提供OEM","极高；专业连接器厂家和兼容料供应充分","依赖模具、端子、磁性变压器、材料和大批量工艺","高；小团队无法经济完成精密塑胶、冲压、绕线和可靠性生产","高；脚位、耐压、回波损耗和尺寸错误会导致整板报废","高；UL/RoHS、耐压、PoE和客户认证要求","供应商品，无开放设计或生产权","原记录无合格英雄图；不能以同店另一料号图代替","淘汰","壁垒属于连接器工厂、模具和认证规模，不适合小团队作为开源商业机会","https://www.tindie.com/products/Ingketech/1000-base-t-tab-down-magjack-2/|https://www.tindie.com/stores/Ingketech/","2026-07-25"
"55c3d6fe646398e3","100Pcs 433Mhz Straight Rod Antenna Sw433 Zt100","https://www.tindie.com/products/nicerf/100pcs-433mhz-straight-rod-antenna-sw433-zt100","已逐页阅读（精确商品页、批量价格、射频目录与卖家销量）","标准433MHz杆状天线批量包","NiceRF射频模块、天线与无线设备供应产品族","靠射频工厂、完整频段目录、测试能力和批量渠道销售","淘汰单品；只参考射频工厂产品族","100支SW433-ZT100直杆天线，标称433MHz、3.0dBi","无线设备制造商和433MHz遥控/遥测集成商","批量采购统一外形的433MHz外置天线","135.00","100支促销约135美元；NiceRF约1560单、35条评价并经营140款模块和天线","极高；433MHz杆天线由大量RF工厂供货","依赖天线工厂、材料、匹配和客户整机地平面","中高；驻波、效率、辐射图和批次一致性需VNA/暗室验证","高；3dBi标称受外壳、线缆和地平面影响很大","中高；影响终端射频认证","标准供应元件，无开放制造许可","原记录无合格英雄图；不使用其他频段天线图","淘汰","壁垒属于RF工厂规模和测试，不是可复制的小团队产品机会","https://www.tindie.com/products/nicerf/100pcs-433mhz-straight-rod-antenna-sw433-zt100|https://www.tindie.com/stores/nicerf/items/","2026-07-25"
