project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"bf0ec8f01f38be5b","Sensor Watch press page","https://www.crowdsupply.com/press/sensor-watch","已逐页阅读（精确新闻页、产品页与项目更新）","既有产品的新闻来源重复记录","Sensor Watch Casio机芯替换与扩展生态","替换主板、传感器扩展、定制LCD、固件和社区支持","合并到既有Sensor Watch产品族，不作为新机会","Crowd Supply为Sensor Watch发布的新闻页，指向同一款Casio F-91W/A158W替换主板","Casio经典电子表用户、开源穿戴爱好者和开发者","在保留经典表壳和低功耗体验的同时获得可编程功能","39","原项目累计138202美元、2706名支持者；后续Sensor Watch Pro累计159642美元、1791名支持者；产品仍在售","中；细分产品已被原团队占据并形成Lite、Pro、LCD和传感器扩展产品族","依赖Casio F-91W/A158W表壳、LCD结构和原团队社区生态","超小PCB、低功耗、密封、定制LCD和测试流程要求高","装配、防水、兼容、固件和表壳差异支持","中；电池、消费电子及不同市场认证","页面声明完全开源；具体设计文件许可以项目仓库为准","新闻页图片为Sensor Watch实际产品，基本匹配；与既有记录重复","市场参考案例","市场验证很强，但这是同一产品族的新闻来源重复记录，而且机会已被原团队持续产品化，不能作为新的可进入空白。","https://www.crowdsupply.com/press/sensor-watch|https://www.crowdsupply.com/oddly-specific-objects/sensor-watch|https://www.crowdsupply.com/oddly-specific-objects/sensor-watch-pro","2026-07-26"
"c1fd349ac762b914","Env-KB","https://github.com/Envious-Data/Env-KB","已逐页阅读（精确GitHub README、文件与许可）","Raspberry Pi Pico机械键盘DIY项目","开源客制化机械键盘","PCB文件、激光切割件和固件供自制或小批量套件","淘汰为商业机会；仅保留为开源键盘设计参考","基于Raspberry Pi Pico、90轴体和定制PCB的80%机械键盘","客制化键盘爱好者和自行焊接用户","降低Mysterium类键盘的焊接难度并提高结构可靠性","","仓库约256 stars、18 forks，提供KiCad、生产文件、固件和实物照片；没有订单、售价或机构采购证据","极高；客制化键盘、RP2040键盘、套件和成品品牌供给密集","强依赖Raspberry Pi Pico、QMK/CircuitPython类生态、轴体和客制化键盘供应链","USB-C焊接、90个开关、外壳和装配一致性；DIY说明也提示部件清单可能不准确","键位、固件、外壳公差、焊接失败和轴体兼容支持","低；普通USB输入设备，但成品销售仍需EMC/ESD考虑","仓库标注GPL-3.0；硬件文件是否全部受同一许可需谨慎确认","自动图片来自仓库Rev0实物照片，基本匹配项目本体","淘汰","这是完整度较高的DIY键盘，但核心价值仍是Pico加成熟键盘结构的爱好者项目；市场已高度拥挤，缺少销售和差异化证据。","https://github.com/Envious-Data/Env-KB","2026-07-26"
"3796407f5f70bd20","Conway's Game of Life Kit - v1.3","https://certification.oshwa.org/us002540.html","已逐页阅读（精确OSHWA认证页）","焊接教学与桌面灯效套件","创客焊接工作坊套件","单板套件、工作坊材料包和拼接展示","淘汰；无独特课程/IP或机构采购优势","可单独运行或多块拼接的Conway生命游戏电子焊接套件","学校、创客空间、工作坊组织者和初学者","提供简单的焊接入门和可视化互动结果","","OSHWA认证页明确称其易于制作、适合第一件焊接项目和工作坊，多块可连接成大显示；无销量、价格或长期课程采购证据","高；LED焊接套件、生命游戏和入门工作坊项目很多","依赖现成MCU/LED、工作坊组织和教学场景","低至中；套件分装、焊接容错和连接可靠性","缺件、焊接失败、连接故障和教学支持","低","硬件许可标记Other，软件MIT，文档CC BY-SA；硬件商业权利不够清晰","无合格英雄图；认证页不是销售主图","淘汰","它明确是入门焊接和工作坊套件，属于用户要求排除的教学拼装类；未见可防御课程体系或采购壁垒。","https://certification.oshwa.org/us002540.html","2026-07-26"
"b51008dab2fe22a8","ultimate-hardware-hacking-gear-guide-","https://github.com/jcldf/ultimate-hardware-hacking-gear-guide-","已逐页阅读（精确GitHub项目页）","电子刊物与硬件工具指南","硬件安全内容与培训资料","电子书、课程、赞助内容或咨询","淘汰为硬件机会","超过170页的硬件黑客装备指南和免费电子刊物","安全研究学习者、硬件黑客和培训受众","整理硬件安全工具、技巧和趋势","","项目页直接宣传免费下载电子刊物，约232 stars、11 forks；没有可制造产品、BOM或硬件销售证据","高；安全工具清单、课程、博客和电子书众多","依赖内容更新、外部工具品牌和作者渠道","无硬件制造","内容时效、链接失效和课程维护","低至中；安全研究内容可能涉及双用途边界","仓库许可未在可见页面明确核验","无硬件本体","淘汰","这是内容产品而不是硬件产品，旧分类因主题含hardware而误入。","https://github.com/jcldf/ultimate-hardware-hacking-gear-guide-","2026-07-26"
"217ae0b9a6e709f9","BadgeHub Feature Requests","https://gitlab.com/why2025/team-badge/badgehub-feature-requests","已复核（精确GitLab项目页与源描述）","软件功能请求/问题列表","WHY2025 BadgeHub软件平台","软件开发、社区维护和活动平台服务","淘汰为独立硬件机会","用于收集WHY2025 BadgeHub功能需求的项目仓库","WHY2025徽章软件维护者和活动社区","管理软件功能建议与缺陷需求","","精确项目页标题和描述均指向Feature Requests；2 stars、0 forks；无硬件设计、商品或制造文件","高；活动徽章软件和Issue tracker本身无独立硬件市场","依赖WHY2025徽章平台和GitLab工作流","无硬件制造","软件版本、活动结束后的维护","低","待核验","无产品主图；软件功能列表不能作为徽章硬件图片","淘汰","这是软件需求列表，不是电子徽章硬件或可制造产品。","https://gitlab.com/why2025/team-badge/badgehub-feature-requests","2026-07-26"
"dfed7b39e349ac76","resume","https://gitlab.com/kaictl/resume","已复核（精确源记录与项目描述）","个人简历与PDF文档仓库","个人履历内容","简历模板、设计服务或个人品牌内容","淘汰为硬件机会","持续更新的个人CV/Resume及PDF下载","个人求职者和招聘方","展示个人经历和技能","","项目描述明确为living CV/Resume，badge仅是下载或状态图标；2 stars、0 forks，无硬件内容","极高；简历模板和个人文档无硬件机会","依赖文档工具和代码托管","无硬件制造","内容维护","低","待核验","无硬件本体；数字badge不是电子徽章","淘汰","个人简历仓库被badge关键词误分到电子徽章类别。","https://gitlab.com/kaictl/resume","2026-07-26"
"17e168bfd7659d51","Adafruit I2C Controlled + Keypad Shield Kit for 16x2 LCD","https://certification.oshwa.org/us002643.html","已复核（精确OSHWA目录与项目身份）","成熟Arduino LCD与按键Shield套件","Arduino显示与人机交互扩展板","成熟品牌成品、教程、配件和生态销售","淘汰为新商业机会；仅作为成熟品牌产品参考","通过I2C控制16x2字符LCD并集成按键的Arduino Shield套件","Arduino教育、原型开发和DIY用户","减少LCD与按键占用的IO和接线复杂度","","OSHWA认证且由Adafruit长期产品化；同名产品在OSHWA目录中已有早期认证和2024年再认证，说明是成熟SKU而非新空白","极高；I2C LCD backpack、LCD Shield和按键扩展板被大量品牌和低价供应商覆盖","依赖Arduino Shield机械尺寸、16x2 LCD和Adafruit教程生态","低；成熟通孔套件，但装配与供应链需稳定","焊接、LCD兼容、库版本和按键支持","低","已声明开源，但具体硬件许可需从项目文档核验","无合格英雄图；认证目录不能替代具体商品主图","淘汰","成熟品牌的通用Shield套件，类别已经高度商品化且被低价兼容板覆盖，不是新的可进入机会。","https://certification.oshwa.org/us002643.html|https://certification.oshwa.org/list.html","2026-07-26"
"6a9ca5ffa1f67c72","Duet-2-Hardware","https://github.com/Duet3D/Duet-2-Hardware","已逐页阅读（精确GitHub README、设计文件、文档与许可入口）","成熟3D打印机控制器开放硬件","高端3D打印机控制系统","控制板、扩展板、固件、文档、经销和技术支持","作为成熟产品族参考，不作为空白机会复制","Duet 2 WiFi/Ethernet 3D打印机控制器的KiCad设计文件与配套RepRapFirmware","高端3D打印机制造商、改装用户和专业打印设备开发者","提供多轴运动、网络控制、扩展和稳定打印控制","","仓库约257 stars、216 forks，包含Duet2、扩展板、以太网模块和接线图，并链接官方采购与完整文档；属于已经建立品牌和生态的产品","高；3D打印控制板市场有Duet、BTT、MKS、Fysetc等成熟品牌","依赖RepRapFirmware、步进驱动、3D打印生态和官方支持体系","多层PCB、功率与热设计、多路步进、电源保护和整机验证要求高","固件、扩展、接线、不同打印机和损坏支持较重","中；高电流、加热器、热失控与EMC安全","Duet 0.6/0.8.5明确CERN OHL v1.2；Duet 2以仓库LICENSE为准","仓库未提供本表合格英雄图；设计文件不能替代销售主图","市场参考案例","这是商业化成功的开放硬件控制器产品族，但机会已经被原品牌、固件和服务生态占据；价值在系统能力而非复制单板。","https://github.com/Duet3D/Duet-2-Hardware|https://docs.duet3d.com/Duet3D_hardware/Duet_2_family|https://www.duet3d.com/","2026-07-26"
"57fcef4545832c6e","Mu_Cyberdeck","https://github.com/BenMakesEverything/Mu_Cyberdeck","已逐页阅读（精确GitHub仓库、文件与许可）","高成本单件Cyberdeck DIY项目","LattePanda Mu定制便携电脑","设计文件、教程或极小批量定制装机","淘汰为规模化硬件机会","带滑出机械键盘、LattePanda Mu计算模块和定制载板的平板式Cyberdeck","Cyberdeck爱好者和定制电脑玩家","把高性能x86模块、屏幕和键盘整合成个性化便携设备","","仓库约142 stars、11 forks，包含3D文件、KiCad、QMK和图片，但无发布、售价、订单或可复制供应链证明","中高；Cyberdeck展示项目多，真正愿意为高成本定制机付费的市场很小","强依赖LattePanda Mu、显示屏、电池、机械键盘和多种定制件","结构、散热、电池安全、屏幕、滑轨、装配和高成本采购复杂","整机兼容、系统、散热、机械故障和备件支持重","中高；锂电池、充电、电源、无线和整机EMC","仓库标注GPL-3.0；机械与硬件文件权利边界仍需确认","无合格英雄图；仓库图片需按最终成品重新挑选","淘汰","它是完成度较高的个人Cyberdeck，但仍是昂贵第三方计算模块加定制结构的一次性展示，缺乏市场验证和可规模制造路径。","https://github.com/BenMakesEverything/Mu_Cyberdeck","2026-07-26"
"f515c9b32eb28606","NintendoSpy","https://github.com/jaburns/NintendoSpy","已逐页阅读（精确GitHub README、教程与许可）","控制器显示软件加Arduino接线教程","游戏直播输入可视化软件","软件、皮肤、直播工具和教程","淘汰为硬件机会","Windows控制器输入显示器及用于读取任天堂主机手柄信号的Arduino草图","速通玩家、直播者和教程制作者","在直播或录像中实时显示控制器按键输入","","约269 stars、93 forks，最近正式版本为2014年；README明确要求剪接手柄线并接Arduino，硬件部分是教程接口而非独立产品","高；控制器Overlay、OBS插件、USB采集和输入显示软件很多","依赖Windows、Arduino、旧主机控制器协议和用户自行接线","无独立硬件制造；仅DIY接线","旧系统兼容、驱动、接线错误和软件维护","低","MIT","自动图片来自教程interface.png，是接线教程图而非可销售产品英雄图","淘汰","主体是软件与Arduino接线教程，不能把教程接口图片当成独立硬件商业机会。","https://github.com/jaburns/NintendoSpy","2026-07-26"
