project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"ae8e30aa470d7eed","cryptohackapp","https://gitlab.com/cryptoadvocate/cryptohackapp","已复核（GitLab主题页与精确源记录）","电子徽章配套移动应用","CryptoHack安全会议徽章产品族","活动徽章、赞助、培训与配套软件","与硬件产品族合并；本记录淘汰为独立机会","CryptoHack Badge项目的Flutter/aarch64移动端工程仓库","活动组织者、徽章持有者和安全研究参与者","为电子徽章提供移动端交互和配套功能","","GitLab主题页明确称mobile engineering home of the Cryptohack Badge project；0 stars、0 forks，无独立商品","高；会议徽章及配套App项目众多","依赖CryptoHack硬件、移动平台和活动生态","本记录无硬件制造","App系统版本、连接和活动内容维护","中；安全研究与无线功能需明确边界","待核验","无独立硬件本体","淘汰","这是电子徽章产品族的移动软件仓库，不是新的硬件SKU，应作为同族证据。","https://gitlab.com/cryptoadvocate/cryptohackapp|https://gitlab.com/explore/projects/topics/cybersecurity","2026-07-26"
"e94f9c2e8e214e80","dcsgonefirm","https://gitlab.com/kongduino/dcsgonefirm","已复核（精确源记录缓存与已确认徽章同族证据）","电子徽章固件仓库分叉","DCSGone安全会议徽章产品族","活动赞助、批量徽章与开源固件生态","与同族硬件合并；本记录淘汰为独立机会","Circuit Crafters首个电子徽章项目的固件工程仓库或分叉","活动组织者、徽章开发者和参与者","开发和维护安全会议电子徽章固件","","源记录明确写firmware engineering home；0 stars、0 forks；同族硬件和固件分叉已交叉核验","高；会议电子徽章和固件项目很多","完全依赖同族徽章PCB、MCU和活动内容","本记录无独立制造","固件、无线、电池和活动现场支持由完整徽章承担","中；完整徽章可能涉及无线和电池","待核验；同族许可不能自动套用于分叉","无独立硬件英雄图","淘汰","这是已有DCSGone徽章家族的固件仓库分叉，不是新的硬件产品。","https://gitlab.com/kongduino/dcsgonefirm|https://gitlab.com/cryptoadvocate/dcsgonebadge","2026-07-26"
"c4f78faeeec3c100","dcsgonefirm","https://gitlab.com/bitowlonline/dcsgonefirm","已复核（精确源记录缓存与已确认徽章同族证据）","电子徽章固件仓库分叉","DCSGone安全会议徽章产品族","活动赞助、批量徽章与开源固件生态","与同族硬件合并；本记录淘汰为独立机会","Circuit Crafters首个电子徽章项目的固件工程仓库或分叉","活动组织者、徽章开发者和参与者","开发和维护安全会议电子徽章固件","","源记录明确写firmware engineering home；0 stars、0 forks；同族硬件和固件分叉已交叉核验","高；会议电子徽章和固件项目很多","完全依赖同族徽章PCB、MCU和活动内容","本记录无独立制造","固件、无线、电池和活动现场支持由完整徽章承担","中；完整徽章可能涉及无线和电池","待核验；同族许可不能自动套用于分叉","无独立硬件英雄图","淘汰","这是已有DCSGone徽章家族的固件仓库分叉，不是新的硬件产品。","https://gitlab.com/bitowlonline/dcsgonefirm|https://gitlab.com/cryptoadvocate/dcsgonebadge","2026-07-26"
"aec1bc7b407ae067","dcsgonefirm","https://gitlab.com/michelos/dcsgonefirm","已复核（精确源记录缓存与已确认徽章同族证据）","电子徽章固件仓库分叉","DCSGone安全会议徽章产品族","活动赞助、批量徽章与开源固件生态","与同族硬件合并；本记录淘汰为独立机会","Circuit Crafters首个电子徽章项目的固件工程仓库或分叉","活动组织者、徽章开发者和参与者","开发和维护安全会议电子徽章固件","","源记录明确写firmware engineering home；0 stars、0 forks；同族硬件和固件分叉已交叉核验","高；会议电子徽章和固件项目很多","完全依赖同族徽章PCB、MCU和活动内容","本记录无独立制造","固件、无线、电池和活动现场支持由完整徽章承担","中；完整徽章可能涉及无线和电池","待核验；同族许可不能自动套用于分叉","无独立硬件英雄图","淘汰","这是已有DCSGone徽章家族的固件仓库分叉，不是新的硬件产品。","https://gitlab.com/michelos/dcsgonefirm|https://gitlab.com/cryptoadvocate/dcsgonebadge","2026-07-26"
"d3064d891546bad5","honeybadgr","https://gitlab.com/ngreese/honeybadgr","已复核（精确源记录缓存；页面当前未稳定加载）","命令行SVG徽章生成软件","README数字状态徽章工具","开源软件和开发者工具","淘汰为硬件机会","生成badge SVG图片文件的Rust命令行工具","软件项目维护者","自动生成数字状态或说明徽章","","源记录明确为utility binary that generates a badge svg image file，并链接crates.io与docs.rs；0 stars、0 forks","极高；shields.io及SVG徽章生成器成熟","依赖Rust工具链和SVG/Web生态","无硬件制造","软件兼容和模板维护","低","待核验","无硬件本体","淘汰","项目生成的是网页SVG徽章，旧分类把数字badge误判为电子徽章。","https://gitlab.com/ngreese/honeybadgr|https://crates.io/crates/honeybadgr","2026-07-26"
"efa3814e33c89056","ArchivioID","https://gitlab.com/mountainviewprovisions-group/ArchivioID","已复核（精确源记录缓存；页面当前未稳定加载）","PHP数字签名验证插件","内容发布身份验证软件","开源插件、托管和内容安全服务","淘汰为硬件机会","为ArchivioMD验证OpenPGP分离签名、显示锁形badge并记录事件的纯PHP插件","内容站点运营者和作者","验证文章签名和显示身份可信状态","","源记录明确为Pure PHP add-on，无服务器GPG要求；0 stars、0 forks，无硬件内容","中高；签名验证、CMS插件和身份工具已有成熟方案","依赖ArchivioMD、PHP和OpenPGP签名文件","无硬件制造","密码学库、CMS兼容和密钥管理支持","中；密钥与身份验证错误会影响内容可信度","待核验","锁形badge是网页状态标识","淘汰","该项目是纯PHP内容签名插件，badge只是网页锁形标识，不是电子硬件。","https://gitlab.com/mountainviewprovisions-group/ArchivioID","2026-07-26"
"290bfac08f7df474","cryptohackfirm","https://gitlab.com/cryptoadvocate/cryptohackfirm","已复核（GitLab主题页与精确源记录）","电子徽章固件仓库","CryptoHack安全会议徽章产品族","活动徽章、赞助、培训与开源固件","与硬件产品族合并；本记录淘汰为独立机会","CryptoHack电子徽章的固件工程仓库，涉及Espressif与RISC-V","活动组织者、徽章开发者和安全研究参与者","开发和维护CryptoHack电子徽章固件","","GitLab主题页明确称firmware engineering home of the Cryptohack electronic badge project；0 stars、0 forks","高；会议电子徽章和安全徽章生态成熟","依赖CryptoHack PCB、Espressif或RISC-V硬件和活动内容","本记录无独立制造","固件、无线和现场活动支持","中；无线与安全研究功能需边界管理","待核验","无独立硬件英雄图","淘汰","这是同一CryptoHack徽章产品族的固件仓库，不是新的硬件SKU。","https://gitlab.com/cryptoadvocate/cryptohackfirm|https://gitlab.com/explore/projects/topics/cybersecurity","2026-07-26"
"363dedff51f5d3a1","dcsgonefirm-snek","https://gitlab.com/natesubra/dcsgonefirm-snek","已复核（精确源记录缓存与已确认徽章同族证据）","电子徽章固件仓库分叉","DCSGone安全会议徽章产品族","活动赞助、批量徽章与开源固件生态","与同族硬件合并；本记录淘汰为独立机会","Circuit Crafters首个电子徽章项目的固件工程仓库或分叉","活动组织者、徽章开发者和参与者","开发和维护安全会议电子徽章固件","","源记录明确写firmware engineering home；0 stars、0 forks；同族硬件和固件分叉已交叉核验","高；会议电子徽章和固件项目很多","完全依赖同族徽章PCB、MCU和活动内容","本记录无独立制造","固件、无线、电池和活动现场支持由完整徽章承担","中；完整徽章可能涉及无线和电池","待核验；同族许可不能自动套用于分叉","无独立硬件英雄图","淘汰","这是已有DCSGone徽章家族的固件仓库分叉，不是新的硬件产品。","https://gitlab.com/natesubra/dcsgonefirm-snek|https://gitlab.com/cryptoadvocate/dcsgonebadge","2026-07-26"
"aeea6ba328b62343","csp","https://gitlab.com/mbtools/csp","已复核（精确源记录缓存；页面当前未稳定加载）","Docker化内容安全策略处理软件","Web安全中间件","开源软件、托管与安全咨询","淘汰为硬件机会","运行于Docker中的基础Content Security Policy处理器","Web平台和安全团队","生成、处理或应用网页CSP策略","","源记录明确为basic Content Security Policy processor running in docker；0 stars、0 forks，无硬件设计","高；Web安全头、中间件和代理功能成熟","依赖Docker和Web应用栈","无硬件制造","浏览器策略、规则和部署维护","中；错误策略会导致安全或可用性问题","待核验","GitLab pipeline badge不是硬件图","淘汰","项目是Web安全软件，旧分类仅因README含badge图片而误判。","https://gitlab.com/mbtools/csp","2026-07-26"
"39f9cb2d9157b4bf","drupal-core-recommended","https://gitlab.com/php-packages-demo/drupal-core-recommended","已复核（精确源记录缓存；页面当前未稳定加载）","PHP/Drupal软件包镜像或示例仓库","内容管理系统软件依赖","开源CMS、开发和托管服务","淘汰为硬件机会","Drupal core-recommended内容管理平台依赖包相关仓库","Drupal开发者和网站运营者","管理Drupal核心依赖版本","","源记录直接链接Packagist的drupal/core-recommended并称Content management platform/framework；0 stars、0 forks","不适用；成熟开源软件生态","完全依赖Drupal、Composer和PHP","无硬件制造","软件依赖和安全更新维护","低至中；网站安全和数据责任","上游Drupal许可适用范围需核验","PHPPackages rank badge是网页图标","淘汰","这是Drupal软件包或框架项目，badge只出现在README排名图标中，与硬件无关。","https://gitlab.com/php-packages-demo/drupal-core-recommended|https://packagist.org/packages/drupal/core-recommended","2026-07-26"
