"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"10ac70e169b2ce70","071 Micro Oled Display With 1920Rgb 1080","https://www.tindie.com/products/hicenda/071-micro-oled-display-with-1920rgb-1080","已逐页阅读（精确商品页、售价和卖家目录；页面规格冲突）","0.71英寸标题/0.5英寸正文的1080P微OLED组件","微显示、驱动板与近眼光学供应产品族","依靠上游微显示、控制板和光学模块目录销售","市场参考；并入产品族并标记数据质量风险","标题称0.71英寸1920×1080，正文却称500nit 0.5英寸并配HDMI板","AR/VR和近眼显示原型团队","采购可直接点亮的1080P微显示与控制板","283.00","售价283美元；Hicenda约22单、29款显示产品，但标题和正文尺寸不一致","高；同店有多款0.5/0.71英寸1080P版本，其他卖家也密集供应","依赖上游面板、HDMI/MIPI控制板、排线和光学","很高；需规格确认、筛选、驱动和光学装调","极高；页面尺寸冲突，亮度、控制板和机械接口可能发错","中","标准供应组件，无开放制造许可","无合格英雄图；规格冲突解决前任何相似微OLED图片都不能通过","市场参考案例","只能作为微显示供应链样本；页面核心规格矛盾，不具备独立机会可信度","https://www.tindie.com/products/hicenda/071-micro-oled-display-with-1920rgb-1080|https://www.tindie.com/stores/hicenda/items/","2026-07-25"
"e3aa53795c26aa72","100W Isolation Switching Power Module 13707","https://www.tindie.com/products/icstation/100w-isolation-switching-power-module-13707","已逐页阅读（精确商品页、型号、价格与卖家目录）","通用100W裸板市电AC-DC电源模块/转售品","低价通用电源模块与ICStation转售产品族","依靠大规模中国通用模块目录和低价转售","淘汰高风险通用电源模块","110/220VAC转12/24/36V、标称100W双输出隔离开关电源裸板","DIY电源、设备改装和低成本供电用户","低成本把市电转换为多种直流电压","11.89","售价11.89美元；页面无认证、隔离耐压、纹波、效率、热降额和原创设计证据","极高；同类裸板AC-DC和认证成品电源大量供应","核心价值来自现成通用模块与供应链转售","高；爬电距离、变压器、绝缘、温升和保护必须验证","极高；接线、负载和散热误用可能引发火灾","极高；电气安全、EMC、阻燃和绝缘认证","疑似转售，未见开放设计或持续生产权","图片文件名13707_51与商品编号一致，仍需核对具体输出版本","淘汰","11.89美元市电裸板，安全与认证风险远高于利润和差异化","https://www.tindie.com/products/icstation/100w-isolation-switching-power-module-13707","2026-07-25"
"61f0a4199c78af09","10Pcs Atmega88 20Au 32 Pin Tqfp Original Atmel","https://www.tindie.com/products/tech/10pcs-atmega88-20au-32-pin-tqfp-original-atmel","已逐页阅读（精确商品页、数量、售价与卖家目录）","ATmega88原厂MCU十只装元件转售","标准MCU、旧库存和元件分装转售产品族","靠器件库存、真伪和小批量分装销售","淘汰元件转售SKU","10只ATmega88-20AU、TQFP-32封装8位MCU","维修、教育和仍使用旧AVR设计的开发者","小批量采购特定AVR料号","12.00","10只售价12美元；卖家约24单、1评，未见该SKU评价或持续货源证明","高；标准MCU可由分销商和大量现货商供应","完全依赖Microchip/Atmel库存、真伪和供应链","不制造；需防伪、湿敏、批次和功能抽检","中高；翻新、假货、存储和兼容争议","低至中；来源与RoHS声明","原厂元件转售，无原创设计或生产权","自动图为通用DSC文件名，需核对数量、顶标和封装","淘汰","标准元件库存交易，不是可制造产品或新商业机会","https://www.tindie.com/products/tech/10pcs-atmega88-20au-32-pin-tqfp-original-atmel|https://www.tindie.com/stores/tech/","2026-07-25"
"e92019bb99fab6ab","10Pcs Usb Power Wire 100Cm 5V Usb Cable","https://www.tindie.com/products/icstation/10pcs-usb-power-wire-100cm-5v-usb-cable","已逐页阅读（精确商品页、数量、长度和价格）","100厘米USB取电线十条装转售品","通用USB线材、转接线和低价配件产品族","依靠规模供应链和低价线材目录转售","淘汰通用线材SKU","10条100厘米、仅两芯5V供电输出的USB电源线","DIY供电、LED和小型5V设备用户","用USB口直接引出5V而不需要数据线","7.22","十条售价7.22美元；Tindie已有大量1至15美元线束和适配器","极高；普通USB取电线可全球低价采购","完全依赖现成USB插头、线材和装配供应链","低；需线径、压降、极性、拉力和短路检查","中；仅供电无数据和实际电流能力易误解","低至中；线材阻燃和USB标识","普通线材转售，无开放设计资产","自动图文件名通用，需确认十条数量、长度和裸线端","淘汰","每条不足1美元的成熟线材，没有原创性、客单或竞争空白","https://www.tindie.com/products/icstation/10pcs-usb-power-wire-100cm-5v-usb-cable|https://www.tindie.com/browse/cables-and-adapters/","2026-07-25"
"9f938428301e03a6","10V 142En3 10 142E 3 Microcircuits Dip 8 Linea","https://www.tindie.com/products/electronics16/10v-142en3-10-142e-3-microcircuits-dip-8-linea","已逐页阅读（精确商品页、批次数量、售价及重复目录）","苏联旧库存10V DIP-8线性稳压器四只装转售","复古苏联电子元件与工业剩余库存产品族","靠稀有料号和旧库存批次销售，无法持续制造","淘汰重复库存SKU","4只142EN3系列10V DIP-8旧库存线性稳压微电路","苏联设备维修、收藏和历史电路维护人员","寻找特定旧料号和封装的替换件","54.00","4只整批54美元、仅1批；同店有13只78美元及多个近重复页面，目录97款且未见订单评价","特定料号表面稀缺但需求极小，现代替代广泛，同店内部还重复发布","完全依赖旧库存真伪、存储历史、批次和原设备兼容","不制造；需输出、压差、静态电流、温漂和老化筛选","高；标记、数据手册、性能衰退和批次差异","低至中；旧材料和来源声明","原厂旧元件转售，无开放设计或持续生产权","自动照片文件名通用；需核对4只数量和顶标，不能复用其他批次图片","淘汰","与前批同一142EN3库存产品族重复，不能虚增机会","https://www.tindie.com/products/electronics16/10v-142en3-10-142e-3-microcircuits-dip-8-linea|https://www.tindie.com/stores/electronics16/items/","2026-07-25"
"a5d1de124f26ac05","10X Smt To Dil Adapter For Soic 8 Oder Sop 8","https://www.tindie.com/products/Electronic1o1/10x-smt-to-dil-adapter-for-soic-8-oder-sop-8","已逐页阅读（精确商品页、数量、价格和售罄日期）","SOIC-8/SOP-8转DIL-8裸PCB十片装","低价封装转接板与原型适配PCB产品族","销售无源裸板小批量适配器","淘汰低价转接板SKU","10片SOIC-8/SOP-8转DIL-8裸PCB，背面带0603去耦焊盘","面包板原型、维修和DIP替换用户","把贴片8脚芯片转成2.54mm直插封装","4.99","十片售价4.99美元，2020年11月起售罄；同类转接板极其普遍","极高；无源转接板无技术门槛且价格透明","仅依赖普通PCB制造","极低；尺寸、孔径、阻焊和连通测试","低至中；宽窄体、方向和焊接误用","低","未见开放Gerber许可；即使开放也难形成壁垒","自动图来自商品页但文件名通用，需确认正反面和去耦焊盘","淘汰","长期售罄且约0.5美元/片的裸板，无法形成机会","https://www.tindie.com/products/Electronic1o1/10x-smt-to-dil-adapter-for-soic-8-oder-sop-8","2026-07-25"
"43881d1000b4e999","11947B 10 Db Attenuator And Limiter","https://www.tindie.com/products/studiojmw/11947b-10-db-attenuator-and-limiter","已逐页阅读（精确商品页、用途、价格和售罄日期）","HP 11947A测试附件的10dB衰减/限幅刷新件","停产测试仪器附件和专业维修替代产品族","针对老仪器缺失附件和停产部件做小批量兼容复刻","市场参考；研究专业测试附件替代方法","对HP 11947A衰减器/限幅器进行更新的10dB RF附件","旧HP射频测试系统实验室、维修人员和收藏者","替代缺失/老化的专用附件并保护仪器输入","25.00","售价25美元，2020年12月起售罄；无订单评价、带宽、限幅阈值、VSWR或功率曲线","通用衰减器竞争高，特定HP兼容形态较小众；销量证据弱","依赖HP原附件接口、RF器件、机械外形和测试仪器","高；需测衰减平坦度、回损、功率、限幅阈值和带宽","中高；兼容仪器、连接器、功率和校准要求不清","低","未见开放设计或商业复用许可","自动图来自精确商品页但文件名通用，需确认是完整11947B附件","市场参考案例","停产专业仪器附件替代值得研究，但该SKU已售罄多年且性能/销量证据不足","https://www.tindie.com/products/studiojmw/11947b-10-db-attenuator-and-limiter","2026-07-25"
"66b9262db0ebee70","12 Bit8 Channel Adc Hat For Raspberry Pi V30","https://www.tindie.com/products/cburgess129/12-bit8-channel-adc-hat-for-raspberry-pi-v30","已逐页阅读（精确商品页、评价、价格、库存和同店产品族）","MCP3208树莓派8通道12位ADC HAT","树莓派ADC、接口和扩展HAT产品族","围绕Raspberry Pi/Teensy销售多种扩展板并提供装配","淘汰成熟HAT SKU","MCP3208 SPI八通道12位ADC HAT v3.0，可选EEPROM、无源件和装配","树莓派数据采集、传感器和教育项目用户","为没有模拟输入的树莓派增加多路ADC","25.50","售价25.50美元、库存4、1条评价；同店还有高精度、12通道和1-Wire+ADC等近重复HAT","极高；MCP3008/3208、ADS1015/1115 HAT和USB采集方案成熟","强依赖树莓派、Linux/Python库、MCP3208和GPIO","中；参考源、噪声、输入保护、校准和装配测试","高；系统版本、库、GPIO占用、输入范围和采样性能支持","低","未见完整开放设计和商业复用许可","自动图来自精确商品页，需核对v3.0丝印和装配版本","淘汰","真实需求和一条评价不能改变其成熟树莓派HAT属性，竞争空间不足","https://www.tindie.com/products/cburgess129/12-bit8-channel-adc-hat-for-raspberry-pi-v30|https://www.tindie.com/products/cburgess129/12-bit8-channel-adc-hat-for-raspberry-pi/|https://www.tindie.com/products/tag/raspberry-pi/","2026-07-25"
"ccb087e80c77bdc3","125A Autoswitching Power Mux Tps2115A Breakout","https://www.tindie.com/products/m12labs/125a-autoswitching-power-mux-tps2115a-breakout","已逐页阅读（精确商品页、售价、店铺订单和产品目录）","TPS2115A自动电源切换通用Breakout","通用IC Breakout、RTC、ADC和隔离器小板产品族","把常用芯片做成小批量Breakout销售","淘汰通用Breakout SKU","基于TPS2115A、额定约1.25A的双电源自动切换小板","嵌入式原型、备用电源和电池/USB切换开发者","在两个电源间自动选择并减少自行设计","6.00","售价6美元；卖家约11单，目录含多款3至15美元ADC、DAC、RTC、隔离器和电源Breakout，未见该SKU评价","极高；TPS211x模块和集成电源MUX方案广泛可得","完全依赖TI TPS2115A和外部系统，无终端产品","低至中；需切换阈值、压降、反灌、电流和热测试","中；优先级、迟滞、浪涌和负载保持易误用","低","未见开放Gerber、BOM和商业复用许可","无合格英雄图；必须展示具体TPS2115A小板和丝印","淘汰","6美元通用芯片Breakout，技术和商业壁垒不足，卖家整体订单也弱","https://www.tindie.com/products/m12labs/125a-autoswitching-power-mux-tps2115a-breakout|https://www.tindie.com/stores/m12labs/","2026-07-25"
"c2b1ca102dacfbb6","062 Micro Oled Display 17281368 1800Nits Mipi","https://www.tindie.com/products/oled-modules/062-micro-oled-display-17281368-1800nits-mipi","已逐页阅读（精确商品页、售价、规格和控制板选项）","0.62英寸1728×1368高亮微OLED组件","微显示、驱动板与近眼光学供应产品族","依靠上游面板、控制板、棱镜/光学和规格目录销售","市场参考；并入既有微显示产品族","0.62英寸1728×1368、1800nit MIPI微OLED，可选HDMI板，面向EVF/AR","高端EVF、AR/VR和工业近眼显示团队","获得高分辨率高亮微显示并快速接入原型","469.00","售价469美元；同店约24单、52款产品，并销售0.6英寸棱镜和多个相邻规格","中高；专业但规格变体密集，其他供应商也覆盖0.5至0.71英寸","完全依赖上游面板、MIPI、控制板、排线和光学","很高；需坏点、亮度、寿命、色彩、接口和光学检测","很高；非通用分辨率、控制板和光学匹配复杂","中","标准供应组件，无开放制造许可","无合格英雄图；不得使用0.6英寸1080P、棱镜或其他0.62英寸版本图片","市场参考案例","高客单专业组件，但仍是微显示目录规格变体，只作供应链与集成服务证据","https://www.tindie.com/products/oled-modules/062-micro-oled-display-17281368-1800nits-mipi|https://www.tindie.com/stores/oled-module/items/|https://www.tindie.com/products/oled-modules/prism-for-the-06-micro-oled-display/","2026-07-25"
