project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"4875337cc3cf1c7a","1201 Bandpass Filter Eurorack Synthesizer Module","https://www.tindie.com/products/hackmodular/1201-bandpass-filter-eurorack-synthesizer-module/","已逐页阅读（原商品页索引缓存）","Eurorack模拟音频功能模块","小批量Eurorack功能模块与面板产品族","通过多款互补模块、统一面板风格、装配版本和文档形成小众合成器目录，而不是依靠单块滤波板","保留为市场参考；可学习垂直目录与小批量装配，但不复制单一滤波模块","售价43美元的1201带通滤波Eurorack模块；精确电路、HP宽度和校准信息在可访问缓存中不完整","模块化合成器爱好者、DIY机架用户和小型声音设计工作室","在Eurorack系统中增加特定带通滤波音色与面板化即插即用能力","43.00","Hack Modular店铺约222单、6条评价并形成约20款模块产品；该商品在Tindie公开索引持续出现","极高；Tindie的Eurorack搜索约有651项，50美元以下模块和套件很多","依赖Eurorack电源、面板规范、插座和现有机架生态；单一模拟滤波功能容易被替代","中；涉及模拟器件容差、噪声、频响一致性、面板装配和功能测试","中；用户会关注噪声、增益、供电极性、面板尺寸及不同机架兼容","低至中；低压音频模块，但仍需RoHS、电源反接保护和EMC基本控制","未发现可直接商业复用的开放硬件许可","待视觉抽检：自动图片为IMG_1466.jpg，文件名无法证明具体型号匹配","市场参考案例","卖家和产品族证明小批量Eurorack可经营，但单一带通滤波器处于高度拥挤市场，缺少明显技术空白和开放复用许可","https://www.tindie.com/products/hackmodular/1201-bandpass-filter-eurorack-synthesizer-module/|https://www.tindie.com/stores/hackmodular/|https://www.tindie.com/search/?q=eurorack","2026-07-25"
"9c7accb12d5200d4","125 Enhanced Moon Planetary M31 Astro Filter","https://www.tindie.com/products/opticparts/125-enhanced-moon-planetary-m31-astro-filter/","已逐页阅读","天文观测光学滤镜","小口径天文滤镜与光学配件产品族","围绕月球、行星、星云和不同口径建立镀膜滤镜目录，通过光谱参数、镀膜一致性与渠道信任获利","保留为市场参考；真正可行路径需要光谱检测、镀膜供应链和完整滤镜族，而不是转售单片滤镜","1.25英寸月球、行星及M31增强滤镜，页面称采用PVD介质镀膜并选择性透过目标波段","入门和进阶天文摄影、目视观测用户","降低杂散光和部分光害，提高月面、行星与M31目标对比度","24.00","商品页显示24美元、库存8件，并列出多个相关天文光学配件；但未见该SKU独立订单和测评数据","高；1.25英寸月球、行星与光害滤镜已有大量成熟品牌和低价供给","高度依赖滤光片基材、PVD镀膜厂、光谱检测和标准1.25英寸镜筒生态","中高；中心波长、截止深度、表面质量、镀膜均匀性和批次一致性需要仪器验证","中；划伤、鬼影、色偏、实际增益不符预期及镜筒兼容会产生退换","中；普通天文滤镜风险有限，但页面明确不可用于太阳观测，错误宣传可能造成眼伤责任","闭源商业光学商品，未见开放制造资料或商业复用许可","基本匹配但需视觉抽检：文件名为_DSC5510，需确认展示的是该1.25英寸滤镜而非相邻光学件","市场参考案例","存在明确天文用途和中等客单，但壁垒属于镀膜、检测和品牌信任；单片滤镜市场已成熟，不能由公开页面直接复制","https://www.tindie.com/products/opticparts/125-enhanced-moon-planetary-m31-astro-filter/","2026-07-25"
"9f6b668fde745c1d","08Xx Replacement","https://www.tindie.com/products/caiusarcade/08xx-replacement/","已逐页阅读（原商品页索引缓存并交叉核验）","老街机停产定制芯片替代件","老街机停产芯片替代件产品族","依靠大量长尾SKU、原板测试资源、逆向兼容数据库和维修社群口碑形成产品族","作为维修替代件方法参考；不能把单一08xx兼容板当独立大市场机会","用于替换部分Konami老街机PCB上易失效08xx定制芯片的兼容替代件，Tindie索引约44.99美元，Lectronz约38.64欧元","街机维修商、收藏者和运营旧机台的场馆","原厂08xx定制芯片停产且容易失效，导致原板无法维修","44.99","同品在Tindie和Lectronz均有销售页面；维修社群存在08xx故障与替代需求，卖家已有大量街机替代件SKU","低到中；具体芯片替代件卖家少，但总市场极小且已有社区开源CPLD/GAL方案","依赖特定Konami PCB、原板样本、逻辑逆向和旧游戏兼容验证","中；PCB本身简单，但逻辑时序、不同板版兼容和烧录测试要求高","高；故障可能来自其他器件，用户安装方向、焊接和板版差异会造成大量支持","低至中；低压维修配件，但存在逆向、商标和维修责任边界","社区有开放替代思路，但该商品本身未见允许复制销售的明确许可","疑似产品族图片复用：与083 Replacement使用同一自动图片来源，不能认定为08xx本体图","市场参考案例","维修痛点真实且客单可接受，但商业模式依赖完整长尾产品族、测试数据库和口碑；单SKU市场太小且IP与兼容售后风险高","https://www.tindie.com/products/caiusarcade/08xx-replacement/|https://lectronz.com/products/08xx-replacement","2026-07-25"
"3f59a2aa9f777302","039 Micro Oled Display Fhd 1024X768","https://www.tindie.com/products/oled-module/039-micro-oled-display-fhd-1024x768/","已逐页阅读（商品页与卖家目录缓存）","近眼显示微型OLED模组","微型OLED、驱动板与BirdBath光学供应产品族","通过多尺寸微显示、HDMI或CVBS驱动板、光学棱镜和AR整机模块形成B2B小批量目录","保留为供应链案例；真正壁垒在面板渠道、光学装调、检测与技术支持，不是复制一块驱动板","0.39英寸1024×768微型OLED显示器，售价约199.95美元，搭配AV/CVBS驱动板并可选近眼光学组件","AR眼镜、取景器、夜视、显微显示和原型设备开发者","以小体积获得较高像素密度的近眼显示，并减少自行寻找面板与驱动板的集成成本","199.95","卖家约19单、52款商品，目录覆盖多种微OLED、驱动板和BirdBath光学；页面可见产品但独立销量证据弱","中高；同卖家及其他供应商已有大量0.39至0.71英寸微显示规格和整套光学模块","高度依赖上游OLED面板、专用驱动芯片、排线、视频接口板和光学件","高；涉及面板良率、亮度坏点、驱动时序、热管理、光学装调及ESD保护","高；兼容分辨率、接口、亮度、坏点、眼盒、焦距和光学对准都会产生支持","中；显示模组本身有限，但整机涉及激光或夜视、眼安全、EMC时风险上升","闭源供应模组，未见开放硬件或商业复用许可","明确高风险错配：自动文件名为BIRD-BATH-LENSES-AR-Glasses-optical-module-1.jpg，更像光学组件而非0.39英寸微显示加CVBS板","市场参考案例","高客单和专业用途成立，但这是上游供应与集成业务，进入门槛在渠道、检测和光学支持；缺少开放设计与独立需求验证","https://www.tindie.com/products/oled-module/039-micro-oled-display-fhd-1024x768/|https://www.tindie.com/stores/oled-module/","2026-07-25"
"c1f63683979bc2c2","071 1920X1080 Oled With Hdmi Dual Eyes Board","https://www.tindie.com/products/oled-modules/071-1920x1080-oled-with-hdmi-dual-eyes-board/","已逐页阅读（商品页与卖家目录缓存）","双目近眼显示OLED与HDMI驱动套件","微型OLED、双目驱动与近眼光学供应产品族","通过多尺寸面板、双目HDMI板、棱镜和BirdBath光学组合覆盖AR、HMD与仪器客户","保留为高客单供应链案例；不把规格变体重复计算为独立机会","双0.71英寸1920×1080 AMOLED加HDMI双目驱动板，页面价格约528美元，可选配棱镜光学","HMD、FPV、AR眼镜、医疗或工业观察设备原型开发团队","快速获得双目全高清微显示与视频驱动，避免从裸面板开始开发","528.00","卖家约71至72单、约66款商品并拥有多种相近微显示和光学组合；该SKU独立订单与客户案例未公开","中高；专业供应商较少但同类规格变体多，客户通常比较亮度、刷新率、光学和长期供货","高度依赖上游微OLED面板、HDMI桥接板、双目同步、排线和可选光学","高；双屏匹配、坏点、亮度色差、同步、EMI和光学装调均需专用测试","高；接口、EDID、分辨率、同步、眼盒、焦距和面板寿命问题复杂","中；作为模组有限，但整机若用于医疗、头戴和夜视需额外认证及眼安全评估","闭源商品，无开放制造资料或明确商业复用许可","无合格英雄图；不得使用其他尺寸微显示或BirdBath套件图片代替","市场参考案例","专业高客单需求存在，但它与其他微显示条目属于同一供应产品族；壁垒在供应、筛选、驱动和光学支持而非公开设计机会","https://www.tindie.com/products/oled-modules/071-1920x1080-oled-with-hdmi-dual-eyes-board/|https://www.tindie.com/stores/oled-modules/","2026-07-25"
"1b007b1117d58af4","128 Inch Round Lcd Hat For Raspberry Pi Pico","https://www.tindie.com/products/sbc/128-inch-round-lcd-hat-for-raspberry-pi-pico/","已逐页阅读（原商品页索引缓存）","树莓派Pico圆形LCD HAT","Pico与Arduino标准显示HAT产品族","围绕不同尺寸屏幕和主控接口销售标准HAT与Breakout，价值来自目录、库存和示例代码","淘汰单一HAT；只有做成具有结构、UI、固件和终端用途的完整设备才可能商业化","1.28英寸240×240圆形LCD HAT，带五向摇杆并通过SPI连接Raspberry Pi Pico，售价36.99美元","Raspberry Pi Pico原型开发者、学生和创客","快速给Pico添加圆形彩屏和基本人机输入","36.99","页面索引显示售价36.99美元、库存7件；卖家约209单并拥有大量显示板和开发板SKU","极高；圆形GC9A01类屏幕、Pico HAT和低价模块在多个渠道广泛销售","强依赖Raspberry Pi Pico、标准圆屏控制器和外部应用代码；不形成独立结果","低至中；主要是屏幕批次、排线、摇杆和接口兼容测试","中；驱动库、颜色方向、Pico版本、焊接排针和碎屏会产生支持","低；普通低压显示扩展板","未见该商品的开放硬件商业复用许可","明确疑似错配：与已淘汰的1.14英寸LCD Breakout共用ARDI BACK.png，不能证明是该圆形HAT","淘汰","典型树莓派生态HAT，需求已被成熟品牌和低价模块覆盖；产品价值依赖Pico与现成屏幕，缺少独立终端结果","https://www.tindie.com/products/sbc/128-inch-round-lcd-hat-for-raspberry-pi-pico/|https://www.tindie.com/stores/sbc/","2026-07-25"
"9b494bfd6df5ad13","10Pcs Espea Dual Shield Arduino Development Board","https://www.tindie.com/products/aprbrother/10pcs-espea-dual-shield-arduino-development-board/","已逐页阅读（原商品页索引缓存）","Arduino生态通用双扩展板批量包","Arduino兼容盾板与开发配件分销产品族","依靠成熟Arduino生态配件、批量包装、库存与店铺目录销售，而非单板技术壁垒","直接淘汰；除非形成授权分销、教育BOM或完整终端套件","10块ESPea Dual Shield Arduino兼容开发扩展板，整包售价12美元","学校实验室、创客和批量原型开发者","以很低成本批量获得Arduino兼容扩展连接板","12.00","商品索引显示10件12美元、库存10件；AprilBrother店铺约3033单、90条评价、73款产品，销量体现渠道能力而非该板空白","极高；Arduino Shield搜索约有数百种，兼容板和扩展连接板价格低廉","完全依赖Arduino兼容生态和外部主控；该板本身功能有限","低；普通PCB和连接器，但批量一致性与排针装配需抽检","低至中；针脚兼容、焊接、不同Arduino板型可能产生问题","低；普通低压无源或简单扩展板","未见允许复制销售的明确设计许可","待视觉抽检：IMG_3568.JPG文件名不足以证明具体ESPea Dual Shield型号","淘汰","每块约1.2美元的成熟Arduino配件，技术、客单和差异化均不足；卖家订单来自完整目录和渠道，不是新机会","https://www.tindie.com/products/aprbrother/10pcs-espea-dual-shield-arduino-development-board/|https://www.tindie.com/stores/aprbrother/|https://www.tindie.com/search/?q=arduino%20shield","2026-07-25"
"8fe7a1e04b0ec5c0","10Pcs Touch Switch","https://www.tindie.com/products/blinkingsilver/10pcs-touch-switch/","已逐页阅读","通用轻触开关元件包","低价电子元件分装与转售产品族","采购标准元件后小包装销售，价值仅来自库存和小件配送","直接淘汰；只有原厂可追溯、参数分档和工程BOM服务才可能形成业务","10只12×12×7.3毫米四脚SMD轻触开关，售价2美元且缺货","维修者、学生和少量原型开发者","小批量购买常用按键元件","2.00","商品页显示2美元且当前售罄；未见该SKU独立订单、寿命曲线或品牌追溯证据","极高；同尺寸轻触开关是全球通用低价元件","完全依赖通用开关供应链和批次真实性","低；仅分装，但寿命、触点阻值、手感和尺寸需抽检","低至中；高度、焊盘和寿命不符会导致退换","低；主要涉及RoHS和材料声明","无开放设计价值，未提供制造商或授权追溯","待视觉抽检：IMG_1236.JPG无法确认是否为该12×12×7.3毫米具体开关","淘汰","2美元通用元件包没有产品独立性、市场空白或足够毛利；缺货页面和店铺历史不能构成机会","https://www.tindie.com/products/blinkingsilver/10pcs-touch-switch/","2026-07-25"
"7de928801c04de41","110 220V Smart Power Switch For Indoor Lighting 2","https://www.tindie.com/products/aeonlabs/110-220v-smart-power-switch-for-indoor-lighting-2/","已逐页阅读（原商品页索引缓存）","嵌墙式市电智能照明开关","智能家居市电开关与控制器产品族","需要认证成品、安装生态、App或协议兼容和售后网络；不能靠小批量裸板销售","淘汰该SKU；除非拥有完整认证、保险、安装渠道和软件生态","110至220V室内照明智能电源开关，页面价格200美元，带插接端子并用于墙盒安装","住宅智能家居用户和安装商","远程或自动控制市电照明并减少改线工作","200.00","商品页显示200美元且已售罄，近似SKU同价；AeonLabs店铺仅约2单，缺乏该产品真实销售与评价","极高；Zigbee、Wi-Fi、Matter和传统智能开关已有大量19至30美元及成熟品牌产品","依赖无线协议、手机或网关生态、墙盒布线和各国电气安装标准","高；继电器、爬电距离、阻燃外壳、浪涌、温升和寿命需完整验证","极高；零火线差异、负载类型、安装错误、掉线和发热可能导致退货或安全事故","极高；涉及市电安规、EMC、无线认证、阻燃、当地安装规范和产品责任","闭源商业商品，无开放设计或认证文件可供复用","待视觉抽检：IMG_20240529_161315.jpg可能是原型照片，尚不能证明为具认证外壳的最终商品","淘汰","价格远高于成熟竞品且销售证据弱，市电认证、安装和售后风险巨大；不适合小团队以开源硬件方式进入","https://www.tindie.com/products/aeonlabs/110-220v-smart-power-switch-for-indoor-lighting-2/|https://www.tindie.com/stores/aeonlabs/|https://www.tindie.com/search/?q=smart%20switch","2026-07-25"
"5da3ddda168bccc8","0Ldskull Nfc Reader","https://www.tindie.com/products/0ldskull/0ldskull-nfc-reader/","已逐页阅读（Tindie缓存与品牌商品页交叉核验）","复古计算机生态NFC读卡配件","Commodore与复古计算机功能配件产品族","围绕特定复古平台提供NFC、存储、接口和外设，依靠兼容性、固件、外壳和社群口碑形成小众目录","保留为市场参考；需进一步核实具体兼容机型、固件与用户使用场景，不能仅凭商品名升为观察名单","售价17.99美元的0ldSkull品牌NFC Reader；品牌商品页和图片明确为该产品，但可访问摘要未完整披露协议与兼容细节","Commodore等复古计算机爱好者、收藏者和改装用户","为老平台增加NFC标签读取或基于标签的快捷交互，避免自行开发接口板与固件","17.99","品牌站和Lectronz均以17.99美元销售；Tindie店铺自2025年9月以来约164单、5条评价并形成7款复古硬件产品","中低；平台小众且同类成品少，但总市场规模有限，功能也可能被通用NFC模块替代","依赖特定复古计算机接口、NFC芯片、固件和用户已有主机；具体兼容关系仍待补证","低至中；常规PCB、NFC天线、外壳和固件，但需对不同主机与标签做兼容测试","中；主机版本、固件、天线距离、标签类型和安装方式会产生支持","低至中；13.56MHz近场设备通常风险较低，但成品销售仍需当地EMC和材料合规判断","未见开放硬件许可或可商业复用设计文件","基本匹配但需最终视觉抽检：品牌页图片替代文本明确写0ldSkull NFC reader，自动文件名为Premium.front.jpg","市场参考案例","卖家订单和垂直复古产品族说明小众配件可经营，但该项目具体兼容和功能证据不足，市场规模也小，暂不进入观察名单","https://www.tindie.com/products/0ldskull/0ldskull-nfc-reader/|https://0ldskull.com/products/0ldskull-nfc-reader|https://lectronz.com/products/0ldskull-nfc-reader|https://www.tindie.com/stores/0ldskull/","2026-07-25"
