project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"57737d6ddb3ca2ee","10K Potentiometer Module Rotation Angle Sensor","https://www.tindie.com/products/icstation/10k-potentiometer-module-rotation-angle-sensor","已逐页阅读","通用电位器模块/转售商品","低价Arduino传感器与接口模块转售","依靠中国供应链的大量SKU、折扣和跨境零售获利，单块板没有设计壁垒","不进入；只有形成专业输入装置、校准方案或垂直整机才值得研究","10kΩ旋转电位器焊在小PCB上的模拟量模块","Arduino初学者和低成本位置/旋钮输入项目用户","用现成三针模块快速获得可调模拟电压","5.09","商品售价约5.09美元且卖家处于暂停状态；ICStation约1930单但经营约760款通用模块，店铺评分和文档评价一般；Tindie传感器分类存在大量同价位替代品","极高；电位器、旋转角度模块和模拟输入板是成熟通用品","完全依赖通用10k电位器和外部主控，本身不能形成独立产品","极低；核心是采购和焊接，没有可防御制造能力","中；引脚定义、旋转寿命、阻值偏差和物流质量会产生支持，但客单无法覆盖售后","低；低压无源/简单模块","未见原创开源设计或允许复制的明确许可，疑似通用转售品","不匹配：旧英雄图文件名明确为LED Christmas Tree/Santa/Elk Kit，与电位器模块无关，必须删除","淘汰","这是5美元通用模块，需求早已被供应链和大量同类板覆盖；没有独立产品、差异化、毛利或客户壁垒，且旧英雄图明显错配","https://www.tindie.com/products/icstation/10k-potentiometer-module-rotation-angle-sensor|https://www.tindie.com/stores/icstation/reviews/|https://www.tindie.com/products/tag/sensors/?page=3&price=u50&sort_by=popularity","2026-07-24"
"6370efef29100406","12V 24V Infrared PIR Motion Sensor Switch Controll","https://www.tindie.com/products/mmm999/12v-24v-infrared-pir-motion-sensor-switch-controll","已逐页阅读","通用PIR灯带开关模块","低价灯带与人体感应开关转售","依靠通用模块采购、跨境零售和大量SKU销售，竞争以价格和物流为主","不进入；只有做成带外壳、认证、电源和安装服务的垂直照明产品才可能成立","12至24V直流PIR人体感应开关板，用于控制LED灯带","橱柜灯、楼梯灯和DIY灯带用户","无需主控程序即可按人体移动自动开关低压灯带","12.00","售价12美元并有1条产品评价；MMM999约704单，店铺平均产品3.80、文档3.30；评价指出输出不是干接点，可能必须外接继电器","极高；PIR开关、微波开关和成品感应灯供应充分","依赖通用PIR器件、外部12/24V电源和灯带，模块本身不是完整消费产品","低；但负载电流、MOSFET温升和误接需要验证","中高；输出类型、接线、电源和负载兼容容易造成误用，页面文档不足","中；接入照明系统时涉及电源、EMC和安装安全","未见开源硬件文件或商业复制许可，属于通用商品","基本匹配但需视觉抽检：来源为该商品页实物图；不能仅凭自动标记最终通过","淘汰","它解决真实但高度通用的灯带感应需求，产品仍是裸板且接线说明不充分；价格、功能和供应都没有空白，不适合作为新商业机会","https://www.tindie.com/products/mmm999/12v-24v-infrared-pir-motion-sensor-switch-controll/|https://www.tindie.com/stores/mmm999/reviews/|https://www.tindie.com/browse/lights-and-displays/?page=4","2026-07-24"
"66f611f272d32902","10Pcs Hdx 2 Sw 420 Vibration Sensor","https://www.tindie.com/products/blinkingsilver/10pcs-hdx-2-sw-420-vibration-sensor","已逐页阅读","标准振动开关器件转售","廉价电子元器件包转售","批量采购标准元器件后按小包装零售，核心是库存和物流而非硬件设计","不进入硬件产品机会库","10只SW-420/HDX-2常闭机械振动开关","电子爱好者、报警器和简单振动检测项目用户","低成本感知震动或冲击","1.00","10只售价1美元且已缺货；EASYLIFE约167单、4条评价，但该SKU没有持续订单或评价证据","极高；SW-420是标准低价器件，可从全球分销和电商渠道采购","完全依赖标准器件供应，没有自研设计","无需制造；存在器件灵敏度离散、接点抖动和批次质量风险","中；用户容易把机械振动开关误当可定量测量传感器","低","不适用开源许可；属于标准器件转售","不匹配/高度可疑：旧记录与PIR开关使用完全相同的图片URL，而SW-420应是小型圆柱振动器件，必须删除并重新取图","淘汰","这是1美元标准元器件包，不是产品，也不存在可复制的设计或商业壁垒；旧英雄图还与另一商品重复错配","https://www.tindie.com/products/blinkingsilver/10pcs-hdx-2-sw-420-vibration-sensor/|https://www.tindie.com/stores/blinkingsilver/reviews/","2026-07-24"
"1aaa7468cb13a0a7","116 Inch Touchscreen 1920X1080 Ips Monitor","https://www.tindie.com/products/elecrow/116-inch-touchscreen-1920x1080-ips-monitor","已逐页阅读","成品通用触控显示器","树莓派/Jetson便携显示器成熟市场","依赖屏幕供应链、外壳、控制板、渠道和品牌销售标准化成品","不作为开源硬件机会；除非掌握专用面板供应、工业认证或强垂直整机集成","11.6英寸1920×1080、10点触控、兼容Raspberry Pi和Jetson的HDMI显示器","SBC开发者、便携副屏和嵌入式显示用户","给树莓派、Jetson和电脑提供便携全高清触控显示","132.90","商品售价132.90美元；Tindie已有52Pi 10.1英寸触控屏69.98美元、7英寸48.99美元以及大量DisplayScreen产品；Elecrow自身还销售175.90美元带键盘触控板的CrowView Note","极高；便携屏和树莓派触控显示器已有大量成熟品牌与低价供应","核心价值高度依赖LCD面板、触控IC、HDMI控制板和外壳供应链，不是可从开源资料复制的项目","中高；面板采购、坏点、色差、触控、结构和电源兼容都需要供应链与品控","高；屏幕破损、坏点、线缆、驱动、触控兼容和退换货成本高","中高；成品电源、EMC、材料和跨境认证要求明显","页面未提供允许第三方复制的开源硬件资料；开放硬件服务商身份不等于该显示器开源","不匹配：旧英雄图文件名为mini_pc_case_for_RPI_5，展示的是树莓派5迷你机箱而非11.6英寸显示器","淘汰","它是标准化成品显示器而非开源项目，市场与供应链高度成熟，小团队没有面板采购和售后优势；旧英雄图也明显错配","https://www.tindie.com/products/elecrow/116-inch-touchscreen-1920x1080-ips-monitor/|https://www.tindie.com/products/52pi/52pi-101-inch-lcd-screen-for-raspberry-pi/|https://www.tindie.com/products/52pi/52pi-7-inch-lcd-screen-for-raspberry-pi-2/|https://www.tindie.com/products/elecrow/crowview-note-all-in-one-portable-monitor/","2026-07-24"
"e4ca3ed6af1bc175","12 Diameter Dungeon Terrain Kit","https://www.tindie.com/products/terraintronics/12-diameter-dungeon-terrain-kit","已逐页阅读","桌游地形电子配件套件","桌游与微缩地形电子配件产品族","通过灯光、磁触发、地形控制器、套件和教学支持服务垂直爱好者社群","只作为垂直产品族案例；不把每个低价套件重复计算为独立商业机会","用于12英寸圆形Dungeon Terrain场景的电子/硬件套件","D&D、战棋、微缩地形制作者和桌游活动组织者","让桌游地形更容易加入照明或互动效果","13.95","Tindie售价13.95美元；Terrain-Tronics在Tindie约409单、2条五星评价，并在Etsy累计约625单、117条评价，形成15款左右桌游地形电子产品族","直接电子配件竞争较低，但桌游地形总体供给丰富，目标市场小且兴趣驱动","依赖用户自制/购买的桌游地形及卖家生态，但不是树莓派教程","低至中；硬件简单，难点在易安装、尺寸兼容、说明和社群内容","中；不同地形结构、材料、灯光布置和用户手工能力会产生支持","低；低压爱好电子配件","未发现允许第三方商业复制的明确开源许可","基本匹配：来源图为该商品页的地形套件实物；最终Excel嵌图仍需视觉抽检","市场参考案例","这是有真实订单和跨平台销售的垂直产品族，但单SKU客单低、总市场小，且与已复核的Wiston传感器属于同一机会族；应合并为一个案例而不是虚增机会数量","https://www.tindie.com/products/terraintronics/12-diameter-dungeon-terrain-kit/|https://www.tindie.com/stores/terraintronics/|https://www.etsy.com/shop/terraintronics","2026-07-24"
"5a2d690b4d180979","10 Mhz Function Signal Generator Diy Kit","https://www.tindie.com/products/untemed/10-mhz-function-signal-generator-diy-kit","已逐页阅读","开源测试仪器DIY套件","低成本开源实验室仪器与教育套件","通过可维修的开源设计、套件体验、教学内容和小批量成品服务电子学习者","可作为测试仪器产品化案例；若要进入需做成校准、外壳、文档、课程与售后完整的产品，而非照搬旧套件","最高约20MHz、主要在10MHz内使用的DDS函数信号发生器DIY套件","电子学习者、模拟电路爱好者和预算有限的实验室用户","以较低成本获得便携、可维修且容易理解的信号源","59.00","售价59美元，卖家PulsarLabs自2018年以来约24单、1条五星评价；评价认为10MHz内失真较低、做工优于无牌低价仪器且完全开源，但店铺目前暂停且销售规模很小","高；低价DDS模块、成品函数发生器和二手仪器供应丰富，专业性能竞争更强","依赖通用DDS/MCU/模拟器件和外部控制器接口，但产品本身可独立工作","中高；频率精度、波形失真、输出幅度、保护、校准和外壳决定是否能成为仪器","中高；用户会对带宽、失真、负载、固件和装配故障提出技术支持","低至中；低压桌面仪器，但成品电源和EMC仍需考虑","页面与评价宣称完全开源，但本轮未找到具体仓库与许可证文本，商业复用前必须核验","基本匹配：来源图文件名及页面均指向该函数发生器套件实物；最终嵌图仍需抽检","市场参考案例","它比普通模块更接近独立产品，也有真实正面评价，但销量证据弱、店铺暂停、市场成熟且仪器性能/校准门槛高；可借鉴开源可维修和教学定位，不能直接列为严格候选","https://www.tindie.com/products/untemed/10-mhz-function-signal-generator-diy-kit/|https://www.tindie.com/stores/untemed/|https://www.tindie.com/search/?p=9&price=50-100&q=kits","2026-07-24"
"4e981f45bd5568e5","128Value 0402 Resistor Kit 1 100Pcs R04E24 100","https://www.tindie.com/products/analogtechnolog/128value-0402-resistor-kit-1-100pcs-r04e24-100","已逐页阅读","专业元器件分类套装","实验室与工程元器件库存套装","通过精确分档、包装、库存完整度和面向实验室的专业供应服务赚取溢价","不作为开源硬件产品；可在供应链研究中参考SKU组织和专业客户定位","0402封装、1%精度、128种E24阻值、每种100只的贴片电阻套装","研发实验室、大学、维修部门和需要完整阻值库存的硬件工程师","一次性建立覆盖常用阻值的0402样品库存，减少零散采购和缺料","99.00","售价99美元；卖家同时提供50/100/200/500只版本以及0603和更多精度系列，形成79至1199美元的元器件套装产品族；卖家宣称25年以上模拟电路经验和实验室客户，但页面未显示该SKU订单/评价","高；电阻样品册、套装和授权分销库存成熟，差异主要在包装、真伪、阻值覆盖和交付","完全依赖标准电阻供应链，没有独立硬件设计","无需产品制造，但库存准确、标签、混料、潮湿和可追溯性要求高","中；错标、缺值、数量误差或器件来源问题会导致退换","低至中；涉及元件来源、RoHS和标签真实性","不适用开源许可；属于标准元器件供应与包装","基本匹配：来源图为电阻套装/包装，标题和卖家产品族一致；最终嵌图仍需抽检","淘汰","它可能是一门专业库存生意，但不是可制造、可改进的开源硬件产品；价值来自采购、分装和渠道，不应混入硬件商业机会候选","https://www.tindie.com/products/analogtechnolog/128value-0402-resistor-kit-1-100pcs-r04e24-100|https://www.tindie.com/stores/analogtechnolog/|https://www.tindie.com/browse/supplies-components/?ships_to=DE&sort_by=date_first_published","2026-07-24"
"7e011ff30921cd97","10W Rgb Flood Light Kit Dumb Rgb","https://www.tindie.com/products/robg/10w-rgb-flood-light-kit-dumb-rgb","已逐页阅读","RGB大功率灯驱动DIY套件","PixelFlood大功率RGB灯驱动产品族","用10W至100W、普通RGB与WS2811版本构成系列，并通过DIY套件和组装板服务灯光项目","只保留为历史产品族案例；当前应做成完整灯具、防水结构和控制生态才可能竞争","不含LED的10W普通RGB大功率LED驱动板套件","舞台灯光、建筑照明、节日灯效和DIY像素灯用户","低成本驱动高功率RGB LED制作泛光灯","6.50","售价6.50美元并有2条评价，但自2016年10月起售罄；卖家RobG约1637单、141条评价，并形成10W/20W/50W/100W及WS2811版本的PixelFlood产品族","高；RGB泛光灯、地址灯控和成品防水灯具已非常成熟，当前裸板方案老旧","依赖外部大功率LED、散热器、恒流/电源、外壳和上游控制器","中；高功率LED电流、热设计和PCB铜厚需要验证","中高；用户必须自行选LED、散热、电源和接线，容易因过热或误配损坏","中高；若做成灯具涉及EMC、电气安全、防水和高温","未核验明确开源商业许可","基本匹配：来源图应为该10W RGB驱动套件PCB；最终嵌图仍需抽检","市场参考案例","卖家历史订单和完整功率/协议产品族值得参考，但该SKU已停产近十年，裸板照明方案也被成品灯和成熟像素生态取代；不能作为当前严格机会","https://www.tindie.com/products/robg/10w-rgb-flood-light-kit-dumb-rgb/|https://www.tindie.com/stores/robg/|https://www.tindie.com/products/robg/pixelflood-10w-rgb-flood-light-kit-ws2811-pixel/|https://www.tindie.com/products/robg/pixelflood-20w-rgb-flood-light-ws2811-pixel/","2026-07-24"
"f2725bbb0f78210f","10 Values 66Mm Tact Switch Kit Gy18608","https://www.tindie.com/products/icstation/10-values-66mm-tact-switch-kit-gy18608","已逐页阅读","标准按键元器件套装/转售商品","廉价电子元器件包转售","批量采购标准器件，按多规格小包装零售，依赖SKU数量和渠道","不进入硬件产品机会库","180只、10种高度/类型的6×6毫米轻触或自锁按键套装","电子爱好者、维修人员和原型开发者","一次购买多种常用轻触开关用于维修和原型","6.79","售价6.79美元且卖家暂停；ICStation约1930单但经营约760款商品，同页还销售大量电阻、电位器和通用组件套装","极高；轻触开关套装在元器件分销和电商渠道大量存在","完全依赖标准开关供应，没有设计或系统价值","无需制造；风险是规格混装、触点质量和寿命差异","中；尺寸、高度、自锁/瞬时类型和触点寿命容易产生误购","低","不适用开源许可；标准器件转售","基本匹配：来源为ICStation GY18608商品图，产品编号和按键套装一致；最终嵌图仍需抽检","淘汰","这是不到7美元的标准按键包，不是独立硬件产品，市场完全成熟且没有任何可防御商业价值","https://www.tindie.com/products/icstation/10-values-66mm-tact-switch-kit-gy18608/|https://www.tindie.com/stores/icstation/items/?page=8|https://www.tindie.com/stores/icstation/reviews/","2026-07-24"
"be24e59532136f35","121 Backplane Designed For Rc2014 Systems","https://www.tindie.com/products/dinotron/121-backplane-designed-for-rc2014-systems","已逐页阅读","复古计算机总线背板","RC2014/RCBus复古计算机模块生态","围绕Z80/RC2014/MSX兼容系统销售背板、CPU、视频、音频、存储、键盘和扩展模块","作为成熟复古计算机产品族案例；新进入者必须有独特兼容性、整机体验或稀缺扩展，不能只复制背板","带80条总线、12个模块槽加1个电源/特殊槽的RC2014/MSX配置背板","RC2014、RCBus和复古Z80/MSX计算机爱好者","为多模块复古计算机提供足够插槽、供电和MSX扩展配置","58.90","售价58.90美元且仅余1件；Dino Boards自2021年以来约265单、12至13条评价并经营19款RC2014/MSX模块；Tindie RC2014标签约45款产品，背板直接替代品价格约9至66美元","中高；市场小众但RC2014背板和模块供应商较多，生态已成熟","强依赖RC2014/RCBus标准和用户已有模块，不能独立使用","低至中；大尺寸PCB、连接器一致性、供电压降和总线信号完整性需要验证","中；不同40/80针总线、模块组合、供电和兼容性会产生支持","低；低压爱好电子系统","需核验RC2014商标、总线设计及该板具体开源许可；商品页未给出可复制许可","基本匹配：来源图为12+1槽RC2014背板实物，标题与商品页一致；最终嵌图仍需抽检","市场参考案例","这是成熟小众生态中的真实产品，有产品族和订单证据，但背板本身依赖现有标准、直接竞品多且市场有限；商业机会在完整复古计算机生态，不在复制单块背板","https://www.tindie.com/products/dinotron/121-backplane-designed-for-rc2014-systems/|https://www.tindie.com/stores/dinotron/|https://www.tindie.com/products/tag/rc2014/|https://www.tindie.com/search/diy-electronics/?p=-1&q=rc2014+backplane","2026-07-24"
