project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"d25b1e6f5f2d80a7","10Pcs/Pack Free Shipping SMA Head Extension Cable","https://www.tindie.com/products/nicerf/10pcspack-free-shipping-sma-head-extension-cable","已逐页阅读（商品页索引缓存与卖家目录）","通用射频连接线材包","射频连接器、天线与跳线渠道产品族","价值来自大目录、低价批量和跨境渠道，不来自设计","淘汰单品","10条母SMA头射频延长线","无线模块开发者、天线安装者与维修人员","低成本延长或转接SMA天线连接","4.95","售价4.95美元；NiceRF约1564单、35条评价、约85款无线模块与配件","极高；标准SMA跳线供给充分","依赖标准同轴线、SMA接头和低成本装配","低；需抽检阻抗、压接、驻波和长度","中；接触不良、线损、接头公母和长度误差","低；无源低压配件","非原创标准线材，无开放设计资产","大概率相关但未视觉抽检；需确认公母、长度和10件数量","淘汰","标准化、低价、无差异；商业价值属于卖家供应链与目录能力","https://www.tindie.com/products/nicerf/10pcspack-free-shipping-sma-head-extension-cable/|https://www.tindie.com/stores/nicerf/items/?category=supplies","2026-07-25"
"8e5fce39bf679caf","10W LED Light 24V DC Round 3.5K Color Temp","https://www.tindie.com/products/espelectronics/10w-led-light-24v-dc-round-35k-color-temp","已复核（商品索引、分类页与卖家目录；正文不完整）","24V圆形暖白LED灯具/模组","小批量定制LED照明产品族","需靠结构、散热、光学、显色、认证和定制形成产品","淘汰当前SKU；补齐性能和客户证据后再评","24V、10W、圆形、约3500K的LED灯或灯板","设备照明、橱柜和定制灯具集成者","需要低压圆形暖白局部照明","25.00","售价25美元；卖家仅展示该SKU，未见订单、评价、光通量、CRI或寿命","极高；同类24V灯板和灯具成熟","依赖LED、驱动/24V电源、散热和光学件","中；需验证结温、光衰、色容差与驱动兼容","中高；亮度、色差、过热、尺寸与电源兼容","中高；灯具涉及安规、EMC、阻燃和能效","卖家称自有技术，但无开放BOM或结构许可","大概率相关但未视觉抽检；IMG_3064不足以核对结构","淘汰","接近成品但缺光学、热学、寿命、认证和销量证据，无法证明市场空白","https://www.tindie.com/products/espelectronics/10w-led-light-24v-dc-round-35k-color-temp|https://www.tindie.com/stores/espelectronics/|https://www.tindie.com/browse/displays-and-lights/?page=8&sort_by=price_low&stock=yes","2026-07-25"
"5814527df6b529a8","12-Bit/8-Channel ADC Shield + EEPROM for Arduino","https://www.tindie.com/products/cburgess129/12-bit8-channel-adc-shield-eeprom-for-arduino","已逐页阅读（商品页索引缓存与卖家目录）","通用Arduino ADC扩展板","Arduino/Raspberry Pi/Teensy数据采集扩展板产品族","价值来自多平台长尾目录、现货和文档","淘汰单品","MCP3208八通道12位SPI ADC Shield，附256Kb EEPROM","Arduino开发者、教学实验和低速采集用户","模拟输入数量或分辨率不足","27.50","售价27.50美元、余3件；卖家约1285单、28评、约79款扩展板","极高；MCP3208/ADS1115等板卡成熟","强依赖Arduino Shield生态与外部传感器","低至中；需参考电压、噪声、保护和校准","中；库、接线、参考电压、量程和噪声支持","低；低压开发板","未见允许复制销售的开放硬件许可","基本相关但需核对丝印、EEPROM和版本","淘汰","典型成熟生态扩展板；卖家优势是79款目录与支持，不是新机会","https://www.tindie.com/products/cburgess129/12-bit8-channel-adc-shield-eeprom-for-arduino/|https://www.tindie.com/stores/cburgess129/items/","2026-07-25"
"09baa4b9b911e67f","12 CH Programmable IR Remote Relay Card","https://www.tindie.com/products/iknowvator/12-ch-programmable-ir-remote-relay-card","已逐页阅读（商品页索引、卖家目录与同系列）","红外遥控多路继电器裸板","4/8/12路红外继电器与USB DAQ产品族","通道数和定制形成小目录，但缺外壳、认证和生态","淘汰裸板；真实楼控需完整设备化","可学习RC5红外码的12路继电器控制板","家庭自动化爱好者、展陈道具与低成本设备控制用户","用普通红外遥控器切换多路负载","27.95","售价27.95美元、卖家暂停；自2015年仅约10单，未见该SKU评价","高；IR/RF/Wi-Fi多路继电器板成熟","依赖遥控器、裸板安装、继电器负载和自行布线","中；需验证隔离、爬电、端子和负载寿命","高；学习码、误触发、浪涌和接线问题","高；控制市电涉及安规、阻燃和EMC","未见开放硬件许可或可复用固件","大概率相关但需确认12路数量、型号与端子布局","淘汰","成熟裸板控制器，销量弱、卖家暂停且市电安全/售后风险高","https://www.tindie.com/products/iknowvator/12-ch-programmable-ir-remote-relay-card/|https://www.tindie.com/stores/iknowvator/|https://www.tindie.com/products/iknowvator/8-ch-programmable-ir-remote-relay-card/","2026-07-25"
"44dcb1b47217cd62","1.22 inch 240x240 Round 150 nits TFT","https://www.tindie.com/products/DisplayModule/122-240-x-240-round-150-nits-tft","已逐页阅读（商品页索引、卖家目录与同类列表）","标准圆形TFT显示组件","圆形TFT/AMOLED与触控显示供应目录","价值来自面板渠道、规格目录、文档与小批量供货","淘汰SKU；仅作供应链参考","1.22英寸240×240、150nit、SPI圆形TFT","可穿戴、仪表盘和旋钮屏开发者","需要小尺寸圆形彩屏","29.99","售价29.99美元、余10件；卖家约2单但有多种圆屏，同类8.99至59.99美元","极高；规格和替代品很多，150nit无优势","依赖面板、驱动IC、FPC和长期供货","中高；坏点、亮度、时序、FPC和批次一致性","高；驱动、机械尺寸、色差和停产换料","中；组件本身有限，终端要求上升","供应组件，无开放面板设计许可","高风险错配：商品是TFT，图片名为DM-OLED12-667show.jpg","淘汰","成熟上游组件，竞争密集；卖家低订单和图片疑点进一步削弱可信度","https://www.tindie.com/products/DisplayModule/122-240-x-240-round-150-nits-tft/|https://www.tindie.com/stores/DisplayModule/|https://www.tindie.com/browse/lights-and-displays/?page=4&sort_by=price_low&stock=yes","2026-07-25"
"4481b7bd7c3cba2a","0.32 inch Micro OLEDoS Display 800x600 2000nits 120Hz","https://www.tindie.com/products/oled-module/032-micro-oledos-display-800x600-2000nits-120hz","已逐页阅读（商品页索引缓存与完整目录）","高亮微型OLEDoS显示模组","微型OLED、驱动板与近眼光学供应产品族","壁垒在面板渠道、分档、控制板、检测和技术支持","产品族市场参考；不重复计规格","0.32英寸800×600、120Hz、2000nit微型OLEDoS","AR/VR、夜视、取景器和仪器团队","极小体积获得高PPI高亮视频显示","256.00","售价256美元、余10件；卖家约24单、约52款，另有约90美元相近0.32英寸规格","中高；专业但规格高度重复","依赖上游面板、驱动、排线和分档","很高；亮度、坏点、均匀性、热、ESD和寿命","高；接口、控制板、光学适配和坏点政策","中；进入头戴/夜视/医疗后上升","闭源供应品，无开放BOM或驱动源码","无合格英雄图；不得用相邻规格替代","市场参考案例","高客单专业用途真实，但只是既有供应产品族的一个规格","https://www.tindie.com/products/oled-module/032-micro-oledos-display-800x600-2000nits-120hz/|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"8012c218b6a08cc4","0.5 inch Micro OLEDoS Display 1280x960 1000nits 120Hz","https://www.tindie.com/products/oled-module/05-micro-oledos-display-1280960-1000nits-120hz","已逐页阅读（商品页索引缓存与完整目录）","0.5英寸近眼微型OLED显示模组","微型OLED、驱动板与近眼光学供应产品族","靠多规格面板、控制板、光学配件和技术支持","产品族市场参考；不重复计规格","0.5英寸1280×960、120Hz、1000nit屏与控制板","AR/VR、取景器、显微仪器和头戴研发团队","快速获得小体积高PPI显示和视频控制板","255.00","售价255美元；卖家约24单、52款，并有1600×1200、1024×768等相邻规格","中高；同类规格组合密集","依赖面板、控制板、排线和光学件","高；坏点、亮度、刷新、热和时序","高；接口、光学、坏点和装调支持","中；终端可能涉及眼安全与EMC","闭源供应品，无开放设计许可","明确错配：图片名为BIRD-BATH-LENSES...，不能代表裸屏SKU","市场参考案例","专业需求存在，但只是产品族规格；旧版还错用BirdBath光学图","https://www.tindie.com/products/oled-module/05-micro-oledos-display-1280960-1000nits-120hz/|https://www.tindie.com/stores/oled-module/items/?page=2","2026-07-25"
"e8b3c94e35e7612b","0.68 inch Micro OLED Display 1920x1200 3000nits for AR","https://www.tindie.com/products/oled-modules/068micro-oled-display-1920x1200-3000nits-for-ar","已逐页阅读（商品页索引缓存与完整目录）","0.68英寸高亮微型OLED加控制板","微型OLED、驱动板与近眼光学供应产品族","壁垒在面板渠道、控制板、检测、装调和支持","高亮微显示市场参考；不重复计规格","0.68英寸1920×1200、3000nit、LVDS屏配HDMI板","AR眼镜、工业取景器、夜视与近眼研发团队","高亮FHD级微显示并缩短控制板开发","435.00","售价435美元；卖家约72单、66款，覆盖裸屏、双目板、BirdBath和Pancake","中高；专业但可替代规格众多","依赖上游面板、LVDS/HDMI板和长期供货","很高；亮度、寿命、烧屏、均匀性、坏点与热","高；驱动、EDID、光学、坏点和批次支持","中高；头戴/夜视/医疗用途责任上升","闭源供应模组，无开放BOM","无合格英雄图；不得用其他尺寸或光学模组替代","市场参考案例","客单与用途明确，但属于成熟供应产品族，非可直接复制的开放设计","https://www.tindie.com/products/oled-modules/068micro-oled-display-1920x1200-3000nits-for-ar/|https://www.tindie.com/stores/oled-modules/items/","2026-07-25"
"5bcc33c591816af6","'06xx' Replacement","https://www.tindie.com/products/caiusarcade/06xx-replacement","已逐页阅读（商品页索引缓存与替代件目录）","老街机定制IC替代件","老街机停产芯片与专用逻辑替代件产品族","靠长尾SKU、原板测试、逆向兼容数据库与口碑获利","产品族市场参考；不重复计SKU","Namco街机PCB的06xx定制IC替代件","街机维修商、博物馆、运营商和收藏者","停产06xx导致原板无法维修","44.99","售价44.99美元、余5件；同店大量00xx/02xx/04xx/05xx/07xx/08xx替代件","直接竞争低但总市场极小","依赖具体Namco PCB、逆向行为和故障板样本","中高；等价功能、时序和多板型兼容测试重","高；误诊、安装、原板其他故障和型号差异","低至中；逆向、商标与维修责任边界","未见允许复制销售的开放许可","无法确认精确型号：与07xx共用图片URL和文件名","市场参考案例","验证长尾维修产品族，但单SKU极小且依赖测试/IP/售后积累","https://www.tindie.com/products/caiusarcade/06xx-replacement/|https://www.tindie.com/browse/diy-electronics/?page=8&price=u50&sort_by=price_high&stock=yes|https://www.tindie.com/stores/caiusarcade/","2026-07-25"
"d0394981e41c6b07","0.72 FHD MicroOLED Lensgroup Optics HMD VR Headset","https://www.tindie.com/products/oled-modules/072fhd-microoled-lensgroup-optics-hmd-vr-headset","已复核（精确页未完整返回；以URL、目录、0.72屏和光学件交叉核验）","0.72英寸微型OLED加HMD近眼光学模组","微型OLED、驱动板与近眼光学供应产品族","靠屏幕、驱动、镜组、结构和小批量装调支持","产品族市场参考；精确页补齐前不升级","URL表明为0.72英寸FHD微OLED、镜组与HMD/VR光学组合；FOV、亮度、接口和售价未取到","VR/HMD原型团队、工业头显与研究机构","快速获得屏幕与镜组匹配，减少光学开发与装调","","卖家约72单、66款；0.72英寸1920×1200裸屏145美元、0.71镜片79美元、BirdBath模组574美元；本SKU价格和订单未知","中高；完整模组较少但已有BirdBath/Pancake/双目等方案","依赖微OLED、控制板、镜组、结构和装调","很高；FOV、眼盒、焦距、畸变、MTF、灰尘和公差","很高；佩戴、屈光、接口、坏点、对准与整机适配","中高；涉及EMC、材料、眼安全和终端责任","闭源供应模组，无开放光学/结构许可","无合格英雄图；不得用裸屏、相邻镜片或BirdBath替代","市场参考案例","可能更完整，但缺精确页面、价格、参数、销量和开放资料，只能归入既有产品族","https://www.tindie.com/products/oled-modules/072fhd-microoled-lensgroup-optics-hmd-vr-headset|https://www.tindie.com/stores/oled-modules/items/|https://www.tindie.com/products/oled-modules/072micro-oledos-display-1920x1200-2000nits-mipi/|https://www.tindie.com/products/oled-modules/optical-lens-for-the-ar-vr-display/","2026-07-25"
