"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"0bc8aad22bd8b166","100Watt Dummy Load 20Xresistors Array","https://www.tindie.com/products/jasonkits_qrp/100watt-dummy-load-20xresistors-array/","已逐页阅读（商品正文、交付内容、缺货时间与卖家目录）","PCB裸板式业余无线电假负载套件","QRP射频测试附件与业余无线电PCB套件产品族","靠大量低价PCB、收发机、功率计和改装服务形成目录与复购，而非单个假负载板","淘汰该PCB套件；仅保留QRP测试附件产品族启发","两块PCB，用20只1kΩ/3W无感电阻并联构成50Ω、油浸散热的标称100W HF假负载；不含电阻、容器和连接器","业余无线电爱好者和QRP设备维修者","调谐或维修发射机时需要廉价50Ω射频负载","9.99","商品自2025-07-05起缺货；卖家约439单、8条评价并经营60余款QRP收发机、滤波器和测试附件，但该SKU未显示独立订单或评价","高；油浸并联电阻假负载是长期公开的DIY方案，Tindie和QRP商店有大量20W至100W套件与成品","依赖用户另购20只无感电阻、油罐、油、连接器并自行装配","低；PCB简单，但100W额定值取决于电阻、油量、容器和工作周期","中高；用户容易把短时峰值能力误解为连续100W，装配与油浸方式影响性能","低至中；低压附件，但高功率发热、油液和射频泄漏需要说明","未提供开放硬件设计文件或可商业复用许可","商品页有主图且文件名为通用IMG编号；未完成PCB丝印和两板结构的视觉核对，不能沿用自动核验结论","淘汰","只是低价PCB套件和成熟DIY方案，交付不完整、无独立壁垒且已缺货；卖家目录有参考价值，但该SKU不具备商业机会","https://www.tindie.com/products/jasonkits_qrp/100watt-dummy-load-20xresistors-array/|https://www.tindie.com/stores/jasonkits_qrp/items/|https://shop.qrp-labs.com/dummy","2026-07-25"
"7864013c65ca2e76","10Pcs Inductance Power Inductor","https://www.tindie.com/products/blinkingsilver/10pcs-inductance-power-inductor/","已交叉核验（商品缓存、售价、缺货状态与卖家评价页；原页再次抓取缓存失败）","标准功率电感元件包","低价电子元件分装与杂货渠道产品族","靠中国供应链采购、少量分装和混合商品目录销售，不靠原创硬件设计","淘汰单品","10只不同可选规格的功率电感元件包","电子维修者、学生和小批量原型开发者","少量采购功率电感用于维修和原型","2.00","商品售价2美元且缺货；卖家约167单，评价集中在USB测试仪和舵机等其他商品，未见该电感包独立销量证据","极高；功率电感是标准元件，分销商、淘宝、速卖通和元件平台供应充分","完全依赖上游元件供应商、料号真实性和分装物流","低；仅分装，但感值、电流、封装和数量混料风险高","中；标题未明确具体感值、电流与封装，容易产生选型争议","低","标准元件转售，无原创设计或开放许可资产","自动图文件名仅为IMG_1112-2，未能视觉确认感值、封装与10件数量；不得标为人工核验通过","淘汰","2美元标准元件包，参数和市场证据薄弱，商业价值仅来自采购分装，完全没有可防御的产品壁垒","https://www.tindie.com/products/blinkingsilver/10pcs-inductance-power-inductor/|https://www.tindie.com/stores/blinkingsilver/reviews/","2026-07-25"
"ebb7ee4b12eeacf7","10V 142En3 10 142E 3 Microcircuits Dip 8 4Pcs","https://www.tindie.com/products/electronics16/10v-142en3-10-142e-3-microcircuits-dip-8-4pcs/","已逐页阅读（商品正文、库存、退货政策与卖家目录）","苏联老库存线性稳压芯片转售","复古苏联电子元器件与工业库存转售产品族","靠稀缺旧库存、型号目录和收藏/维修客户渠道销售，无法持续制造","淘汰该库存SKU；仅作为复古器件渠道案例","4只约1980至1990年代生产的10V固定输出DIP-8线性稳压芯片","复古设备维修者、苏联电子收藏者和替换原型号的工业维护人员","维修旧设备时需要难以采购的原型号稳压器","54.00","商品仅余1份，售价54美元；页面明确不退不换。卖家目录约97种苏联电机、继电器、二极管和微电路，属于旧库存渠道","单型号供给稀少，但需求极小；竞争来自NOS库存商、替代电路和现代稳压器改造","完全依赖不可补充的旧库存、真伪和老化状态","不制造；需要真伪、封装、静态参数和老化筛选","高；40年前器件性能、存储条件和替换兼容性难保证，页面还拒绝退货","低；但跨境旧电子器件和含铅材料可能有环保要求","原厂旧器件转售，无开放设计和持续生产权","商品页有实物照片且文件名为拍摄日期；大概率为旧芯片实拍，但仍需放大核对封装丝印是否准确对应10V 142EN3","淘汰","真实长尾维修需求存在，但这是不可持续的NOS库存套利，不是开源硬件或可复制制造机会","https://www.tindie.com/products/electronics16/10v-142en3-10-142e-3-microcircuits-dip-8-4pcs/|https://www.tindie.com/stores/electronics16/items/","2026-07-25"
"85ac5e22f3c0988f","12 Ch 1012 Bit Adc Hat For Raspberry Pi V30","https://www.tindie.com/products/cburgess129/12-ch-1012-bit-adc-hat-for-raspberry-pi-v30/","已逐页阅读（商品正文、规格、装配选项、卖家数据与用户评价）","树莓派通用ADC HAT","Raspberry Pi数据采集与扩展板产品族","靠多代HAT、Teensy扩展板、装配选项、文档和长期店铺信誉销售","淘汰该通用HAT；可参考完整扩展板目录与装配服务","MCP3008八路10位SPI ADC加ADS1015四路12位I2C ADC的12通道树莓派HAT，带端子、保险丝和可选EEPROM/装配","树莓派原型开发者、实验室自动化和低速传感采集用户","树莓派缺少原生模拟输入，需要接入多路0至约6V传感器","29.95","仅余4件；卖家约1265至1283单、28条评价并有多代ADC HAT。用户评价确认硬件设计尚可，但新Raspberry Pi OS与Python库造成明显使用障碍","极高；MCP3008、ADS1015/ADS1115 HAT与模块由Adafruit、Waveshare及大量供应商成熟供应","强依赖树莓派40针生态、Linux/Python库以及两颗通用ADC芯片","低至中；常规SMT和端子装配，主要风险是版本管理和输入保护","中高；系统版本、Python库、SPI/I2C配置、量程和误接会产生大量支持成本","低；作为低压开发板，但终端采集系统另有要求","页面引用Adafruit教程但未提供自身Gerber、BOM或商业复用许可","自动图片拍摄日期为2019年，而商品为重新设计的v3.0；存在旧版板卡图片冒充新版的版本错配风险，必须核对丝印和布局","淘汰","需求真实且卖家有销量，但它仍是成熟树莓派HAT和常见芯片组合；生态拥挤、系统支持成本高，不是可防御的新机会","https://www.tindie.com/products/cburgess129/12-ch-1012-bit-adc-hat-for-raspberry-pi-v30/|https://www.tindie.com/stores/cburgess129/|https://www.tindie.com/products/cburgess129/12-channel-12-bit-adc-hat-for-raspberry-pi/","2026-07-25"
"40dae1b57b195d36","128 240 X 240 Round Tft With Ctp 2","https://www.tindie.com/products/DisplayModule/128-240-x-240-round-tft-with-ctp-2/","已交叉核验（商品索引、同规格重复页、卖家目录与图片文件名；原页被反爬拦截）","标准1.28英寸圆形触控TFT组件","圆形TFT、AMOLED与触控显示供应产品族","靠大量尺寸、接口、亮度和触控规格目录及进口渠道销售，不靠单一屏幕设计","淘汰该标准组件；合并到显示供应产品族","1.28英寸240×240圆形TFT，SPI接口并带电容触摸；索引中同规格页面分别出现19.99和29.99美元","智能仪表、穿戴设备和嵌入式界面开发团队","快速采购小尺寸圆形彩屏和触控组件","29.99","商品索引显示库存10件；卖家自2016年以来仅约2单，却列出大量0.99至5英寸圆形TFT/AMOLED规格；同标题另一个页面价格为19.99美元","极高；GC9A01等240×240圆屏模块在全球电商和显示供应商中大量存在","完全依赖上游面板、触控控制器、排线和显示驱动供应","中；面板坏点、触控贴合、排线和批次一致性需来料检测","中高；接口、驱动IC、触控控制器和机械尺寸不一致容易导致兼容问题","低至中；裸显示组件有限，终端产品另行认证","标准供应组件，未提供可商业复用设计许可","明确高风险错配：图片文件名为DM-OLED12-667show，标题却是TFT CTP；同一图片URL还被后续0.99英寸圆屏记录复用，不能作为本产品主图","淘汰","标准显示组件、卖家销售验证极弱、同规格价格和页面重复，且英雄图明显不可信；不存在单品商业空白","https://www.tindie.com/products/DisplayModule/128-240-x-240-round-tft-with-ctp-2/|https://www.tindie.com/products/DisplayModule/128-240-x-240-round-tft-with-ctp/|https://www.tindie.com/stores/DisplayModule/","2026-07-25"
"bd96730d7f40ca72","032 Inch Micro Oled Display Ilens For Smartphone","https://www.tindie.com/products/oled-modules/032-inch-micro-oled-display-ilens-for-smartphone/","已交叉核验（原Tindie页返回502；依据精确产品名、图片文件名、卖家目录与现行OEM页面）","0.32英寸微OLED磁吸式单目智能眼镜成品/OEM方案","微型OLED、驱动板、光学与智能眼镜整机供应产品族","靠上游微OLED、光机、整机ODM、低MOQ和多渠道转售形成业务，而非开放硬件复刻","市场参考；不作为开源复制候选","TOO-SeeYA iLens类超轻磁吸式AR信息眼镜，约624×405全彩AMOLED、1200nit、20° FOV，带快充盒，用于翻译和信息提示","智能眼镜品牌商、翻译/骑行提示应用团队及小批量渠道商","以低重量和较低成本在普通眼镜上叠加单目信息显示","76.50","原Tindie页已无法可靠访问；现行Alibaba同款报价约70至85美元、MOQ 1，多个跨境页面出售相同iLens成品，说明产品已商品化但高度渠道化","高；低成本AI眼镜、翻译眼镜和微显示HUD方案快速增加，同款OEM跨平台铺货","强依赖SeeYA类微OLED、光机、蓝牙/主控、手机App、云翻译服务和ODM供应商","高；涉及光学装调、整机结构、电池、无线、EMC、跌落和佩戴一致性","高；显示位置、视力适配、续航、App兼容、语言服务和佩戴舒适度都会产生售后","高；含电池、无线、眼前显示、隐私和不同国家射频/消费电子认证","闭源OEM成品，未发现开放硬件、固件或可商业复用许可","图片文件名精确包含0-32-inch-micro-oled-display-ILens-11，相关性较高；但原商品页失效，尚未确认图片是否为实际交付版本而非供应商宣传图","市场参考案例","这是已商业化的完整OEM智能眼镜而非玩具Demo，但同款已在供应链广泛铺货且闭源；可研究产品定义和供应链，不是可直接复制的开源机会","https://www.tindie.com/products/oled-modules/032-inch-micro-oled-display-ilens-for-smartphone/|https://www.tindie.com/stores/oled-modules/items/|https://www.alibaba.com/countrysearch/CN/smart-wear.html|https://www.sotech-vision.com/Glasses-Mounted-HUD-Display-pd564272858.html","2026-07-25"
"87d76012707aab81","054574 Replacement","https://www.tindie.com/products/caiusarcade/054574-replacement/","已逐页阅读（商品用途、售价、库存与卖家相关替代件）","老街机停产定制IC替代板","老街机停产芯片与专用器件替代件产品族","依靠大量长尾SKU、真实原板测试、兼容数据库和维修口碑形成业务","产品族市场参考；不把054574型号重复计为新机会","替代Konami街机PCB中054574定制IC的预组装兼容板","街机PCB维修商、游戏厅维护者与收藏者","原054574停产或损坏后，稀缺原装街机PCB无法维修","35.00","商品仅余4件；卖家同时销售054573、056820、051550及大量不同街机定制IC替代件，已有既定长尾产品族","单型号竞争较低，但总市场极小且卖家产品族已覆盖大量型号","强依赖特定Konami原板、逆向兼容和真实故障板测试","中；板本身可小批量生产，但需型号级测试治具和长尾库存管理","高；其他PCB故障容易被误判为定制IC故障，兼容责任重","低至中；低压维修配件但存在逆向与历史IP边界","未提供可商业复用的开放硬件许可","商品页使用通用相机文件名RSCN9667；可能是项目实拍，但必须放大核对054574丝印和板形，不能仅凭自动抓取通过","市场参考案例","维修痛点和付费意愿真实，但单一型号不是独立商业机会；可学习的是大规模长尾替代件目录、测试资产和维修声誉","https://www.tindie.com/products/caiusarcade/054574-replacement/|https://www.tindie.com/stores/caiusarcade/|https://www.tindie.com/products/caiusarcade/054573-replacement/","2026-07-25"
"7cd5c43a0a132693","10 Pack B10K Alpha Style Pot With Knurled Shaft","https://www.tindie.com/products/Sourcery/10-pack-b10k-alpha-style-pot-with-knurled-shaft/","已逐页阅读（商品说明、售价、缺货时间与卖家完整目录）","标准B10K电位器10件包","Eurorack/DIY合成器元件、面板与PCB配件产品族","卖家的价值来自合成器模块、面板、PCB和常用元件一站式目录；单个电位器包只是配套耗材","淘汰单品；仅作为配件目录补全案例","10只B10K线性电位器，Alpha风格、滚花轴","Eurorack、合成器和DIY音频项目制作者","小批量获得适配旋钮和面板的常用B10K电位器","9.00","自2024-12-28起缺货；卖家约1326单、119条评价并经营30款Eurorack模块、面板、PCB和元件，但该标准电位器包无独立销量证据","极高；B10K电位器由Mouser、Thonk、Tayda、淘宝等大量渠道供应","完全依赖电位器原厂、轴型和分装库存","低；主要是阻值、轴长、螺纹和批次一致性抽检","中；轴型、面板孔径、旋钮兼容和手感差异容易引发退换","低","标准元件转售，无原创设计许可","原记录无合格英雄图；不得用卖家其他透明电位器或模块图片替代","淘汰","标准元件包已经被成熟渠道充分覆盖；卖家商业能力来自完整Eurorack目录，单品没有设计壁垒","https://www.tindie.com/products/Sourcery/10-pack-b10k-alpha-style-pot-with-knurled-shaft/|https://www.tindie.com/stores/Sourcery/items/","2026-07-25"
"38b8359f12296ed2","10100Base Tx Multiple Ports 2X1 Rj45 Connector","https://www.tindie.com/products/trxcom/10100base-tx-multiple-ports-2x1-rj45-connector/","已逐页阅读（商品型号、售价、卖家目录与店铺订单数据）","标准双层2×1集成磁性RJ45连接器","RJ45、网络变压器与工业连接器制造商目录产品族","靠模具、磁性设计、认证、B2B规格目录和大批量制造，而非Tindie单SKU创新","淘汰零售SKU；仅作为连接器制造目录案例","TRJ17402CNL双口2×1堆叠式10/100Base-TX RJ45连接器，内置网络变压器","交换机、路由器和工业网络设备硬件开发者","在紧凑PCB上集成两个10/100M以太网端口和隔离磁性器件","4.00","售价4美元；卖家自2024年开店以来0单，但声称1997年成立并销售多个2至6美元RJ45/MagJack型号","极高；Pulse、Bel、Würth、HanRun及大量中国连接器厂已有成熟等效型号","依赖专用模具、磁性元件、塑胶、电镀和大批量质量体系","高；单件看似简单，但真正制造需要模具、绕线、一致性、耐压和信号完整性测试","中；封装、LED极性、中心抽头、耐压和等效型号错误会导致整板返工","中；RoHS、UL材料、耐压、EMC和网络接口标准要求","制造商标准器件，无开放设计或可复制许可","自动图文件名仅为64.jpg，无法确认TRJ17402CNL丝印和2×1结构；需要型号级视觉核验","淘汰","这是成熟连接器厂的标准目录件，零售端0订单且技术壁垒属于大批量连接器制造，不适合小团队商业化","https://www.tindie.com/products/trxcom/10100base-tx-multiple-ports-2x1-rj45-connector/|https://www.tindie.com/stores/trxcom/","2026-07-25"
"a522f7937b60f5e8","103 25602560 25K Micro Oled Screen 1800Nits","https://www.tindie.com/products/oled-module/103-25602560-25k-micro-oled-screen-1800nits/","已逐页阅读（商品规格、售价、控制板选项、库存与卖家目录）","1.03英寸2.5K微型OLED裸屏及可选控制板","微型OLED、驱动板与近眼光学供应产品族","靠上游面板渠道、规格分档、控制板、光学配套和技术支持形成供应业务","产品族市场参考；不把单一尺寸和亮度规格重复计为新机会","SeeYA 1.03英寸2560×2560、90Hz、1800nit MIPI微OLED，可选单目/双目HDMI或Type-C控制板，用于AR和热成像","AR/VR、热成像、电子取景器和专业近眼显示研发团队","快速取得高PPI方形微显示及可工作的控制接口，降低样机研发门槛","342.00","售价342美元、仅余9件；卖家店铺约24单、52款微OLED、控制板、BirdBath和Pancake光学产品，同一2560×2560规格还有342、449、485和539美元多个页面","中高；专业需求真实，但同一卖家和供应链已按亮度、接口和光学组合密集铺设SKU","强依赖SeeYA等上游硅基OLED、MIPI控制器、排线与光学件长期供货","高；坏点、亮度、色彩、MIPI时序、ESD、热和批次一致性要求高","高；接口兼容、控制板固件、光学装调、坏点政策和停产换料支持复杂","中；裸组件有限，进入头戴、热成像或医疗终端后显著增加","闭源供应组件，未提供面板、控制板或光学件的开放设计许可","原记录无合格英雄图；不得借用同店3000nit、20000nit或Pancake组合图片替代本SKU","市场参考案例","高客单专业供应需求成立，但它是既有微显示供应产品族中的规格组合，壁垒在渠道、检测和支持，不是可直接复制的开源硬件机会","https://www.tindie.com/products/oled-module/103-25602560-25k-micro-oled-screen-1800nits/|https://www.tindie.com/stores/oled-module/items/|https://www.tindie.com/products/oled-modules/103-inch-2k-micro-oled-display-2560x2560-1800nits/","2026-07-25"
