"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"c03bc77a7581d227","ian-cicd-workshop-demo","https://gitlab.com/dictcloud/workshop/ian-cicd-workshop-demo","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator软件示例","工作坊组织者或学员；该个人分叉无独立付费客户","练习fork、CI流水线和部署流程","","精确源记录正文明确为participants fork this during the CI/CD workshop；0 stars、0 forks","不适用；同一培训模板存在大量参与者分叉","完全依赖GitLab CI和上游工作坊模板","无硬件制造","培训材料、流水线和模板维护","低","未核验","无硬件本体；无合格英雄图","淘汰","Ian的仓库是同一CI/CD培训模板的个人分叉，不是电子徽章、硬件项目或独立商业机会；保留源记录只用于追溯，不重复计数。","https://gitlab.com/dictcloud/workshop/ian-cicd-workshop-demo","2026-07-26"
"c539e3c84251d283","redbadger","https://gitlab.com/iancarterkulani/redbadger","已逐页阅读（精确GitLab项目页）","网络安全软件平台","AI安全运营软件","软件订阅、服务和安全咨询","淘汰为硬件机会","结合AI、实时威胁情报和多平台访问的安全运营软件项目","安全团队、红队、蓝队和事件响应人员","整合威胁情报与安全运营工作流","","精确项目页明确描述为cybersecurity operations软件；8 commits、1 branch，无硬件设计或商品证据","高；SIEM、SOAR、EDR和AI安全运营软件市场成熟","依赖软件平台、威胁情报源和云基础设施","无硬件制造","软件部署、模型效果、数据源和安全维护","中高；涉及安全数据、隐私和客户环境","未核验","无硬件本体；无合格英雄图","淘汰","项目正文明确是网络安全软件，旧库因名称中的badger误分为电子徽章；即使软件可商业化，也不属于本次开源硬件机会。","https://gitlab.com/iancarterkulani/redbadger","2026-07-26"
"d421259f5b3818cd","Remote Controlled LEDs with Badgeware and MQTT","https://learn.pimoroni.com/article/mqtt-remote-control","已逐页阅读（完整教程正文与物料清单）","厂商教学教程","Badgeware与RGB灯控制教程","内容营销、上游开发板和套件销售","淘汰为独立硬件机会","使用Tufty 2350、Plasma 2350 W和50颗RGB LED，通过MQTT远程改色的教学项目","Pimoroni开发板与套件购买者","学习MQTT、MicroPython和联网灯效控制","","页面明确称为tutorial，列出Wireless Plasma Kit、Tufty 2350、电脑和逐步代码；发布于2026-05-14，未展示独立产品订单","高；MQTT、NeoPixel和开发板教学内容充分","完全依赖Pimoroni Tufty/Plasma板、LED链、HiveMQ和MicroPython","教程本身无独立制造；成品由现成板卡拼装","网络配置、固件和用户接线支持","低至中；Wi-Fi和供电由上游板卡承担","教程与代码许可需按页面和上游仓库分别核验","自动图片是教程运行场景和上游板卡，不是独立产品英雄图","淘汰","这是厂商用教程引导销售现成Badgeware和Plasma板的内容，不存在独立PCB、成品、客户证据或竞争壁垒，不能作为商业硬件机会。","https://learn.pimoroni.com/article/mqtt-remote-control","2026-07-26"
"4b630d680094596e","anthony-cicd-workshop-dem","https://gitlab.com/dictcloud/anthony-cicd-workshop-dem","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator软件示例","工作坊组织者或学员；该个人分叉无独立付费客户","练习fork、CI流水线和部署流程","","精确源记录正文明确为participants fork this during the CI/CD workshop；0 stars、0 forks","不适用；同一培训模板存在大量参与者分叉","完全依赖GitLab CI和上游工作坊模板","无硬件制造","培训材料、流水线和模板维护","低","未核验","无硬件本体；无合格英雄图","淘汰","Anthony的仓库是同一CI/CD培训模板的个人分叉，不是电子徽章、硬件项目或独立商业机会。","https://gitlab.com/dictcloud/anthony-cicd-workshop-dem","2026-07-26"
"e6fbb69f69f8be53","antonio-cicd-workshop-demo","https://gitlab.com/dictcloud/workshop/antonio-cicd-workshop-demo","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator软件示例","工作坊组织者或学员；该个人分叉无独立付费客户","练习fork、CI流水线和部署流程","","精确源记录正文明确为participants fork this during the CI/CD workshop；0 stars、0 forks","不适用；同一培训模板存在大量参与者分叉","完全依赖GitLab CI和上游工作坊模板","无硬件制造","培训材料、流水线和模板维护","低","未核验","无硬件本体；无合格英雄图","淘汰","Antonio的仓库是同一CI/CD培训模板的个人分叉，不是电子徽章、硬件项目或独立商业机会。","https://gitlab.com/dictcloud/workshop/antonio-cicd-workshop-demo","2026-07-26"
"831075c0facfddb4","danvincent-cicd-workshop-demo","https://gitlab.com/dictcloud/workshop/danvincent-cicd-workshop-demo","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator软件示例","工作坊组织者或学员；该个人分叉无独立付费客户","练习fork、CI流水线和部署流程","","精确源记录正文明确为participants fork this during the CI/CD workshop；0 stars、0 forks","不适用；同一培训模板存在大量参与者分叉","完全依赖GitLab CI和上游工作坊模板","无硬件制造","培训材料、流水线和模板维护","低","未核验","无硬件本体；无合格英雄图","淘汰","Danvincent的仓库是同一CI/CD培训模板的个人分叉，不是电子徽章、硬件项目或独立商业机会。","https://gitlab.com/dictcloud/workshop/danvincent-cicd-workshop-demo","2026-07-26"
"23a5d39f0e860095","angelo-cicd-workshop-demo","https://gitlab.com/dictcloud/workshop/angelo-cicd-workshop-demo","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator软件示例","工作坊组织者或学员；该个人分叉无独立付费客户","练习fork、CI流水线和部署流程","","精确源记录正文明确为participants fork this during the CI/CD workshop；0 stars、0 forks","不适用；同一培训模板存在大量参与者分叉","完全依赖GitLab CI和上游工作坊模板","无硬件制造","培训材料、流水线和模板维护","低","未核验","无硬件本体；无合格英雄图","淘汰","Angelo的仓库是同一CI/CD培训模板的个人分叉，不是电子徽章、硬件项目或独立商业机会。","https://gitlab.com/dictcloud/workshop/angelo-cicd-workshop-demo","2026-07-26"
"28ac76e96881f219","jethro-cicd-workshop-demo","https://gitlab.com/dictcloud/workshop/jethro-cicd-workshop-demo","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator软件示例","工作坊组织者或学员；该个人分叉无独立付费客户","练习fork、CI流水线和部署流程","","精确源记录正文明确为participants fork this during the CI/CD workshop；0 stars、0 forks","不适用；同一培训模板存在大量参与者分叉","完全依赖GitLab CI和上游工作坊模板","无硬件制造","培训材料、流水线和模板维护","低","未核验","无硬件本体；无合格英雄图","淘汰","Jethro的仓库是同一CI/CD培训模板的个人分叉，不是电子徽章、硬件项目或独立商业机会。","https://gitlab.com/dictcloud/workshop/jethro-cicd-workshop-demo","2026-07-26"
"fc341fa06a1562ca","danilo-sablay-cicd-workshop-demo","https://gitlab.com/dictcloud/workshop/danilo-sablay-cicd-workshop-demo","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator软件示例","工作坊组织者或学员；该个人分叉无独立付费客户","练习fork、CI流水线和部署流程","","精确源记录正文明确为participants fork this during the CI/CD workshop；0 stars、0 forks","不适用；同一培训模板存在大量参与者分叉","完全依赖GitLab CI和上游工作坊模板","无硬件制造","培训材料、流水线和模板维护","低","未核验","无硬件本体；无合格英雄图","淘汰","Danilo Sablay的仓库是同一CI/CD培训模板的个人分叉，不是电子徽章、硬件项目或独立商业机会。","https://gitlab.com/dictcloud/workshop/danilo-sablay-cicd-workshop-demo","2026-07-26"
"44c9d07423c87587","DOH-PCB-Badge","https://gitlab.com/go-commons/delftopenhardware/doh-badge","已复核（精确源记录缓存；页面当前未稳定加载）","活动用可焊接PCB徽章","开源硬件社区活动徽章","活动赞助、批量制作、工作坊和社区传播","保留为活动硬件方法参考","Delft Open Hardware月度聚会中焊接并赠送的PCB徽章","开源硬件社区、活动组织者和赞助商","为线下活动提供可焊接教学、身份识别和社区纪念物","","精确源记录明确说明用于monthly meetups/events，可焊接并赠送；0 stars、2 forks，未见价格、订单或批量交付证据","高；PCB艺术徽章、会议徽章和焊接工作坊大量存在","依赖活动组织、赞助、焊接场地和元件采购","中；批量PCB、元件包、烧录和现场良率管理","活动现场焊接、损坏、电池和教学支持集中","低至中；若带无线或电池需另行评估","待精确页面恢复后核验硬件许可","无合格英雄图；不得以通用PCB徽章或活动照片替代","市场参考案例","这是可信的活动硬件形态，但商业模式依赖活动预算、赞助和教学内容，未证明可作为独立常销产品；只保留为活动徽章产品化方法参考。","https://gitlab.com/go-commons/delftopenhardware/doh-badge","2026-07-26"
