"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"4ce31ec940eba298","12 Bit Adcvms Shield For Arduino","https://www.tindie.com/products/cburgess129/12-bit-adcvms-shield-for-arduino","已逐页阅读（完整商品正文、设计文件链接、库存与卖家销量）","Arduino电池电压测量ADC Shield","BurgessWorld ADC与多平台扩展板产品族","靠多代扩展板、开源设计资料、装配和文档支持销售","淘汰通用Shield；参考文档与产品族运营","MCP3208八通道12位ADC Shield，其中4路分压可测14.5V，带滤波、端子和可选CS","Arduino机器人、电池监测和传感采集用户","Arduino需要更高分辨率并测量高于5V的多路电压","24.95","售价24.95美元、仅余3件；卖家约1278单、28条评价并提供源码/文档/设计文件，但市场已有大量MCP3208/ADS1115模块","极高；Arduino ADC Shield和MCP3208模块成熟","强依赖Arduino机械生态、MCP3208和软件库","低至中；输入保护、分压精度和背供电设计需验证","中高；量程、共地、反接、背供电和校准会带来支持","低至中","页面链接设计文件，但商业复用条款需核查，不能默认可商用","原记录无合格英雄图；需核对具体VMS版本和分压布局","淘汰","资料较好但仍是成熟Arduino Shield；卖家信誉和开源资料不等于新市场空白","https://www.tindie.com/products/cburgess129/12-bit-adcvms-shield-for-arduino|https://www.tindie.com/stores/cburgess129/","2026-07-25"
"65c64e4398431ba9","128 Mhz Nkg3001B Vctcxo 25Ppm Crystal Oscillator","https://www.tindie.com/products/lumisense/128-mhz-nkg3001b-vctcxo-25ppm-crystal-oscillator","已逐页阅读（精确商品正文、制造商型号、状态与售价）","开盒库存VCTCXO元件转售","专业时钟/射频旧库存元件渠道产品族","靠稀缺料号、开盒库存和长尾工程维修采购销售，无法持续制造","淘汰库存SKU","NDK NKG3001B 12.8MHz、2.5ppm、-40至85°C压控温补晶振，单只开盒新品","射频设备维修、通信原型和旧设计维护人员","寻找特定12.8MHz VCTCXO替换料或实验时钟源","8.33","单只售价8.33美元，状态为New-Open Box；页面未提供库存规模、订单评价或持续供货承诺","中高；特定老料号可能稀缺，但现代替代方案众多，需求很小","依赖现有库存、真伪、存储历史和原厂停产情况","不制造；需频率、拉偏范围、相噪和老化筛选","高；2.5ppm规格不足以证明当前老化状态，兼容风险高","低","原厂元件转售，无开放设计或持续生产权","原记录无合格英雄图；不能用相似NDK晶振图代替","淘汰","开盒库存元件交易，不具备持续生产、原创资产或规模市场","https://www.tindie.com/products/lumisense/128-mhz-nkg3001b-vctcxo-25ppm-crystal-oscillator","2026-07-25"
"231b013e4ee3e607","023 Micro Amoled Screen Fhd 640400 For Ar Vr","https://www.tindie.com/products/hicenda/023-micro-amoled-screen-fhd-640400-for-ar-vr","已逐页阅读（完整商品正文、亮度、驱动板和Hicenda目录）","0.23英寸高亮微OLED套件","微显示、驱动板与近眼光学供应产品族","靠面板渠道、HDMI驱动、光学选配和多规格目录销售","市场参考；合并到微显示供应产品族","0.23英寸640×400、3000cd/m²全彩微OLED，含HDMI驱动板，可选光学件","AR/VR、EVF和小型HMD研发团队","快速获得极小高亮显示及视频输入板","295.00","售价295美元；Hicenda约22单、29款产品，同店有215/219/255/275美元多个0.23英寸近重复页面","中高；专业器件但规格页面高度重复，其他供应商也有同类","依赖上游微OLED、HDMI板和光学系统","高；亮度、坏点、寿命、时序和光学装调需测试","高；页面版本、亮度和配套差异会导致集成争议","中；近眼眼安全与特定夜视用途","供应组件，无开放制造许可","原记录无合格英雄图；不能借用其他0.23英寸规格图","市场参考案例","有专业需求，但只是同一供应目录的重复规格组合，不应虚增为独立机会","https://www.tindie.com/products/hicenda/023-micro-amoled-screen-fhd-640400-for-ar-vr|https://www.tindie.com/stores/hicenda/items/","2026-07-25"
"8acb81a5176cf327","057Oled Microdisplay 1600X1200 1800Nits Mipi","https://www.tindie.com/products/oled-module/057oled-microdisplay-1600x1200-1800nits-mipi","已逐页阅读（完整规格、库存选项、机械图与卖家目录）","0.57英寸高分辨率微OLED组件","微显示、驱动板与近眼光学供应产品族","靠上游面板、单/双目控制板、机械资料和规格目录销售","市场参考；合并到微显示供应产品族","SeeYA 0.57英寸1600×1200、1800nit、MIPI+I2C、30-90Hz微OLED，可选单目HDMI或双目Type-C板","AR/VR、夜视、EVF、医疗和工业近眼显示研发团队","快速采购高分辨率微显示和控制板进行样机集成","329.00","售价329美元，控制板选项各显示20件；卖家约24单、52款产品，并有325.95美元近重复页面","中高；专业但同店相邻规格和外部供应商众多","依赖SeeYA面板、控制板和终端光机","高；坏点、亮度、帧率、排线、寿命和控制板测试复杂","高；多接口/光学版本和行业应用支持成本高","中高；近眼、医疗、军事/瞄具用途可能有额外要求","标准供应组件，无开放制造许可","原记录无合格英雄图；不替换为同店近似页面图","市场参考案例","规格与应用专业，但商业能力来自供应链、测试和集成支持；该页面是产品族变体","https://www.tindie.com/products/oled-module/057oled-microdisplay-1600x1200-1800nits-mipi|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"53260bbac7717b97","05Micro Amoled Screen 1280Rgb 960 For Arvr","https://www.tindie.com/products/hicenda/05micro-amoled-screen-1280rgb-960-for-arvr","已逐页阅读（完整面板规格、默认HDMI板、光学选项与重复页面）","0.5英寸微OLED加HDMI驱动套件","微显示、驱动板与近眼光学供应产品族","靠面板、驱动、光学组合及多页面规格目录销售","市场参考；合并到微显示供应产品族","OL337RF 0.5英寸1280×960、1000nit微OLED，默认含HDMI板，可选光学件","AR/VR、EVF和小型HMD开发团队","快速获得面板和HDMI输入方案进行样机","295.00","售价295美元；Hicenda约22单，同规格还有292/297/315美元多个页面，光学选项库存498","中高；供应商与重复规格页面已形成成熟供给","依赖上游面板、HDMI板和光学件","高；面板筛选、控制板、焦距和机械集成需验证","高；重复页面价格/交付差异和光学选项会造成争议","中","供应组件，无开放制造许可","原记录无合格英雄图；不得用其他0.5英寸页面或光学图替代","市场参考案例","真实高客单供应品，但明显属于同一卖家的重复规格与套件组合，不是独立机会","https://www.tindie.com/products/hicenda/05micro-amoled-screen-1280rgb-960-for-arvr|https://www.tindie.com/stores/hicenda/items/","2026-07-25"
"2113d5fa0c27f2bc","096 Oled Display Module White","https://www.tindie.com/products/trustedseller/096-oled-display-module-white","已逐页阅读（完整规格、缺货时间与卖家状态）","标准SSD1306 0.96英寸OLED模块","低价Arduino/ESP显示模块与元件转售产品族","靠美国现货和低价元件转售，不靠原创设计","淘汰单品","0.96英寸128×64白色SSD1306 I2C OLED模块，3.3-6V","Arduino、ESP8266和通用MCU原型用户","快速添加小型单色状态显示","5.99","售价5.99美元，自2019-06-19起售罄；未见该SKU持续需求","极高；SSD1306 0.96英寸模块全球大量供应","依赖标准面板、SSD1306和开源库","低；来料坏点、排针和地址版本检测","低至中；地址、供电和分辨率配置问题","低","标准商品，无原创设计或商业复用资产","自动图文件名oled.jpg过于通用；无法确认白色版本和PCB","淘汰","长期缺货的成熟标准显示模块，没有差异化、持续供给或商业空白","https://www.tindie.com/products/trustedseller/096-oled-display-module-white","2026-07-25"
"aed875d555d17432","096Inch Oled Module With Iic Communication For Arduinostm32","https://www.tindie.com/products/echo/096inch-oled-module-with-iic-communication-for-arduinostm32","已交叉核验（精确商品缓存、卖家页、售价与缺货时间；当前直开被反爬阻断）","标准0.96英寸I2C OLED模块","低价Arduino/STM32显示模块转售产品族","靠标准模块和示例代码销售，无原创产品壁垒","淘汰单品","3.3-5V、面向Arduino/STM32并附示例代码的0.96英寸I2C OLED模块","Arduino/STM32学习与原型用户","快速增加单色OLED界面","13.50","售价13.50美元，自2015-02-27起售罄；卖家自2015年以来0订单且店铺只有此产品","极高；0.96英寸I2C OLED是最成熟的开发模块之一","依赖标准OLED、控制器和公共示例代码","低；标准模块转售","低至中；驱动IC、地址、供电和代码版本问题","低","未提供原创设计或商业复用许可","自动图为2014年商品页文件，可能是模块实拍但未核对版本","淘汰","超过十年售罄、零订单的标准模块，完全没有市场验证或差异化","https://www.tindie.com/products/echo/096inch-oled-module-with-iic-communication-for-arduinostm32|https://www.tindie.com/stores/echo/","2026-07-25"
"11564ddc6cc9e279","10 Ft High Speed Hdmi Cable Ultra Hd 4K X 2K Hdm","https://www.tindie.com/products/lilrobotfriends/10-ft-high-speed-hdmi-cable-ultra-hd-4k-x-2k-hdm","已逐页/精确缓存核验（商品页、售价、店铺目录与卖家历史业务）","标准10英尺HDMI线材转售","通用影音线材与教育机器人店铺杂项附件产品族","店铺核心曾是教育机器人和互动展览；线材是标准配套转售，不共享核心技术壁垒","淘汰线材SKU","10英尺高速HDMI线，宣传支持4K×2K设备连接","电视、电脑、游戏机和展览安装用户","进行较长距离标准HDMI连接","15.00","售价15美元且卖家休假；店铺仅2个Tindie订单。卖家教育机器人历史与HDMI线无关","极高；HDMI线材由大量认证品牌和渠道供应","依赖上游线材、连接器和HDMI合规测试","中；高速信号完整性、屏蔽和插头耐久需专业测试","高；4K支持受线长、版本、设备和线材品质影响","中；HDMI商标/认证与材料合规","标准线材转售，无开放设计","明确错配：自动图片文件名为Copy of RTP SpikeyV2.jpg，指向机器人而非HDMI线","淘汰","标准线材且图片明显错配；教育机器人品牌历史不能为HDMI线创造壁垒","https://www.tindie.com/products/lilrobotfriends/10-ft-high-speed-hdmi-cable-ultra-hd-4k-x-2k-hdm|https://www.tindie.com/stores/lilrobotfriends/","2026-07-25"
"b7c38ae0c1333417","100 Mil 6Pin 2X3 Idc Flat Cable","https://www.tindie.com/products/embeddedprojects/100-mil-6pin-2x3-idc-flat-cable","已逐页阅读（完整商品正文、卖家自述、订单与同系列线材）","标准ISP/JTAG IDC排线","编程调试转接器、IDC线和封装适配板产品族","靠大量调试线和转接器SKU、工程便利性与长期店铺订单销售","淘汰低价线材；只参考调试附件产品族","标题称6针2×3，正文却称10针2×5/10芯、25cm、28AWG母对母IDC线，用于ATMEL-ICE/ISP","AVR/嵌入式调试用户","快速连接编程器与目标板","1.50","售价1.50美元、卖家休假；店铺172单、8条评价并有多种50mil/100mil、6/10针线和适配器","极高；标准IDC线可直接采购或自行压接","依赖标准排线、IDC连接器和正确针数定义","低；但标题与正文针数矛盾，装配和线序必须核验","中高；针数、方向、线序和接口不一致可能损坏目标板","低","标准线材；未见开放设计意义","自动图可能是排线，但标题6针与正文10针矛盾，无法确认版本","淘汰","产品族有运营参考，但1.5美元标准线材规格自相矛盾，不能成为独立机会","https://www.tindie.com/products/embeddedprojects/100-mil-6pin-2x3-idc-flat-cable|https://www.tindie.com/stores/embeddedprojects/","2026-07-25"
"124e5d9834295020","101 Inch Hdmi Display H 1024X600 For Raspberry Pi","https://www.tindie.com/products/displaymodules/101-inch-hdmi-display-h-1024x600-for-raspberry-pi","已逐页阅读（完整规格、接口、触摸、尺寸与卖家显示目录）","标准树莓派/HDMI触摸显示器","DisplayScreen OLED/TFT/LCD显示模块供应产品族","靠进口显示模组、尺寸目录和树莓派兼容销售，不靠独立终端方案","淘汰标准显示器；并入显示供应目录参考","10.1英寸1024×600 IPS电容触摸HDMI显示器，GT9271、双扬声器、MicroUSB供电","树莓派、迷你PC、游戏机和嵌入式HMI原型用户","快速获得带触控和音频的通用小显示器","95.59","售价95.59美元；卖家约18单并经营多尺寸OLED/TFT/RPi显示，未见该SKU独立评价或差异化软件","极高；10.1英寸HDMI触摸屏由多家OEM成熟供应","依赖上游LCD、HDMI控制板、GT9271触控板和树莓派结构","中；坏点、触控贴合、控制板、扬声器和运输需检测","高；分辨率、触控USB、供电、系统兼容和运输破损支持较多","中；电源、EMC和终端安全要求","标准供应整机，无开放制造许可","自动图文件名含10.1-H-main触摸，较可能匹配但仍需核对接口与H版本","淘汰","成熟通用显示器和树莓派配件，供给极充分、卖家销量弱且无独特应用层","https://www.tindie.com/products/displaymodules/101-inch-hdmi-display-h-1024x600-for-raspberry-pi|https://www.tindie.com/stores/displaymodules/","2026-07-25"
