project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"fd9a1503e29ea2e6","Badges Docs","https://gitlab.com/chrisidoko0017/docs","已复核（精确GitLab项目缓存正文）","Fedora Badges文档仓库","软件文档与社区徽章系统","通过社区运营和软件服务产生价值","直接淘汰为硬件机会","Fedora Badges文档的镜像或派生仓库","Fedora社区贡献者","维护软件徽章规则和文档","","项目描述明确是Fedora Badges documentation source repository；0 stars、0 forks","高；软件文档镜像没有硬件市场","依赖Fedora Badges软件与文档体系","无硬件制造","文档同步与软件维护","低","许可随Fedora文档项目核验","无硬件本体，旧库无合格英雄图","淘汰","纯软件文档仓库，badge一词指社区数字徽章，不是电子硬件","https://gitlab.com/chrisidoko0017/docs|https://docs.fedoraproject.org/en-US/badges/","2026-07-26"
"caee9f7ae169c5f3","Reaxify Component Library","https://gitlab.com/aliarshadkhan02/reaxify-component-library","已逐页阅读（精确GitLab项目页）","React界面组件库","前端软件组件","开源组件、开发服务或模板销售","直接淘汰为硬件机会","包含Badge、Banner、Tooltip、Toast和Card等组件的React库","前端开发者","快速构建可复用网页界面","","项目页明确为React组件库，8 commits并提供Netlify演示","极高；React组件库供给充分","React、HTML、CSS和JavaScript","无硬件制造","软件兼容和组件维护","低","项目页未显示硬件许可","无硬件本体","淘汰","纯软件UI库，Badge是界面组件名称","https://gitlab.com/aliarshadkhan02/reaxify-component-library|https://reaxify-component-library.netlify.app/","2026-07-26"
"9357f7a864c7dd30","Tidal Better Bit Badger","https://gitlab.com/ilikepeaches/tidal-better-bit-badger","已复核（精确GitLab项目缓存正文）","浏览器用户脚本","音频服务界面增强软件","开源脚本或浏览器扩展","直接淘汰为硬件机会","把Tidal的High标签改成16-bit或24-bit等更具体显示的用户脚本","Tidal用户","更直观查看音频质量标签","","项目描述明确为改善Tidal quality badges的userscript；0 stars、0 forks","高；浏览器脚本无硬件壁垒","依赖Tidal网页界面和用户脚本环境","无硬件制造","网页更新会导致脚本失效","低","许可待核验","无硬件本体","淘汰","纯软件用户脚本，badge指界面质量标签","https://gitlab.com/ilikepeaches/tidal-better-bit-badger","2026-07-26"
"a47fe7231f17b907","olb2020","https://gitlab.com/openlibrarybadge/olb2020","已复核（精确GitLab项目缓存正文）","开放图书馆徽章标准协作文档","社区标准与评审项目","通过公共机构合作和标准推广产生价值","直接淘汰为硬件机会","协作制定Open Library Badge 2019评审标准的文档仓库","图书馆和开放科学组织","定义开放图书馆评价条件","","项目描述明确是Kooperative Entwicklung der Kriterien；0 stars、0 forks","不适用；不是商品硬件市场","依赖组织治理和文档协作","无硬件制造","标准维护与组织协调","低","文档许可待核验","无电子硬件本体","淘汰","badge是机构认证标识，不是可制造设备","https://gitlab.com/openlibrarybadge/olb2020","2026-07-26"
"427b952a98df0fa0","robot-badge","https://gitlab.com/ponceto/robot-badge","已复核（精确GitLab项目缓存正文）","既有开发板的徽章固件","会议/机器人徽章固件","依托活动徽章或上游硬件提供固件和内容","直接淘汰为独立硬件机会","为Seeed Studio XIAO nRF52840编写的C++固件","活动徽章开发者和XIAO用户","给既有板卡增加徽章功能","","项目描述只确认固件及XIAO nRF52840，0 stars、0 forks；未见独立PCB、BOM、价格或客户","高；XIAO徽章与示例固件很多","完全依赖Seeed XIAO nRF52840及活动外设","无独立硬件制造证据","固件、板卡版本和活动支持","中；若包含无线则受频段认证影响","许可待核验","无可确认独立产品的英雄图","淘汰","只是上游开发板固件，不能把XIAO本体算作该项目产品","https://gitlab.com/ponceto/robot-badge","2026-07-26"
"49ff11291050650e","ESP32_Thing","https://github.com/sparkfun/ESP32_Thing","已逐页阅读（GitHub硬件仓库与SparkFun商品页）","通用ESP32开发板","成熟品牌开发板产品族","依靠品牌、分销、文档和扩展生态销售","作为成熟厂商案例，不进入商业候选","带FT231x、LiPo充电、按键和LED的ESP32开发平台","IoT开发者和教育用户","快速完成ESP32原型开发","30.85","SparkFun商品页2026年显示30.85美元在售；仓库79 stars、21 forks，提供Eagle和生产文件","极高；ESP32开发板已被Espressif、Adafruit、SparkFun和大量低价供应商覆盖","依赖ESP32芯片、Arduino生态及SparkFun渠道","低至中；开发板生产成熟但射频和LiPo设计需测试","中；USB驱动、板卡版本和电池支持","中；Wi-Fi/蓝牙和LiPo充电","SparkFun开源硬件许可，具体LICENSE文件需遵守","旧库无英雄图；商品页有对应板卡实物","淘汰","典型成熟通用开发板，需求真实但市场已完全建立，不是可进入的竞争空白","https://github.com/sparkfun/ESP32_Thing|https://www.sparkfun.com/sparkfun-esp32-thing.html","2026-07-26"
"e017c982c687fb72","awesome-mechanical-keyboard","https://github.com/Keycapsss/awesome-mechanical-keyboard","已逐页阅读（精确GitHub项目页）","机械键盘项目目录网站","键盘资源聚合与内容站","通过内容流量、社区或商店导流产生价值","直接淘汰为硬件机会","收录开源机械键盘项目并生成Keebfolio网站的内容仓库","机械键盘爱好者和设计者","集中查找键盘设计资源","","仓库3297 stars、204 forks，README明确目标是collect mechanical keyboard related projects","高；内容目录不能视为单一硬件产品","依赖外部项目图片、链接和Astro网站技术栈","无单一硬件制造","内容维护和失效链接管理","低","仓库软件许可需核验；被收录项目各自许可不同","无单一产品本体，旧库无合格英雄图","淘汰","项目是资源目录和网站，不是键盘商品或可制造设计","https://github.com/Keycapsss/awesome-mechanical-keyboard|https://keebfolio.netlify.app/","2026-07-26"
"a85900b307e2cb2e","beyblock20","https://github.com/ChrisChrisLoLo/beyblock20","已逐页阅读（README、BOM、状态与实物图）","磁吸模块化宏键盘原型","模块化机械键盘产品族","销售模块、扩展旋钮、外壳和成品组合","仅作差异化结构概念参考，当前不进入观察名单","每个20键模块自带Seeeduino XIAO RP2040，通过磁性连接器和I2C拼成更大键盘","机械键盘和宏键盘爱好者","按需组合键数和旋钮模块","","仓库332 stars、12 forks、90 commits，提供PCB、外壳、固件和BOM；README明确仍为alpha阶段且无销售证据","极高；宏键盘、分体键盘和模块化输入设备竞争活跃","每个模块依赖Seeeduino XIAO、磁性连接器、I2C和机械键轴生态","中高；磁性触点、供电压降、机械定位和多模块通信影响可靠性","高；模块连接、固件配置和热插拔边缘情况支持复杂","低至中；USB和电池版本另行考虑","GPL-3.0；硬件文件商业适用边界需逐文件核验","旧英雄图是项目实物原型，匹配但不是销售级成品","市场参考案例","模块化思路有差异，但仍处alpha、依赖上游XIAO且无订单或定价，不能视为已验证机会","https://github.com/ChrisChrisLoLo/beyblock20|https://www.youtube.com/watch?v=Z132qLr78tY","2026-07-26"
"09d1122444929bab","esplay-retro-emulation","https://github.com/pebri86/esplay-retro-emulation","已逐页阅读（精确GitHub项目页）","既有掌机的模拟器固件集合","复古掌机软件生态","通过上游掌机销售、软件维护或捐赠产生价值","直接淘汰为独立硬件机会","为ESPlay Micro硬件提供NES、GameBoy、SMS等模拟器和启动器的固件","ESPlay硬件用户","在既有ESP32掌机上运行复古游戏","","仓库523 stars、96 forks，README明确是firmware set，硬件另在Makerfabs销售","高；ESP32复古模拟器和掌机市场成熟","完全依赖ESPlay Micro上游硬件、ROM和旧版ESP-IDF","无本项目独立硬件制造","高；模拟器兼容、ROM管理和旧SDK维护","低至中；ROM版权需用户自行处理","MIT软件许可；上游硬件许可另查","旧图显示上游ESPlay硬件而非该固件项目独立产品，属于上游产品图","淘汰","这是固件仓库，不能把另售的ESPlay掌机硬件归为该项目商业机会","https://github.com/pebri86/esplay-retro-emulation|https://www.makerfabs.com/esplay-micro.html","2026-07-26"
"e14e5e5b51d3f7bc","TankSync","https://github.com/Techposts/TankSync","已逐页阅读（GitHub、商品页、BOM与竞品页）","太阳能LoRa水箱监测成品系统","离线优先的住宅水箱监测产品族","销售主机加屋顶传感器，并提供扩展传感器、Home Assistant和可选云服务","保留观察；核验真实销量、安装成本、准确率和长期可靠性后再升级","太阳能超声波水箱传感器通过LoRa连接ESP32-S3室内主机，带本地显示、MQTT和Home Assistant","独栋住宅、公寓物业和供水不稳定地区用户","无需屋顶布线并在断网时持续监测水位和溢流","5999 INR","商品页显示5999卢比、第一批售罄、第二批2026年8月发货；仓库77 stars、38 forks，提供BOM、原理图和生产硬件照片","中；印度已有Waltr等约11799卢比产品，但TankSync以离线LoRa、Home Assistant和较低价格差异化","依赖ESP32、RYLR998、JSN-SR04T、18650、太阳能和Home Assistant生态","高；户外IP65、超声波安装、太阳能充电、LoRa链路和高温雨季可靠性需长期测试","高；现场安装、罐型校准、误报、电池和网络配置支持较重","高；865/915MHz射频、锂电运输、户外安全和不同国家认证","硬件CC BY-SA 4.0；旧固件AGPL-3.0，新版固件为不可转售的二进制商业条款","旧英雄图为自研填充PCB，匹配硬件但最终销售图应展示完整主机与传感器套装","观察名单","是少数具有完整成品、明确客户、当前售价和首批售罄证据的项目；但销售数量未披露，安装售后和新版固件许可限制仍需核实","https://github.com/Techposts/TankSync|https://shop.smartghar.org/products/tanksync-solo|https://store.waltr.in/products/water-level-indicator-waltr-a","2026-07-26"
