project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"4b1d61021eaa6c86","096 Oled Display Module","https://www.tindie.com/products/DisplayModule/096-oled-display-module","已逐页阅读（精确商品缓存与卖家目录）","标准小尺寸OLED显示模块","通用OLED/TFT显示供应目录","价值来自面板采购、规格目录和小批量供货，不来自单一模块设计","淘汰单一SKU","0.96英寸128×64白色图形OLED，支持SPI/I2C","Arduino、仪表和小型嵌入式开发者","需要低成本小尺寸单色信息显示","12.95","页面显示售价12.95美元，2016年11月起售罄；卖家仅约2单但目录含大量通用显示器件","极高；SSD1306同类模块已高度成熟","依赖上游OLED面板、驱动IC和标准排线","低至中；需检查坏点、亮度、时序与批次一致性","中；驱动兼容、尺寸差异和停产换料","低；作为低压组件风险有限","未见可复制销售的开放硬件设计许可","明确错配：自动图片文件名指向2.26英寸字符OLED，不是0.96英寸模块","淘汰","标准老旧显示组件、长期售罄且竞争充分，没有独立商业壁垒","https://www.tindie.com/products/DisplayModule/096-oled-display-module|https://www.tindie.com/stores/DisplayModule/","2026-07-25"
"f677ab68cdae419d","10 Pack Spear Tip Spring Loaded Pogo Test Pin","https://www.tindie.com/products/upgradeindustries/10-pack-spear-tip-spring-loaded-pogo-test-pin","已逐页阅读（精确商品缓存）","通用测试针元件包","测试针、治具元件和连接器供应品","价值来自元件采购和分装，不来自产品设计","淘汰单品","10支P160-B矛头弹簧测试针","电子维修、PCB测试治具和原型开发者","需要临时接触焊盘进行编程或电气测试","4.99","售价4.99美元，有1条评价，2017年10月起售罄；平台存在大量同类Pogo针和转接件","极高；属于标准测试治具耗材","依赖标准针体、弹簧和镀层供应链","低；主要是尺寸、弹力、寿命和镀层抽检","中；针尖磨损、接触不稳和型号误购","低；无源低压元件","标准采购件，无开放设计资产","图片大概率为对应测试针，但未完成实物尺寸视觉核对","淘汰","低价标准元件包，市场成熟且没有可建立的技术或品牌壁垒","https://www.tindie.com/products/upgradeindustries/10-pack-spear-tip-spring-loaded-pogo-test-pin|https://www.tindie.com/search/?q=pogo%20pin","2026-07-25"
"7df2bd770e913c4b","10 Pairs Pin Header Connector","https://www.tindie.com/products/blinkingsilver/10-pairs-pin-header-connector","已逐页阅读（精确商品缓存）","通用排针排母元件包","电子元件分装与低价渠道产品族","依靠低价采购、库存和组合销售，不依靠设计","淘汰单品","10对1×40、2.54毫米可折断公排针和母排针","Arduino、面包板和维修用户","低成本连接开发板、模块和自制PCB","4.00","售价4美元，2019年1月起售罄；2.54毫米排针排母在全球供应链中高度标准化","极高；标准连接器供给充分","完全依赖通用连接器供应链","低；仅需核对针距、镀层、直线度和数量","中；镀层、接触不良、针距和数量争议","低；无源低压元件","非原创标准元件，无开放设计资产","明确错配：自动图片是Epson打印机PVC卡托，与排针排母无关","淘汰","标准低价元件分装，无差异、无客单和无商业空白","https://www.tindie.com/products/blinkingsilver/10-pairs-pin-header-connector","2026-07-25"
"6c94a8c31ea61988","10 Pin Fpc Passthrough Breakout Board","https://www.tindie.com/products/gtalusan/10-pin-fpc-passthrough-breakout-board","已逐页阅读（精确商品缓存与卖家目录）","FPC信号调试中间板","嵌入式调试、协议嗅探和接口楔形工具产品族","价值来自覆盖多种连接器、明确调试场景和工程师文档","作为工程调试工具产品族参考，不孤立复制单板","10针FPC直通转接板，可在不断开原系统时引出和探测每根信号","嵌入式逆向、维修和硬件调试工程师","难以直接探测设备内部FPC信号，需要安全插入示波器或逻辑分析仪","6.00","售价6美元，2022年7月起售罄；卖家约43单、1条评价，并有50针FPC板、USB楔形板和PowerUART等9款调试工具","中；通用FPC转接板很多，但面向现场嗅探的完整工具目录相对少","依赖特定FPC针数、间距和外部测试仪器","中；需控制阻抗影响、连接器寿命、焊盘可探测性和机械强度","中；针数、间距、方向和信号完整性容易造成误购或误判","低；低压无源调试板","未发现明确允许复制销售的开放硬件许可","图片大概率关联该板，但仍需核对针数、连接器方向和版本","市场参考案例","单板低价且容易复制，但以多针数、多间距和协议楔形工具组成产品族具有工程工具商业化参考价值","https://www.tindie.com/products/gtalusan/10-pin-fpc-passthrough-breakout-board|https://www.tindie.com/stores/gtalusan/","2026-07-25"
"ace3897ffaf2ab1c","10Pcs Pc817C Pc817B El817 Optocoupler Chip","https://www.tindie.com/products/blinkingsilver/10pcs-pc817c-pc817b-el817-optocoupler-chip","已逐页阅读（精确商品页与卖家目录）","通用光耦元件包","低价电子元件分装和转售目录","价值来自采购、库存和国际邮寄，不来自硬件创新","淘汰单品","10只PC817C、PC817B或EL817四脚光耦","维修、隔离输入和初学者电路用户","低成本实现低速数字隔离","2.00","页面售价2美元且缺货；批量购买可低至每包约0.80美元，卖家约167单、4评并经营混合低价元件目录","极高；PC817/EL817是成熟大宗元件","完全依赖上游元件供应与真伪质量","低；需核对档位、CTR、日期码和真伪","中；型号混装、参数差异和假货风险","低至中；元件应用中的隔离能力不能由分装卖家保证","标准元件转售，无开放设计资产","高风险错配：图片文件和商品发布时间异常，不能确认是该10只光耦包装","淘汰","低价标准元件分装，利润与壁垒均属于渠道而非产品","https://www.tindie.com/products/blinkingsilver/10pcs-pc817c-pc817b-el817-optocoupler-chip|https://www.tindie.com/stores/blinkingsilver/","2026-07-25"
"1bef54cf847c8b27","12 Channel Level Shifter And Buffer","https://www.tindie.com/products/ddebeer/12-channel-level-shifter-and-buffer","已逐页阅读（精确商品页、卖家目录与应用交叉证据）","多通道12V逻辑电平接口板","嵌入式电平转换、电源与控制接口小板产品族","价值来自面向12V控制设备的清晰接线、文档和多平台支持","作为低压控制到12V设备接口的产品化参考","把3.3V或5V MCU的12路逻辑输出缓冲并转换为12V设备控制信号","业余无线电、自动化面板和外设控制开发者","微控制器无法直接可靠驱动12V控制输入","5.95","售价5.95美元，卖家暂休；EzSBC约606单、29评、15款产品，外部业余无线电用户曾用于控制滤波器切换设备","高；逻辑电平转换器成熟，但12路12V控制接口比普通双向小板更垂直","依赖外部MCU、12V设备和具体输入电气特性","中；需验证灌拉电流、保护、共地、瞬态和通道一致性","中高；接线、逻辑极性、负载类型和12V设备兼容支持","低至中；低压设备但错误接线可损坏外部系统","未发现开放硬件复制许可","图片看似为对应多通道板，但未视觉核对丝印和通道版本","市场参考案例","真实垂直接口需求存在，但售价低、通用电路易复制，商业价值更多来自产品族和应用文档","https://www.tindie.com/products/ddebeer/12-channel-level-shifter-and-buffer|https://www.tindie.com/stores/ddebeer/|https://community.flexradio.com/discussion/8026257/level-shifter-board","2026-07-25"
"f8b70f3ce9a349ea","128 240 X 240 Round Tft With Ctp","https://www.tindie.com/products/DisplayModule/128-240-x-240-round-tft-with-ctp","已逐页阅读（精确商品缓存与同类目录）","标准圆形TFT触摸显示组件","圆形TFT、AMOLED和触控显示供应目录","价值来自面板渠道、规格覆盖和小批量供货","淘汰SKU；仅保留供应链类别信息","1.28英寸240×240圆形TFT，带电容触摸和SPI接口","旋钮屏、可穿戴和圆形仪表开发者","需要紧凑圆形彩屏和触摸输入","19.99","商品页显示约19.99美元，另有相近重复 listing 约29.99美元；同店和平台有大量8.99至59.99美元圆形屏","极高；规格重复且供应商众多","依赖面板、触控IC、FPC和长期供货","中高；坏点、触控校准、亮度、时序和批次一致性","高；驱动、机械公差、色差和换料","中；作为组件有限，终端产品要求更高","闭源供应组件，无开放面板设计许可","明确错配：自动图片文件名为DM-OLED12-667show，与1.28英寸TFT触摸屏不一致","淘汰","成熟通用上游显示组件，目录竞争充分，且旧英雄图不可信","https://www.tindie.com/products/DisplayModule/128-240-x-240-round-tft-with-ctp|https://www.tindie.com/stores/DisplayModule/","2026-07-25"
"86bd77a60934a8c0","039 Inch Micro Display 1024X768 For Military","https://www.tindie.com/products/oled-modules/039-inch-micro-display-1024x768-for-military","已逐页阅读（精确商品页与供应目录）","专业微型OLEDoS显示模组","微型OLED、驱动板与近眼光学供应产品族","壁垒在上游面板渠道、分档检测、控制板和技术支持","产品族市场参考；不重复计独立机会","0.39英寸1024×768、60Hz微型SI-OLED，含AV视频适配板，工作温度约-40至70℃","夜视、取景器、军事和仪器显示研发团队","在极小体积中获得高PPI视频显示和宽温工作能力","489.00","售价489美元；页面给出250/400cd每平方米、约200mW、宽温和AV视频适配信息；卖家经营完整微显示与光学目录","中高；专业供给较少但同店和其他供应商有大量相邻规格","依赖上游面板、驱动板、排线和光学系统","很高；坏点、亮度、均匀性、温漂、热和ESD都需检测","高；接口、坏点政策、光学装调和长期供货支持","中高；军事或夜视终端可能涉及出口、眼安全和EMC","闭源供应品，无开放BOM或驱动源码","无合格英雄图；不得使用相邻尺寸或光学组件代替","市场参考案例","高客单专业需求真实，但这是既有微显示供应产品族的一个规格，不能虚增为独立创业机会","https://www.tindie.com/products/oled-modules/039-inch-micro-display-1024x768-for-military|https://www.tindie.com/stores/oled-modules/","2026-07-25"
"5e0d38e914382f7d","049 Micro Oled Display 1920X1080 3000Nits","https://www.tindie.com/products/oled-modules/049-micro-oled-display-1920x1080-3000nits","已逐页阅读（精确商品索引与供应目录）","高亮FHD微型OLED显示模组","微型OLED、驱动板与近眼光学供应产品族","依靠面板渠道、亮度分档、控制板、检测和客户支持","产品族市场参考；不重复计规格","0.49英寸1920×1080、约3000nit微型OLED显示组件","AR、夜视、电子取景器和工业近眼显示团队","需要小体积FHD高亮近眼显示","129.00","同一供应目录列出该3000nit规格约129美元，并同时销售多种0.39至0.71英寸屏、控制板和光学组件","中高；专业但相邻尺寸、亮度和接口组合很多","依赖上游面板、MIPI或LVDS控制和光学件","很高；坏点、亮度分档、热、寿命和接口测试","高；控制板、光学、排线、坏点和停产换料支持","中；进入头戴、夜视和特定行业后风险上升","闭源供应品，无开放设计许可","无合格英雄图；不能以同店其他规格替代","市场参考案例","只是已识别微显示供应产品族的一项规格，商业壁垒不在该单页","https://www.tindie.com/products/oled-modules/049-micro-oled-display-1920x1080-3000nits|https://www.tindie.com/stores/oled-modules/items/","2026-07-25"
"ca59662e0316b5e5","05 Inch Micro Oled Display Fhd 1280X960","https://www.tindie.com/products/oled-module/05-inch-micro-oled-display-fhd-1280x960","已逐页阅读（精确商品索引与供应目录）","0.5英寸近眼微型OLED模组","微型OLED、驱动板与近眼光学供应产品族","价值来自多规格面板、控制板、光学配件和技术支持","产品族市场参考；不重复计规格","0.5英寸1280×960微型OLED及配套控制方案","AR、取景器、显微仪器和头戴研发团队","缩短小体积高PPI显示和视频输入的开发周期","255.00","页面和OLED分类索引显示售价约255美元；卖家同时提供1600×1200、1024×768等相邻规格","中高；同类规格和供应组合密集","依赖面板、控制板、排线与近眼光学件","高；坏点、亮度、刷新、热和时序测试","高；接口、光学、装调、批次与坏点支持","中；终端可能涉及眼安全和EMC","闭源供应品，无开放设计许可","明确错配：自动图片是BirdBath眼镜光学模组，不是0.5英寸裸屏或对应显示模组","市场参考案例","专业需求成立，但属于微显示供应产品族规格，旧版图片还错误展示了光学件","https://www.tindie.com/products/oled-module/05-inch-micro-oled-display-fhd-1280x960|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
