project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"1bb0b5faa2441610","128 Inch Display Breakout Round Lcd Display","https://www.tindie.com/products/sbc/128-inch-display-breakout-round-lcd-display","已逐页阅读","通用圆形LCD显示扩展板","通用显示模块与开发板配件","依靠采购标准屏幕、设计简单转接PCB并覆盖Raspberry Pi/Arduino等生态销售大量相似SKU；价值主要来自库存、示例代码和渠道","淘汰；只有围绕特定行业终端形成外壳、交互、软件、可靠性与认证的完整设备才可重评","1.28英寸240×240、65K色、SPI接口的圆形LCD breakout，面向Raspberry Pi、Arduino等开发板","创客、原型开发者和需要小型圆屏的嵌入式开发者","快速接入标准圆形LCD，减少FPC、供电和接口转接工作","29.99","商品在售且页面显示仅余10件；SB Components店铺约203单、2条评价并有约209个产品，店内已有多款相近LCD、HAT和开发板配件","极高；圆形SPI LCD及其Raspberry Pi/Arduino扩展板已有大量品牌与低价供应","核心依赖标准LCD面板、显示驱动IC和Raspberry Pi/Arduino生态，没有独立系统价值","低；主要是通用PCB、连接器和屏幕采购，但面板批次与驱动兼容需维护","中；示例代码、不同主控电平、驱动库和屏幕批次会带来支持","低；作为低压模块风险有限","页面未显示可复制销售的明确开源硬件许可","基本匹配但需视觉抽检：应展示圆形LCD breakout本体，不能使用Raspberry Pi/Arduino应用示意或店内其他Touchsy/HAT产品","淘汰","它是典型通用显示扩展板，产品独立性低、同类供应极多；卖家规模和库存只能证明该类配件有人买，不能证明存在新的市场空白","https://www.tindie.com/products/sbc/128-inch-display-breakout-round-lcd-display/|https://www.tindie.com/stores/sbc/items/?page=3|https://www.tindie.com/search/?q=1.28%20lcd","2026-07-24"
"fe136ce19cbe599e","030 Mm Acupuncture Needles For 3D Printing","https://www.tindie.com/products/patshead/030-mm-acupuncture-needles-for-3d-printing","已逐页阅读","通用耗材转售","3D打印与咖啡工具小耗材","采购低价通用针具后按小包零售给3D打印喷嘴清理或咖啡WDT工具用户；价值来自便利分装而非硬件设计","淘汰为开源硬件机会；只能作为低价耗材搭售案例，无法支撑独立硬件产品","0.30mm针灸针，用于3D打印机喷嘴清理或咖啡相关3D打印工具","3D打印用户、咖啡WDT工具制作者","临时获得细针清理喷嘴或装配自制咖啡工具","1.00","商品售价1美元；卖家店铺累计约405单、10条评价，但店内是多种小众配件，未看到该针具独立销量或差异化证据","极高；针灸针、喷嘴清洁针和WDT针在通用电商渠道大量存在","完全依赖现成针具供应链，不包含自研电子或机械设计","极低；仅涉及采购和分装","中；针径、长度、锋利度、卫生和用途误解可能产生争议","中；针具跨境、锐器和用途声明存在合规与运输限制","不适用开源硬件许可；属于通用耗材","若图片展示针具或实际用途则基本匹配，但该物品不是应进入最终硬件机会库的产品英雄图","淘汰","售价仅1美元、无设计资产、供应高度通用，属于分装耗材而不是可复制的硬件商业机会","https://www.tindie.com/products/patshead/030-mm-acupuncture-needles-for-3d-printing/|https://www.tindie.com/stores/patshead/|https://www.tindie.com/search/?q=3d","2026-07-24"
"eb1d4e506e09ee6b","049 Inch Micro Oled Birdbath Ar Glasses Pglass","https://www.tindie.com/products/oled-modules/049-inch-micro-oled-birdbath-ar-glasses-pglass","已逐页阅读（当前规范商品页）","AR微显示与Birdbath光学组件","AR/VR微显示器、控制板与光学模组供应","以多规格Micro OLED、控制板、Birdbath/Pancake光学件和组合模组形成专业零部件目录，面向原型和小批量设备开发供货","仅作为专业元器件供应链案例参考；若进入应形成可验证光学指标、驱动软件、结构设计和稳定供货的完整AR显示子系统","0.49英寸1920×1080 Micro OLED与Birdbath光学组合，用于AR眼镜原型，可选HDMI或Type-C双目驱动板","AR眼镜、EVF、可穿戴显示和光学原型开发团队","难以小批量采购匹配的高分辨率微显示、光学模组和控制板","558.00","当前规范商品页售价558美元；Display Components相关店铺分别展示数十个微显示和光学SKU，公开店铺约24单或72单，说明存在小批量专业供货需求但单品销量证据有限","中高；微显示供应商较少但同一卖家及其他供应商已有大量相近尺寸、亮度和光学组合，竞争点在供货与技术支持","强依赖SEEYA/Sony等面板、专用控制板与外部光学供应链","高；需要光学对准、显示一致性、MIPI/HDMI驱动、洁净装配和可靠性验证","高；FOV、畸变、眼盒、亮度、接口、分辨率宣传和屏幕缺陷均会引发专业支持","中高；进入可穿戴整机后涉及眼安全、EMC、无线与人体工学要求","未见允许复制销售的开源硬件、驱动或光学设计许可","需重新视觉核验：原队列使用外部postimg图片，必须确认展示实际0.49英寸Birdbath模组，而不是泛化AR眼镜效果图或其他尺寸产品","市场参考案例","这是高客单、专业用途的真实供应链需求，但本条价值来自专有面板和光学件供货，不是可自由复制的开源硬件机会；适合研究专业部件目录和技术支持模式","https://www.tindie.com/products/oled-modules/049-inch-micro-oled-birdbath-ar-glasses-pglass|https://www.tindie.com/products/oled-module/049-micro-oled-display-birdbath-optics-module/|https://www.tindie.com/stores/oled-module/|https://www.tindie.com/stores/oled-modules/items/","2026-07-24"
"133679aa6e509ab0","062 Micro Ar Display 1728 X 1368 1800Nits 90Hz","https://www.tindie.com/products/oled-module/062-micro-ar-display-1728-x-1368-1800nits-90hz","已逐页阅读","专业Micro OLED显示组件","AR/VR微显示器、控制板与光学模组供应","通过覆盖多尺寸、分辨率、亮度和接口的微显示目录向AR/VR、EVF、热成像和医疗设备原型客户供货","仅作为专业供应链案例参考；需要面板代理能力、驱动板、光学设计、质量分级和长期供货才能形成业务","0.62英寸1728×1368、1800nit、90Hz硅基OLED微显示，可选单目HDMI控制板","AR/VR、EVF、热成像、医疗显示与研发实验室","小批量获得高分辨率高亮度微显示及匹配控制板","445.00","商品售价445美元且页面显示仅余10件；卖家约24单并列出52款微显示与光学产品，证明专业小批量供货但未提供该SKU订单、评价或长期质量数据","中高；专业门槛高但卖家目录内已有大量近似规格，市场不是空白且上游面板厂主导","强依赖专有Micro OLED面板、控制器、MIPI/HDMI板和上游供货","高；像素缺陷、亮度一致性、接口时序、散热、光学匹配和ESD控制要求高","高；客户会要求完整数据手册、寿命、亮度、接口、驱动和质量分级支持","中；作为组件较低，进入医疗、军用或可穿戴整机后显著提高","未见可复制设计或开放驱动许可","无合格英雄图；最终若保留市场参考，必须使用该型号微显示或完整控制板实物图","市场参考案例","高客单和专业应用成立，但它是依赖上游专有面板的元器件供应业务，没有开源设计可复制，也缺少单品市场验证","https://www.tindie.com/products/oled-module/062-micro-ar-display-1728-x-1368-1800nits-90hz/|https://www.tindie.com/stores/oled-module/items/|https://www.tindie.com/browse/supplies-components/?price=o100","2026-07-24"
"43171c49b7ff1e7a","08 Transparent 48X64 Lcd Spi Display Module","https://www.tindie.com/products/questwise-ventures/08-transparent-48x64-lcd-spi-display-module","已逐页阅读","小众透明LCD扩展模块","稀缺显示器件与原型开发模块","通过发现难采购的小众器件并制作可用转接板、文档和样例，以较高便利溢价服务原型客户","保留为小众器件产品化案例；若进入应围绕明确AR、投影或仪表应用提供光学结构、驱动库和成套样机，而不是只卖裸breakout","0.8英寸48×64透明LCD，SPI接口，可用于投影、AR光学或叠加显示原型","光学原型、艺术装置、微型仪表和新型界面开发者","透明小尺寸LCD难以零售采购和快速驱动","19.80","商品售价19.80美元，自2025年8月起售罄；卖家约395单、10条评价并有约123款小众模块，但页面未显示该SKU独立销量或复购","中低；该尺寸透明LCD相对少见，但需求也很小，且容易停留在实验性原型","依赖特定透明LCD面板和上游持续供货，PCB本身价值有限","中；器件易碎、连接与背光/光学条件特殊，供应中断风险高","中高；可视角、对比度、透明度、驱动时序和客户预期需要清晰说明","低；低压显示模块本身风险有限","页面未见明确开放硬件许可","基本匹配但需视觉抽检：应展示透明LCD本体及透明效果，不能只放概念应用图","市场参考案例","器件稀缺性和便利产品化有参考价值，但客单低、需求小、依赖单一面板供应，尚不足以成为严格商业候选","https://www.tindie.com/products/questwise-ventures/08-transparent-48x64-lcd-spi-display-module/|https://www.tindie.com/stores/questwise-ventures/items/?page=3|https://www.tindie.com/browse/newest/","2026-07-24"
"646ae5d6495b8428","100Mw Rf Data Module 1Km Los Wireless Control","https://www.tindie.com/products/lensentech/100mw-rf-data-module-1km-los-wireless-control","已逐页阅读","通用串口无线数传模块","工业串口无线模块与RTU产品族","以多个功率、距离、接口和I/O组合形成无线模块与RTU目录，依靠定制、文档和行业渠道销售","淘汰单个通用模块；只有形成隔离、DIN外壳、诊断、远程配置、认证和行业方案的完整无线RTU才可重评","100mW串口无线数据收发模块，将RS232设备进行约1km视距无线连接","PLC、灌溉、泵控和旧串口设备集成商","没有网络布线条件时替代长距离串口线缆","25.00","商品售价25美元且卖家暂停营业；店铺约117单、4条评价并有50款65至950美元的无线模块、RTU和系统产品，单品没有独立订单证据","高；透明串口数传模块和433MHz/LoRa/FSK方案成熟，价格与性能竞争充分","依赖射频芯片、专有固件、天线和频段配置，单模块没有系统壁垒","中；射频一致性、频偏、灵敏度、天线和批次固件需测试","高；实际距离、干扰、接口电平、波特率、天线和现场环境会造成大量支持","高；频段、功率、占空比、FCC/CE/SRRC及各国433MHz法规","未见开放硬件或固件许可，属于闭源模块","确认不适合作为英雄图：自动图片文件名为Irrigation Xinjiang，属于应用场景图而非该100mW模块本体","淘汰","真实场景存在，但这是成熟、低客单、强合规和高售后的通用无线模块；卖家真正价值来自完整产品族和行业方案，不是这块模块","https://www.tindie.com/products/lensentech/100mw-rf-data-module-1km-los-wireless-control/|https://www.tindie.com/stores/lensentech/items/","2026-07-24"
"36162cde13941cfe","100V24S400V96S Tetra Bms Main Board","https://www.tindie.com/products/tetra-aviation/100v24s400v96s-tetra-bms-main-board","已逐页阅读","高压多串电池管理系统主板","eVTOL、电动车与高压储能BMS子系统","以高压BMS主板和采集子板组成系统，面向专业载具研发团队提供小批量硬件与工程支持","继续观察但不可直接复制；必须取得完整电气架构、功能安全策略、测试数据、失效保护、生产测试和责任保险后才可商业化","支持约100V/24S至400V/96S的teTra BMS主板，需与售价720美元的子板配套","eVTOL、电动车、高压实验平台和定制储能研发团队","高串数电池包需要集中监测、保护、通信和系统级故障管理","860.00","主板售价860美元、子板720美元，两者均缺货；店铺只展示这两款产品，简介称团队开发eVTOL，未显示订单、评价、规格书、认证或量产记录","专业市场竞争高且认证壁垒极高；Tindie直接同类少不能视为市场空白，成熟BMS供应商和整车自研体系占主导","依赖高压采样AFE、隔离通信、接触器、传感器、固件和整包安全架构；单主板不能独立交付价值","极高；高压隔离、爬电距离、采样精度、EMC、热设计、故障注入和全板测试要求严格","极高；错误测量或保护失效可能导致电芯损坏、热失控、整车停机和重大责任","极高；涉及高压安全、功能安全、EMC、运输、电池系统认证和航空/车辆责任","未见开源硬件、固件或允许第三方复制销售的许可","基本匹配但必须视觉抽检：应展示teTra BMS主板本体；不能将子板、整机或eVTOL宣传图代替","观察名单","这是本批唯一具备高客单、明确专业痛点和较完整系统方向的项目，但公开证据只到原型/商品页层级，缺少销售、规格、测试和安全认证，风险极高，不能进入严格候选","https://www.tindie.com/products/tetra-aviation/100v24s400v96s-tetra-bms-main-board/|https://www.tindie.com/products/tetra-aviation/100v24s400v96s-tetra-bms-sub-board/|https://www.tindie.com/stores/tetra-aviation/|https://www.tindie.com/search/?q=boards","2026-07-24"
"615b4899fb02e3b1","1080P 049 Micro Oled Display 1920X1080 3000Nits","https://www.tindie.com/products/oled-module/1080p-049-micro-oled-display-1920x1080-3000nits","已逐页阅读","专业Micro OLED显示组件","AR/VR微显示器、控制板与光学模组供应","销售多种尺寸、亮度、接口的Micro OLED及单/双目控制板，服务AR/VR原型和小批量研发","仅作为专业元器件供应案例；需要稳定上游、屏幕分级、驱动软件、光学与结构集成才能形成可持续业务","SEEYA 0.49英寸1920×1080、3000nit MIPI Micro OLED，可选单目/双目HDMI或Type-C控制板","AR/VR眼镜、EVF、热成像和可穿戴显示开发者","小批量采购高亮1080p微显示并快速连接常见视频接口","129.00","商品售价129美元；卖家约24单并有52款相近微显示、控制板和光学件，另一相关店铺有更多同类SKU；未看到该SKU独立订单或评价","中高；专业供给有限但同店及其他供应商规格重叠明显，竞争受上游面板厂和渠道主导","强依赖SEEYA面板、MIPI接口、控制板和上游供货","高；显示缺陷、亮度一致性、接口时序、ESD、散热和驱动兼容需要专业测试","高；客户会要求数据手册、寿命、亮度、接口、坏点和控制板支持","中；作为组件有限，整机应用可能涉及眼安全和EMC","未见开放设计或固件许可","无合格英雄图；最终若作为市场参考保留，必须补该0.49英寸3000nit屏幕及控制板实物图","市场参考案例","专业需求和客单成立，但它是专有元器件渠道业务，不是可以依据开源资料复刻的独立硬件机会；多个相近SKU应合并为一个供应链产品族","https://www.tindie.com/products/oled-module/1080p-049-micro-oled-display-1920x1080-3000nits/|https://www.tindie.com/stores/oled-module/items/","2026-07-24"
"9961e15732d909b8","10Pcs Usb Type A","https://www.tindie.com/products/blinkingsilver/10pcs-usb-type-a","已逐页阅读","通用连接器库存转售","低价电子元器件与库存分装","采购通用连接器后按小包装零售，依赖库存和渠道而非设计或技术服务","淘汰；不属于开源硬件产品机会","10只USB Type-A母座PCB焊接连接器","维修、原型和小批量PCB制作者","少量采购常见USB-A连接器","3.00","商品售价3美元，自2019年3月起售罄；页面未显示该SKU订单或持续供货，店铺还销售多种无关通用品","极高；USB-A连接器属于全球标准化、大规模供应的成熟元器件","完全依赖通用连接器供应链，没有自研设计","极低；仅采购和分装","低至中；封装尺寸、焊脚、接触品质和批次差异可能导致退换","低；元器件材料合规需要供应商声明","不适用开源硬件许可","基本匹配但无保留价值：图片应为USB-A连接器实物，不应进入最终商业候选主图","淘汰","长期售罄的3美元标准连接器，没有设计资产、市场空白或可形成独立产品的价值","https://www.tindie.com/products/blinkingsilver/10pcs-usb-type-a/","2026-07-24"
"017a4f354968a07e","10X Lcd Display Module Blue Blacklight","https://www.tindie.com/products/universbuy/10x-lcd-display-module-blue-blacklight","已逐页阅读","通用1602 I2C LCD批量转售","Arduino通用显示模块与低价配件","采购成熟1602 LCD加I2C背包后按10片销售，依靠通用品渠道而非独立设计","淘汰；只有集成为特定设备、外壳和软件的完整终端才可重评","10片I2C/IIC 1602蓝色背光字符LCD，面向Arduino兼容板","Arduino教学、原型开发和小批量设备制作者","快速接入廉价字符显示器并减少GPIO占用","43.95","10片售价43.95美元，卖家暂停营业；页面未提供独立订单、评价、性能或差异化证据","极高；1602 I2C LCD是最成熟、价格透明的Arduino通用模块之一","完全依赖标准1602面板、PCF8574类背包和Arduino生态","低；主要是通用模块采购与抽检","中；I2C地址、背光、对比度、库兼容和批次品质会产生支持","低","未见原创设计或开放硬件许可，疑似通用转售品","基本匹配但需确认实际为10片1602 I2C模块；即使匹配也不应进入最终商业候选","淘汰","典型被供应链卷烂的Arduino通用模块，低客单、无差异化、无原创资料，不具备进入价值","https://www.tindie.com/products/universbuy/10x-lcd-display-module-blue-blacklight/","2026-07-24"
