project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"487fc01f4533edfb","12 Lcd Best For Surface Pro 3","https://www.tindie.com/products/dbrown85/12-lcd-best-for-surface-pro-3","已逐页阅读","消费电子替换屏/转售备件","按机型销售消费电子维修备件","从通用维修供应链采购屏幕或部件，按设备型号、兼容信息和库存便利性零售；价值来自备货而非自研硬件","淘汰为开源硬件机会；只有掌握稳定面板渠道、检测分级、维修工具和售后体系的备件业务才可单独评估","Surface Pro 3 1631使用的12英寸替换LCD，页面直接复用了ASIN、商品排名和维修提示","Surface维修店、个人维修者和损坏屏幕的设备用户","原装屏幕破损后需要兼容替换件恢复设备","129.95","商品页显示仅余5件并标注Computer & Mobile Device Repair Kits排名#454；卖家店铺仅约6单、4款商品，未见该屏幕订单、评价或原创设计证据","极高；Surface替换屏由成熟维修配件供应链和大量电商卖家覆盖","完全依赖专有Surface屏幕面板、连接器和第三方备件供应，不存在可复制PCB或固件","不涉及制造，核心是采购、到货检测、坏点分级和包装防护","高；型号兼容、触控、坏点、排线损坏、运输破屏和安装失败均易产生退换货","中；电子废弃物、品牌兼容声明和跨境维修备件责任需管理","不适用开源硬件许可；页面未提供设计资料","基本匹配但需视觉抽检：应展示裸LCD或完整替换屏总成，不能使用Surface整机、无关包装或其他尺寸面板","淘汰","这是标准维修备件转售，不是开源硬件项目；页面信息明显源自通用商品目录，卖家销售验证很弱，无法形成可复制的技术或商业壁垒","https://www.tindie.com/products/dbrown85/12-lcd-best-for-surface-pro-3/|https://www.tindie.com/stores/dbrown85/","2026-07-24"
"fece1499c1a82fb2","0402 Breakout Board","https://www.tindie.com/products/nifteecircuits/0402-breakout-board","已逐页阅读","通用封装转接板","低价元器件breakout与原型配件","用简单PCB将常见SMD封装转成0.1英寸排针，并依靠大量封装SKU、低价和便利发货获取零散订单","淘汰；除非针对昂贵、稀缺或高速器件提供经过验证的阻抗、散热、测试与文档方案，否则不作为商业候选","带10个0402焊盘位置并转接至标准0.1英寸排针的裸PCB","电子爱好者、学生和临时原型开发者","在面包板或排针系统中试用0402封装元件","1.00","商品售价1美元且卖家处于暂停营业；店铺累计约300单、27条评价，但产品族包含大量1至15美元的常见封装转接板，未见该SKU独立需求证据","极高；0402、0603、0805等breakout设计极简单且大量开源/低价供应","仅依赖普通PCB制造，没有核心器件、软件或系统价值","极低；两层PCB即可，但低客单无法覆盖人工、包装和渠道成本","低至中；主要是焊盘尺寸、丝印、邮寄损坏和用户焊接预期","低；低压无源PCB风险有限","页面未显示明确开放硬件许可，且即使开放也缺乏独占性","基本匹配但需视觉抽检：应只展示10位0402转0.1英寸排针PCB，不能混入同店其他封装breakout","淘汰","单价1美元、设计无门槛、市场高度同质化，属于原型耗材而不是值得进入的商业硬件机会","https://www.tindie.com/products/nifteecircuits/0402-breakout-board/|https://www.tindie.com/stores/nifteecircuits/|https://www.tindie.com/browse/Prototyping_Fabrication/?ships_from%5B%5D=US&sort_by=price_low","2026-07-24"
"d936d674833886e7","042 Inch Oled Display Module","https://www.tindie.com/products/adeept/042-inch-oled-display-module","已逐页阅读","通用微型OLED模块","标准显示模块与开发配件","采购标准SSD1306小尺寸OLED并制作通用I2C模块，通过规格覆盖和渠道零售给创客市场","淘汰单一模块；只有围绕具体终端应用形成外壳、交互、软件、可靠性和稳定供货的完整产品才可重评","0.42英寸72×40白色OLED显示模块，I2C接口并使用SSD1306驱动","Arduino、ESP32和微型仪表原型开发者","快速获得小尺寸低功耗文字或状态显示","8.54","商品标价8.54美元并处于缺货状态；页面未显示订单、评价、独特驱动或长期供货证据","极高；SSD1306 OLED模块已被国内供应链和多平台卖家广泛覆盖","核心依赖标准OLED面板、SSD1306驱动和通用I2C生态","低；主要为采购标准模组或简单转接PCB，但屏幕批次和排线质量需管理","中；烧屏、坏点、尺寸误差、驱动库和供货批次会产生支持","低；低压显示模块本身风险有限","未见允许复制销售的明确开源硬件许可","基本匹配但需视觉抽检：必须是0.42英寸72×40 OLED模块本体，不能使用其他尺寸屏幕或开发板应用图","淘汰","这是被充分商品化的标准显示模块，低客单、无明显差异化且当前缺货，不构成新的商业机会","https://www.tindie.com/products/adeept/042-inch-oled-display-module/|https://www.tindie.com/search/?q=oled","2026-07-24"
"6bd668a3edec9824","051550 Replacement","https://www.tindie.com/products/caiusarcade/051550-replacement","已逐页阅读","停产街机定制IC替代件","老街机停产芯片替代件产品族","围绕大量停产定制IC建立兼容替代SKU、维修知识库、原板测试资源和专业口碑；商业价值来自整个长尾产品族而非单块PCB","保留为产品族市场证据；不把该SKU重复计算为独立机会，真正进入需具备逆向能力、原板样本、自动测试夹具和明确IP边界","用于替换Konami街机PCB上脆弱易坏的051550定制IC的预装小板，补齐投币计数/锁定功能并宣称1:1替代","老街机维修商、游戏厅维护者和收藏者","原051550易损坏，导致昂贵且稀缺的Konami街机主板无法启动或持续复位","44.98","商品页显示1条五星评价、仅余5件；真实评价说明安装后修复了Golfing Greats街机；卖家约407单、14条评价并拥有百余个维修替代SKU","单个SKU直接竞争低，但总体市场极小；壁垒来自兼容数据库、原板测试和长期产品族积累","强依赖特定Konami旧主板、原芯片行为逆向和可获得的维修样本","中高；小板制造不难，但兼容性、时序、边界工况和多机型验证要求高","高；拆焊安装、主板其他故障、误诊和兼容争议需要专业支持","低至中；低压配件认证压力有限，但逆向兼容与商标/IP责任需评估","未见允许第三方复制销售的开源硬件许可","基本匹配：图片文件名指向051550_repro_latest，仍需视觉确认展示替代板本体而非原主板或其他芯片SKU","市场参考案例","该产品有真实付费痛点和成功维修评价，但它已经属于前批确认的同一街机替代件产品族；应作为产品族证据保留，不应再虚增为一个独立商业机会","https://www.tindie.com/products/caiusarcade/051550-replacement/|https://www.tindie.com/stores/caiusarcade/items/","2026-07-24"
"f48ec601ab3f7248","10 Bit Adcvms Board Hat For Raspberry Pi V21","https://www.tindie.com/products/cburgess129/10-bit-adcvms-board-hat-for-raspberry-pi-v21","已逐页阅读","通用Raspberry Pi ADC HAT","单板机扩展HAT与开发配件","围绕Raspberry Pi、Arduino和Teensy设计大量ADC、继电器、通信和扩展板，通过产品族、装配选项、文档和技术支持销售","淘汰为新机会；只有针对明确工业测量场景提供隔离、校准、软件、外壳和认证的完整采集设备才可重评","基于MCP3008的8通道10位SPI ADC HAT，可选EEPROM、堆叠排针和完整装配","Raspberry Pi开发者、学生和低成本数据采集原型用户","为没有模拟输入的Raspberry Pi快速增加8路ADC","25.95","商品有2条正面评价并显示仅余3件；卖家约1283单、28条评价、约79款产品，已有多种10/12位ADC HAT和类似扩展板","极高；MCP3008和Raspberry Pi ADC HAT是成熟方案，多个品牌、开源设计和低价模块可替代","强依赖Raspberry Pi HAT生态、MCP3008和用户自行完成主机软件与系统集成","低至中；PCB简单，但模拟前端精度、输入保护和装配选项需管理","中；Linux/Python库变化、接线、输入范围和精度预期会带来大量支持","低至中；低压板卡风险有限，但错误接入高电压可能损坏主机","页面未显示可供第三方复制销售的明确开放硬件许可","基本匹配但需视觉抽检：主图必须突出ADC HAT本体，不能以树莓派整机或应用接线图代替产品英雄图","淘汰","它有真实销量和良好评价，但商业价值来自成熟卖家的产品族、文档和支持；单板本身是高度成熟的树莓派通用HAT，正是本轮需要剔除的板卡拼装型机会","https://www.tindie.com/products/cburgess129/10-bit-adcvms-board-hat-for-raspberry-pi-v21/|https://www.tindie.com/stores/cburgess129/|https://www.tindie.com/stores/cburgess129/reviews/","2026-07-24"
"a95834adb1d72488","1000 1400 Mhz Helix Antenna","https://www.tindie.com/products/alftel/1000-1400-mhz-helix-antenna","已逐页阅读","专业高增益定向天线","小批量专业RF天线与接收分配设备","通过自研或定制天线、射频分配器和低噪声接收产品形成高客单专业目录，依赖电磁设计、实测数据和定制服务而非通用模块低价竞争","观察专业RF产品族；进入严格候选前必须补齐增益方向图、驻波、效率、极化、环境可靠性、客户案例和可复用设计许可","覆盖1000至1400MHz、标称14dBi的螺旋定向天线，用于远距离无线通信或接收","无线通信实验室、SDR/卫星接收用户、科研和专业系统集成商","在1至1.4GHz获得高增益、定向和相对宽带的天线而无需自行电磁设计制造","425.00","商品售价425美元且当前缺货；卖家约160单并有22款天线、主动天线和4/8/12端口接收分配设备，显示存在专业小批量RF产品业务，但该SKU无订单或评价证据","中；专业天线门槛高于普通PCB，但商用螺旋、对数周期、喇叭和定制天线供应商很多","依赖精确机械结构、同轴接口、测量设备和客户系统频段，且无法仅靠PCB代工完成","高；螺距、直径、反射板、连接器和结构公差会显著影响指标，需要VNA/暗室或外场验证","高；客户会要求实际增益、方向图、VSWR、极化、功率和安装环境数据","中；被动接收用途较低，发射使用涉及频谱法规、功率和EMC责任","未见开放天线结构、测试数据和商业复制许可","基本匹配但需视觉确认：应展示完整螺旋天线、反射板和接口，不能只用仿真图或其他频段天线","观察名单","这是少数具有高客单和专业技术门槛的实物产品族，但单品缺货且缺乏可验证RF测试、销量和开放设计证据；值得进一步研究专业RF定制业务，不足以直接判为严格候选","https://www.tindie.com/products/alftel/1000-1400-mhz-helix-antenna/|https://www.tindie.com/stores/alftel/items/","2026-07-24"
"b11f115597eb1113","1016 Led Message Board","https://www.tindie.com/products/cheerful/1016-led-message-board","已逐页阅读","成品化LED信息牌/可选套件","小众复古显示与音频创客产品族","将有明确视觉效果的电路做成可选套件或完整装配成品，并依靠文档、动画固件和稳定店铺口碑获取爱好者订单","作为产品化方法参考；只有面向特定场景提供外壳、内容管理、联网、可靠性和持续软件服务才可能升级为商业候选","由10个大型16段LED字符组成的信息牌，提供动画效果并可选择DIY套件或完整装配测试版本","复古显示爱好者、电子礼物买家、创客和小型展示装置制作者","快速获得具有复古视觉效果、可显示文字和动画的桌面LED标牌","43.00","商品售价43美元并仅余4件；卖家约895单、72条评价且产品线包含OPL音频板、温度计和多个套件，证明卖家具备成熟创客产品化和支持能力，但未见该SKU独立评价或销量","高；LED矩阵、字符屏、WiFi信息牌和DIY时钟等创客产品非常拥挤","依赖标准LED字符器件、微控制器和爱好者内容生态，技术本身不稀缺","中；套件需处理焊接难度、BOM齐套和测试，成品需外观与包装","中；装配质量、固件使用、供电和用户内容预期会产生支持","低；低压桌面设备风险有限","页面未显示明确开放硬件与固件许可","基本匹配但需视觉抽检：必须展示10位16段LED信息牌本体和点亮效果，不能只放动画截图、PCB局部或其他OPL产品","市场参考案例","它比裸模块更接近可销售产品，并由成熟卖家提供套件与成品选项；但目标仍偏爱好者，竞争拥挤且缺少独立销量证据，适合学习产品化而不进入严格候选","https://www.tindie.com/products/cheerful/1016-led-message-board/|https://www.tindie.com/stores/cheerful/|https://www.tindie.com/search/?q=led","2026-07-24"
"f29e6d9c5721bcb4","10Ppm 0015 Tol Precession Res Module","https://www.tindie.com/products/eastwood/10ppm-0015-tol-precession-res-module","已逐页阅读","工业可编程精密电阻模块","精密电阻仿真、校准与自动测试设备产品族","利用磁保持继电器电阻网络、四线制、隔离通信和DIN导轨结构，向工业测试、汽车电子和传感器仿真客户销售高精度模块及便携电阻箱","观察名单；需核验校准溯源、长期漂移、继电器寿命、测试报告、客户案例、销量和许可，才可评估是否能以更低成本切入细分自动测试市场","1Ω至111.111kΩ、10mΩ步进的可编程电阻模块，标称±(0.015%读数+20mΩ)、10ppm典型温漂，支持隔离RS-232/RS-485/CAN和DIN导轨安装","汽车电子测试、传感器/电桥仿真、工业自动测试和校准实验室","以较低成本替代PXI可编程电阻卡，进行多节点远程阻值仿真和自动测试","309.00","商品售价309美元；页面提供技术说明、外部文档、一年质保和完整精密电阻产品族；店铺约42单，并声明QR10曾完成Kickstarter，但该SKU未显示独立订单或评价","中；专业仪器供应较少但客户要求严格，市场已有PXI卡、电子负载、可编程电阻箱和多家精密测试设备厂商","依赖高精度电阻、磁保持继电器、隔离通信、电阻校准和稳定温控设计，但核心价值并非通用开发板","高；需要四线校准、温漂与长期漂移验证、继电器寿命测试、EMC与生产一致性控制","高；准确度声明、校准环境、接口协议、继电器磨损和客户自动化集成需要专业支持","中；工业设备涉及EMC、绝缘、ESD和测试责任，但不属于医疗或高压主设备","页面有外部文档但未见允许第三方复制销售的开放硬件许可","基本匹配但需视觉核验：应展示BMR-L精密电阻模块及DIN外形，不能使用QR10便携电阻箱或同店其他RM系列代替","观察名单","该产品具有明确B2B测试痛点、高客单、可量化指标和产品族，明显优于普通模块；但销售验证、校准溯源、长期可靠性和开放许可不足，现阶段只能进入重点观察","https://www.tindie.com/products/eastwood/10ppm-0015-tol-precession-res-module/|https://www.tindie.com/stores/eastwood/|https://www.eastwood.tech|https://www.tindie.com/browse/testers/?price=o100&sort_by=popularity","2026-07-24"
"0c81d4e85727ce46","110 220V Smart Power Switch For Indoor Lighting","https://www.tindie.com/products/aeonlabs/110-220v-smart-power-switch-for-indoor-lighting","已逐页阅读","市电智能墙壁开关原型/小批量商品","智能家居市电控制设备","以小批量自研或定制智能家居与汽车改装产品高价销售，并提供硬件设计服务；当前业务验证极弱","淘汰当前单品；只有完成UL/ETL/CE等安全与EMC认证、无线协议兼容、保险、安装规范和规模化售后后才可重新评估","适配OEM墙盒的110至220V室内照明智能电源开关，页面存在两个近似重复商品URL","家庭自动化用户、电工和智能建筑集成商","在原墙盒内远程或智能控制市电照明","200.00","商品售价200美元且两个页面均缺货；卖家店铺仅约2单，虽有12款智能家居、汽车升级和设计服务商品，但未见本开关销量、评价、认证或协议说明","极高；Zigbee、WiFi、Matter和传统智能墙壁开关已有大量19至80美元成熟产品，200美元价格缺乏明显优势","依赖市电开关器件、无线/控制协议、墙盒标准和专业安装，且页面未明确核心协议与生态","高；需要爬电距离、阻燃外壳、继电器寿命、浪涌、过温、接线端子和量产一致性验证","极高；安装错误、负载类型、零线需求、断网、继电器粘连和售后责任均严重","极高；110/220V墙内设备需要电气安全、EMC、无线、消防和地区安装规范认证","未见开放硬件、固件或安全认证资料","基本匹配但需视觉抽检：应展示完整墙壁开关本体、接线端和外壳，不能只用安装场景或无关智能家居照片","淘汰","这是高风险市电产品，却没有销量、评价、协议、认证或成本优势；以2单店铺和缺货状态无法支持商业化判断，风险远高于潜在收益","https://www.tindie.com/products/aeonlabs/110-220v-smart-power-switch-for-indoor-lighting/|https://www.tindie.com/products/aeonlabs/110-220v-smart-power-switch-for-indoor-lighting-2/|https://www.tindie.com/stores/aeonlabs/|https://www.tindie.com/search/?q=zigbee%20switch","2026-07-24"
"8f1bf91e7aa8e6ae","12 390X390 Round 350 Nits 167 M Amoled","https://www.tindie.com/products/DisplayModule/12-390x390-round-350-nits-167-m-amoled","已逐页阅读","标准圆形AMOLED显示组件","专业与小批量显示模组供应目录","依靠大量尺寸、分辨率、亮度和接口的标准显示面板目录，为原型团队提供小批量采购和基础文档；价值来自供应链而非自研终端","淘汰为独立机会；该显示供应模式已在前批作为产品族市场参考记录，不再将每个尺寸SKU重复计算","1.2英寸390×390、350nit、16.7M色的圆形AMOLED，采用MIPI接口","智能手表、仪表、可穿戴和圆形界面原型开发者","小批量获得圆形高分辨率全彩AMOLED用于原型和低量设备","19.99","商品售价19.99美元并显示仅余10件；卖家店铺只有约2单，却列出大量19至119美元的相似圆形TFT/OLED/AMOLED尺寸，缺少该SKU订单、评价和长期供货证明","高；圆形显示组件有多家中国供应商，同一店铺内部也有大量近似尺寸和规格","强依赖专有AMOLED面板、MIPI驱动、上游供货和客户自研控制板，卖家不掌握终端系统价值","中；面板本身由上游生产，零售方主要承担采购、FPC/接口和批次质量管理","高；MIPI时序、数据手册、驱动板、坏点、寿命和供应批次会产生专业支持","低至中；作为组件风险有限，进入可穿戴整机后EMC和可靠性要求提高","未见允许复制面板或转接设计的开放硬件许可","基本匹配但需视觉抽检：应展示该1.2英寸390×390 AMOLED或明确型号模组，不能使用其他尺寸圆屏、渲染图或整机效果图","淘汰","它是标准上游显示组件且同一供应模式已经在批次009记录；店铺仅2单、规格同质化严重，不应再被包装成独立商业机会","https://www.tindie.com/products/DisplayModule/12-390x390-round-350-nits-167-m-amoled/|https://www.tindie.com/stores/DisplayModule/|https://www.tindie.com/browse/lights-and-displays/?page=4&ships_to=US&sort_by=price_low&stock=yes","2026-07-24"
