project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"23b6bf237f15868e","spielwiese","https://gitlab.com/egos-tech/spielwiese","已复核（精确GitLab项目页与README）","Python/Docker网页调试软件","HTTP请求回显与开发调试工具","开源软件、托管调试服务或开发者工具","淘汰为硬件机会","打印HTTP请求信息的微型Python Web服务器","Web开发者、测试工程师和内部平台团队","快速查看请求头、参数和代理行为","","项目页明确为Tiny python webserver；Pipeline badge只是CI状态图标","高；HTTP echo、request inspector和Webhook调试服务成熟","依赖Python、Docker和Web运行环境","无硬件制造","软件部署、浏览器和网络兼容维护","低；托管时涉及请求数据与隐私","MIT","无硬件本体；Pipeline badge不是英雄图","淘汰","这是网页调试软件，旧分类仅因README含GitLab badge而误判。","https://gitlab.com/egos-tech/spielwiese","2026-07-26"
"529c5b0c76de55c1","11ty-Gamification","https://gitlab.com/brennankbrown/11ty-Gamification","已复核（精确源页面正文）","11ty博客主题/网页软件","写作游戏化与数字徽章软件","主题模板、托管服务或内容创作者工具","淘汰为硬件机会","把写作连续天数、里程碑和热力图做成游戏化体验的11ty博客主题","博客作者、内容平台和教育社区","提升持续写作参与度和反馈感","","正文明确为blog theme，badge指数字成就图标；无硬件或实体商品证据","高；博客主题、习惯追踪和游戏化插件供给丰富","依赖11ty、前端构建和Web托管","无硬件制造","主题兼容、构建依赖和前端维护","低","待核验","无硬件本体；数字badge不能当电子徽章图片","淘汰","项目是网页主题，即使可商业化也属于软件模板，与开源硬件无关。","https://gitlab.com/brennankbrown/11ty-Gamification","2026-07-26"
"2ea82ede0e1f8cd4","Superbadge-Apex-Specialist","https://gitlab.com/techyrushi/Superbadge-Apex-Specialist","已复核（精确源页面正文）","Salesforce学习解题仓库","在线认证课程辅导内容","培训、课程笔记或咨询","淘汰为硬件机会","用于完成Salesforce Trailhead Apex Specialist superbadge的解题资料","Salesforce学习者和培训机构","帮助学习者完成软件开发认证任务","","说明直接写明用于解决获得Apex Specialist superbadge过程中的问题；无硬件设计或实体商品","高；认证教程和解题资料众多","完全依赖Salesforce Trailhead和Apex生态","无硬件制造","课程版本和平台规则变化","中；可能涉及认证答案与平台条款","待核验","superbadge是数字学习徽章，不是硬件英雄图","淘汰","这是软件认证学习资料，旧分类把数字superbadge误判为电子徽章。","https://gitlab.com/techyrushi/Superbadge-Apex-Specialist","2026-07-26"
"eeb91d467f12f44a","terraform-gitlab-groups","https://gitlab.com/jsonc/terraform-gitlab-groups","已复核（精确GitLab项目页）","Terraform基础设施软件模块","GitLab组织治理自动化","开源软件、企业DevOps咨询与托管","淘汰为硬件机会","通过YAML管理GitLab组层级、项目、标签、徽章、审批与安全策略的Terraform模块","GitLab企业管理员、DevOps和合规团队","自动化大规模GitLab组织与治理配置","","项目页明确为Terraform module；badge一词指GitLab数字徽章，无硬件内容","中高；GitLab provider、模板和治理工具成熟","依赖Terraform、GitLab API和企业权限模型","无硬件制造","API版本、权限和状态漂移维护","中；配置错误可能影响企业权限与安全","待核验","无硬件本体","淘汰","企业DevOps软件模块，不是可制造硬件。","https://gitlab.com/jsonc/terraform-gitlab-groups","2026-07-26"
"66c6b160c0539faa","FTC-Skystone-Dark-Angels-Romania-2020","https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020","已复核（精确GitHub仓库README）","竞赛机器人SDK与Android控制软件","FIRST Tech Challenge软件分叉","教育培训、竞赛服务和软件支持","淘汰为独立硬件机会","2019—2020 SKYSTONE赛季FTC SDK及Android控制应用源码分叉","FTC参赛队伍、学校和培训机构","为竞赛机器人提供控制软件与示例","","README说明是公开FTC SDK并建议当前赛季改用官方仓库；297 stars、89 forks属于软件传播","高；官方SDK、队伍分叉和培训资料大量存在","依赖FTC规则、Android、官方SDK和外部机器人硬件","本仓库无独立硬件制造","赛季规则、SDK和Android版本持续变化","低至中；竞赛规则与教育使用","上游FTC SDK许可需核验","无独立硬件产品图","淘汰","旧赛季机器人控制软件，不是机器人整机或可复制硬件。","https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020","2026-07-26"
"d6e2396b048ebf3d","badgie","https://gitlab.com/saferatday0/badgie","已复核（精确GitLab项目页与源记录）","README数字徽章软件","状态徽章生成与嵌入工具","开源软件或托管Web服务","淘汰为硬件机会","用于向README或网页添加数字状态徽章的Badgie工具","软件项目维护者","快速展示构建、版本或项目状态","","描述为Add all the badges with Badgie并链接badgie.me；3 stars、0 forks，无硬件资料","极高；Shields.io及多种badge服务成熟","依赖Web、SVG和代码托管平台","无硬件制造","API、模板和托管维护","低","待核验","网页badge不是电子徽章","淘汰","纯软件数字徽章工具，类别误判明显。","https://gitlab.com/saferatday0/badgie|https://badgie.me","2026-07-26"
"3b869ab5f76ffc4a","notifiers","https://gitlab.com/egos-tech/notifiers","已复核（精确GitLab项目页与README）","Python通知软件库","应用通知与消息集成软件","开源软件、集成服务或托管通知","淘汰为硬件机会","供egos-tech项目使用的Python notifier库","软件开发者和平台团队","统一发送应用通知","","README明确为Python library for notifiers；Pipeline badge只是CI状态；0 stars、0 forks","极高；通知SDK、消息平台和开源库成熟","依赖Python及外部通知渠道","无硬件制造","第三方API和凭据维护","中；消息数据和隐私","待核验","无硬件本体；CI badge无效","淘汰","软件库因README状态徽章被误收录，不能进入硬件评分。","https://gitlab.com/egos-tech/notifiers","2026-07-26"
"05af776bf0098c21","playwright","https://gitlab.com/egos-tech/playwright","已复核（精确GitLab项目页与README）","浏览器测试容器/软件","自动化浏览器测试基础设施","开源软件、CI服务和测试咨询","淘汰为硬件机会","在Alpine环境运行Playwright针对Chromium执行测试的Runner","软件测试、QA和DevOps团队","在CI中稳定运行浏览器自动化测试","","README明确为Alpine runner for Playwright browser tests；release badge只是数字状态","极高；Playwright官方镜像和CI模板成熟","依赖Playwright、Chromium、容器和CI环境","无硬件制造","浏览器、依赖和容器安全更新","低","待核验","无硬件本体","淘汰","软件测试运行环境，不是硬件项目。","https://gitlab.com/egos-tech/playwright","2026-07-26"
"25062ab422de91e4","USBSID-Pico","https://github.com/LouDnl/USBSID-Pico","已逐页阅读（README、硬件、许可与销售链接）","复古音频专用USB硬件","Commodore SID芯片USB接口与音乐硬件","半组装板、套件、授权经销、配件与专业支持","观察既有产品族；不得直接复制最新版本","基于RP2040/RP2350的双SID插座USB/WebUSB/MIDI接口板","C64收藏者、Chiptune音乐人和复古电脑维修者","让真实SID芯片通过现代电脑、手机、播放器和MIDI环境工作","35","README列出SmallRun、PCBWay及授权经销；Tindie v1.3套件约35美元并已售罄；110 stars、5 forks","中；SIDBlaster、HardSID、SIDKick、ARMSID等方案已存在，但用户群垂直","依赖Pico/Pico2、SID芯片、复古软件生态和第三方播放器","多电压供电、低噪声模拟音频、SID兼容与插座装配需逐板测试","真实SID昂贵易损；电压、噪声、驱动和播放器兼容支持负担高","低至中；USB、音频ESD及损坏客户稀缺SID芯片的责任","软件GPLv2；v1.0/v1.3硬件CC BY-SA 4.0；最新v1.5为CC BY-NC-ND 4.0，禁止商业复制和修改","自动图为项目实际PCB，基本匹配；最终需抽检具体修订版","观察名单","真实、完整且已有销售的垂直硬件，不是普通Pico教程；但市场小、售后重，且最新版本许可禁止商业复制。","https://github.com/LouDnl/USBSID-Pico|https://smallrun.net/shop/loud|https://www.retro8bitshop.com/product/usbsid-pico-by-loud/","2026-07-26"
"d5b57d8e5076af88","GitStar","https://gitlab.com/dpvasani/GitStar","已复核（精确源页面正文）","React/Vite网页应用","GitHub成就与个人资料展示软件","Web应用、内容站或开发者服务","淘汰为硬件机会","展示GitHub个人资料成就、徽章和解锁方法的Web应用","GitHub用户和开发者社区","理解和展示GitHub数字成就","","说明明确为React和Vite构建的现代Web应用；badge指GitHub数字成就","高；GitHub资料统计和成就展示工具众多","依赖GitHub API、React/Vite和Web托管","无硬件制造","GitHub API和成就规则变化","低；注意API与用户数据","待核验","无硬件本体","淘汰","数字成就展示网站，与硬件无关。","https://gitlab.com/dpvasani/GitStar","2026-07-26"
