"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"6860a7dda33ed674","07Xx Replacement","https://www.tindie.com/products/caiusarcade/07xx-replacement/","已逐页阅读（商品正文、库存与卖家数据）","老街机停产定制IC替代板","老街机停产芯片与专用器件替代件产品族","依靠大量长尾SKU、原板测试资源、兼容数据库和维修口碑形成业务","产品族市场参考；不把单个型号重复计为新机会","替代Namco 80年代多款街机PCB中易损07xx定制IC的预组装板","街机PCB维修商、游戏厅维护者和收藏者","原07xx易损，失效会使昂贵且稀缺的Mappy、Galaga、Pole Position等原板报废","44.99","商品页显示仅余2件；卖家391单、13条评价，并持续销售大量街机定制IC替代件","单型号竞争较低，但总市场极小且已被完整产品族覆盖","强依赖特定Namco原板、逆向兼容和真实故障板测试","中；每个型号需兼容验证、治具和长尾SKU管理","高；其他PCB故障可能被误判为芯片故障","低至中；低压配件但存在逆向与历史IP边界","未提供可商业复用的开放硬件许可","明确不能按型号通过：与04xx记录使用同一图片URL，无法证明是07xx本体","市场参考案例","真实维修痛点成立，但单SKU不是独立机会；壁垒是完整长尾产品族、测试资产和维修信誉","https://www.tindie.com/products/caiusarcade/07xx-replacement/|https://www.tindie.com/stores/caiusarcade/","2026-07-25"
"9a92b97d5c24ef24","096 128X64 I2C Blue Color Oled Display 4 Pin","https://www.tindie.com/products/jasonkits/096-128x64-i2c-blue-color-oled-display-4-pin/","已逐页阅读（商品正文与卖家数据）","标准0.96英寸SSD1306 OLED模块","低价单色OLED与通用显示模块产品族","靠元件采购、库存、跨境渠道和教程生态销售，不靠独特设计","淘汰单品","0.96英寸128×64蓝色SSD1306、I2C、3.3至5V四针OLED模块","Arduino、树莓派和嵌入式原型开发者","给小型设备快速增加低功耗文字和图形显示","5.98","售价5.98美元；JasonKits有968单、40条评价，但没有该SKU独立销量证据","极高；SSD1306四针模块是全球成熟通用品","完全依赖标准面板、参考设计和现成软件库","低；采购、焊接和显示抽检","中；地址、供电、针脚、坏点和批次替换","低","未见原创硬件文件或商业复用许可","文件名为通用1.jpg；大概率相关但未完成具体型号视觉核验","淘汰","需求真实但已被低价供应链和成熟生态卷烂；卖家总订单不代表市场空白","https://www.tindie.com/products/jasonkits/096-128x64-i2c-blue-color-oled-display-4-pin/|https://www.tindie.com/stores/jasonkits/|https://www.adafruit.com/product/326","2026-07-25"
"b24fcec6060c852b","096 Inch I2Ciic 4 Pin Oled Display Module White 2","https://www.tindie.com/products/minibit/096-inch-i2ciic-4-pin-oled-display-module-white-2/","已逐页阅读（商品正文与卖家目录）","标准0.96英寸SH1106单色OLED模块","低价单色OLED与通用显示模块产品族","靠标准模块分销与小目录销售","淘汰单品；与蓝色模块合并看待","0.96英寸128×64白色SH1106、I2C、3.3至5V OLED模块","入门嵌入式、IoT和原型开发者","低成本增加白色单色小屏","4.99","售价4.99美元；卖家同时销售ESP8266、传感器等通用模块，未见该SKU订单或评价","极高；规格和功能高度标准化","依赖现成SH1106屏体、控制板和开源驱动库","低；采购与显示抽检","中；SH1106/SSD1306兼容差异、I2C地址和针脚顺序","低","未见原创BOM、Gerber或商业复用许可","文件名与白色OLED相符，但仍仅标记大概率相关，未做最终视觉抽检","淘汰","低价成熟通用模块，价值属于采购和渠道，不属于独立产品机会","https://www.tindie.com/products/minibit/096-inch-i2ciic-4-pin-oled-display-module-white-2/|https://www.tindie.com/stores/minibit/|https://www.adafruit.com/product/326","2026-07-25"
"f5b9a7684783b42f","10 Male Pic Programming Cable","https://www.tindie.com/products/schmart/10-male-pic-programming-cable/","已交叉核验（Tindie索引缓存、制造商商品页与卖家目录）","PIC编程器标准转接线","开发工具线缆与通用配件产品族","靠品牌配套、现货目录和与自家开发板兼容销售","淘汰单品","约10英寸RJ11至6针公头的Microchip PIC开发板编程线","PIC开发者、维修人员和实验室","连接PIC programmer/debugger与目标板","7.00","Tindie售价7美元；制造商官网售价9美元；Tindie店铺46单、1条评价并有88款配件","高；接口标准，替代线材和自制线容易获得","依赖Microchip PIC编程接口和SchmartBoard生态","低；线序、压接和导通测试","中；公母头、线序、目标板接口和针数文案易造成误购","低；无源低压线材","标准配件，无开放设计资产","自动图片为普通现场照片；未确认具体线序与公头细节，保留待视觉抽检","淘汰","低客单标准线材，商业价值只在配套目录和品牌兼容","https://www.tindie.com/products/schmart/10-male-pic-programming-cable/|https://schmartboard.com/10-male-pic-programming-cable-920-0138-01/|https://www.tindie.com/stores/Schmart/items/","2026-07-25"
"ae745ef9d6e8c295","10 Pcbs For Diy Rgb Shades Controlled By Arduino","https://www.tindie.com/products/Sherry/10-pcbs-for-diy-rgb-shades-controlled-by-arduino/","已逐页阅读（商品正文与教程定位）","Arduino RGB眼镜教程裸PCB包","LED穿戴玩具、派对眼镜与教程PCB产品族","靠教程流量和低价裸板包销售，缺少成品品牌、外壳和内容IP","直接淘汰","用于YouTube教程中Arduino控制RGB LED眼镜的裸PCB包","电子爱好者、学生和派对穿戴DIY用户","快速复刻会发光的RGB派对眼镜","9.90","正文明确称为兴趣制作并引导YouTube教程；标题称10块但正文称5块，未见订单评价","极高；LED眼镜、可编程眼镜和现成成品大量存在","强依赖Arduino、LED、外部教程及用户自行采购组装","低；仅裸PCB","中高；数量表述矛盾、焊接、BOM兼容和教程维护","低至中；穿戴成品还涉及电池与眼前亮度","页面未给可商业复用的开放硬件许可","图片文件名仅5.jpg，无法确认裸PCB数量或是否展示成品眼镜","淘汰","页面明确是教程配套裸板和兴趣玩具，不是独立成品，且市场高度饱和","https://www.tindie.com/products/Sherry/10-pcbs-for-diy-rgb-shades-controlled-by-arduino/","2026-07-25"
"33fe75856d2a3534","106 Inch 1080P 10 Points Capacitive Touchscreen","https://www.tindie.com/products/Eleduino88/106-inch-1080p-10-points-capacitive-touchscreen/","已逐页阅读（商品正文、库存、卖家和现行竞品）","通用SBC/游戏机HDMI触控显示器","树莓派与SBC通用触控显示器供应产品族","依靠面板采购、驱动板、外壳、认证、文档与渠道","淘汰当前SKU；只作成熟供应链反例","10.6英寸1920×1080十点电容触摸显示器，支持HDMI/VGA/AV及多种SBC/游戏机","树莓派、工控SBC、便携显示和游戏机改装用户","为SBC或游戏设备提供一体式高清多点触控显示","159.00","售价159美元但已缺货；卖家自2017年以来0单；Waveshare同尺寸成熟产品约105至111美元并有文档和认证","极高；Waveshare、52Pi和通用便携屏供给成熟","依赖上游面板、通用驱动板、触控控制器和SBC兼容","高；面板批次、固件、贴合、结构、EMI和运输破损","很高；分辨率、驱动、供电、线缆、坏点和系统兼容","中高；整机涉及CE/FCC、HDMI、电源和EMC","无开放BOM、驱动板设计或商业复用许可","图片文件名仅为未标题-6，无法核对型号；不能自动通过","淘汰","接近成品但不是市场空白：零订单、缺货、售价高于成熟竞品且售后门槛高","https://www.tindie.com/products/Eleduino88/106-inch-1080p-10-points-capacitive-touchscreen/|https://www.tindie.com/stores/Eleduino88/|https://www.waveshare.com/product/10.1inch-hdmi-lcd-with-case.htm|https://www.waveshare.com/product/10.1inch-hdmi-lcd-b-with-case.htm","2026-07-25"
"0aa6c3f44bca704e","10X10 Rgb Led Matrix","https://www.tindie.com/products/mfkamprath/10x10-rgb-led-matrix/","已逐页阅读（商品正文、评价、停售时间和卖家目录）","教育用焊接RGB LED矩阵套件","LED矩阵、光立方与创客焊接教学套件产品族","靠教学内容、套件包装和创客目录销售，单板技术壁垒低","淘汰单品","使用5片74HC595控制的10×10 RGB LED焊接组装套件","电子入门学习者、学校社团和创客","学习移位寄存器、LED复用和焊接","17.50","有1条正面评价；卖家572单、20条评价；该SKU自2021年9月起售罄，另有16×16矩阵套件","极高；MAX7219、WS2812、HUB75及大量矩阵套件可替代","依赖通用74HC595、LED和用户主控","低至中；套料、PCB和焊接说明","中高；100颗LED高度、焊接质量、时序和电源问题","低；低压教育套件","未见开放硬件许可或可复用课程IP","IMG_6143可能是项目照片，但未视觉核验套件内容和10×10数量","淘汰","典型创客教学套件，长期售罄且技术路线已被更简单的地址灯珠矩阵取代","https://www.tindie.com/products/mfkamprath/10x10-rgb-led-matrix/|https://www.tindie.com/stores/mfkamprath/","2026-07-25"
"679d85cd47bf5f78","1284 Narrow Atmega1284 Arduino Compatible Board","https://www.tindie.com/products/pandauino/1284-narrow-atmega1284-arduino-compatible-board/","已逐页阅读（商品正文、价格、卖家产品族与文档链接）","Arduino兼容8位AVR开发板","长尾AVR/Arduino兼容开发板产品族","靠小众MCU规格、开发板变体、Bootloader和文档销售","淘汰单品；仅参考长尾开发板产品族","窄体ATmega1284开发板，但页面正文又称ATmega644，主打比Nano更多RAM","需要较多RAM和引脚、仍使用8位AVR生态的开发者","在Arduino式体验下获得比Nano更多RAM和I/O","29.00","售价29美元、50片降至22美元；卖家仅13单并有644/1284及带OLED变体；当前缺货","高且需求萎缩；现代megaAVR、AVR DA、RP2040和ESP32替代充分","依赖Arduino核心、ATmega器件供货和小众Bootloader","低至中；板卡简单但器件供货与测试需维护","中高；标题1284而正文称644，核心、引脚和Bootloader差异会造成支持问题","低；低压开发板","链接GitHub文档，但商品页未确认硬件许可和商业复制权限","明确高风险错配：图片文件名为k6502_kit2.jpg，与ATmega1284开发板不符","淘汰","小众且逐渐过时的Arduino兼容板；低订单、缺货、型号矛盾和英雄图疑点均不支持进入","https://www.tindie.com/products/pandauino/1284-narrow-atmega1284-arduino-compatible-board/|https://www.tindie.com/stores/pandauino/|https://pandauino.com/en/644-1284-narrow-2/","2026-07-25"
"9b7daeb90dc634f0","023 Color Micro Oled Display 640400 For Arvr","https://www.tindie.com/products/hicenda/023-color-micro-oled-display-640400-for-arvr/","已逐页阅读（商品正文、价格、配置和卖家目录）","0.23英寸微型OLED加CVBS驱动板","微型OLED、驱动板与近眼光学供应产品族","靠上游面板渠道、多规格库存、控制板、光学件、检测和技术支持","产品族市场参考；不把规格页重复计为独立机会","HGECX336AF 0.23英寸640×400全彩微OLED，800cd/m²，配CVBS驱动板并可选光学件","AR/VR、电子取景器、头戴显示和小型仪器研发团队","在极小体积内快速获得高PPI彩色显示和现成视频驱动","215.00","售价215美元；Hicenda约22单、29款显示产品，有多种0.23/0.39/0.5/0.71英寸微显示和光学件","中高；专业需求存在，但平台内多个供应商和近似规格可替代","高度依赖上游硅基OLED面板、驱动板、排线和光学件","很高；坏点、亮度、色彩、时序、热、ESD和批次一致性","高；接口、控制板、光学匹配、坏点政策和寿命支持","中；进入眼前终端后涉及眼安全、EMC和终端认证","闭源供应组件，无开放BOM、面板设计或驱动源码许可","原数据无合格英雄图；不得使用同店其他0.23英寸或光学模组图片代替","市场参考案例","高客单专业供应链真实，但只是既有微显示产品族的一个规格；应研究供应与检测能力而非复制SKU","https://www.tindie.com/products/hicenda/023-color-micro-oled-display-640400-for-arvr/|https://www.tindie.com/stores/hicenda/items/|https://www.tindie.com/browse/supplies-components/?ships_to=CN&sort_by=in_stock&stock=yes","2026-07-25"
"0d51045996ef8eb9","039 Micro Oled Display 1024768 For Military","https://www.tindie.com/products/oled-module/039-micro-oled-display-1024768-for-military/","已交叉核验（Tindie商品索引缓存与完整卖家目录；直接页暂时异常）","0.39英寸微型OLED加CVBS控制板","微型OLED、驱动板与近眼光学供应产品族","靠面板渠道、规格目录、控制板、分档检测和技术支持","产品族市场参考；不重复计规格","0.39英寸1024×768微OLED配CVBS控制适配板，面向EVF和军用/夜视类显示","电子取景器、夜视、工业和头戴显示研发团队","快速获得小尺寸XGA微显示及视频输入控制板","485.00","索引售价485美元；Display Components约24单、52款微显示、驱动板和光学产品","中高；同店和Hicenda已有多个0.39英寸1024×768规格","依赖上游面板、控制板、排线、分档和长期供货","很高；坏点、亮度、均匀性、时序、温度范围和寿命","高；所谓军用应用不等同军规认证，客户会要求规格、环境和坏点保证","中高；进入军用、夜视或头戴终端后出口、环境、眼安全和EMC要求上升","闭源供应组件，无开放硬件和商业复制许可","原数据无合格英雄图；不得以同店其他0.39英寸或BirdBath图片替代","市场参考案例","高客单专业组件有供应链参考意义，但不是可复制的开源商业机会；核心资产属于上游渠道、检测和客户支持","https://www.tindie.com/products/oled-module/039-micro-oled-display-1024768-for-military/|https://www.tindie.com/stores/oled-module/items/|https://www.tindie.com/stores/hicenda/items/","2026-07-25"
