project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
cbe1581868574335,make-pull-request,https://gitlab.com/pratyush0898/make-pull-request,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,精确正文将其定义为：## make-pull-request This repo is excluded from Hacktoberfest. Kindly use it for learning purposes only! It's an initiative by Twowaits Technologies to help create more awareness about Open Source and help introduce many more students to the benefits of FOSS. We will organize lots of events that wil,软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,已读取精确正文/API：## make-pull-request This repo is excluded from Hacktoberfest. Kindly use it for learning purposes only! It's an initiative by Twowaits Technologies to help create more awareness about Open Source and help introduce many more students to the benefits of FOSS. We will organize lots of events that wil；未见独立硬件商品、库存、订单或量产资料,同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确正文/API未见明确硬件商业复用许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,精确正文把它定义为## make-pull-request This repo is excluded from Hacktoberfest. Kindly use it for learning purposes only! It's an initiative by Twowaits Technologies to help create more awareness about Open Source and help introduce many more students to the benefits of FOSS. We will organize lots of events that wil；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。,https://gitlab.com/pratyush0898/make-pull-request,2026-07-26
b63627f845f58810,pybadges,https://gitlab.com/nshan651/pybadges,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,精确正文将其定义为：pybadges is a Python library and command line tool that allows you to create Github-style badges as SVG images. For example: The aesthetics of the generated badges matches the visual design found in this The implementation of the library was heavily influenced by,软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,已读取精确正文/API：pybadges is a Python library and command line tool that allows you to create Github-style badges as SVG images. For example: The aesthetics of the generated badges matches the visual design found in this The implementation of the library was heavily influenced by；未见独立硬件商品、库存、订单或量产资料,同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确仓库含LICENSE；未形成硬件商业许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,精确正文把它定义为pybadges is a Python library and command line tool that allows you to create Github-style badges as SVG images. For example: The aesthetics of the generated badges matches the visual design found in this The implementation of the library was heavily influenced by；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。,https://gitlab.com/nshan651/pybadges,2026-07-26
97809d8299cad7b6,pylint-badge-server-django,https://gitlab.com/pascal.deselys/pylint-badge-server-django,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,精确正文将其定义为：pylint-badge-server-django,软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,已读取精确正文/API：pylint-badge-server-django；未见独立硬件商品、库存、订单或量产资料,同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确正文/API未见明确硬件商业复用许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,精确正文把它定义为pylint-badge-server-django；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。,https://gitlab.com/pascal.deselys/pylint-badge-server-django,2026-07-26
334f744e7e8f3fee,atcoder-badges,https://gitlab.com/makutamoto/atcoder-badges,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,精确正文将其定义为：atcoder-badges,软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,已读取精确正文/API：atcoder-badges；未见独立硬件商品、库存、订单或量产资料,同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确正文/API未见明确硬件商业复用许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,精确正文把它定义为atcoder-badges；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。,https://gitlab.com/makutamoto/atcoder-badges,2026-07-26
87d3307c99c21db6,badge-2018-bat-mini,https://gitlab.com/pale-shadow/badge-2018-bat-mini,已逐页阅读（精确GitLab README/API）,活动电子徽章,会议与活动徽章,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,2018 Bat Mini 活动徽章：ATTiny84、RGB LED、按键、串口和 Arduino ISP,软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,"已读取精确正文/API：You can make a serial connection to the badge using a USB to TTL serial cable. - Green wire: Connect to serial port, right side looking at back. - White wire: Connect to serial port, left side looking at back. - Black wire: Connect to Battery port, negative (-) port.；未见独立硬件商品、库存、订单或量产资料",同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确正文/API未见明确硬件商业复用许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,README确认是一次活动徽章制作资料；缺商品、订单和持续客户，不能当作可复制商业机会。,https://gitlab.com/pale-shadow/badge-2018-bat-mini,2026-07-26
06b89298b8c51d45,Badges4-README-md-Profile,https://gitlab.com/andresdecarvalho/Badges4-README-md-Profile,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,"精确正文将其定义为：# Welcome! Badges 4 README.md Profile Improve your README.md profile with these amazing badges. See a sample [here]( 2. Create a img tag ``` <img src=""{BadgeURLHere}"" /> ``` or ``` ``` 3. Copy and paste on your profile - [📱 Contact](#-contact-) - [🤜🤛 Group](#-group-)",软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,"已读取精确正文/API：# Welcome! Badges 4 README.md Profile Improve your README.md profile with these amazing badges. See a sample [here]( 2. Create a img tag ``` <img src=""{BadgeURLHere}"" /> ``` or ``` ``` 3. Copy and paste on your profile - [📱 Contact](#-contact-) - [🤜🤛 Group](#-group-)；未见独立硬件商品、库存、订单或量产资料",同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确正文/API未见明确硬件商业复用许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,"精确正文把它定义为# Welcome! Badges 4 README.md Profile Improve your README.md profile with these amazing badges. See a sample [here]( 2. Create a img tag ``` <img src=""{BadgeURLHere}"" /> ``` or ``` ``` 3. Copy and paste on your profile - [📱 Contact](#-contact-) - [🤜🤛 Group](#-group-)；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。",https://gitlab.com/andresdecarvalho/Badges4-README-md-Profile,2026-07-26
c5b1b474c011975f,github-import-markdown-badges,https://gitlab.com/samderkaoui/github-import-markdown-badges,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,精确正文将其定义为：Add badges to your Profile and Projects. - [Markdown Badges](#markdown-badges) - [Table of contents](#table-of-contents) - [Contribution](#contribution) - [License](#license) - <details> <summary>List of badges</summary> - [Artificial Intelligence and Bots](#-artificial-intelligence-and-bots),软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,已读取精确正文/API：Add badges to your Profile and Projects. - [Markdown Badges](#markdown-badges) - [Table of contents](#table-of-contents) - [Contribution](#contribution) - [License](#license) - <details> <summary>List of badges</summary> - [Artificial Intelligence and Bots](#-artificial-intelligence-and-bots)；未见独立硬件商品、库存、订单或量产资料,同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确仓库含LICENSE；未形成硬件商业许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,精确正文把它定义为Add badges to your Profile and Projects. - [Markdown Badges](#markdown-badges) - [Table of contents](#table-of-contents) - [Contribution](#contribution) - [License](#license) - <details> <summary>List of badges</summary> - [Artificial Intelligence and Bots](#-artificial-intelligence-and-bots)；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。,https://gitlab.com/samderkaoui/github-import-markdown-badges,2026-07-26
882e0de82451ae47,GPG-keys-with-GitHub,https://gitlab.com/md8-habibullah/GPG-keys-with-GitHub,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,"精确正文将其定义为：# 🔒 Ultimate Guide to GPG Keys for Git & GitHub This **ultimate guide** walks you through generating a GPG key on Linux, linking it to GitHub, and signing commits to earn that shiny **Verified** badge. With _detailed steps_, __essential commands__, and ~~stylish~~ Markdown formatting, you'll be a GP",软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,"已读取精确正文/API：# 🔒 Ultimate Guide to GPG Keys for Git & GitHub This **ultimate guide** walks you through generating a GPG key on Linux, linking it to GitHub, and signing commits to earn that shiny **Verified** badge. With _detailed steps_, __essential commands__, and ~~stylish~~ Markdown formatting, you'll be a GP；未见独立硬件商品、库存、订单或量产资料",同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确正文/API未见明确硬件商业复用许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,"精确正文把它定义为# 🔒 Ultimate Guide to GPG Keys for Git & GitHub This **ultimate guide** walks you through generating a GPG key on Linux, linking it to GitHub, and signing commits to earn that shiny **Verified** badge. With _detailed steps_, __essential commands__, and ~~stylish~~ Markdown formatting, you'll be a GP；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。",https://gitlab.com/md8-habibullah/GPG-keys-with-GitHub,2026-07-26
48124f19aff51649,Badgehub Frontend,https://gitlab.com/why2025/team-badge/badgehub-frontend,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,"精确正文将其定义为：## This repo is Archived This is an old, now abandoned version of the badgehub frontend, it has been replaced with a frontend dir in the [badgehub-app repo]( The webinterface to Badgehub that interfaces with the badgehub api backend To start development, run ## Swagger/OpenAPI synchronization",软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,"已读取精确正文/API：## This repo is Archived This is an old, now abandoned version of the badgehub frontend, it has been replaced with a frontend dir in the [badgehub-app repo]( The webinterface to Badgehub that interfaces with the badgehub api backend To start development, run ## Swagger/OpenAPI synchronization；未见独立硬件商品、库存、订单或量产资料",同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确仓库含LICENSE；未形成硬件商业许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,"精确正文把它定义为## This repo is Archived This is an old, now abandoned version of the badgehub frontend, it has been replaced with a frontend dir in the [badgehub-app repo]( The webinterface to Badgehub that interfaces with the badgehub api backend To start development, run ## Swagger/OpenAPI synchronization；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。",https://gitlab.com/why2025/team-badge/badgehub-frontend,2026-07-26
eeddd0e48eaf5697,flutter_app_badger,https://gitlab.com/johan.fallberg/flutter_app_badger,已逐页阅读（精确GitLab README/API）,非硬件软件/教程/内容项目,软件、网页或徽章内容资源,软件许可、内容分发或服务；不形成硬件收入,不进入；产品形态硬门槛不通过,"精确正文将其定义为：# Flutter App Badger plugin (UNMAINTAINED) This plugin for [Flutter]( adds the ability to change the badge of the app in the launcher. It supports iOS, macOS, and some Android devices (the official API does not support the feature, even on Oreo). <img src="" alt=""Android badge"" style=""margin:auto"" wi",软件/内容使用者；没有可确认的硬件付费客户,正文描述的是软件、网页、数据、徽章内容或开发流程问题，不能对应独立硬件购买损失,,"已读取精确正文/API：# Flutter App Badger plugin (UNMAINTAINED) This plugin for [Flutter]( adds the ability to change the badge of the app in the launcher. It supports iOS, macOS, and some Android devices (the official API does not support the feature, even on Oreo). <img src="" alt=""Android badge"" style=""margin:auto"" wi；未见独立硬件商品、库存、订单或量产资料",同类软件、徽章资源或开发模板供给高,依赖相应运行时、框架、第三方API/平台或现成板卡；无自研硬件本体,不适用：没有可交付硬件产品,软件维护、平台兼容或内容更新支持,软件/平台条款、第三方内容或数据责任,精确仓库含LICENSE；未形成硬件商业许可,无合格硬件英雄图；正文图为软件界面、徽章/SVG、模板、开发页面或非产品素材,淘汰,"精确正文把它定义为# Flutter App Badger plugin (UNMAINTAINED) This plugin for [Flutter]( adds the ability to change the badge of the app in the launcher. It supports iOS, macOS, and some Android devices (the official API does not support the feature, even on Oreo). <img src="" alt=""Android badge"" style=""margin:auto"" wi；没有独立硬件本体、明确硬件付款方和制造交付证据，按非硬件/教程/软件项目淘汰。",https://gitlab.com/johan.fallberg/flutter_app_badger,2026-07-26
