project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"86391f76af603034","diffdrive_arduino","https://github.com/joshnewans/diffdrive_arduino","已逐页阅读（精确GitHub README与许可）","ROS到Arduino差速机器人软件接口","机器人控制中间件","软件集成、机器人课程或技术支持","淘汰为硬件机会","在ros_control与运行ros_arduino_bridge固件的Arduino电机控制器之间提供接口的ROS节点","机器人开发者、教育团队和ROS移动底盘用户","减少ROS差速底盘与低成本微控制器之间的接口开发","","仓库139 stars、158 forks，README明确为node/interface，BSD-3-Clause；无PCB、BOM、商品或整机","高；ROS底盘接口、ros2_control和成熟移动机器人方案很多","依赖ROS、ros_control、Arduino固件、电机驱动和用户底盘","无硬件制造","ROS版本、串口协议、编码器和底盘参数支持","低","BSD-3-Clause","无硬件本体","淘汰","软件接口因Arduino和robot hardware关键词误入，不能作为可制造产品评分。","https://github.com/joshnewans/diffdrive_arduino","2026-07-26"
"bed2628f0ba2465d","OpenMGSLS","https://github.com/qiayuanl/OpenMGSLS","已逐页阅读（精确GitHub README、项目自述、论文与许可）","高中阶段桌面SLS实验原型","开源激光振镜与SLS研究项目","研究参考、教学内容或实验设备咨询","淘汰为商业硬件机会","以Arduino、DAC和激光振镜执行G-code并构建桌面选择性激光烧结3D打印机的实验系统","高校实验室、3D打印研究者和创客","探索低成本高速振镜控制及桌面SLS打印","","仓库80 stars、28 forks，含Arduino、CAD、Eagle、Matlab和论文；作者明确写明项目为高中开发、非常naive且参考价值低，无商品与客户证据","中高；工业SLS壁垒极高，桌面激光烧结原型和研究项目已有多种方案","依赖Arduino、外部DAC、振镜、激光源、粉末材料和切片软件","激光、粉末、光路、温控、机械密封和标定复杂度极高","光学校准、材料工艺、失败打印、维护和安全培训极重","极高；激光安全、粉尘/火灾、机械和材料风险","GPL-3.0；硬件和论文文件边界仍需确认","仓库图片是实验原型，可对应项目但不是销售级英雄图","淘汰","作者本人已警告项目稚嫩、参考价值低；高风险SLS原型缺乏可靠性和市场证据，不能包装成商业候选。","https://github.com/qiayuanl/OpenMGSLS","2026-07-26"
"4258f8962ccf3556","cyber-controller","https://github.com/LxveAce/cyber-controller","已逐页阅读（精确GitHub README、功能与免责声明）","多设备安全测试控制软件","网络安全硬件编排工具","软件支持、专业版、培训或授权测试集成","淘汰为自研硬件机会；保留软件产品参考","统一刷写和控制ESP32安全固件、Flipper Zero及Raspberry Pi设备的触屏/SSH/手机控制应用","授权渗透测试人员、CTF团队、安全培训者和多设备实验室","多种安全板卡需要不同刷写与控制工具，批量协调困难","","仓库33 stars、21 forks，有稳定版和beta版本；README明确为app，自述hobby project，硬件均为外部设备","中高；ESP32安全工具、Flipper生态和多设备控制软件活跃","强依赖ESP32 Marauder/Bruce/GhostESP、Flipper Zero和树莓派","无自研硬件制造","固件兼容、设备刷写失败、驱动和多平台支持较重","高；双用途安全功能、合法授权和网络攻击责任","页面含免责声明；开源许可需从仓库LICENSE核验","无合格英雄图；项目核心是软件界面和第三方设备","淘汰","它解决真实工作流，但商业化对象是软件/服务，不是自研硬件；不能把一桌第三方板卡当产品英雄图。","https://github.com/LxveAce/cyber-controller","2026-07-26"
"147f6f2d1c14a9f0","hackpad","https://github.com/hackclub/hackpad","已逐页阅读（精确GitHub README、计划规则与许可）","青少年宏键盘教育活动","Hack Club YSWS创客项目","赞助、教育项目运营和免费零件计划","淘汰为商业硬件机会","参与者自行设计PCB、STEP外壳和固件，Hack Club提供定制宏键盘套件、15美元PCB补助和3D打印外壳","青少年创客、学生和Hack Club社区","通过实物奖励降低首次PCB和键盘设计门槛","","仓库146 stars、457 forks、4430次提交，明确是limited-time You Ship We Ship免费教育计划；无统一商品SKU和付费客户","高；宏键盘教育、PCB训练营和开源套件很多","依赖Hack Club资助、Slack社区、JLCPCB、3D打印和QMK","项目运营与套件分发复杂，但不是统一产品制造","参与者审核、补助、物流、课程和社区支持","低","MIT","无统一产品英雄图；参与者作品不能代表单一商品","淘汰","它是教育资助计划，不是商业硬件；大量fork和参与度来自活动机制，不能当作销量或市场验证。","https://github.com/hackclub/hackpad","2026-07-26"
"5b439b5caeb9b952","pi-tin","https://github.com/jackw01/pi-tin","已逐页阅读（精确GitHub README、设计文件、套件入口与许可）","Raspberry Pi掌机套件","复古游戏DIY掌机","开源设计、零件套件和小批量组装","仅保留为套件市场参考，不作为空白机会","围绕Raspberry Pi Zero 2 W、2.8英寸TFT和Altoids铁盒设计的开源掌机，提供PCB、3D件、装配和软件说明","复古游戏爱好者、Raspberry Pi DIY用户和礼品买家","在极小铁盒中获得可运行SNES/GBA/PS1等模拟器的便携设备","","仓库66 stars、8 forks，并明确提供Ko-fi套件入口；有完整PCB、3D和装配资料，但未见可核验订单、售价与评价","极高；树莓派掌机、RetroPie套件和成品掌机市场拥挤","强依赖Raspberry Pi Zero 2 W、RetroPie/模拟器、TFT和Altoids盒","小型PCB、按钮、显示、供电、电池和铁盒加工装配中等","镜像配置、按键、显示、散热、电池和游戏ROM合法性支持","中；锂电、消费电子和ROM版权风险","CERN-OHL-W-2.0","自动图片是3D打印外壳背面，不是完整产品正面英雄图；部分匹配但不合格","市场参考案例","确有套件化尝试，但本质仍是树莓派加现成显示的复古掌机，竞争极强且第三方依赖重；可参考紧凑包装，不应作为新机会。","https://github.com/jackw01/pi-tin","2026-07-26"
"32fbf4eb5c3ceb3e","SecureGen","https://github.com/makepkg/SecureGen","已逐页阅读（精确GitHub README、功能、安全说明与许可）","现成ESP32 T-Display固件项目","离线TOTP与密码管理软件","固件、软件支持或基于现成板卡的DIY方案","淘汰为独立硬件机会","在LilyGO T-Display ESP32/T-Display-S3上运行的TOTP、HOTP、密码库和BLE/USB HID固件","安全工具DIY用户和希望离线保存凭据的个人用户","减少手机依赖，以便携设备显示验证码并输入密码","","仓库80 stars、12 forks，功能和文档较完整，但硬件是可直接购买的LilyGO开发板，没有自研PCB、销售或认证证据","高；YubiKey、OnlyKey、Mooltipass、手机验证器和大量ESP32安全项目存在","强依赖LilyGO T-Display系列、ESP32安全能力、BLE/USB栈","无自研硬件制造；若套壳销售仍需安全测试和供应稳定","密钥丢失、备份、固件漏洞、板卡差异和用户信任支持极重","高；凭据安全、加密声明、BLE攻击面和责任","MIT","自动图片是视频缩略图和两块现成T-Display板，不是自研硬件主图","淘汰","功能丰富但核心是现成开发板固件，不能因显示了两块板就视为独立产品；安全责任也远超普通DIY项目。","https://github.com/makepkg/SecureGen","2026-07-26"
"7234dfdc2c14da4d","MCreatorLink","https://github.com/Pylo/MCreatorLink","已逐页阅读（精确GitHub README、代码结构与许可）","Minecraft硬件连接软件插件","教育游戏与IoT软件桥接","软件插件、课程和社区支持","淘汰为硬件机会","通过MCreator流程、命令和API把Arduino或Raspberry Pi输入输出连接到Minecraft模组的软件","MCreator模组开发者、编程教育者和Minecraft创客课程","让学生和开发者用物理传感器或执行器影响Minecraft世界","","仓库31 stars、6 forks、146次提交，包含Arduino和Raspberry Pi子模块及Apache-2.0许可；没有独立硬件设计或商品","高；Minecraft教育、Arduino课程和游戏硬件桥接方案较多","依赖MCreator、Minecraft版本、Arduino/Raspberry Pi和用户自备传感器","无统一硬件制造","Minecraft/MCreator版本兼容、课堂设备和插件维护","低至中；主要为教育软件","Apache-2.0","自动图片是网站tiny.gif/品牌图，不是硬件主图，明确错配","淘汰","这是软件插件和教程生态，旧表因Arduino/Raspberry Pi关键词误判成硬件产品。","https://github.com/Pylo/MCreatorLink","2026-07-26"
"5af7e477808d9f3d","Snapmaker2-Controller","https://github.com/Snapmaker/Snapmaker2-Controller","已逐页阅读（精确GitHub README、功能和商业产品上下文）","成熟三合一机器控制固件","Snapmaker 2.0整机控制生态","整机、模块、耗材、售后和软件生态","作为成熟商业产品族参考，不作为可复制空白","Snapmaker 2.0 3D打印、激光和CNC三合一机器的FreeRTOS/Marlin控制固件，支持CAN、旋转轴、外壳和触屏","Snapmaker整机用户、创客空间和小型制造用户","在一套模块化机器中切换3D打印、激光和CNC加工","","仓库145 stars、77 forks，明确属于已商业化Snapmaker 2.0整机，功能、硬件链接和文档完整；不是独立开放控制板机会","高；三合一机器和3D打印控制器已有成熟品牌","强依赖Snapmaker专有模块、CAN网络、触屏和整机机械结构","整机机电、激光、CNC、3D打印模块和安全联锁复杂","模块校准、耗材、固件、机械精度和全球售后极重","极高；激光、旋转机械、CNC和加热器安全认证","基于Marlin并含项目许可；具体商业复用需审计仓库LICENSE和商标/专有组件","无合格英雄图；固件仓库没有整机销售主图","市场参考案例","这是成功整机产品的固件仓库，商业价值在品牌、模块化机械和售后体系，不是复制控制代码或单板可获得的机会。","https://github.com/Snapmaker/Snapmaker2-Controller|https://www.snapmaker.com/","2026-07-26"
"a13f2440a53a1fdd","bancouver40","https://github.com/ChrisChrisLoLo/bancouver40","已逐页阅读（精确GitHub README、设计状态与许可）","超紧凑40键机械键盘DIY设计","低矮机械键盘与客制化套件","PCB、外壳设计、套件或小批量成品","淘汰为新商业机会","4x10正交排列、CFX 16.5mm键帽、集成ATmega32U4、Choc热插拔和CNC/3D外壳的超紧凑键盘","极简键盘爱好者、便携输入设备用户和客制化社区","在保留机械轴体验时把键盘尺寸压到极小","","仓库110 stars、11 forks，PCB已确认可生产并有实物图和外壳文件；无售价、订单或超出客制化圈的需求证据","极高；40%正交、Choc、超小键盘和套件市场非常拥挤","依赖CFX专用键帽、Kailh Choc轴、ATmega32U4和客制化供应链","小间距PCB、热插拔座、外壳和特殊键帽供应中等","专用键帽缺货、布局学习、固件和外壳公差支持","低","GPL-3.0","自动图片是实际成品键盘，项目匹配；但市场拥挤不改变结论","淘汰","设计完成度不错，但强依赖小众CFX键帽且没有商业验证；客制化键盘供给已经过密，不能因照片漂亮就列为机会。","https://github.com/ChrisChrisLoLo/bancouver40","2026-07-26"
"241836fa166a0e15","de-link","https://github.com/iandchasse/de-link","已逐页阅读（精确GitHub README、硬件规格与项目状态）","ESP32-S3电子纸开发套件","通用电子纸开发板生态","开发板、扩展模块、文档和社区","淘汰为新商业机会；保留设计参考","支持GoodDisplay 24针SPI电子纸、SDMMC、USB-C、按键、电池保护和可选LED驱动模块的ESP32-S3开发板","电子纸DIY用户、显示应用开发者和低功耗原型团队","减少大尺寸电子纸、存储、供电和按键的接口整合工作","","仓库453 stars、9 forks，硬件功能较完整；README在2026-07-24明确警告仓库大部分信息已过时并转向新网站，未见本页订单与价格","高；ESP32电子纸开发板、LilyGO、Waveshare和GoodDisplay适配板成熟","强依赖ESP32-S3和GoodDisplay 24针电子纸生态","多尺寸显示兼容、电池、USB-C、SDMMC和扩展模块测试中等","显示批次、波形、供电、固件和过时文档支持较重","中；锂电、无线和消费电子认证","README未直接显示许可证，需从新站和文件进一步核验","自动图片warm_light.jpg看似设备展示，但仓库已标记过时，不能视为当前销售英雄图","淘汰","本质是通用开发套件，市场已有强势成熟供应商；项目文档又已过时，不满足独立产品和可持续支持门槛。","https://github.com/iandchasse/de-link|https://de-link.me","2026-07-26"
