project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"42d4b13bd0237332","10 Watt Mono Fm Broadcast Transmitterexciter","https://www.tindie.com/products/freeradio/10-watt-mono-fm-broadcast-transmitterexciter","已逐页阅读（精确商品页与卖家资料）","10W调频广播发射机/激励器","小功率调频广播发射与社区电台设备","价值来自射频设计、频谱纯度、散热、调试和合规文档，而不是普通开发板","观察完整设备的垂直场景，不直接复制未认证射频板","88.1至107.9MHz、标称10W的单声道FM广播级发射机/激励器","社区电台、校园广播、实验室和持证广播运营者","需要小功率稳定FM射频源建立本地广播覆盖","145.00","售价145美元、库存约6件；卖家自2020年以来仅约2单且只有该单一SKU，页面称broadcast quality但缺独立测试报告","中；专业广播发射设备已有成熟品牌，廉价板卡和DIY方案也很多","依赖稳定电源、天线、馈线、音频源和合法频率许可","高；需测试输出功率、谐波、杂散、频稳、调制度、热设计和负载失配保护","很高；天线驻波、过热、频偏、干扰投诉和现场调试","极高；广播频段、发射功率、设备认证和持证使用受各国严格监管","未见开放硬件许可、BOM或完整测试资料","图片文件名为通用IMG_9749，外观可能相关但未视觉核验射频板版本和功率级","观察名单","产品形态和付费场景成立，但销量证据极弱，射频合规与测试负担巨大；只有补齐频谱、可靠性和合法销售路径才值得继续","https://www.tindie.com/products/freeradio/10-watt-mono-fm-broadcast-transmitterexciter|https://www.tindie.com/stores/freeradio/","2026-07-25"
"5dff618663f8f55b","100Mil 10Pin 2X5 Idc Flat Cable","https://www.tindie.com/products/embeddedprojects/100mil-10pin-2x5-idc-flat-cable","已逐页阅读（精确商品页、卖家目录和同类比较）","编程调试器专用IDC排线","JTAG、SWD、ATMEL-ICE调试线缆和转接器产品族","价值来自覆盖多针距接口、明确兼容清单和配套转接器，而不是单根线材","作为调试附件目录参考，不独立计商业机会","100mil、10针2×5母头IDC扁平排线，用于程序器和调试器","嵌入式工程师、维修人员和开发板用户","调试器与目标板接口针距或连接方式不匹配","1.50","售价1.50美元，卖家暂休；店铺约172单、8评，并有50mil线、JTAG转SWD和ATMEL-ICE适配器等完整调试附件目录；同类线售价约1.50至5美元","高；线缆标准化，但围绕调试器形成多规格小目录仍有长尾需求","依赖标准IDC连接器、排线和具体调试器针脚定义","低；需核对压接方向、第一脚、针距、长度和导通","中；接口方向、长度、针距和调试器型号误购","低；低压无源线材","标准线材，无开放原创设计资产","图片大概率为对应IDC线，但需核对2×5、100mil和第一脚方向","市场参考案例","单根线价格和壁垒极低，但调试线、转接板和兼容文档组成的工程附件产品族有目录化参考价值","https://www.tindie.com/products/embeddedprojects/100mil-10pin-2x5-idc-flat-cable|https://www.tindie.com/stores/embeddedprojects/|https://www.tindie.com/products/0x1B/100mil-10pin-2x5-idc-flat-cable-for-eg-atmel-ice/","2026-07-25"
"d3841ccf7b41d2ba","10Amp Dc Motor Driver","https://www.tindie.com/products/cytron/10amp-dc-motor-driver","已逐页阅读（精确商品页、卖家目录和同系列）","通用有刷直流电机驱动板","Cytron有刷电机驱动、机器人控制和开发板产品族","价值属于成熟厂商的完整功率等级、文档、测试和品牌体系","淘汰孤立复制；仅作为成熟产品族证据","MD10C单通道高电流有刷直流电机驱动器，标称连续约10至13A","机器人、自动化和创客电机控制用户","微控制器无法直接驱动高电流有刷电机","11.50","售价11.50美元，2020年11月起售罄；Cytron约90单并有约39款产品，覆盖3A至60A、单/双通道、Shield和智能驱动器","极高；有刷电机驱动板被成熟厂商和低价模块充分覆盖","依赖外部主控、电机、电源、散热和保护方案","中高；需验证MOSFET、散热、电流限制、反电动势和峰值负载","高；电机堵转、过热、电源跌落、接线和参数误用","中高；大电流低压设备仍有热、火灾和EMC责任","未见允许复制销售的开放硬件许可","明确错配：自动图源属于另一卖家旧元件照片，不能代表Cytron MD10C","淘汰","典型成熟通用功率模块，产品长期存在且竞争充分，没有可进入的空白","https://www.tindie.com/products/cytron/10amp-dc-motor-driver|https://www.tindie.com/stores/cytron/items/","2026-07-25"
"c0d9d66604abc3cb","10Pcs Slide Type Switch","https://www.tindie.com/products/blinkingsilver/10pcs-slide-type-switch","已逐页阅读（精确商品缓存与卖家目录）","通用拨码/滑动开关元件包","低价电子元件分装与转售目录","价值来自采购、库存和国际邮寄，不来自设计","淘汰单品","10只红色DIP滑动或拨码式开关","维修、原型和教学电子用户","低成本提供人工通断或配置输入","3.00","售价3美元，2020年5月起售罄；卖家经营LED、开关、连接器和机器人底盘等混合低价目录","极高；标准开关供给充分","完全依赖上游标准开关供应链","低；只需核对脚距、触点、寿命和数量","中；触点质量、脚距、型号描述和数量争议","低；无源低压元件","标准采购件，无开放设计资产","图片看似为开关实拍，但未核对具体脚距、位数和包装数量","淘汰","低价标准元件分装，无差异、无客单和无可持续产品壁垒","https://www.tindie.com/products/blinkingsilver/10pcs-slide-type-switch|https://www.tindie.com/stores/blinkingsilver/","2026-07-25"
"fa31a7ef1d23026b","12 Channel 1012 Bit Adc Hat For Raspberry Pi","https://www.tindie.com/products/cburgess129/12-channel-1012-bit-adc-hat-for-raspberry-pi","已逐页阅读（精确商品页、卖家目录和同系列）","Raspberry Pi多通道ADC HAT","Raspberry Pi、Teensy和Arduino数据采集扩展板产品族","价值来自成熟卖家的多SKU、装配选项、文档和长期支持","淘汰单一HAT；不把卖家目录能力误算成新机会","MCP3008八通道10位SPI ADC加ADS1015四通道12位I2C ADC的12通道树莓派HAT","树莓派数据采集、传感器和教学用户","树莓派缺少原生模拟输入，需要同时接入多路低速模拟信号","29.50","售价29.50美元、库存约5件；卖家约1283单、28评并有多款8/12通道ADC HAT、1-Wire HAT和Teensy扩展板；已有用户反馈新系统Python库兼容支持问题","极高；Raspberry Pi ADC HAT类别成熟且同店内部规格重复","强依赖树莓派GPIO、Linux库、MCP3008和ADS1015","中；需验证基准、噪声、保护、通道串扰和HAT规范","高；系统镜像、Python/C库、接线、量程和树莓派版本支持","低至中；低压，但现场测量误用和保护不足可能损坏主机","未确认硬件设计许可允许第三方复制销售","自动图片可能关联该卖家板卡，但不能仅凭文件路径确认12通道具体版本","淘汰","成熟生态HAT，卖家优势是长期目录和支持而非该PCB的新颖性；不适合作为新商业机会","https://www.tindie.com/products/cburgess129/12-channel-1012-bit-adc-hat-for-raspberry-pi|https://www.tindie.com/stores/cburgess129/","2026-07-25"
"32d550f094715312","128 Channel Adc Wi2C For Arduino Raspberry Pi","https://www.tindie.com/products/fercsa/128-channel-adc-wi2c-for-arduino-raspberry-pi","已逐页阅读（完整商品正文、卖家目录和同系列）","超多通道堆叠式ADC板组","多通道I2C ADC、PWM和复用器工程接口产品族","壁垒来自高通道密度、地址规划、参考源、示例代码和定制支持","作为高通道低速采集架构参考，暂不列严格候选","四块堆叠组成的128通道12位单端ADC系统，I2C接口，可选3.3V或5V基准","实验台、传感器阵列、自动测试和需要大量低速模拟输入的开发团队","普通主控和单块ADC无法经济地扩展到上百路输入","150.00","售价150美元，2021年7月起售罄；卖家约53单，仅4款产品，另有32通道ADC、32通道复用器和24ADC+8PWM板；页面提供Arduino、Linux C、Python示例和I2C波形","中；高通道板较少，但工业DAQ、模块化采集卡和自制复用方案均可替代","依赖Arduino/树莓派等外部主控、I2C总线和四板堆叠连接","高；需要验证实际总采样率、串扰、输入保护、参考精度、接地和堆叠可靠性","高；线束、校准、地址配置、总线带宽和通道故障定位复杂","中；低压板卡，但用于测量系统时精度声明和误接责任上升","页面有源码链接，但未确认硬件文件和商业复用许可完整","图片大概率为四板堆叠系统，但需核对实际数量、连接器和版本","市场参考案例","差异化和客单高于普通HAT，但它仍是无外壳、无隔离和销售验证有限的开发板系统；适合研究高通道产品族，不足以进入严格候选","https://www.tindie.com/products/fercsa/128-channel-adc-wi2c-for-arduino-raspberry-pi|https://www.tindie.com/stores/fercsa/","2026-07-25"
"2e962a071c0a52e0","128 Inch Lcd Display Module","https://www.tindie.com/products/adeept/128-inch-lcd-display-module","已逐页阅读（精确商品页与卖家目录）","通用1.28英寸圆形LCD模块","Arduino、树莓派和教育显示模块目录","依赖低价采购、教程和套件组合，不依靠显示技术","淘汰SKU","1.28英寸240×240 RGB圆形LCD仪表显示模块","Arduino、树莓派、旋钮屏和小仪表开发者","低成本获得圆形彩色状态显示","11.39","促销价约11.39美元；Adeept约60单，主营机器人套件、传感器套件和通用模块；同类GC9A01圆屏约8.99至29.99美元","极高；圆形LCD模块已高度成熟","依赖上游面板、GC9A01类驱动、外部主控和现成库","低至中；坏点、亮度、时序和焊接抽检","中；库、尺寸、色差、触摸与非触摸版本混淆","低；低压显示模块","未见该模块的原创开放硬件设计资产","明确错配或重复风险：与该店0.49和0.69英寸OLED共用同一张03.jpg自动图","淘汰","成熟低价显示模块，卖家为教育套件渠道，既无差异也无市场空白","https://www.tindie.com/products/adeept/128-inch-lcd-display-module|https://www.tindie.com/stores/adeept/","2026-07-25"
"b2829d939541737e","05 Inch Micro Ar Vr Display 1024X768 500Nits Rgb","https://www.tindie.com/products/oled-module/05-inch-micro-ar-vr-display-1024x768-500nits-rgb","已逐页阅读（精确商品页与供应目录）","0.5英寸近眼微型OLED显示模组","微型OLED、驱动板与近眼光学供应产品族","壁垒在面板渠道、控制板、分档检测、光学配套和支持","产品族市场参考；不重复计相近规格","Sony ECX331D 0.5英寸1024×768、500nit微型OLED，配CVBS板并可选棱镜","HMD、枪瞄、夜视、取景器和仪器研发团队","在极小体积中快速获得高PPI视频显示与现成控制板","279.00","售价279美元；同一店另有219美元HDMI版本、256美元相似页面及大量微显示、控制板和光学件","中高；专业但同一面板被多个页面和驱动组合重复销售","依赖Sony面板、CVBS/HDMI板、排线和光学件","很高；坏点、亮度、均匀性、热、接口和光学装调","高；驱动版本、坏点政策、排线、光学适配和长期供货","中高；夜视、枪瞄或头戴终端可能涉及出口、眼安全和EMC","闭源供应品，无开放BOM或控制板源码","无合格英雄图；不得使用同店相邻规格或棱镜照片替代","市场参考案例","专业需求存在，但与多个相同ECX331D页面实质重复，只能作为微显示产品族规格证据","https://www.tindie.com/products/oled-module/05-inch-micro-ar-vr-display-1024x768-500nits-rgb|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"408a416ac6bdf8e1","05 Inch Oled Microdisplay 1024X768 Rgb For Ar","https://www.tindie.com/products/oled-module/05-inch-oled-microdisplay-1024x768-rgb-for-ar","已逐页阅读（精确商品页与相邻规格交叉核验）","0.5英寸1024×768微型OLED加HDMI板","微型OLED、驱动板与近眼光学供应产品族","靠同一面板搭配不同驱动板和光学选项形成目录","产品族市场参考；与相同面板页面合并","Sony ECX331D 0.5英寸1024×768、500nit微型OLED及HDMI驱动板","AR、夜视、HMD和电子取景器开发者","减少微显示控制板和接口适配开发","256.00","售价256美元；同店存在219、256和279美元的同面板不同控制板页面，说明是规格组合而非独立机会","中高；面板专业但页面和供应商重复度高","依赖Sony面板、HDMI板、排线和光学件","很高；坏点、亮度、热、刷新、接口和ESD","高；控制板、版本、坏点、装调与停产换料支持","中；终端场景可能增加眼安全和EMC要求","闭源供应品，无开放设计许可","无合格英雄图；不得用相邻页面图片代替","市场参考案例","与上一条共享核心面板和用途，不能虚增为独立商业机会；价值属于供应产品族","https://www.tindie.com/products/oled-module/05-inch-oled-microdisplay-1024x768-rgb-for-ar|https://www.tindie.com/products/oled-modules/05-inch-micro-ar-vr-display-1024x768-rgb/","2026-07-25"
"331751d9218fca36","057 Inch Micro Ar Display 1600X1200 Mipi","https://www.tindie.com/products/oled-modules/057-inch-micro-ar-display-1600x1200-mipi","已逐页阅读（精确商品索引与卖家完整目录）","0.57英寸高分辨率微型OLED","微型OLED、驱动板与近眼光学供应产品族","壁垒在上游面板、MIPI控制、分档测试和客户支持","产品族市场参考；不重复计尺寸规格","0.57英寸1600×1200、约1800nit MIPI微显示模组","AR、取景器、显微和近眼仪器研发团队","需要比XGA更高分辨率的小型近眼显示","325.95","卖家目录显示售价约325.95至329美元；店铺约71单、66款，包含大量尺寸、亮度、驱动板和光学件","中高；专业供给但相邻规格和渠道很多","依赖上游面板、MIPI控制器、排线和光学系统","很高；坏点、亮度、均匀性、热、时序和ESD","高；控制板、排线、光学、批次和停产支持","中；进入头戴或特定行业后要求上升","闭源供应组件，无开放设计许可","无合格英雄图；不可使用其他尺寸屏幕代替","市场参考案例","高客单规格真实，但只是既有微显示供应目录的一项，不形成新增独立机会","https://www.tindie.com/products/oled-modules/057-inch-micro-ar-display-1600x1200-mipi|https://www.tindie.com/stores/oled-modules/items/?page=2","2026-07-25"
