project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"20e803c3e45dba87","128 Ips 240X240 Round 400 Nits Transmissive Tft","https://www.tindie.com/products/DisplayModule/128-ips-240x240-round-400-nits-transmissive-tft","已逐页阅读（精确商品页、规格和卖家同类圆屏目录）","标准圆形TFT显示面板","中小尺寸圆形TFT与AMOLED供应目录","价值来自上游面板渠道、规格覆盖和库存，不来自该单一屏幕设计","作为显示供应链规格证据，不独立计商业机会","1.28英寸240×240、GC9A01、400nit、8位MCU接口且无触控的圆形TFT","仪表、穿戴原型和小型界面设备开发者","快速获得圆形显示面板用于原型和小批量产品","9.99","售价9.99美元、页面显示库存10件；卖家同时销售大量1.09至5英寸圆形TFT和AMOLED规格","极高；圆形GC9A01面板和模组已被大量供应商覆盖","完全依赖上游LCD面板、驱动IC和FPC供应","低至中；作为渠道品主要是来料检测和包装，原创制造需要面板产业链","中；FPC、视角、亮度、接口、尺寸和批次差异容易产生退换","低；作为低压组件压力较低","未见开放设计、BOM或允许复制销售的许可","原记录无合格英雄图；不得用卖家其他圆屏规格图片代替","淘汰","标准低价显示组件，市场充分竞争；商业价值属于供应目录和渠道，不属于可复制的独立开源机会","https://www.tindie.com/products/DisplayModule/128-ips-240x240-round-400-nits-transmissive-tft/|https://www.tindie.com/stores/DisplayModule/","2026-07-25"
"e2030ac4ab0c33ea","023 Micro Oled Screen 640X400 5000Nits 90Hz","https://www.tindie.com/products/oled-modules/023-micro-oled-screen-640x400-5000nits-90hz","已交叉核验（精确索引商品页和卖家完整微显示目录）","高亮微OLED显示组件","微型显示、驱动板和AR/VR近眼光学供应产品族","价值来自上游面板渠道、亮度与坏点检测、驱动板适配和规格目录","合并为微显示供应产品族证据，不按尺寸规格虚增机会","0.23英寸640×400、5000nit、90Hz MIPI微OLED，可选HDMI驱动板","AR/VR、电子取景器、夜视和近眼显示研发团队","快速取得高亮微显示和配套驱动，减少上游采购难度","149.00","精确商品索引售价149美元；卖家约72单且目录约66款裸屏、驱动板、BirdBath和光学件","中高；多个同店账号和供应商提供高度相似规格","强依赖上游微OLED面板、专用驱动和MIPI控制板","高；需做亮度、坏点、均匀性、刷新率和接口兼容测试","高；规格、驱动板、坏点、版本和光学适配争议复杂","中；组件本身较低，但进入夜视和瞄具应用时责任和出口边界上升","未见开放设计或商业复用许可","原记录无合格英雄图；不得使用同店其他0.23英寸亮度版本图片替代","市场参考案例","高客单专业供应市场真实，但该条是既有微显示产品族中的规格SKU，不是新的独立机会","https://www.tindie.com/products/oled-modules/023-micro-oled-screen-640x400-5000nits-90hz/|https://www.tindie.com/stores/oled-modules/items/?page=2","2026-07-25"
"76da1b0d91794243","049 Micro Oledos Display 1920X1080 1800Nits Mipi","https://www.tindie.com/products/oled-module/049-micro-oledos-display-1920x1080-1800nits-mipi","已交叉核验（精确索引商品页、库存和卖家目录）","1080P微OLED显示组件","微型显示、驱动板和AR/VR近眼光学供应产品族","价值来自面板渠道、驱动适配、检测和规格目录","合并为微显示产品族证据，不独立计机会","0.49英寸1920×1080、1800nit、90Hz MIPI微OLED，可选单目或双目HDMI/Type-C控制板","AR眼镜、VR原型和电子取景器开发团队","快速获得1080P微显示及驱动组合","109.00","精确商品索引售价109美元，近似SKU页面显示库存8件；卖家约24单并有约52款微显示和光学产品","高；同一卖家内部已有多个近重复页面，外部也存在大量相近规格","依赖上游SeeYA等面板和专用控制板","高；需验证坏点、亮度、MIPI时序、控制板和双目同步","高；相似SKU、控制板选型、版本和坏点争议明显","中；用于可穿戴和专业视觉系统时责任提高","未见开放设计或商业复用许可","原记录无合格英雄图；不得使用BirdBath或其他亮度版本图片替代","市场参考案例","专业需求存在，但属于成熟微显示供应目录中的重复规格，不应虚增为独立商业机会","https://www.tindie.com/products/oled-module/049-micro-oledos-display-1920x1080-1800nits-mipi/|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"3c45a9d2f0cde709","0805 Breakout Board","https://www.tindie.com/products/nifteecircuits/0805-breakout-board","已逐页阅读（精确商品页和卖家营业状态）","0805封装转接板","低价封装转接板和原型焊接辅料产品族","价值仅来自小额备货和组合销售，不来自设计壁垒","直接淘汰，不作为独立商业机会","可焊接10个0805电阻、电容或电感并转成2.54毫米排针的原型板","面包板原型和电子学习用户","在面包板上使用0805贴片元件","1.00","售价1美元；卖家处于暂停状态，页面未显示订单或评价证据","极高；0805转接板可自行打样且电商平台供给充分","依赖标准FR4、焊盘和2.54毫米排针","极低","低；主要是焊盘、孔距和用户焊接问题","低","无有价值的独占设计资产；未见商业许可","原记录无合格英雄图；即使为本体也不能改变商业结论","淘汰","单价、门槛和差异化均接近零，属于原型耗材而非商业机会","https://www.tindie.com/products/nifteecircuits/0805-breakout-board/","2026-07-25"
"30542beb48c33d9b","10 Pins Flat Ribbon Cable 254Mm Pitch Jtag","https://www.tindie.com/products/flow_state/10-pins-flat-ribbon-cable-254mm-pitch-jtag","已逐页阅读（精确商品页、规格和用途）","标准IDC排线","JTAG、ISP和板间IDC线缆附件产品族","价值来自多长度库存和与自家多路复用板配套，不来自单根线缆","直接淘汰单一线缆；只能作为配套附件销售","2.54毫米针距、10针母头IDC灰色排线，提供10至100厘米长度","嵌入式开发者和该卖家多路复用板用户","连接JTAG或堆叠多路复用板","1.50","售价1.50美元；页面列出6种长度，但没有独立订单和评价证据","极高；标准IDC排线广泛供应","完全依赖标准IDC连接器和排线","极低；主要是压接和导通测试","中；针数、方向、长度和第一脚误购","低","标准线材，无开放设计壁垒","自动图来自精确SKU，仍未视觉核对长度和两端针数","淘汰","低价标准线材只能作为主产品附件，无法形成独立机会","https://www.tindie.com/products/flow_state/10-pins-flat-ribbon-cable-254mm-pitch-jtag/","2026-07-25"
"4a34fe3766338c52","100Mil 10Pin 2X5 Idc Flat Cable For Eg Atmel Ice","https://www.tindie.com/products/0x1B/100mil-10pin-2x5-idc-flat-cable-for-eg-atmel-ice","已逐页阅读（精确商品页、规格和卖家调试附件定位）","编程调试器IDC排线","JTAG、SWD、ATMEL-ICE调试线缆和转接器产品族","价值来自覆盖多针距接口、兼容说明和配套转接器目录，不来自单根排线","仅作为工程调试附件产品族参考，不独立计机会","25厘米、2.54毫米针距、10针2×5双母头IDC排线，用于ATMEL-ICE、ISP和JTAG","嵌入式工程师、维修人员和开发板用户","调试器与目标板需要特定针数和方向的连接线","4.50","售价4.50美元；商品页作者明确承认市场上已有大量同类线缆","极高；标准IDC线材供给充分","完全依赖标准IDC连接器、排线和调试器针脚定义","低；需控制压接方向、第一脚、针距和导通","中；针距、针数、方向和调试器型号误购","低","标准线材，无可形成壁垒的开放设计资产","原记录无合格英雄图；不得用其他针数调试线图片替代","市场参考案例","单根线材没有机会，只有形成多规格调试附件目录和清晰兼容文档才有小规模目录价值","https://www.tindie.com/products/0x1B/100mil-10pin-2x5-idc-flat-cable-for-eg-atmel-ice/|https://www.tindie.com/stores/0x1B/","2026-07-25"
"cfcbe2314a694e70","101 Inch Hdmi Display Y 1280 X 800 Raspberry Pi","https://www.tindie.com/products/displaymodules/101-inch-hdmi-display-y-1280-x-800-raspberry-pi","已逐页阅读（精确商品页、完整参数和应用定位）","通用HDMI触摸显示器","树莓派和通用HDMI小尺寸显示器供应目录","价值来自成品屏采购、驱动板和外壳整合，不来自开源创新","作为标准显示商品淘汰，不将树莓派兼容性视为商业差异化","10.1英寸1280×800 IPS五点电容触摸屏，HDMI输入、MicroUSB供电","树莓派用户、工控原型和小型终端集成者","快速增加HDMI触摸界面","99.50","售价99.50美元；页面没有订单、评价或独特性能证据","极高；同尺寸HDMI触摸屏在多个平台成熟供应","依赖上游LCD面板、SIS9200触控IC、HDMI驱动板和标准线缆","中；主要是成品采购、兼容测试和外壳装配","高；触控驱动、分辨率、供电、线材和操作系统兼容问题多","中；成品显示器涉及EMC和电源适配器责任","未见开放硬件设计或商业复用许可","原记录无合格英雄图；不得使用树莓派板卡或其他尺寸显示器图片替代","淘汰","标准树莓派兼容显示器已高度商品化，缺少销售证据和差异化","https://www.tindie.com/products/displaymodules/101-inch-hdmi-display-y-1280-x-800-raspberry-pi/","2026-07-25"
"8f01aaee1912b7f4","116 Inch 10921080 Lcd Screen Display","https://www.tindie.com/products/robotart/116-inch-10921080-lcd-screen-display","已逐页阅读（精确商品页、库存和参数）","通用HDMI/VGA小型显示器","树莓派、游戏机和便携显示器供应目录","价值来自显示成品采购和渠道，不来自项目设计","作为通用成品显示器淘汰","11.6英寸1920×1080 IPS金属机身显示器，支持HDMI/VGA和12V电源","树莓派、游戏机和监控终端用户","增加一块便携1080P显示屏","119.98","售价119.98美元且当前缺货；页面没有订单或评价证据","极高；11.6英寸便携显示器和HDMI屏供给成熟","依赖上游面板、驱动板、金属壳和电源适配器","中；成品采购和来料质量控制为主","高；坏点、接口、分辨率、电源和运输损伤售后明显","中；带电源适配器和整机EMC责任","未见开放设计或商业复用许可","原记录无合格英雄图；不得用其他便携屏或树莓派图片替代","淘汰","通用成品显示器，市场成熟且页面销售证据弱，不是开源硬件机会","https://www.tindie.com/products/robotart/116-inch-10921080-lcd-screen-display/","2026-07-25"
"9ab4cc6704f9adc9","12 Axis Flex Module","https://www.tindie.com/products/fyberlabs/12-axis-flex-module","已交叉核验（精确缓存商品页和卖家Flex模块系列）","多传感器柔性小板","Fyber Labs柔性传感器和执行器模块产品族","价值曾来自柔性PCB形态和模块系列，但核心器件均为通用传感器","作为过时模块产品族证据淘汰","在小型柔性板上组合LSM9DS1九轴IMU和BME280温湿度气压传感器","穿戴原型和柔性电子开发者","在紧凑或可弯折结构中采集运动与环境数据","24.75","售价24.75美元，2017年11月后持续缺货；同店Flex系列多个模块也长期缺货","高；IMU和BME280组合板成熟，柔性形态需求有限","依赖已商品化的LSM9DS1、BME280和柔性PCB工艺","中；柔性板焊接、弯折寿命和连接器可靠性要求较高","中高；柔性板断裂、传感器校准和库兼容问题","低","未见开放设计或允许复制销售的许可","原记录无合格英雄图；不得使用同系列其他Flex模块图片替代","淘汰","长期停售且核心功能是通用传感器拼板，没有当前市场验证或可复制优势","https://www.tindie.com/products/fyberlabs/12-axis-flex-module/|https://www.tindie.com/products/fyberlabs/lightning-flex-module/","2026-07-25"
"6347c03d6c6f05c4","12 Bit8 Channel Adc Hat For Raspberry Pi","https://www.tindie.com/products/cburgess129/12-bit8-channel-adc-hat-for-raspberry-pi","已交叉核验（精确索引商品页、评价和卖家79款目录）","树莓派ADC HAT","BurgessWorld树莓派ADC、扩展板和开发板产品族","价值来自长期维护的板卡目录、文档和生态兼容，不来自单个MCP3208电路","作为成熟生态产品族参考，不独立计新机会","符合树莓派HAT规范的MCP3208八通道12位SPI ADC板，可选EEPROM和组装","树莓派数据采集、自动化和实验用户","树莓派缺少原生模拟输入，需要多路ADC","25.50","售价25.50美元、库存2件且有1条评价；卖家约1285单、28条评价和79款扩展板，其中多款ADC HAT价格25至48美元","极高；树莓派ADC HAT和MCP3208板卡已成熟","强依赖树莓派GPIO、MCP3208、Linux库和HAT生态","低至中；常规PCB装配，但需基准、电源和通道测试","高；Linux/Python库、系统版本、接线和ADC精度支持负担明显","低至中；低压板卡压力低","未见允许复制该商品的开放设计许可","原记录无合格英雄图；不得用其他版本ADC HAT图片替代","市场参考案例","需求和卖家业务真实，但这是成熟生态板卡市场；机会在产品族、文档和支持，不在复制单板","https://www.tindie.com/products/cburgess129/12-bit8-channel-adc-hat-for-raspberry-pi/|https://www.tindie.com/stores/cburgess129/items/","2026-07-25"
