"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"5bde24952781025e","1010 142En3 1010 142E3 Microcircuits 8 Legs New","https://www.tindie.com/products/electronics16/1010-142en3-1010-142e3-microcircuits-8-legs-new","已交叉核验（精确料号标题、卖家目录和同系列商品；页面正文缓存不足）","苏联/乌克兰旧库存DIP-8稳压微电路转售","复古苏联电子元件与工业剩余库存产品族","靠稀有料号、旧库存批次和长尾维修采购销售","淘汰库存元件SKU","标记10*10/142EN3系列的8脚旧库存线性稳压微电路批次","复古设备维修、收藏和旧设计维护人员","寻找特定苏联料号的兼容替换件","27.00","卖家目录显示同名/近似批次约27美元，并有97款大量苏联电机、继电器和微电路；未见订单评价","中；特定料号稀缺但需求极小，现代替代方案通常可用","完全依赖旧库存真伪、批次、存储和原设备兼容","不制造；需电压、静态电流、温漂和老化筛选","高；西里尔标记混淆、数据手册缺失和批次差异","低至中；旧材料和来源声明","原厂元件转售，无持续生产权或开放设计","自动图为2025年通用实物照片文件名，需放大核对芯片标记和数量，不能人工通过","淘汰","稀有旧料号交易可以形成小型渠道业务，但该记录不是可制造产品，也没有持续供给和原创资产","https://www.tindie.com/products/electronics16/1010-142en3-1010-142e3-microcircuits-8-legs-new|https://www.tindie.com/stores/electronics16/items/","2026-07-25"
"b7d05e4cb4602d63","103 2560X2560 Micro Si Oled Display 1000Nits","https://www.tindie.com/products/oled-module/103-2560x2560-micro-si-oled-display-1000nits","已交叉核验（精确规格标题、同店1.03英寸系列和价格带；旧页面正文缓存不足）","1.03英寸2560×2560微OLED组件","微显示、驱动板与近眼光学供应产品族","靠上游高分辨率面板、控制板、光学和规格目录销售","市场参考；合并到微显示供应产品族","1.03英寸2560×2560约1000nit硅基OLED微显示，面向AR/HMD","高分辨率AR/VR、EVF、模拟训练和工业近眼显示团队","获得高像素密度方形微显示用于近眼光机研发","","同店1.03英寸1800nit页面约342至485美元，3000nit 449美元、20000nit绿光539美元；店铺约24单、52款产品","中高；专业但同一店铺及其他供应商有多个近重复规格","依赖上游面板、MIPI/LVDS接口、控制板和光学系统","很高；坏点、亮度、寿命、时序、排线和光学装调","很高；不同亮度/接口/控制板版本和机械图容易混淆","中高；近眼、医疗、军事应用可能有额外要求","标准供应组件，无开放制造许可","原记录无合格英雄图；不得借用同店其他1.03英寸亮度版本图片","市场参考案例","高端专业器件，但页面属于同一供应商的规格变体，真正壁垒在面板渠道、筛选和集成支持","https://www.tindie.com/products/oled-module/103-2560x2560-micro-si-oled-display-1000nits|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"f992dbe108061ac3","10Pin Ribbon T Two 3Pin Connectors F To F 10In","https://www.tindie.com/products/jmayes/10pin-ribbon-t-two-3pin-connectors-f-to-f-10in","已交叉核验（精确商品目录、售价、店铺销量与线材分类）","特殊分叉排线旧库存转售","低价线材、连接器和剩余库存配件产品族","靠杂项库存、线缆和连接器小批量转售","淘汰线材SKU","10英寸10芯排线，分叉到两个3针母连接器","旧设备维修和特殊线束DIY用户","寻找特定分叉形式的低成本排线","1.99","售价1.99美元；卖家约11单、1条评价并有61款杂项线缆和旧库存","高；线束可定制且同类排线大量供应，单SKU需求极小","依赖现成线材、连接器和库存规格","低；但针序、压接和拉力需检验","中；标题10针到双3针的用途和针序不清晰","低","普通线材转售，无开放设计资产","原记录无合格英雄图；标题结构特殊，不能用普通10针或双3针排线图代替","淘汰","1.99美元杂项线束，没有明确应用、持续需求或可防御产品价值","https://www.tindie.com/products/jmayes/10pin-ribbon-t-two-3pin-connectors-f-to-f-10in|https://www.tindie.com/stores/jmayes/items/","2026-07-25"
"1d3a3763e097f505","10V 142En3 10 142E 3 Microcircuits","https://www.tindie.com/products/electronics16/10v-142en3-10-142e-3-microcircuits","已逐页阅读（精确商品正文、批次数量、售价与卖家目录）","苏联旧库存10V DIP-8稳压微电路批次","复古苏联电子元件与工业剩余库存产品族","靠稀有料号和整批旧库存销售，无法持续制造","淘汰库存SKU","13只10V 142EN3 DIP-8线性稳压器整批出售","旧电子设备维修、收藏和历史设计维护人员","找到特定封装和标记的10V稳压器替换件","78.00","13只整批78美元、库存1批；同店另有4只54美元等多个重复页面，未见订单评价","中；特定旧料可能稀缺，但现代稳压器替代广泛且需求很小","完全依赖旧库存、真伪、存储历史和原设备兼容","不制造；需稳压值、压差、温漂和老化测试","高；数据手册、批次、标记和实际性能不确定","低至中；旧材料和来源声明","原厂元件转售，无开放设计或持续生产权","原记录无合格英雄图；不能用同系列4只或其他标记照片替代13只批次","淘汰","重复发布的旧库存元件批次，不是原创可制造硬件；稀缺性也不足以形成规模机会","https://www.tindie.com/products/electronics16/10v-142en3-10-142e-3-microcircuits|https://www.tindie.com/stores/electronics16/items/","2026-07-25"
"904ccee38e51845a","119 240 X 240 Round Tft","https://www.tindie.com/products/DisplayModule/119-240-x-240-round-tft","已逐页阅读（精确商品正文、规格、价格、库存与同店圆屏目录）","标准1.19英寸圆形TFT显示组件","圆形TFT/AMOLED/OLED显示组件供应目录","靠上游面板、接口板和多尺寸规格目录销售","淘汰单规格标准组件；仅作供应目录参考","1.19英寸240×240 RGB接口圆形TFT面板","手表、仪表盘和圆形UI原型开发者","采购小尺寸圆形彩色显示面板","99.99","售价99.99美元、库存10；同店1.22/1.28/1.3英寸触控圆屏约29.99至44.99美元，其他圆屏9.99至49.99美元","极高；相邻尺寸和接口的圆屏组件供应丰富，该价格反而缺乏竞争力","完全依赖上游面板和终端驱动方案","高；真正制造面板不可行，小团队只能做渠道和转接板","中高；接口、FPC、驱动IC、背光和机械尺寸适配","低至中","标准供应组件，无开放面板制造资料","原记录无合格英雄图；不得用1.22/1.28/1.3英寸相似圆屏图片替代","淘汰","标准显示组件且同店相邻规格更便宜，缺乏产品独立性和可防御商业空间","https://www.tindie.com/products/DisplayModule/119-240-x-240-round-tft|https://www.tindie.com/products/DisplayModule/13-ips-240-x-240-round-tft-with-ctp/|https://www.tindie.com/products/DisplayModule/122-240-x-240-round-tft-with-ctp/","2026-07-25"
"6201b180f111bffb","12 Channel Led Sequencer Homlicon Lc12R","https://www.tindie.com/products/mc_kit/12-channel-led-sequencer-homlicon-lc12r","已逐页阅读（精确商品正文、价格、库存与同店灯效控制器）","12通道PWM灯光序列与遥控控制器","HomLiCon舞台/装饰灯效控制器产品族","靠多通道控制器、声控/色彩组织器和不同功率版本销售","市场参考；研究完整灯效控制器而非复制单板","支持6至12通道PWM的LED灯光序列控制器，带遥控","舞台灯光、橱窗、汽车装饰和DIY灯效用户","无需编程实现多路可调LED追逐和灯光表演","69.00","售价69美元、库存1；同店还有3/5通道声控和120/230VAC色彩控制器，未见该SKU订单评价","高；DMX、WLED、地址灯带和低价多路控制器成熟","依赖外部LED、电源、遥控和用户布线","中；多路MOSFET、散热、电源与EMI需测试","中高；负载类型、共阳/共阴、功率和接线错误","中；低压版本较低，若产品族涉及120/230VAC则风险显著","未见开放原理图、固件或商业复用许可","原记录无合格英雄图；需展示完整LC12R本体、端子和遥控，不能用其他HomLiCon型号代替","市场参考案例","比普通模块更接近完整功能产品，但市场被现代可编程灯控替代，销量证据和差异化不足","https://www.tindie.com/products/mc_kit/12-channel-led-sequencer-homlicon-lc12r|https://www.tindie.com/browse/displays-and-lights/?sort_by=discount","2026-07-25"
"88c1c2e6eea1ef58","127Mm Pitch 2 Pin Wire To Wire Connector 2 Pack","https://www.tindie.com/products/brickstuff/127mm-pitch-2-pin-wire-to-wire-connector-2-pack","已逐页阅读（精确商品正文、长度、数量、价格与同店生态）","1.27mm两针成品连接线两对装","Brickstuff模型灯光连接器与LED配件产品族","靠自有微型灯光生态、连接器、LED和套件配套销售","淘汰独立线材SKU；参考封闭生态附件策略","两套12英寸/30.4厘米的1.27mm两针线对线连接线","微缩模型、积木照明和小型LED布线用户","在狭小模型中快速连接低压LED和控制器","6.99","两对售价6.99美元；同店有4针版10.99美元及多种LED/磁开关，产品族真实但该线材无独立评价证据","高；微型连接线可由JST等标准线束替代，价值依赖Brickstuff生态","强依赖自有灯光系统的针序、连接器和附件兼容","低；压接、极性、拉力和线长检测","中；与通用1.27mm连接器针序和极性混淆","低","成品生态附件，无开放线束规范或商业复用许可","原记录无合格英雄图；需核对两对、2针和12英寸长度，不能用4针版图片代替","淘汰","作为自有生态附件可以赚钱，但脱离Brickstuff产品族只是普通低价线束，不是独立商业机会","https://www.tindie.com/products/brickstuff/127mm-pitch-2-pin-wire-to-wire-connector-2-pack|https://www.tindie.com/products/brickstuff/127mm-pitch-4-pin-wire-to-wire-connector-2-pack","2026-07-25"
"a727cefc814814f2","0 5V0 10V To 0 100 Voltage To Pwm Converter","https://www.tindie.com/products/icstation/0-5v0-10v-to-0-100-voltage-to-pwm-converter","已逐页阅读（精确商品正文、售价、卖家状态与功能）","通用模拟电压转PWM模块转售","ICStation低价信号转换和控制模块目录","靠中国通用模块大目录和跨境转售","淘汰通用模块","将0-5V或0-10V模拟电压转换为0-100%占空比PWM输出的小板","电机、灯光、PLC接口和DIY控制用户","把工业或电位器模拟电压转换成PWM控制信号","5.09","售价5.09美元且卖家暂停营业；未见该SKU订单评价，ICStation目录规模很大","极高；电压转PWM、电压频率和0-10V接口模块大量低价供应","依赖通用运放/比较器/MCU方案和外部控制系统","低；但输入范围、线性、频率、隔离和抗扰需验证","中高；页面缺少精度、频率、输入阻抗和隔离参数","低至中；接入工业0-10V时EMC和地环路风险","转售模块，无开放设计或商业复用资产","原记录无合格英雄图；不能用其他0-10V、PWM或电压转换模块图代替","淘汰","5美元成熟通用模块，参数资料和差异化不足，完全无法支撑新的商业化机会","https://www.tindie.com/products/icstation/0-5v0-10v-to-0-100-voltage-to-pwm-converter","2026-07-25"
"390edd9b190d8e87","056602 Replacement","https://www.tindie.com/products/caiusarcade/056602-replacement","已逐页阅读（精确商品正文、用途、售价、库存与卖家目录）","Konami街机音频模块替代件","老街机停产芯片与功能模块替代件产品族","靠逆向兼容、维修数据库、原板测试和上百个长尾SKU销售","市场参考；并入街机维修替代件产品族","替代Konami GX/GV街机硬件中056602音频模块的兼容板","街机维修商、收藏者和复古游戏运营者","原音频模块停产或故障导致街机无声且无法维修","59.99","售价59.99美元、库存4；卖家约419单、14条评价和114款替代件","低竞争但总市场很小；需要特定板卡存量支持","依赖Konami GX/GV板卡、逆向兼容和原机测试","中高；音频路径、电平、噪声、时钟和不同板版需验证","高；用户可能误判其他音频故障，焊接和兼容支持重","低至中；维修配件认证低，但责任和IP边界存在","未见开放设计许可，可能涉及逆向和原模块IP","原记录无合格英雄图；需展示056602替代板丝印和连接结构，不能用其他街机IC板图代替","市场参考案例","真实高付费长尾维修件，但单SKU市场极小；商业模式依赖大规模SKU库和专业测试能力","https://www.tindie.com/products/caiusarcade/056602-replacement|https://www.tindie.com/stores/caiusarcade/items/?page=2","2026-07-25"
"fb147283dd204a61","06 Micro Oled Display 1920X1080 120Hz 6000Nits","https://www.tindie.com/products/oled-modules/06-micro-oled-display-1920x1080-120hz-6000nits","已逐页阅读（精确商品正文、亮度、帧率、接口选项、售价与卖家目录）","0.6英寸FHD高亮微OLED组件","微显示、驱动板与近眼光学供应产品族","靠上游面板、控制板、光学附件和多规格目录销售","市场参考；合并到微显示供应产品族","0.6英寸1920×1080、120Hz、6000nit MIPI微OLED，可选双目Type-C控制板","AR/VR、HMD、EVF、夜视和工业近眼显示研发团队","采购高亮高刷FHD微显示并快速接入控制板","185.00","精确页面售价185美元；店铺目录另显示199美元近重复页面，卖家约72单、66款产品","中高；专业器件但同店重复页面和多家供应商形成成熟供给","依赖上游微OLED面板、MIPI控制板和终端光学","很高；坏点、亮度、寿命、热管理、排线、时序和光学装调","很高；185/199美元版本、控制板选项和面板批次容易混淆","中高；近眼眼安全和特定夜视/工业用途","标准供应组件，无开放面板或控制板制造许可","原记录无合格英雄图；不能借用同店0.6英寸棱镜或其他亮度版本图片","市场参考案例","有真实专业需求和高客单，但该记录是供应目录规格变体，商业壁垒在渠道、检测和集成支持","https://www.tindie.com/products/oled-modules/06-micro-oled-display-1920x1080-120hz-6000nits|https://www.tindie.com/stores/oled-modules/items/|https://www.tindie.com/products/oled-modules/prism-for-the-06-micro-oled-display/","2026-07-25"
