project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"dc1b4d95e6916b63","redox-keyboard","https://github.com/mattdibi/redox-keyboard","已逐页阅读（README、许可与商业成品页）","开源人体工学分体机械键盘","分体人体工学键盘","开源设计加定制组装、外壳和套件销售","保留为成熟开源设计商业化案例，不复制原版单品","基于QMK的列错位分体键盘，提供PCB、固件和3D打印外壳资料","人体工学键盘用户、程序员和机械键盘爱好者","降低长时间输入的手腕负担并提供高度定制","","GitHub约2k stars、182 forks；FalbaTech销售多款完整Redox，价格约€237至€249并有库存","高；Ergodox、Iris、Sofle、Corne及大量定制分体键盘已形成成熟市场","依赖Pro Micro或兼容控制器、QMK、标准轴体和键帽生态","中；双板装配、外壳、排线和一致性测试","中高；键位配置、焊接版本、无线和个性化选项带来支持成本","低至中；有线版本风险低，无线版本涉及射频和电池","仓库标示MIT；具体第三方固件和商业名称使用需分别遵守","原仓库实物照片与Redox本体匹配，但不是本项目独立销售主图","市场参考案例","已经证明开源键盘可通过定制组装和材料服务变现，但品类高度成熟，机会在服务、人体工学适配和产品族，而不是复制公开PCB","https://github.com/mattdibi/redox-keyboard|https://falbatech.click/products/redox-fully-assembled-custom-mechanical-keyboard|https://falbatech.click/products/redox_ft-fully-assembled-custom-mechanical-keyboard","2026-07-26"
"ed4909e248407949","aciduino","https://github.com/midilab/aciduino","已逐页阅读（README、官方项目页和商店）","DIY步进音序器与MIDI控制器","开源电子乐器和MIDI工具","开源固件加PCB、套件、模块和社区支持","保留为开源音乐硬件产品族案例","Arduino、ESP32或Teensy驱动的TB-303/TR-808风格多轨音序器和MIDI控制器","电子音乐人、现场表演者和DIY合成器用户","以低成本获得可修改的经典工作流音序器","","GitHub 324 stars、43 forks、312 commits；官方站点提供PCB下单和模块化商店，并展示多个应用","中高；硬件音序器、MIDI控制器、Eurorack和303克隆市场成熟","依赖Arduino Mega、ESP32或Teensy及通用显示和控制器件","中；面板、按键矩阵、MIDI电气和外壳决定成品质量","中高；组装、固件版本、MIDI兼容和用户自制差异","低至中；有线低压设备为主，完整成品仍需EMC测试","仓库标示MIT；PCB和第三方模块的许可范围仍需逐文件核验","自动图片是项目PCB实物，基本匹配，但不是完整成品英雄图","市场参考案例","产品和社区真实存在，但竞争已成熟；可学习模块化生态、PCB与套件销售，不宜把单块PCB视为未被满足的机会","https://github.com/midilab/aciduino|https://midilab.co/aciduino/|https://midilab.co/shop/","2026-07-26"
"76e6dd9d6d5518b3","dcsgonebadge","https://gitlab.com/cryptoadvocate/dcsgonebadge","已逐页阅读（精确GitLab项目页和许可）","开源会议电子徽章硬件","安全会议电子徽章","活动赞助、批量徽章、教育内容和社区运营","保留为活动硬件方法参考","Circuit Crafters首个电子徽章的KiCad硬件工程仓库","安全会议组织者、赞助商和参会者","提供活动身份、互动、学习和品牌传播载体","","项目页有147 commits、11 tags，使用CERN-OHL-S-2.0并持续维护；未发现价格、订单或批量交付证据","高；DEF CON及各类安全会议电子徽章、PCB艺术徽章和教育套件很多","依赖Espressif芯片、活动固件、内容和赞助资源","中高；若批量交付需DFM、烧录、测试夹具和电池管理","高；现场固件、无线连接、电池、活动期限和用户支持集中爆发","中；无线、电池和活动场所使用需要合规评估","CERN-OHL-S-2.0强互惠硬件许可","无合格英雄图；项目页图不能替代量产成品主图","市场参考案例","这是可信的开放硬件项目，但商业模式依赖活动组织、赞助和内容，不是可孤立复制的通用消费品机会","https://gitlab.com/cryptoadvocate/dcsgonebadge|https://gitlab.com/explore/projects/topics/open%20hardware","2026-07-26"
"d35ced0c2a668933","gitlab-profile","https://gitlab.com/cozybadgerde/gitlab-profile","已复核（精确GitLab主题缓存；项目页未稳定加载）","公司资料仓库","GitLab个人或公司资料页","品牌介绍和软件托管","淘汰为硬件机会","Cozy Badger的GitLab资料描述仓库","网站或公司访客","展示组织简介","","GitLab主题页明确描述为The Cozy Badger profile description，无硬件文件、售价或客户证据","不适用；不是硬件市场","依赖GitLab资料页","无硬件制造","内容维护","低","许可未核验","无硬件本体","淘汰","profile和badger名称导致旧分类误判，实际只是公司资料文本","https://gitlab.com/cozybadgerde/gitlab-profile|https://gitlab.com/explore/projects/topics/description","2026-07-26"
"eff91e383e6b312c","shields-badge","https://gitlab.com/galtzo-floss/shields-badge","已逐页阅读（精确GitLab项目页）","Ruby软件包","README状态徽章工具","开源软件、开发工具和支持","淘汰为硬件机会","shields.io徽章生成器的RubyGem版本","Ruby开发者","生成项目README状态徽章","","项目页明确为RubyGem，44 commits、1 tag、MIT许可","不适用；数字badge软件生态成熟","依赖Ruby和shields.io","无硬件制造","API兼容和软件维护","低","MIT软件许可","无硬件本体","淘汰","badge指网页状态图标，不是电子徽章或硬件产品","https://gitlab.com/galtzo-floss/shields-badge|https://shields.io/","2026-07-26"
"5ed4129e8332bccd","dRehmFlight","https://github.com/nickrehm/dRehmFlight","已逐页阅读（README、官网说明与商店）","教学型飞控软件和参考接线","开源航空机器人教育平台","教程、内容、咨询、捐赠和生态引流","淘汰为独立硬件机会；保留软件教育价值","面向Teensy和现成IMU、接收机、ESC的简化VTOL稳定软件","RC飞行爱好者、学生和快速原型开发者","降低理解和修改飞控代码的门槛","","GitHub约1420 stars、317 forks；官网有大量教程和超过10万关注者的内容体系，但商店仅有贴纸并导流第三方零件","高；PX4、ArduPilot、Betaflight及大量飞控硬件和教育资源成熟","完全依赖Teensy、MPU6050等现成器件和用户自建飞行器","本仓库无独立硬件制造；完整飞行器制造风险高","极高；飞行调参、坠机、兼容和安全责任","高；无人机、无线电和飞行安全监管","GPL-3.0软件许可","无项目独立硬件英雄图","淘汰","README明确说明它是教学和快速原型工具，不用于商业意义且不追求超越现有飞控；不能把软件和现成器件接线算成新硬件机会","https://github.com/nickrehm/dRehmFlight|https://www.drehmflight.com/drehmflight-vtol|https://www.drehmflight.com/store","2026-07-26"
"ac65aa28440f850d","Weather-Dashboard","https://gitlab.com/ums91/omer-Project-1","已逐页阅读（精确GitLab项目页）","Web天气仪表板软件","前端练习和CI/CD项目","软件开发练习和作品展示","淘汰为硬件机会","带Auto DevOps的Weather Dashboard代码仓库","软件学习者和网页用户","显示天气信息和演示流水线","","项目页标记Weather-Dashboard及未发布CI/CD Catalog，240 commits；无硬件设计、价格或订单","不适用；天气网页和应用充分","依赖Web API和GitLab CI","无硬件制造","API、部署和前端维护","低","许可未明确","自动项目badge不是产品图片","淘汰","纯Web软件项目，pipeline badge被错误识别为电子徽章","https://gitlab.com/ums91/omer-Project-1","2026-07-26"
"e4f4aa5c6ae864a2","MiniCore","https://github.com/MCUdude/MiniCore","已逐页阅读（README、安装说明和许可页）","Arduino核心软件包","AVR开发软件生态","开源软件维护、文档和生态支持","淘汰为独立硬件机会","支持多款ATmega芯片的Arduino board core、bootloader和配置","AVR开发者和教育用户","让裸ATmega芯片方便使用Arduino工具链","","GitHub约1148 stars、275 forks、372 commits，并被PlatformIO支持；没有独立硬件商品","不适用；属于成熟软件工具链","依赖Arduino IDE、PlatformIO和ATmega芯片","无硬件制造","版本、bootloader和芯片兼容维护","低","仓库许可文件存在，具体条款按源文件执行","无硬件本体","淘汰","hardware package在Arduino语境中指软件平台包，不是可制造硬件产品","https://github.com/MCUdude/MiniCore|https://platformio.org/","2026-07-26"
"d55b1b7f649b29aa","android","https://gitlab.com/dspread/android","已逐页阅读（精确GitLab项目页）","Android演示源码","支付终端Android SDK示例","软件集成支持和设备生态服务","淘汰为本记录硬件机会","Dspread Android demo source code，包含大量版本与发布记录","支付设备集成开发者","演示Android端对设备SDK的调用","","项目页明确写dspread android demo source code，835 commits、67 tags、64 releases","不适用；本记录是软件示例","依赖Dspread设备或SDK和Android","无本记录独立硬件制造","SDK兼容、设备型号和Android版本支持","中；支付集成支持要求高","中高；支付与数据安全由完整系统承担","许可未明确","项目badge不是硬件英雄图","淘汰","即使背后公司销售硬件，该仓库本身只是Android演示源码，不能单独计为硬件机会","https://gitlab.com/dspread/android","2026-07-26"
"08a96f8c8a82959d","jerald-cicd-workshop-demo","https://gitlab.com/dictcloud/workshop/jerald-cicd-workshop-demo","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator示例","工作坊学员","练习fork、pipeline和部署流程","","精确源描述明确为Workshop Badge Generator participants fork this during the CI/CD workshop；0 stars","不适用；属于同一培训模板","依赖GitLab CI和上游工作坊模板","无硬件制造","培训材料和流水线维护","低","许可未确认","无硬件本体","淘汰","这是Jerald的培训分叉，不是电子徽章，也不能与同模板其他分叉重复计数","https://gitlab.com/dictcloud/workshop/jerald-cicd-workshop-demo","2026-07-26"
"453660d3b9c27088","Alternative Badgeware Workflows","https://learn.pimoroni.com/article/alternative-badgeware-workflows","已逐页阅读（完整Pimoroni教程）","开发板使用教程","Pimoroni Badgeware教程内容","销售上游开发板和STEM套件的内容营销","淘汰为独立硬件机会","讲解用Thonny和mpremote向Badgeware或Tufty 2350传输运行MicroPython代码","Badgeware开发板购买者和学习者","提供不同开发工作流的教学","","页面明确标为教程，2026-05-11发布、难度Easy，并列出Tufty 2350和Badgeware套件","高；MicroPython开发板教程大量存在","完全依赖Pimoroni Badgeware或Tufty上游板卡","无本教程独立制造","教程更新、固件和工具版本支持","低","教程版权和上游产品许可分别适用","自动图片是教程步骤图和上游板卡，不是独立产品英雄图","淘汰","教程可以促进上游板卡销售，但教程本身不是新的硬件商业机会","https://learn.pimoroni.com/article/alternative-badgeware-workflows|https://shop.pimoroni.com/products/tufty-2040","2026-07-26"
