project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"a54335c3ee839a2f","1000X Vishay Mdp14 47K 2 Resistor Networks New","https://www.tindie.com/products/vasoubi/1000x-vishay-mdp14-47k-2-resistor-networks-new/","已逐页阅读","整批停产/旧库存元器件转售","老设备维修用停产元器件与库存撮合","通过持有或收购停产器件库存向维修商和小批量制造商整批出售；价值来自料号、真伪和库存，不是开源硬件设计","淘汰为开源硬件商业机会；只能作为停产料库存与B2B撮合案例参考","一批1000只Vishay MDP14系列电阻网络；商品正文写4.7KΩ/2%，但旧名称和URL写47K，存在关键规格冲突","维修旧电子设备、需要特定封装电阻网络的采购与维修商","停产或难采购的特定阻值、封装和引脚配置器件需要替代库存","760.00","商品页只显示一个整批库存商品，卖家店内仅此一项，未看到订单、评价或持续供货证据；正文的4.7KΩ与旧抓取名称47K不一致","低竞争但需求高度碎片化；单一料号市场极小，真正壁垒是库存和真伪鉴定","完全依赖原厂Vishay库存、具体料号和旧设备BOM，不包含自研硬件","低；主要风险是真伪、阻值/公差/封装核验和长期储存状态","高；规格写错、非原装、氧化、批次差异和客户设备不兼容会产生整批退货争议","中；旧库存可能涉及RoHS/材料合规与跨境B2B声明","不适用开源硬件许可；属于原厂元器件转售","基本匹配但必须核对包装标签和阻值：自动图来自该商品页面，且正文与标题存在4.7K/47K冲突","淘汰","这是库存转售而不是可复制制造的硬件产品；没有持续供货、设计资料或可形成独立产品的证据，且关键阻值信息冲突，不能作为商业候选","https://www.tindie.com/products/vasoubi/1000x-vishay-mdp14-47k-2-resistor-networks-new/|https://www.tindie.com/stores/vasoubi/","2026-07-24"
"8d0bef871e66f90d","100M Long Range Bluetooth 42 Dual Mode Module","https://www.tindie.com/products/szfeasycom/100m-long-range-bluetooth-42-dual-mode-module/","已逐页阅读","通用蓝牙4.2双模射频模块","旧版蓝牙串口/音频模块与无线OEM模组","模块厂商依靠标准蓝牙模组、定制固件和批量认证支持服务OEM客户；单片零售不是新机会","淘汰；只有面向特定行业做预认证、稳定固件、管理工具和长期供货的完整无线方案才可重评","Feasycom FSC-BT909，约13×26.9mm、3.3V、UART/I2C/USB及音频接口的Bluetooth 4.2双模Class 1模块","需要嵌入蓝牙串口、音频或HID功能的设备开发商","减少自行完成蓝牙射频、协议栈和认证集成的工作","9.99","商品页售价9.99美元；卖家处于暂停状态，Tindie店铺显示0笔订单并有多款类似蓝牙模块；规格属于Bluetooth 4.2旧代产品","极高；蓝牙模组已有大量更现代的BLE 5.x、ESP32和预认证方案，旧4.2模块缺少明显空白","依赖Feasycom专有固件、芯片供应、AT命令和认证资料","中；射频布局、天线、固件兼容、批次替换和认证资料需要厂商支持","高；手机系统兼容、连接稳定性、固件文档、音频协议与长期供货容易产生支持负担","高；Bluetooth SIG、FCC/CE等无线认证和各地区法规","未发现可商业复制的硬件/固件开放许可，属于厂商闭源模块","确认错配：自动英雄图文件名为ESP32 CH340C WiFi Bluetooth Development Board，不是FSC-BT909模块","淘汰","旧代通用蓝牙模块、卖家无Tindie销售验证且市场高度成熟；核心依赖厂商闭源方案，英雄图还明确错配，不能进入商业候选","https://www.tindie.com/products/szfeasycom/100m-long-range-bluetooth-42-dual-mode-module/|https://www.tindie.com/stores/szfeasycom/","2026-07-24"
"8a350e7f06bafe38","100M Usb Bluetooth 40 Dongle Adapter Fsc Bp119","https://www.tindie.com/products/szfeasycom/100m-usb-bluetooth-40-dongle-adapter-fsc-bp119/","已逐页阅读","带外置天线的完整USB蓝牙适配器","长距离USB蓝牙适配器与工业无线接入产品族","通过完整外壳、天线、驱动兼容和企业支持销售，而不是只卖裸模块","仅作为完整产品化案例参考；若进入应聚焦Linux/工业设备兼容、集中管理和可靠售后，而不是复制旧Bluetooth 4.0硬件","FSC-BP119，CSR8510A10方案、Bluetooth 4.0双模、Class 1、外置SMA天线的USB适配器","需要比普通USB蓝牙更远距离的PC、工业终端和音频/HID用户","普通小型蓝牙适配器距离短、天线弱，需要外置天线和更高发射功率","17.99","Tindie售价17.99美元，卖家暂停且0笔Tindie订单；厂商和其他经销渠道仍能找到该型号及约100m、18.5dBm、HCI/HID/音频规格","高；USB蓝牙适配器成熟，Bluetooth 5.x和多品牌长距离产品大量存在","依赖CSR8510A10、厂商驱动/固件和操作系统兼容","中；完整成品易制造，但驱动、天线一致性、外壳和认证资料需稳定","中高；Windows/Linux/macOS版本、音频栈、休眠、距离宣传和驱动安装是主要售后","高；Bluetooth SIG及无线认证","未见可复制设计或开放固件许可，属于厂商成品","基本匹配但需最终视觉抽检：来源图应展示带SMA天线的USB适配器，而非内部模块或其他型号","市场参考案例","它比裸模块更接近完整产品，但技术代际老、竞争充分且当前店铺无销售验证；可参考外壳、天线和兼容支持的产品化方式，不是新的严格候选","https://www.tindie.com/products/szfeasycom/100m-usb-bluetooth-40-dongle-adapter-fsc-bp119/|https://www.tindie.com/stores/szfeasycom/","2026-07-24"
"97006018d544cdd1","10Mhz Gps Disciplined Frequency Reference For Sdr","https://www.tindie.com/products/nhbbobb/10mhz-gps-disciplined-frequency-reference-for-sdr/","已逐页阅读","完整GPS驯服10MHz频率基准仪器","业余无线电、SDR与电子实验室频率基准产品族","通过完成度较高的仪器、校准表现、软件兼容、文档和技术支持获得高于模块的客单价","继续观察；补齐相位噪声、短期稳定度、老化、保持性能、锁定时间、输出电平和满温测试后再判断是否可成为严格候选","带GPS接收、OCXO/控制环路和10MHz输出的频率基准设备，可供SDR、计数器和射频实验使用","业余无线电用户、SDR实验者、小型电子实验室和维修校准工作台","普通晶振频率漂移，缺少可长期追踪GPS的稳定10MHz参考","99.00","商品售价99美元并有2条评价；卖家约46单、6条评价、5款相关产品；评价认可锁定、做工和Lady Heather兼容，但指出文档薄弱且运输中紧固件可能松动","中；Tindie及射频市场已有约89至189美元的GPSDO、OCXO和频率参考，但小型低价完整仪器仍有需求","依赖GPS信号、OCXO品质、控制固件、电源和上位机工具","中高；需要频率计、相噪/稳定度测试、温度与老化验证，不能只做通电测试","中高；锁定失败、天线、运输松动、输出幅度、软件兼容和性能宣传需要专业支持","中；本体低压，但GPS接收和EMC仍需说明，若作为测量基准还涉及校准声明","页面未显示允许第三方复制销售的明确开源硬件/固件许可","基本匹配但需视觉抽检：来源图为该商品独立上传设备照片，应确认展示完整GPSDO而非仅内部板卡","观察名单","这是本批唯一具备明确专业用途、完整产品形态、约100美元客单和真实用户反馈的项目；但关键计量性能与文档证据不足，暂不能进入严格候选","https://www.tindie.com/products/nhbbobb/10mhz-gps-disciplined-frequency-reference-for-sdr/|https://www.tindie.com/stores/nhbbobb/|https://www.tindie.com/search/?q=gpsdo","2026-07-24"
"bcce83cc502df507","0-10V to 4-20mA Voltage to Current Module by ICStation on Tindie","https://www.tindie.com/products/icstation/0-10v-to-4-20ma-voltage-to-current-module/","已逐页阅读","通用非隔离工业信号转换模块/转售品","低价0-10V、4-20mA与工业接口转换模块商品族","依靠采购大量通用模块和低价SKU销售，不具备原创工业仪表、校准或软件壁垒","淘汰；只有加入隔离、DIN外壳、校准证书、宽温、保护、Modbus诊断和行业认证形成完整变送器才可重评","将0-10V输入线性转换为4-20mA输出的非隔离小模块，带指示灯","PLC/BMS调试者和低成本工业控制DIY用户","把电压信号转换为抗干扰电流环信号","5.94","商品约5.94至6.99美元；ICStation拥有数百个通用模块SKU，页面未提供该SKU独立订单、精度、温漂、隔离、校准或EMC证据","极高；同类0-10V/4-20mA转换板在Tindie和中国供应链大量存在","依赖未披露的通用电路和ICStation供应链，没有独立软件或系统价值","低；但精度、温漂、电源范围、保护和批次一致性未经证明","高；工业用户容易对精度、接地环路、非隔离损坏和接线错误产生争议","中高；用于工业现场时需要EMC、隔离和电气保护说明","未见原创设计文件或开放许可，疑似通用转售模块","基本匹配但需与店内相似0-3.3V、PWM和隔离版本视觉比对，不能只凭小板外观确认","淘汰","低价、非隔离、无校准证据的成熟通用模块，工业售后风险明显高于利润与差异化空间","https://www.tindie.com/products/icstation/0-10v-to-4-20ma-voltage-to-current-module/|https://www.tindie.com/stores/icstation/|https://www.tindie.com/search/?q=4-20ma","2026-07-24"
"20a69974898cfaf8","023 Inch Micro Amoled Display 640X400 800Nits","https://www.tindie.com/products/oled-modules/023-inch-micro-amoled-display-640x400-800nits/","已逐页阅读","微型AMOLED显示器件加CVBS驱动板","AR/VR、取景器和微显示模组供应链产品族","专门供应难采购的微显示器件、驱动板、光学组件和定制接口，依靠选型与小批量供货服务专业开发者","作为专业供应链与产品族案例参考；不把上游显示器件本身当作可复制开源硬件机会","0.23英寸640×400、约800nit的微型AMOLED，配CVBS驱动板","AR眼镜、电子取景器、夜视、头戴显示和光学原型开发者","普通显示尺寸过大，需要高像素密度的小型显示与可快速接入的视频驱动","255.00","商品售价255美元；Display Components类卖家约72单并有约66款微显示、驱动和光学产品，价格约88至574美元，说明专业小批量供应需求存在","中；上游厂商和专业经销商数量有限，但客户量小、规格碎片化且议价依赖供应链","高度依赖原始面板厂、驱动板、排线、光学和长期供货；无法靠复制PCB掌控核心器件","中高；显示接口、时序、排线、光学耦合、坏点和热管理需要专业验证","高；坏点、亮度、兼容、寿命、批次替换、退换和光学效果均易争议","中高；显示器件材料、出口、EMC及终端产品的眼安全由应用决定","未见面板或驱动板可商业复制的开放许可，属于供应链商品","无合格英雄图；最终若保留市场参考，必须补充该0.23英寸面板与对应CVBS驱动板的真实成套图片","市场参考案例","它展示了专业微显示小批量供应的真实客单和产品族，但核心是上游器件渠道、接口支持与光学知识，不是开源硬件可直接复制的项目","https://www.tindie.com/products/oled-modules/023-inch-micro-amoled-display-640x400-800nits/|https://www.tindie.com/stores/oled-modules/","2026-07-24"
"d8846782b3ef8dcf","0805 Breakout","https://www.tindie.com/products/jusbour/0805-breakout/","已逐页阅读","0805贴片器件转接小板/焊接练习附件","SMD转接板与焊接练习小附件","依赖极低售价和多规格附件组合销售；单块转接板没有品牌、软件或技术壁垒","淘汰；只能作为完整焊接教学包或工作台附件的附带SKU","把0805封装贴片元件引出到便于面包板/导线使用的焊盘的小型PCB","电子初学者、原型开发和维修人员","在没有专用PCB时方便焊接、测试0805贴片元件","2.00","商品售价2美元且仅余2件；卖家店内只有一个产品且未见订单评价；直接竞品约1美元，Tindie SMD相关商品数百","极高；转接板可自行画板、拼板或从大量供应商购买","不依赖复杂第三方生态，但核心价值仅是一小块通用PCB","极低；Gerber简单，任何PCB厂均可复制","低但客单极低；主要问题是焊盘尺寸、断板和数量","低","页面未见明确开源硬件许可；即使开放也缺乏商业壁垒","待视觉复核：自动图文件名KitParts-Normal较通用，需确认确实展示0805转接板而非其他焊接套件","淘汰","售价低于合理获客和售后成本，直接竞品更低且设计极易复制，不具备独立商业机会价值","https://www.tindie.com/products/jusbour/0805-breakout/|https://www.tindie.com/search/?q=0805|https://www.tindie.com/search/?q=smd","2026-07-24"
"6adff99e52345b35","096 Inch 12864 Oled 4 Pin Spi Iic Ssd1306 Blue","https://www.tindie.com/products/hicenda/096-inch-12864-oled-4-pin-spi-iic-ssd1306-blue/","已逐页阅读","通用0.96英寸SSD1306 OLED模块/转售品","低价显示模块与开发配件商品族","通过采购成熟标准模块并与其他创客零件一起销售，不包含独特显示方案","淘汰；只有加入完整人机界面、外壳、低功耗固件和垂直应用才能形成可评产品","0.96英寸128×64蓝色SSD1306 OLED，支持SPI/I2C的4针通用模块","Arduino、树莓派和微控制器原型开发者","低成本显示少量文本、图标和传感器数据","2.59","商品售价2.59美元；Hicenda店铺约22单、29款商品；显示类别已有大量同规格SSD1306模块，常见价格约3至6美元","极高；该规格已成为标准创客模块，供应商、库和替代品极多","依赖SSD1306生态和通用面板供应链，用户通常直接与Arduino/树莓派搭配","极低；采购转售容易，但批次面板、地址、排针和颜色可能变化","中；坏点、烧屏、批次差异、接口标注和兼容库会造成低价售后","低至中；终端产品需考虑EMC和材料，但模块本身门槛低","未见原创设计或开放许可；属于标准模块转售","无合格英雄图；不能用其他OLED、上游开发板或教程图替代","淘汰","典型已被卷烂的低价标准模块，没有独立产品、市场空白或毛利空间","https://www.tindie.com/products/hicenda/096-inch-12864-oled-4-pin-spi-iic-ssd1306-blue/|https://www.tindie.com/stores/hicenda/|https://www.tindie.com/browse/displays/","2026-07-24"
"300647f9238d8a85","10 Mhz Oscillator Tcxo 10 Mhz 028 Ppm","https://www.tindie.com/products/gpio/10-mhz-oscillator-tcxo-10-mhz-028-ppm/","已逐页阅读","封装式10MHz高稳定TCXO频率源","业余无线电、SDR与实验室射频模块产品族","成熟射频卖家依靠宽产品族、实测筛选、文档和支持销售专业小批量模块；单一TCXO并非市场空白","仅作为专业射频产品族和测试支持案例参考；新进入者需提供可追溯校准、相噪、温漂、老化和机械封装优势","封装在小型金属/PCB结构中的10MHz TCXO频率源，标称约±0.28ppm","SDR、业余无线电、频率计和射频实验用户","需要比普通晶振更稳定、可直接接入设备的10MHz参考","75.00","商品售价75美元并有1条正面评价；GPIO Labs约1043单、22条评价、129款射频相关商品，用户评价认可准确度和支持","中高；OCXO、TCXO、GPSDO及各类10MHz参考很多，卖家的产品族和信誉是主要优势","依赖TCXO原器件、筛选校准设备和射频输出设计","中；装配不难，但频率准确度、温漂、老化、相噪和输出电平需专业测试","中；用户会对ppm、预热、相噪、接口和校准预期提出要求","低至中；低压射频模块，但若宣称校准需明确溯源和不确定度","未发现允许复制该商品的明确开放硬件许可","基本匹配但需视觉抽检：来源图为该商品独立上传照片，应确认标识与10MHz ±0.28ppm版本一致","市场参考案例","真实客单和订单来自成熟射频商店、测试能力和售后信誉；单个TCXO频率源本身已有充分供给，不是新的严格商业机会","https://www.tindie.com/products/gpio/10-mhz-oscillator-tcxo-10-mhz-028-ppm/|https://www.tindie.com/stores/gpio/|https://www.tindie.com/search/?q=10mhz","2026-07-24"
"c42efa811d8ce34d","12 Kinds Of Small Stainless Steel Screws","https://www.tindie.com/products/mmm999/12-kinds-of-small-stainless-steel-screws/","已逐页阅读","通用不锈钢小螺丝组合包/转售耗材","电子维修、模型与创客五金耗材商品族","通过跨境采购通用紧固件并与大量杂项模块一起销售；价值仅来自包装组合与渠道","淘汰；只能作为完整维修工具品牌的顺带耗材，不能作为硬件商业机会","12种规格的小型不锈钢螺丝组合包","电子维修、模型、眼镜、玩具和DIY用户","一次采购多种小规格紧固件，减少临时找料","16.00","商品售价16美元；MMM999为数百SKU的综合模块与杂项渠道，未见该螺丝SKU的独立订单、专业规格或差异化证据","极高；紧固件组合包在五金、电商和维修渠道大量存在","完全依赖通用紧固件供应链，无电子、软件或知识产权核心","极低；主要是规格、材质、数量、分装和防混料","中；错规格、材质虚标、数量不足、生锈和包装混料会造成争议，但低客单无售后空间","低；若宣称不锈钢牌号需材料真实性","不适用开源硬件许可；标准耗材","基本匹配但需视觉抽检：来源图看似该商品独立螺丝组合照片，应确认12种规格和包装内容","淘汰","这是通用五金耗材而不是硬件产品机会；市场极度成熟、没有设计壁垒，无法建立高毛利或技术差异化","https://www.tindie.com/products/mmm999/12-kinds-of-small-stainless-steel-screws/|https://www.tindie.com/stores/mmm999/","2026-07-24"
