project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"2398a4fbf8411258","Trick or Trace ghost keychain","https://github.com/hackclub/OnBoard/tree/main/projects/Trick-or-Trace ghost keychain","已复核（Hack Club OnBoard精确项目缓存与目录）","学习型PCB电子挂件","OnBoard学生PCB提交","活动资助和作品展示","淘汰为商业候选","万圣节主题电子幽灵钥匙扣PCB","学生创客","学习电路设计和PCB制造","","进入OnBoard公开提交库；无售价、订单或客户证据","极高；PCB钥匙扣和发光小品泛滥","依赖活动规则、常见LED和纽扣电池","低","低至中；焊接和电池接触","低；纽扣电池警示","项目许可未确认","无合格英雄图","淘汰","教育型PCB小品，没有强付费痛点、差异化或渠道壁垒","https://github.com/hackclub/OnBoard/tree/main/projects/Trick-or-Trace%20ghost%20keychain|https://github.com/hackclub/OnBoard","2026-07-26"
"64d7be3721cf7018","tufty2040-conference-badge","https://gitlab.com/gl-demo-ultimate-jmoverley/conceptatron/tufty2040-conference-badge","已复核（精确GitLab项目缓存正文）","Tufty 2040应用演示","Tufty会议徽章软件","依托上游板卡做活动演示","淘汰为独立硬件机会","在Tufty 2040上轮播二维码和动画的程序","会议参与者和演示人员","用彩屏板展示联系信息","","描述明确为Tufty 2040 LCD badge；无独立PCB、价格或订单","高；电子会议徽章和开发板演示很多","完全依赖Pimoroni Tufty 2040","无独立硬件制造","固件和活动内容维护","低","许可待核验","Tufty图片只能算上游硬件","淘汰","现成开发板的软件应用，不能把上游板卡算成本项目产品","https://gitlab.com/gl-demo-ultimate-jmoverley/conceptatron/tufty2040-conference-badge|https://shop.pimoroni.com/products/tufty-2040","2026-07-26"
"db91452982333fd2","BizHawk port - MAME","https://gitlab.com/TASVideos/mame-hawk-port","已逐页阅读（精确GitLab项目页）","软件镜像仓库","MAME模拟器软件","软件维护和社区贡献","淘汰为硬件机会","mamedev/mame的GitLab镜像","模拟器开发者","维护街机模拟器代码镜像","","项目页明确写明mirror of mamedev/mame，BSD-3-Clause","不适用；不是硬件市场","依赖MAME和BizHawk","无硬件制造","软件兼容和上游同步","低至中；ROM版权由使用者承担","BSD-3-Clause软件许可","无硬件本体","淘汰","纯软件镜像，街机关键词不能被误判为街机硬件","https://gitlab.com/TASVideos/mame-hawk-port|https://github.com/mamedev/mame","2026-07-26"
"a9e9e002a3adba8a","tufty-conference-badge","https://gitlab.com/gitlab-da/use-cases/embedded/embedded-devsecops/environments/tufty-conference-badge","已复核（精确GitLab项目缓存正文）","Tufty开发板应用演示","Tufty会议徽章软件","活动和DevSecOps演示","与同族项目合并后淘汰","在Tufty LCD上轮播二维码和动画","会议和演示人员","展示联系信息与嵌入式交付流程","","描述与Tufty徽章模板同源；1 fork，无商品证据","高；同模板变体","完全依赖Tufty板卡和GitLab环境","无独立硬件制造","固件和演示流程","低","许可待核验","无独立产品英雄图","淘汰","同一Tufty模板变体，不能重复虚增机会","https://gitlab.com/gitlab-da/use-cases/embedded/embedded-devsecops/environments/tufty-conference-badge","2026-07-26"
"e66bcb38c6afffd7","Gentoo Installguide","https://gitlab.com/blucybrb14de/gentoo-installguide","已复核（精确GitLab缓存正文）","Linux安装文档","Gentoo个人指南","知识分享和文档维护","淘汰为硬件机会","Gentoo安装和个人配置指南","Gentoo用户","记录安装步骤与配置","","正文明确为Personal Guide and Configurations for Gentoo","不适用","依赖Gentoo软件包","无硬件制造","文档过时风险","低","文档许可待核验","无硬件本体","淘汰","纯操作系统文档，徽章图片导致旧分类误判","https://gitlab.com/blucybrb14de/gentoo-installguide","2026-07-26"
"563fea80763b1094","psshields","https://gitlab.com/phellams/psshields","已复核（精确GitLab缓存正文）","PowerShell软件模块","README徽章工具","开源软件或开发服务","淘汰为硬件机会","生成Shields.io URL和Markdown的PowerShell模块","软件开发者和DevOps团队","自动生成多平台状态徽章","","缓存正文明确支持25个平台","高；Shields生态成熟","依赖PowerShell和Shields.io","无硬件制造","API和平台兼容维护","低","软件许可待核验","无硬件本体","淘汰","badge指README图形标签，不是电子硬件","https://gitlab.com/phellams/psshields|https://shields.io/","2026-07-26"
"c276f952f9f2ee42","Ivy Python","https://gitlab.com/ivybus/ivy-python","已逐页阅读（精确GitLab项目页）","Python软件库","Ivy软件总线Python绑定","软件集成和支持服务","淘汰为硬件机会","Ivy消息总线的Python实现","软件开发者和研究系统集成者","分布式组件消息通信","","项目页显示211 commits、10 tags、README、CHANGELOG和BSD-3-Clause","不适用","依赖Python和Ivy总线","无硬件制造","软件版本和协议兼容","低","BSD-3-Clause软件许可","无硬件本体","淘汰","纯软件库，状态badge触发旧分类误判","https://gitlab.com/ivybus/ivy-python","2026-07-26"
"b4e4fe35e16a61be","ElatoAI","https://github.com/akdeb/ElatoAI","已逐页阅读（README、架构、许可和产品导流）","ESP32实时语音AI平台","AI玩具和语音终端开发平台","硬件、设备管理、云语音管线和集成服务","保留为平台案例","ESP32-S3语音固件、Web端、边缘服务及DIY硬件设计","AI玩具开发者和语音设备团队","降低接入多种STT、LLM和TTS的成本","","约1.8k stars、227 forks、423 commits；支持100+模型并导流硬件产品","高；ESP32语音终端和云API封装快速拥挤","依赖ESP32-S3及第三方AI和云服务","中；完整产品需声学、电源和结构测试","高；API、账号、Wi-Fi和隐私支持复杂","中高；无线、隐私和儿童玩具责任","MIT软件许可；硬件许可需逐文件核验","旧图pcb-design.png不是完整销售主图","市场参考案例","需求真实但壁垒主要在云服务、声学和产品体验，通用ESP32参考板本身不构成空白机会","https://github.com/akdeb/ElatoAI|https://www.elatoai.com/","2026-07-26"
"a02f8bd635cef450","Badges Docs","https://gitlab.com/fedora/websites-apps/fedora-badges/docs","已逐页阅读（精确GitLab项目页）","Fedora数字徽章文档","社区软件文档","社区运营和文档维护","淘汰为硬件机会","Fedora Badges系统官方文档源","Fedora贡献者","维护数字成就徽章文档","","项目页明确为Fedora Badges documentation，24 commits，CC BY-SA 4.0","不适用","依赖Fedora Badges软件","无硬件制造","文档同步和规则维护","低","CC BY-SA 4.0文档许可","无硬件本体","淘汰","badge指社区数字成就标识，不是电子徽章","https://gitlab.com/fedora/websites-apps/fedora-badges/docs|https://docs.fedoraproject.org/en-US/badges/","2026-07-26"
"a0cb9d0e636a3591","dcsgonefwbsp","https://gitlab.com/cryptoadvocate/dcsgonefwbsp","已逐页阅读（精确GitLab项目页）","电子徽章固件BSP","Circuit Crafters徽章软件组成","完整徽章、活动赞助和安全教育内容","与硬件仓库合并评估；本记录淘汰","首个电子徽章的固件板级支持包","徽章开发者和安全活动参与者","为特定徽章硬件提供底层支持","","项目页明确为firmware BSP，7 commits、GPL-3.0，无独立商品证据","高；会议徽章较多","依赖对应徽章PCB和Espressif芯片","无本记录独立制造","固件和SDK维护","中；完整无线徽章需认证","GPL-3.0固件；硬件许可另查","无独立产品英雄图","淘汰","固件BSP不能单独计为硬件机会，应与对应硬件项目合并","https://gitlab.com/cryptoadvocate/dcsgonefwbsp","2026-07-26"
