project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"56ba058997b14d5e","BadgerHack | Tutorials - SparkFun Learn","https://learn.sparkfun.com/tutorials/tags/badgerhack","已逐页阅读（精确SparkFun教程正文）","退役活动徽章教程集合","BadgerHack/RedStick教学生态","通过展会教学、零售开发板和配件带动销售","淘汰为硬件商业机会；仅保留教育内容参考","围绕BadgerStick、8×7 LED板、按钮和传感器的焊接、Arduino编程及扩展教程","电子入门学习者、SparkFun活动参与者","学习焊接、Arduino和基础交互电子","","教程明确说明BadgerStick源于活动教学，RedStick才是零售版本；页面已标记retired并列出游戏、传感器和合成器扩展教程","高；Arduino入门徽章、活动套件和教学内容非常成熟","依赖SparkFun BadgerStick/RedStick、Arduino IDE和现成扩展件","无独立产品制造；属于教程与现成板卡拼装","课程维护、旧工具链和板卡停产兼容","低","教程CC BY-SA 4.0；示例代码部分MIT","无独立产品英雄图；教程步骤图不能作为销售主图","淘汰","原记录把教程标签页当成商业硬件。它本质是已退役的活动教学内容和现成板卡拼装，不是可独立销售的产品机会。","https://learn.sparkfun.com/tutorials/badgerhack|https://learn.sparkfun.com/tutorials/retired---badgerhack|https://learn.sparkfun.com/tutorials/badgerhack/resources-and-going-further","2026-07-26"
"1fa006ca50df55b2","esp32s3-arcade-3d","https://github.com/davidmonterocrespo24/esp32s3-arcade-3d","已逐页阅读（精确GitHub README）","ESP32开发板游戏Demo","ESP32图形与游戏软件演示","软件、教程或技术展示","淘汰为独立硬件机会","在ESP32-S3开发板、ILI9341 SPI屏和两个按钮上运行的伪3D赛车游戏，同源码可在Windows模拟器运行","ESP32游戏开发者和图形编程学习者","在低成本微控制器上实现复古3D渲染与游戏演示","","README完整描述游戏特性、代码结构和Arduino IDE编译方式；未提供自研PCB、BOM、外壳、商品或付费客户证据","高；ESP32游戏Demo、ILI9341项目和复古掌机方案很多","强依赖ESP32-S3 Dev Module、ILI9341现成屏、TFT_eSPI和Arduino IDE","无自研硬件制造；只是开发板、屏幕和按钮组合","固件兼容、屏幕接线和性能调优支持","低","README未见明确硬件商业许可；仓库以软件源码为主","README硬件图只是开发板与屏幕演示，不是独立产品英雄图","淘汰","这是优秀的软件/渲染Demo，但购买者得到的仍是现成开发板和屏幕组合；没有独立产品形态、市场证据或制造壁垒。","https://github.com/davidmonterocrespo24/esp32s3-arcade-3d/blob/main/readme.md","2026-07-26"
"1c75b4da80416548","AYAB Electronic Knitting Machine Controller","https://certification.oshwa.org/us002598.html","已逐页阅读（精确OSHWA认证页）","老式电子编织机替换控制器","旧设备电子控制替换与数字化改造","硬件销售、兼容套件、安装文档和桌面软件支持","保留为垂直维修与改造观察项","替换Brother KH900/910/930/940/950/965等兼容编织机原控制硬件，使其通过桌面应用由PC控制，且改装可逆","旧编织机用户、纺织工作室、维修商和数字纺织教育机构","原电子系统失效或封闭，导致仍可用的机械编织机无法继续数字化使用","","OSHWA认证页明确给出兼容机型、可逆改装、项目网站和开放许可；但页面不提供售价、订单、装机量或售后数据","中；新机控制器、Knitic及社区改造方案存在，但具体兼容矩阵和长期支持形成一定门槛","依赖特定Brother及衍生机型、桌面应用、线束和原机械状态","中高；需要多机型电气兼容、连接器、保护和实机测试","高；机型差异、安装错误、原机机械故障和软件环境会产生大量支持","中；主要为低压电子兼容与产品责任，若带电源需额外安全验证","硬件CC-BY-SA-4.0；软件LGPL；文档CC-BY-SA-4.0","认证页未提供可核验销售级主图；最终英雄图需从项目站重新确认控制板本体","观察名单","它解决真实的停产设备控制问题，客户和兼容对象清楚，开源资料也明确；但缺售价、销量、安装难度和竞品份额，暂不能进入严格候选。","https://certification.oshwa.org/us002598.html|https://www.ayab-knitting.com/","2026-07-26"
"84fa214e2e9d506c","Adafruit Arcade Bonnet for Raspberry Pi with JST Connectors","https://certification.oshwa.org/us002483.html","已逐页阅读（精确OSHWA认证页）","Raspberry Pi街机按钮Bonnet","树莓派复古游戏配件","成熟品牌模块销售和教程生态","淘汰为新商业机会；保留成熟生态参考","与Pi Zero同尺寸、通过2×20排针连接树莓派并提供6个街机按钮JST插座的扩展板","树莓派街机/模拟器DIY用户","减少按钮接线并缩小树莓派街机项目体积","","OSHWA认证页确认产品功能、Rev B、软件MIT与文档许可；属于Adafruit成熟产品和教程生态，不代表市场空白","极高；树莓派街机HAT/Bonnet、USB编码器和成品控制板已经高度成熟","强依赖Raspberry Pi、模拟器软件、街机按钮和Adafruit连接生态","低；标准双层PCB和连接器，但缺乏差异化","树莓派版本、接线、镜像和按钮配置支持","低至中；主要是接线与供电","硬件许可标为Other；软件MIT；文档CC BY-SA","认证页无独立销售主图；即使图片匹配也只是成熟Pi扩展板","淘汰","典型树莓派生态扩展板，用户价值是简化接线而非独立产品；市场已经被成熟品牌和低价USB编码器覆盖。","https://certification.oshwa.org/us002483.html","2026-07-26"
"6bf172798e989360","Adafruit PC Joystick to seesaw I2C Adapter - STEMMA QT / Qwiic","https://certification.oshwa.org/us002419.html","已逐页阅读（精确OSHWA认证页）","传统PC摇杆转I2C适配器","旧输入设备接口转换配件","成熟生态模块销售、库和教程","仅作老接口转换产品化参考，不作为空白机会","使用15针D-Sub接口和ATtiny816 seesaw固件，将传统PC摇杆X/Y与两个按钮转换为I2C，并提供双STEMMA QT接口","复古输入设备爱好者、嵌入式开发者和无障碍改造者","让旧PC摇杆无需复杂模拟采样即可接入现代I2C主控","","OSHWA认证页确认具体接口、芯片、功能、软件MIT和文档许可；未提供价格、订单或独立评价","中高；USB摇杆适配器、MCU自制方案和现成HID控制板很多，I2C细分相对窄","依赖传统15针PC摇杆、seesaw固件和Qwiic/STEMMA生态","低；小型适配板制造简单","旧摇杆电气差异、线缆、校准和库兼容支持","低","硬件许可Other；软件MIT；文档CC BY-SA","认证页未提供可人工核验的产品主图","市场参考案例","产品解决明确接口转换问题，但它属于成熟品牌的细分适配模块，制造门槛低且市场规模有限；可参考老接口现代化思路。","https://certification.oshwa.org/us002419.html","2026-07-26"
"fac572a908260c59","EXL Joystick Adaptor","https://certification.oshwa.org/uk000059.html","已逐页阅读（精确OSHWA认证页）","复古电脑摇杆适配器","停产输入设备替换配件","小批量复古配件、3D外壳和维修社群","仅作复古长尾配件参考","让Exelvision EXL-100使用Atari标准摇杆替代原红外摇杆的适配器","EXL-100收藏者、维修者和复古计算社群","原红外摇杆稀缺或失效，阻碍旧电脑正常使用","","OSHWA认证页明确功能、项目网站、GPL硬件/文档以及3D打印外壳属性；没有售价、订单、用户规模或竞品证据","低竞争但总市场极小；需求受EXL-100存量限制","完全依赖特定复古电脑和Atari接口摇杆","低至中；电路简单，但需连接器尺寸、外壳和兼容测试","中高；旧机状态、接口差异和安装误诊会造成支持","低","硬件GPL；无软件；文档GPL","认证页未展示可核验销售主图","市场参考案例","痛点真实且设计开放，但单机型TAM极小。商业价值只能来自覆盖多种复古设备的适配器产品族，而不是这个单SKU。","https://certification.oshwa.org/uk000059.html","2026-07-26"
"9b173395da9bd3a2","uConsole USB Hub Extension Board","https://certification.oshwa.org/de000137.html","已逐页阅读（精确OSHWA认证页）","uConsole专用USB扩展板","掌上电脑生态配件","设备专用扩展板、小批量销售和开源改版","仅作设备生态配件参考","安装到ClockworkPi uConsole中增加4个USB端口的扩展板","uConsole用户和便携终端改装者","原机USB端口不足，难以同时连接存储、输入和调试设备","","OSHWA认证页确认增加4个USB口、版本0.0.1、CERN-OHL-S-2.0及Codeberg文档；无价格、销量、兼容版本和供电能力数据","中；uConsole配件供给有限，但USB Hub电路本身成熟且容易复制","强依赖ClockworkPi uConsole机械、电气和扩展槽生态","中；需验证USB信号完整性、供电、结构尺寸和散热","中高；不同主板版本、USB供电与外设兼容会产生支持","中；USB供电、电磁兼容和过流保护","硬件CERN-OHL-S-2.0；文档CC-BY-SA-4.0","认证页未提供可核验完整安装后主图","市场参考案例","它比通用Hub更贴近特定设备痛点，但核心仍是成熟USB Hub电路；机会来自持续维护uConsole配件产品族，而非单块扩展板。","https://certification.oshwa.org/de000137.html","2026-07-26"
"3b2a67a05c528c95","Adafruit PiUART - USB Console and Power Add-on for Raspberry Pi","https://certification.oshwa.org/us002473.html","已逐页阅读（精确OSHWA认证页）","Raspberry Pi USB串口与供电附加板","树莓派调试配件","成熟品牌模块销售与教程生态","淘汰为新商业机会","插到树莓派上提供USB-C串口控制台、供电及RX/TX指示灯的附加板","树莓派开发者、运维和嵌入式调试人员","在无网络或启动故障时快速接入树莓派串口控制台","","OSHWA认证页确认Rev C、功能和许可；同类USB-UART线、调试HAT和控制台适配器极多","极高；USB-UART转换器和树莓派调试配件是成熟通用品","强依赖Raspberry Pi排针、USB串口芯片和主机驱动","低；标准模块制造简单","驱动、供电、树莓派型号和接线支持","中；错误供电或同时供电风险","硬件许可Other；软件MIT；文档CC BY-SA","认证页无可核验销售级英雄图","淘汰","真实需求存在，但被USB-UART线和大量树莓派调试板充分满足，且制造门槛低，不是竞争空白。","https://certification.oshwa.org/us002473.html","2026-07-26"
"e2f12260bdbd990a","GameBug","https://certification.oshwa.org/bg000080.html","已逐页阅读（精确OSHWA缓存页）","面包板游戏输入Breakout","教育与原型输入模块","教育模块、课程和创客套件","淘汰为商业硬件机会","由两个模块组成、包含方向按钮、模拟摇杆、肩键、滑条、RGB LED和触觉反馈并可插面包板的输入板","电子教育者、学生和原型开发者","在面包板实验中快速获得丰富游戏输入和反馈","","OSHWA页确认模块组成、面包板用途和教育/机器人分类；未见价格、销量、课程或机构采购证据","高；游戏控制器Breakout、Arduino套件和教育输入板很多","依赖面包板、外部主控、现成摇杆/按钮/振动器和用户接线","低至中；模块组合但无独立成品结构","接线、库、教学和元件差异支持","低","硬件许可Other；软件GPL；文档Other","无独立成品英雄图；Breakout组合不能冒充完整产品","淘汰","它是面向面包板的教育模块组合，不是用户可直接完成任务的独立产品；缺课程壁垒和市场证据。","https://certification.oshwa.org/bg000080.html","2026-07-26"
"a4ed5627565e8962","Joystick 2-axis with pushbutton breakout","https://certification.oshwa.org/hr000057.html","已逐页阅读（精确OSHWA认证页）","通用PS2式摇杆Breakout","通用输入元件模块","元件分销和生态模块销售","淘汰","把常见双10k电位器摇杆和按压开关引出到模块，用于Arduino、游戏和机器人项目","创客、学生和原型开发者","简化双轴摇杆的接线和读取","","认证页自己说明该模块广为人知且与PS2摇杆相同；无价格、销量或差异化证据","极高；同类摇杆模块在全球电子供应链中大量存在","依赖外部主控、通用摇杆机构和用户项目","极低；标准小板","摇杆漂移、接线和机械寿命","低","硬件TAPR；文档CC BY-SA；无软件","无合格英雄图；即使匹配也只是通用模块","淘汰","项目页面直接表明它是众所周知的通用摇杆模块，已经被低价供应链卷烂，不具备独立商业价值。","https://certification.oshwa.org/hr000057.html","2026-07-26"
