project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"92c909337796c624","Teebeutel-Firmware","https://github.com/entropia/Teebeutel-Firmware","已复核（精确仓库缓存正文）","会议电子徽章固件与参考设计","定制会议电子徽章","活动批量采购、赞助和现场互动","仅作活动徽章产品化参考；固件仓库不计独立商品","GPN20用ESP32/MicroPython徽章，含128×128 OLED、传感器和扩展能力","黑客大会和技术活动主办方","需要身份识别、互动展示和可编程体验","","仓库正文明确对应GPN20徽章；0 stars、0 forks，未见售价或外部客户","高；ESP32会议徽章和SAO生态成熟","ESP32、MicroPython、OLED和具体活动内容","完整徽章涉及PCB、显示、电池、外壳和活动交期；仓库主要为固件","活动前交付和现场固件支持较重","中；无线与电池","许可待核验","旧库无合格英雄图","市场参考案例","真实产品形态存在，但强绑定单次活动，缺少定价、订单和完整制造证据","https://github.com/entropia/Teebeutel-Firmware","2026-07-26"
"9e69fd682cc05b97","FIXDUP-Tech-Repair-Website","https://github.com/DaifMoe/FIXDUP-Tech-Repair-Website","已复核（精确仓库缓存正文）","全栈电商练习网站","软件练习项目","不适用","直接淘汰为硬件机会","展示电子商品和维修报价页面的电商网站代码","无明确硬件购买者","练习全栈网站开发","","仓库正文明确称其为练习全栈开发的网站；0 stars、0 forks","极高；电商模板和练习项目大量存在","Web前后端技术栈，无硬件","无硬件制造","软件部署和维护","低；实际运营时涉及支付和隐私","许可待核验","旧图是网站截图，不是硬件主图，明确错配","淘汰","纯软件练习项目，仅因页面含电子产品图片被误识别为硬件","https://github.com/DaifMoe/FIXDUP-Tech-Repair-Website","2026-07-26"
"c51e4b2c9569ae12","radio-silence","https://github.com/808JOURNEYx/radio-silence","已复核（精确仓库缓存正文）","浏览器隐私扩展","软件安全工具","开源软件或浏览器扩展服务","直接淘汰为硬件机会","阻止WebUSB、Web Serial、WebHID、Web Bluetooth、WebRTC和媒体设备API的扩展","浏览器隐私和安全用户","减少网页调用本地设备接口造成的隐私暴露","","正文描述弹窗、日志和屏蔽开关；0 stars、0 forks，无硬件文件或商品","高；隐私扩展和权限阻断工具成熟","浏览器扩展API","无硬件制造","浏览器兼容维护","低","许可待核验","无硬件本体","淘汰","纯浏览器软件，被radio等词误分为硬件","https://github.com/808JOURNEYx/radio-silence","2026-07-26"
"7b07c9950f6f84f3","piantor","https://github.com/beekeeb/piantor","已逐页阅读（精确GitHub项目页）","开源人体工学分体键盘","开源分体机械键盘产品族","销售DIY套件、预组装键盘、PCB和配件","作为成熟开源产品族参考，不直接复制","36/42键、无二极管、Choc低轴、RP2040驱动的有线分体键盘","人体工学键盘用户和DIY装配者","改善手型适配并降低首次焊接难度","","853 stars、61 forks；仓库提供PCB、BOM、外壳、固件并链接套件和预组装销售","高；Cantor、Corne、Sofle等成熟","Raspberry Pi Pico/RP2040、QMK/Vial和Choc生态","中；多PCB、轴体、热插拔座和外壳","中高；焊接、刷写、TRRS和键位配置支持","低至中","GPL-3.0；外部库另有MIT、CC BY-SA及TPCWare许可","项目页照片显示实际键盘本体，匹配","市场参考案例","有真实产品和销售路径，但市场高度成熟，壁垒在品牌、文档和社区","https://github.com/beekeeb/piantor","2026-07-26"
"3ceb2e8158eb0326","emd","https://gitlab.com/emd-dev/emd","已逐页阅读（精确GitLab项目页）","Python信号分析软件库","科学计算软件","开源软件、研究支持或咨询","直接淘汰为硬件机会","Python经验模态分解软件库","信号处理研究者和Python开发者","对非平稳信号进行经验模态分解","","项目页明确为Empirical Mode Decomposition in Python，717 commits、19 tags","高；Python和MATLAB信号处理库成熟","Python科学计算栈","无硬件制造","软件API和算法维护","低","GNU GPLv3或更高版本","页面badge是CI状态图，无硬件本体","淘汰","纯软件算法库，因project badge被误归电子徽章","https://gitlab.com/emd-dev/emd","2026-07-26"
"0eb8d556f7cfaa91","Keychain","https://github.com/ChristianIannella/Keychain","已复核（精确仓库缓存正文与项目照片）","DIY电子钥匙扣小品","电子礼物与随机骰子钥匙扣","小批量成品或套件销售","直接淘汰；仅作创客作品","DIY电子钥匙扣，旧图显示Dice子项目实物","电子小玩具和礼物用户","提供便携随机骰子或装饰互动","","1 star、0 forks，未见售价、订单、众筹或客户","极高；电子骰子和钥匙扣已大量商品化","通用MCU、显示/LED和电池","低至中；电池、外壳和耐久性","中；电池寿命、按键和外壳","低至中；纽扣电池误吞风险","许可待核验","旧图看似对应Dice实物，但不足以证明销售级成品","淘汰","低壁垒创客小品，市场饱和且无付费验证","https://github.com/ChristianIannella/Keychain","2026-07-26"
"fd1f0ae45be05e52","RedZone-HackerBadge","https://github.com/bytecod3/RedZone-HackerBadge","已复核（精确仓库缓存正文）","DIY黑客会议徽章","CTF与黑客大会电子徽章","活动批量采购、赞助和现场挑战","直接淘汰独立机会；可归会议徽章产品族","ESP32徽章，带Wi-Fi/蓝牙Mesh、OLED、CTF挑战和原型区","安全会议主办方和参会者","把身份、互动挑战和焊接体验合并","","0 stars、0 forks，未见活动采购、售价或完整生产数据","高；会议徽章和SAO生态成熟","ESP32、OLED和活动CTF内容","中高；无线、显示、电池和活动交期","高；现场联网、挑战和固件支持","中；无线和电池","许可待核验","无合格英雄图","淘汰","无可验证订单，形态是典型活动定制徽章Demo","https://github.com/bytecod3/RedZone-HackerBadge","2026-07-26"
"8f14db515340dcd5","Dokos Bookings","https://gitlab.com/dokos/bookings","已逐页阅读（精确GitLab项目页）","在线预订管理软件","企业预订与合同软件","SaaS、部署和企业支持","直接淘汰为硬件机会","在线预订、合同、订阅和资格徽章管理软件","场地、服务机构和Dokos用户","统一管理预约、可用性、合同和计费","","项目页明确为软件，682 commits、53 releases","高；预约SaaS和ERP模块成熟","Dokos软件生态","无硬件制造","软件部署、升级和配置","中；客户与预约数据隐私","GNU AGPLv3","无硬件本体","淘汰","badges指资格标签而非电子徽章","https://gitlab.com/dokos/bookings","2026-07-26"
"36d87ffc1ff58f4e","RFID-Based-Smart-Access-Control-System","https://github.com/tasakbas001-cmyk/RFID-Based-Smart-Access-Control-System","已复核（精确仓库缓存正文）","Arduino门禁教学Demo","RFID门禁教程与原型","教育内容或套件","直接淘汰；模块拼装Demo不计门禁产品","Arduino Uno、MFRC522、RFID卡/钥匙扣和电锁组成的访问控制原型","学生和Arduino初学者","演示RFID身份验证和电锁控制","","0 stars、0 forks；无认证、订单或安装案例","极高；MFRC522 Arduino门禁教程大量存在","完全依赖Arduino Uno、MFRC522和现成电锁","原型低；真实门禁需要电源、防拆和可靠性设计","高；权限、卡片、电锁和安装支持","高；安防、消防逃生、电气和隐私","许可待核验","无合格英雄图；接线图不能作销售主图","淘汰","现成模块拼装教学项目，未达到门禁产品安全要求","https://github.com/tasakbas001-cmyk/RFID-Based-Smart-Access-Control-System","2026-07-26"
"5531e90f604c5a79","MicrobitOLEDBadge","https://github.com/NurveNetworksLLC/MicrobitOLEDBadge","已复核（精确仓库缓存正文与产品图）","Micro:bit插接OLED徽章示例仓库","教育开发板显示配件","销售现成配件并以示例代码获客","作为成熟生态配件案例，不直接复制","Nurve Networks为Parallax开发的Micro:bit OLED插接徽章和示例代码","Micro:bit教育用户和创客","快速增加可佩戴OLED显示和示例应用","","仓库明确是已开发产品的示例、Demo和代码；0 stars、0 forks","高；Micro:bit显示扩展和教育配件成熟","Micro:bit、Parallax/Nurve产品和教育生态","中；连接器、显示、电源和儿童使用耐久性","中；Micro:bit版本、示例代码和课堂支持","中；儿童教育和电池","仓库与商品设计许可需分别核验","产品照片显示具体插接徽章，基本匹配","市场参考案例","真实商品存在，但仓库只是既有产品示例，市场亦成熟","https://github.com/NurveNetworksLLC/MicrobitOLEDBadge","2026-07-26"
"bdc6e6a54ed5f3b0","scouts_esp32c3","https://github.com/gushie/scouts_esp32c3","已复核（精确仓库缓存正文）","既有徽章的Python固件","童军数字制作徽章软件","教育活动和课程支持","直接淘汰为独立硬件机会","为带微型OLED的ESP32-C3 Scouts Digital Maker徽章编写的Python代码","童军教育活动组织者","给既有徽章提供教学应用和显示功能","","0 stars、1 fork；明确是Python代码，无独立硬件证据","高；ESP32-C3教育徽章和示例程序普遍","完全依赖既有ESP32-C3 OLED徽章","无独立硬件制造","固件和课堂支持","低至中；儿童活动","许可待核验","无独立硬件本体图","淘汰","固件仓库，不能把上游徽章算作该项目产品","https://github.com/gushie/scouts_esp32c3","2026-07-26"
"10a4ab00f919978c","espagotchi","https://github.com/gnyman/espagotchi","已复核（精确仓库缓存正文）","既有ESP32徽章的虚拟宠物应用","活动徽章软件与小游戏","社区内容或活动互动","直接淘汰为独立硬件机会","运行在Disobey 2019徽章或其他ESP32 OLED设备上的虚拟宠物软件","徽章持有者和活动参与者","为既有徽章增加会后娱乐应用","","0 stars、0 forks；无商品或制造数据","高；虚拟宠物和徽章小游戏大量存在","完全依赖Disobey徽章或其他ESP32 OLED硬件","无独立硬件制造","设备兼容和固件维护","低","许可待核验","无独立硬件主图","淘汰","纯应用软件，不能将运行载体视为该项目产品","https://github.com/gnyman/espagotchi","2026-07-26"
"5d175d08fbeab00e","badge-dragonJar-2025","https://github.com/ElectronicCats/badge-dragonJar-2025","已复核（精确仓库缓存正文）","官方安全会议电子徽章","定制会议徽章与CTF硬件","活动批量采购、赞助与现场挑战","作为会议定制硬件案例，不直接复制单次活动SKU","DragonJarCON 2025可编程NFC徽章，带OLED、LED和黑客挑战","DragonJarCON主办方、赞助商和参会者","整合身份、互动、NFC和安全挑战","","2 stars、0 forks；明确为2025官方徽章，未见售价或采购金额","高；安全会议定制徽章已有成熟团队","活动IP、NFC、OLED、LED和挑战内容","高；活动期限、批量测试、电池和外壳","高；现场发放、固件和挑战支持","中；NFC/无线和电池","完整硬件与商业许可待核验","旧图URL指向早期Badge_GHS图片，不能证明是2025本体，错配风险高","市场参考案例","真实官方活动产品，但商业模式依赖定制批量采购，旧英雄图不可靠","https://github.com/ElectronicCats/badge-dragonJar-2025","2026-07-26"
"db35eeb16e4949b8","MKVN2025_Build_Guide","https://github.com/Deemen17/MKVN2025_Build_Guide","已逐页阅读（精确GitHub项目页）","活动徽章/宏键盘装配指南","机械键盘活动纪念硬件","活动批量采购与社群周边","直接淘汰该记录；指南页面不计独立产品","MKVN Meetup 2025的STM32F072、QMK、VIA/Vial 12键PCB徽章/宏键盘装配资料","机械键盘活动主办方和参会者","提供纪念品、焊接体验和会后宏键盘用途","","项目页标题为Assembly Guide，3 stars、0 forks；含3D模型、固件和iBOM，无售价或订单","高；宏键盘和活动徽章成熟","QMK、VIA/Vial、机械轴体和活动品牌","中高；PCB、轴体、外壳、装配和活动交期","中高；焊接、刷写和键位配置","低至中","项目页未显示明确总许可","无合格英雄图；装配图不自动视为销售主图","淘汰","记录本身是构建指南，不能把背后的单次活动硬件重复算机会","https://github.com/Deemen17/MKVN2025_Build_Guide","2026-07-26"
"4581395677a80b0e","Gameduino 3X Dazzler","https://www.crowdsupply.com/excamera/gameduino-3x-dazzler","已逐页阅读（精确Crowd Supply项目页）","开源Arduino GPU/FPGA HDMI扩展板","嵌入式图形、游戏与视频输出平台","销售Shield、核心模组、套装和开发生态","作为成功众筹和开源平台案例，不直接复制","集成BT815 GPU、Spartan-6 FPGA、HDMI、microSD和控制器接口的Arduino Shield/核心模组","Arduino/CircuitPython游戏开发者和视觉装置创客","让低性能主控以简单API输出720p图形和音频","42-99","2020年筹资23,036美元、276名支持者、230%达标；产品现已停止销售","中高；嵌入式显示、HDMI扩展和GPU板替代丰富","Arduino/CircuitPython、BT815和较老的Spartan-6","高；BGA、高速HDMI、固件和供应链","高；库、示例、主控兼容和图形调试","中；HDMI/EMC","页面称PCB、Verilog、J1 CPU和固件开放；具体许可证需核验","Crowd Supply主图为具体Shield和套装，匹配","市场参考案例","有真实众筹和开放技术，但已停产、器件较旧且市场有大量替代","https://www.crowdsupply.com/excamera/gameduino-3x-dazzler","2026-07-26"
"bae2ac6ca0a94e79","Getting Started With Badger 2040","https://learn.pimoroni.com/article/getting-started-with-badger-2040","已逐页阅读（精确Pimoroni教程页）","现成产品入门教程","电子纸可编程徽章内容与导购","通过教程支持Pimoroni硬件销售","直接淘汰该记录；教程不计产品机会","介绍Badger 2040/2040 W供电、BadgerOS、MicroPython、Thonny和示例的入门指南","Badger 2040购买者和教育用户","降低现成电子纸徽章的上手门槛","","页面明确自称beginner friendly tutorial，介绍电池、示例、编程和排错","不适用；依附成熟Pimoroni产品","完全依赖Badger 2040、RP2040/Pico W和Pimoroni软件","无独立制造","教程与固件版本维护","低","教程版权与产品设计许可需分别核验","图片显示上游Badger产品，不是页面的独立产品","淘汰","旧库把教程误当硬件项目；上游产品存在不等于教程是一条机会","https://learn.pimoroni.com/article/getting-started-with-badger-2040","2026-07-26"
"7d90bb5e7e60f3c6","Reconnaissance","https://gitlab.com/digital-commons/world/european-union/france/administration/education-nationale/domaine/logiciel/applications/reconnaissance","已复核（精确GitLab缓存正文）","技能与Open Badges软件平台","教育凭证软件","学校部署、软件服务和支持","直接淘汰为硬件机会","基于SvelteKit与Prisma、兼容Open Badges v3的技能认可平台","学校、教育部门和培训机构","记录、审核和发放可验证技能凭证","","描述明确是软件平台和Orca分支，0 stars、0 forks，无实体徽章","高；数字证书、LMS和Open Badges平台成熟","Web软件栈和Open Badges标准","无硬件制造","软件部署、账户和数据迁移","中高；学生数据与身份隐私","许可待核验","无硬件本体","淘汰","badge指数字凭证而非电子硬件","https://gitlab.com/digital-commons/world/european-union/france/administration/education-nationale/domaine/logiciel/applications/reconnaissance","2026-07-26"
"b164b068f6e8b5eb","Portfolio","https://gitlab.com/spseol/Portfolio","已复核（精确GitLab项目元数据与缓存正文）","师生技能跟踪Web应用","教育作品集和数字徽章软件","学校软件部署和支持","直接淘汰为硬件机会","学生提交Git项目、关联技能并获得教师审核徽章的Vue 3与Flask应用","学校、教师和学生","结构化记录学生项目和技能达成","","GitLab项目1 commit；缓存正文明确为Vue 3+Flask软件","高；教育作品集、LMS和数字徽章平台成熟","Git仓库、Vue、Flask和学校流程","无硬件制造","账户、权限和学校部署","高；未成年人和教育数据隐私","许可待核验","无硬件本体","淘汰","纯教育软件，badge是数字成就标记","https://gitlab.com/spseol/Portfolio","2026-07-26"
