project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"82009f471b935490","Proyecto-Hugo-Medidor-de-Salinidad-con-Arduino-UNO","https://github.com/paupau77/Proyecto-Hugo-Medidor-de-Salinidad-con-Arduino-UNO","已逐页阅读（精确缓存README）","Arduino拼装原型/教程","Arduino液体导电率演示","学习项目和文档分享","淘汰为硬件机会","用Arduino UNO、模拟电导传感器或电位器、LCD/OLED和按钮组成的基础导电率演示；README明确尚待专业公式校准","学生和原型学习者；没有可确认的付费产品客户","演示ADC、电压与近似电导读数，不是经校准的盐度或医疗测量","", "README列出Wokwi和Tinkercad模拟验证及待专业校准；没有价格、订单、实物测试或销售证据","高；Arduino传感器接线和液体测量教学大量存在","依赖Arduino UNO/Nano、现成传感器、LCD/OLED、面包板和模拟器","无量产BOM、校准流程、治具或可重复测量证据","校准、误用和健康用途解释会产生高支持风险","若用于体液、健康或化学判断，准确性和责任风险高","README标示DNDA并要求联系授权；商业复用边界不开放","缓存仅含接线图和模拟器说明，非经核验的量产产品主图","淘汰","README明确是由现成Arduino和显示模块组成、以模拟器验证的基础原型，且实际盐度公式和专业校准尚未完成；不能将其包装成可销售的健康或分析仪器。","https://github.com/paupau77/Proyecto-Hugo-Medidor-de-Salinidad-con-Arduino-UNO|https://raw.githubusercontent.com/paupau77/Proyecto-Hugo-Medidor-de-Salinidad-con-Arduino-UNO/HEAD/README.md","2026-07-26"
"d3582114ed10e037","SerialKeyboardMouseController","https://github.com/charlescao460/SerialKeyboardMouseController","已逐页阅读（精确缓存README）","Arduino HID控制软件与接线","HID自动化和反作弊规避工具","软件库与DIY接线","淘汰为硬件机会","以ATmega32U4/SAMD Arduino和UART-USB桥模拟真实USB键鼠的.NET控制库与接线","自动化脚本作者；没有正常硬件购买客户","README明确目标是规避反作弊或保护软件的检测","", "README给出Arduino、CP2102/FT232/CH340接线、.NET库和规避VID/PID/COM检测说明；无价格或商品交付证据","不适用；本记录不是可独立销售硬件","完全依赖Arduino HID板、UART桥和.NET运行时","无本记录独立硬件制造","驱动、系统兼容和滥用支持风险高","明显涉及反作弊规避和输入自动化滥用风险","README说明Arduino衍生部分为LGPL，去除后可用MIT；无独立硬件许可","README中是接线示意和软件说明，不是产品英雄图","淘汰","这是借现成Arduino和串口桥实现的规避检测输入控制软件，既没有独立硬件本体，也存在明显的平台规则与滥用风险。","https://github.com/charlescao460/SerialKeyboardMouseController|https://raw.githubusercontent.com/charlescao460/SerialKeyboardMouseController/HEAD/README.md","2026-07-26"
"e0ce047047f12516","Arduino-Pedelec-Controller","https://github.com/jenkie/Arduino-Pedelec-Controller","已逐页阅读（精确缓存README）","电助力车控制软件","Arduino电助力车控制器","开源固件和论坛项目","淘汰为硬件机会","基于Arduino硬件的Pedelec/E-Bike控制器软件，README只链接针脚和面包板文档","改装爱好者；未见可确认付款方","为自建电助力车控制器提供软件","", "README只说明是软件并链接论坛针脚、面包板和构建文档；没有价格、订单、成品或测试证据","高；电助力车控制器和开源固件已有成熟供给","依赖Arduino硬件、外部功率级和论坛资料","本仓库未给可量产硬件资料","骑行安全、固件和兼容性支持风险高","电助力车功率、道路法规和失效安全风险高","缓存README未声明许可证","无可核验硬件主图","淘汰","精确README把它定义为基于Arduino硬件的控制器软件，未提供独立硬件产品、制造资料或交付证据；交通安全风险也不适合把简略固件记录列为机会。","https://github.com/jenkie/Arduino-Pedelec-Controller|https://raw.githubusercontent.com/jenkie/Arduino-Pedelec-Controller/HEAD/README.md","2026-07-26"
"b1dcea9dd13f4a64","IBusBM","https://github.com/bmellink/IBusBM","已逐页阅读（精确缓存README）","Arduino协议库","Flysky/Turnigy iBUS生态","软件库和开发者支持","淘汰为硬件机会","处理Flysky/Turnigy iBUS伺服与遥测协议的Arduino库，含遥控车和DIY伺服示例","Arduino和RC开发者","简化UART协议、遥测传感器和伺服控制","", "README详列库、兼容Arduino/ESP32/STM32平台和示例；没有独立硬件价格、订单或制造资料","不适用；协议库生态","依赖Arduino/ESP32/STM32、Flysky接收机和外设","无独立硬件制造","库维护、协议兼容和安全配置支持","RC设备误动作和失效安全由使用者系统承担","缓存README未见明确许可证条款","无硬件本体或销售级主图","淘汰","README的本体是iBUS协议软件库；其中的遥控车和伺服只是示例，不能被算作独立硬件产品。","https://github.com/bmellink/IBusBM|https://raw.githubusercontent.com/bmellink/IBusBM/HEAD/README.md","2026-07-26"
"51b01f9e8098ab9c","MH-Z19","https://github.com/WifWaf/MH-Z19","已逐页阅读（精确缓存README）","Arduino传感器库","MH-Z19X CO2传感器生态","软件库和开源维护","淘汰为硬件机会","提供MH-Z19X CO2传感器串口命令、校准和恢复功能的Arduino库","已有MH-Z19X传感器的开发者","方便读取和配置既有CO2传感器","", "README说明库已进IDE/IO库管理器、列出传感器数据表与假货提示；没有独立硬件商品证据","不适用；软件库而非新传感器","完全依赖Winsen MH-Z19X和Arduino平台","无本记录硬件制造","传感器校准、假货和读数解释支持风险","空气质量读数误用有一定责任风险","LGPL-3.0软件许可","无独立硬件主图","淘汰","README明确这是MH-Z19X的Arduino库；它不能转化为新的CO2硬件产品或独立制造机会。","https://github.com/WifWaf/MH-Z19|https://raw.githubusercontent.com/WifWaf/MH-Z19/HEAD/README.md","2026-07-26"
"66c06565981ec43b","MIDI-Drum-Player","https://github.com/dfkettle/MIDI-Drum-Player","已逐页阅读（精确缓存README）","音频软件补丁","MIDI鼓采样播放软件","软件工具和社区分发","淘汰为硬件机会","接收MIDI音符并播放打击乐采样的软件，依赖Pure Data/Deken库和虚拟MIDI线","音乐软件用户","播放MIDI打击乐采样","", "README只说明软件用途、loopMIDI和cyclone/zexy/iemlib依赖；无硬件、价格或订单","不适用；软件音频工具很多","依赖操作系统、虚拟MIDI和Pure Data库","无硬件制造","软件安装与音频兼容支持","低；不构成硬件合规","缓存README未声明许可证","无硬件本体","淘汰","本体是MIDI采样播放软件，README没有任何可交付硬件或硬件付款方。","https://github.com/dfkettle/MIDI-Drum-Player|https://raw.githubusercontent.com/dfkettle/MIDI-Drum-Player/HEAD/README.md","2026-07-26"
"10b0083009ac742c","esphome-anenji-11kw-native-modbus","https://github.com/PreK/esphome-anenji-11kw-native-modbus","已逐页阅读（精确缓存README）","高压逆变器DIY改装配置","Anenji混合逆变器监控改装","ESPHome配置和社区技术支持","淘汰为硬件机会","用XIAO ESP32-C6替换Anenji 11kW逆变器内部Wi-Fi控制器并读取Modbus寄存器的ESPHome配置","已拥有该逆变器的DIY用户","获取本地逆变器数据并释放外部RS485口","", "README列出寄存器、ESP32-C6针脚和拆换原厂控制器方式；没有独立商品、价格、订单或长期安全验证","高；逆变器监控、RS485和ESPHome集成已有大量方案","依赖特定Anenji逆变器、内部供电/针脚、XIAO ESP32-C6和ESPHome","需拆开高功率逆变器并适配型号，无法形成标准化交付","固件更新、逆变器型号差异和故障归因支持风险高","逆变器内部高压、并网和保修风险高","缓存README未声明许可证","README是配置说明，非独立销售设备主图","淘汰","这是针对特定11kW逆变器的内部改装配置，依赖拆机和现成控制器；缺少独立产品、制造与安全认证证据。","https://github.com/PreK/esphome-anenji-11kw-native-modbus|https://raw.githubusercontent.com/PreK/esphome-anenji-11kw-native-modbus/HEAD/README.md","2026-07-26"
"c91cb2ef761a6cf8","JayK-Pro","https://github.com/josuegaleas/JayK-Pro","已逐页阅读（精确缓存README）","未验证机械键盘PCB设计","全尺寸定制机械键盘","开源PCB和DIY组装","淘汰为硬件机会","含USB-C、蓝牙和灯光的全尺寸键盘PCB及TMK固件资料","机械键盘DIY用户","改变布局和功能","", "README明确作者尚未印制PCB且不确定设计能否工作；无价格、订单或成品交付","高；全尺寸机械键盘、TMK/QMK和定制PCB市场成熟","依赖ATxmega、RN4678、LED驱动、键轴、外壳和TMK工具链","原型尚未印制，DFM、射频、装配和测试未知","蓝牙、固件、键盘装配和售后支持成本高","蓝牙射频认证及电池配置风险","缓存README未声明许可证","README只有布局/设计资料，未见可核验实物销售主图","淘汰","作者明确说PCB尚未印制且不能确认可用；又是拥挤的通用机械键盘PCB，不能进入候选。","https://github.com/josuegaleas/JayK-Pro|https://raw.githubusercontent.com/josuegaleas/JayK-Pro/HEAD/README.md","2026-07-26"
"a3831f80b615bee0","KagansDuckHuntGame","https://github.com/KaganxSahin/KagansDuckHuntGame","已逐页阅读（精确缓存README）","Arduino+Unity互动游戏原型","Duck Hunt光枪项目","课程/作品集和软件游戏","淘汰为硬件机会","用Arduino Uno、LDR、开关、L9110S震动马达和Unity复刻Duck Hunt的光枪游戏","学生和游戏DIY爱好者","在昏暗环境中体验互动光枪游戏","", "README提供Wokwi模拟、接线和Unity/Arduino分工；无价格、订单或产品化证据","高；复古光枪、Arduino互动游戏和Unity教程供给充足","依赖Arduino Uno、LDR模块、L9110S、Unity及电脑显示器","原型接线和环境光条件使一致性差","环境光、串口、游戏安装和元件差异会带来支持","低压为主；但不是面向现实射击设备的产品","缓存README未声明许可证","缓存图为项目演示，不能证明销售级主图","淘汰","README定义的是需要暗室运行的Arduino+Unity教学型互动游戏，属于作品集/DIY演示而非独立硬件商品。","https://github.com/KaganxSahin/KagansDuckHuntGame|https://raw.githubusercontent.com/KaganxSahin/KagansDuckHuntGame/HEAD/README.md","2026-07-26"
"b980c09ee50738cd","Panasonic-MSX-Keyboard","https://github.com/dproldan/Panasonic-MSX-Keyboard","已逐页阅读（精确缓存README）","键盘膜与PCB资料","MSX替换键盘","开源维修/改装部件","淘汰为硬件机会","README只称为Panasonic MSX键盘的开源膜和PCB","MSX维修爱好者；付费、型号适配和供货未证实","可能替换老旧键盘膜或PCB","", "精确README仅一行产品描述；无型号兼容范围、BOM、价格、订单、许可或图纸正文","未知；证据不足以判断竞争与需求","可能依赖特定Panasonic MSX机型，缓存未给出细节","制造、适配和测试资料缺失","古董机兼容与安装支持未知","低压，但适配责任未知","缓存README未声明许可证","没有可核验英雄图","淘汰","虽然精确README称其为MSX键盘膜和PCB，但没有任何市场、兼容、制造或许可证据；不能把一句标题式说明升格为商业机会。","https://github.com/dproldan/Panasonic-MSX-Keyboard|https://raw.githubusercontent.com/dproldan/Panasonic-MSX-Keyboard/HEAD/README.md","2026-07-26"
"c1bcbc84a230bd14","YUXI-Mixed-Reality-Hardware-Toolkit","https://github.com/Sensorycc/YUXI-Mixed-Reality-Hardware-Toolkit","已逐页阅读（精确缓存README）","树莓派混合现实教程工具包","物理计算与XR教学","课程、示例和工具链","淘汰为硬件机会","以树莓派、面包板、Spacebrew和Unity连接物理输入输出的MR方法、示例和教程","XR学习者和课程参与者","学习把物理计算连接到VR/AR/MR","", "README列3个入门示例及大量教程链接；没有独立产品、价格或订单","高；树莓派、Unity和物理计算教学资源饱和","完全依赖树莓派、Sense HAT、面包板、传感器、Unity和Spacebrew","无本记录独立硬件制造","课程和第三方工具兼容支持","低；主要为教学软件/低压接线","缓存README未声明许可证","缓存内容是教程与示例，不是产品主图","淘汰","README明确以树莓派和面包板示例教授MR连接方法；它是教程工具包，不是独立可售硬件。","https://github.com/Sensorycc/YUXI-Mixed-Reality-Hardware-Toolkit|https://raw.githubusercontent.com/Sensorycc/YUXI-Mixed-Reality-Hardware-Toolkit/HEAD/README.md","2026-07-26"
"50f88e14ee01df1b","animartrix","https://github.com/StefanPetrick/animartrix","已逐页阅读（精确缓存README）","LED动画软件","可编程LED视觉效果","软件授权和内容创作","淘汰为硬件机会","用于Teensy/Arduino与可编程LED的实时生成动画、着色和坐标映射软件","LED艺术装置制作者","生成动态灯光视觉效果","", "README说明需要Arduino IDE、Teensyduino、FastLED和快速MCU；无自有硬件或销售证据","不适用；软件与动画代码","依赖Teensy 4、可编程LED、电源和FastLED","无本记录硬件制造","代码、效果与商业授权支持","低压LED装置仍需电源安全","CC BY-NC-SA 4.0，商业用途要求另行联系","README图/动画素材不是硬件销售主图","淘汰","项目本体是LED动画软件，且许可证限制商业使用；不能把推荐的Teensy和LED组合算作新的硬件机会。","https://github.com/StefanPetrick/animartrix|https://raw.githubusercontent.com/StefanPetrick/animartrix/HEAD/README.md","2026-07-26"
"436d8b78c538fe48","Chassis","https://github.com/teruyamato0731/Chassis","已逐页阅读（精确缓存README）","机器人底盘C++库","机器人竞赛软件","软件库和开发者文档","淘汰为硬件机会","用于机器人竞赛底盘电机输出计算和自定位自动控制的C++库","机器人竞赛开发者","实现底盘控制算法","", "README明确称为C++库并链接PlatformIO库和文档；无硬件、价格或订单","不适用；软件库","依赖机器人硬件、PlatformIO和用户底盘","无硬件制造","软件和机器人平台兼容支持","控制算法误用的系统安全由集成方承担","MIT软件许可","无硬件本体","淘汰","精确README明确把Chassis定义为机器人竞赛底盘控制C++库，不能作为硬件产品复核。","https://github.com/teruyamato0731/Chassis|https://raw.githubusercontent.com/teruyamato0731/Chassis/HEAD/README.md","2026-07-26"
"4738b5fd7c2041c9","esp-atx-power","https://github.com/valletw/esp-atx-power","已逐页阅读（精确缓存README）","ESP32 ATX远程控制板","ATX远程管理和Home Assistant","开源PCB、制造文件和DIY集成","市场参考案例","以ESP32-C3、隔离器和ESPHome直接控制主板PWR/RST/LED接口的ATX远程控制PCB，README含JLCPCB制造说明","家庭实验室、远程管理和自建KVM用户","远程开关和监控主机","", "README提供硬件结构、JLCPCB制造文件、PCB尺寸/层数和ESPHome刷写步骤；未给价格、订单或持续销售证据","高；PiKVM、ATX远控板和机房远程管理方案成熟","依赖ATX主板前面板接口、ESP32-C3、ESPHome及Home Assistant","虽有制造资料，仍需元件采购、PCB装配和ATX机型兼容验证","接线、网络、主板兼容和远程故障支持","低压控制为主，但误操作可造成远程业务中断","缓存README未声明许可证","README展示板级资料；未核验销售级实物主图","市场参考案例","这是资料完整的ATX远控PCB案例，但PiKVM和同类方案已经成熟，且未见价格、订单或可复制售后证据；保留为产品化参考。","https://github.com/valletw/esp-atx-power|https://raw.githubusercontent.com/valletw/esp-atx-power/HEAD/README.md","2026-07-26"
"79941a5683be9f07","PCB-on-LED-Controller","https://github.com/rahul-dey-131/PCB-on-LED-Controller","已逐页阅读（精确缓存README）","低价LED练习板","LED徽章和焊接练习","开源练习设计","淘汰为硬件机会","CR2032、按钮、三个5mm红LED和电阻构成的按压点亮板","初学焊接者","学习简单LED电路","", "README列BOM、EasyEDA和适合初学者/徽章/钥匙扣用途；无价格、订单或独特需求证据","高；最基础LED徽章和练习板是成熟低价品","依赖通用电池座、CR2032、按钮、LED和电阻","极易制造但没有差异化或毛利空间","低；主要是装配问题","纽扣电池误吞和低压电池处置风险","缓存README未声明许可证","无销售级英雄图核验","淘汰","这是最基础的CR2032三LED按键练习板，README自己定位为入门焊接和徽章用途，属于低价通用品。","https://github.com/rahul-dey-131/PCB-on-LED-Controller|https://raw.githubusercontent.com/rahul-dey-131/PCB-on-LED-Controller/HEAD/README.md","2026-07-26"
"9e3905c52c2486b1","puffer","https://github.com/DuBento/puffer","已逐页阅读（精确缓存README）","分体无线机械键盘PCB","人体工学机械键盘","开源PCB和DIY组装","淘汰为硬件机会","36键无线分体键盘PCB，支持Nice!Nano兼容控制器、Kailh Choc和ZMK，外壳仍待完成","DIY键盘爱好者","改善大手用户的键距和分体输入姿势","", "README列PCB特征、构建指南和外壳TODO；未给价格、订单或成品交付","高；分体Choc/ZMK键盘品类十分拥挤","依赖Nice!Nano、ZMK、Choc轴、二极管、电池和外壳","缺外壳且需双板装配、无线测试和电池设计","键位配置、无线、电池和DIY装配支持成本高","无线与锂电要求合规评估","缓存README未声明许可证","README图若有也未被验证为量产销售主图","淘汰","虽有针对大手的键距调整，但仍是缺外壳的Nice!Nano/ZMK通用分体键盘PCB，市场拥挤且没有交付或需求证据。","https://github.com/DuBento/puffer|https://raw.githubusercontent.com/DuBento/puffer/HEAD/README.md","2026-07-26"
"6182e2bed3a9e0a8","treble","https://github.com/kkckrnz/treble","已逐页阅读（精确缓存README）","低矮机械键盘DIY套件资料","Choc单体机械键盘","开源PCB、构建指南和赞助","淘汰为硬件机会","42键低矮无线/有线Choc单体键盘，含PCB夹层外壳、BOM、固件和构建指南","DIY键盘爱好者","获得紧凑、低矮、轻度列错位键盘","", "README有完整BOM、预编译固件和构建指南，但无价格、订单或销售记录","高；Choc、Pro Micro/Nice!Nano与人体工学键盘市场成熟","依赖Pro Micro兼容板、Choc轴、二极管、插座、电池和键帽","多PCB/小零件装配与无线版本测试要求高","DIY装配、固件、无线和电池支持成本高","无线与锂电配置需评估","缓存README未声明许可证","未取得经核验的销售级实物主图","淘汰","这是文档完善的DIY键盘设计，但仍处于高度饱和的Choc键盘生态，且没有价格、订单或非DIY交付证据。","https://github.com/kkckrnz/treble|https://raw.githubusercontent.com/kkckrnz/treble/HEAD/README.md","2026-07-26"
"055c3736027c8834","MidiLin","https://github.com/HanYangZhao/MidiLin","已逐页阅读（精确缓存README）","Arduino MIDI乐器原型","MIDI丝带控制器","DIY乐器和教程","淘汰为硬件机会","用Arduino Mega、两条SoftPot、FSR、SparkFun MIDI Shield、NeoPixel和摇杆制成的MIDI丝带控制器","电子乐器DIY用户","以触压和丝带位置控制音高、调制和演奏模式","", "README给出元件、引脚、校准和演示视频；无价格、订单或产品化证据","高；MIDI控制器、Arduino乐器和SoftPot项目成熟","完全依赖Arduino Mega、SparkFun MIDI Shield、SoftPot、FSR和NeoPixel","需手工结构、传感器标定和MIDI调试","校准、磨损、MIDI兼容和用户装配支持","低压为主","缓存README未声明许可证","未核验为销售级硬件主图","淘汰","README是用多块现成板卡和传感器搭建的Arduino MIDI原型；没有独立制造、市场验证或差异化闭环。","https://github.com/HanYangZhao/MidiLin|https://raw.githubusercontent.com/HanYangZhao/MidiLin/HEAD/README.md","2026-07-26"
"1e46dc09386103fe","Custom-3D-Printer-Controller","https://github.com/m47812/Custom-3D-Printer-Controller","已逐页阅读（精确缓存README）","3D打印机控制板原型","3D打印机运动控制","开源PCB和爱好者改装","淘汰为硬件机会","STM32F7和TMC2209插件驱动的自制3D打印机控制板，含主板、驱动板和手持设备KiCad文件","自制3D打印机用户","替代或扩展打印机控制电子","", "README称为个人爱好项目；固件项目已停止，温控、SD、WLAN和电池等功能未测试；无价格或订单","高；Marlin控制板、TMC驱动和打印机主板市场成熟","依赖STM32F7、TMC2209、24V电源、Marlin和外部打印机部件","未完全测试的高功率控制板，制造与验证成本高","温控、步进、电源和固件兼容支持高","24V加热与热失控风险高","README标示GPL；硬件设计的具体复用边界仍需核验","无经核验的销售级主图","淘汰","作者明确说明项目已停止且多项功能未测试；这是成熟3D打印控制板市场中的个人原型，不应列为新机会。","https://github.com/m47812/Custom-3D-Printer-Controller|https://raw.githubusercontent.com/m47812/Custom-3D-Printer-Controller/HEAD/README.md","2026-07-26"
"7669299c87e5910f","heartypatch","https://github.com/patchinc/heartypatch","已逐页阅读（精确缓存README与Crowd Supply链接）","单导联ECG可穿戴设备","生理监测和开源医疗电子","已销售开源产品和众筹交付","市场参考案例","HeartyPatch单导联ECG和R-R间期监测设备，仓库含硬件、固件和GUI计划","研究、教学和生理监测用户","记录单导联ECG和心率间期","", "README明确给出Crowd Supply购买链接，并说明硬件/软件开源；未从缓存取得定价、临床验证或订单数据","中高；消费与研究ECG设备及开源生物传感产品已存在","涉及传感电极、ESP32、人体接触和专用模拟前端","人体接触电子、精度、测试和稳定供货要求高","数据质量、皮肤接触、软件和用户解释支持风险高","医疗/健康声明、人体电气安全和数据责任风险极高","硬件CC BY-SA 4.0，软件MIT；再发布须遵守署名和相同方式共享","缓存README未提供可独立确认的销售级主图","市场参考案例","该项目已有Crowd Supply销售路径且资料较完整，但人体ECG的认证、责任和售后门槛极高；是开源医疗产品化案例，不是可轻率复制的空白。","https://github.com/patchinc/heartypatch|https://www.crowdsupply.com/protocentral/heartypatch|https://raw.githubusercontent.com/patchinc/heartypatch/HEAD/README.md","2026-07-26"
"caed937a6cda0f33","I2Cwrapper","https://github.com/ftjuh/I2Cwrapper","已逐页阅读（精确缓存README）","Arduino固件框架和库","I2C外设封装软件","软件库和开发者文档","淘汰为硬件机会","让Arduino兼容设备作为I2C目标并把非I2C外设封装到I2C总线的固件框架、控制库和模块","嵌入式开发者","减少将步进器、显示器和传感器接入I2C的开发工作","", "README详细列固件框架、控制库和模块；没有独立硬件产品、价格或制造资料","不适用；软件框架","依赖Arduino兼容板、目标外设和I2C总线","无独立硬件制造","库兼容、模块和I2C故障支持","低；由实际被控外设决定","GPL-2.0软件许可","无独立硬件本体","淘汰","I2Cwrapper的可交付物是代码框架和库；它描述的步进器、显示器等均为外部设备，不能以此虚增硬件机会。","https://github.com/ftjuh/I2Cwrapper|https://raw.githubusercontent.com/ftjuh/I2Cwrapper/HEAD/README.md","2026-07-26"
"2f52c69c01379287","iHeater-Standalone-Firmware","https://github.com/pavluchenkor/iHeater-Standalone-Firmware","已逐页阅读（精确缓存README）","3D打印腔体加热固件","打印机加热控制","固件发布和DIY集成","淘汰为硬件机会","管理3D打印机加热腔温度的独立设备固件，可通过USB集成Klipper","已有iHeater或自建加热器的用户","稳定ABS/ASA等对温度敏感材料的腔体温度","", "README给出热敏电阻、温度模式、保护超时和刷写说明；无硬件BOM、价格、订单或认证证据","高；3D打印腔体加热与温控产品/固件成熟","依赖未在本记录说明的iHeater硬件、热敏电阻、加热器和Klipper","本仓库只交付固件；实际高温硬件资料不足","温控故障、刷写和设备兼容支持高","加热腔过温、火灾和设备损坏风险高","README称GPL-3.0且非商业使用，条款表述与标准GPL不一致，商业边界需另核","无独立硬件主图","淘汰","仓库本体是iHeater固件，而非完整加热设备；高温安全、硬件资料和商业许可都未闭合。","https://github.com/pavluchenkor/iHeater-Standalone-Firmware|https://raw.githubusercontent.com/pavluchenkor/iHeater-Standalone-Firmware/HEAD/README.md","2026-07-26"
