"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"faa5c00a8426c303","108Db Piezo Buzzer","https://www.tindie.com/products/atomsoft/108db-piezo-buzzer","已逐页阅读（精确商品页缓存、售价、营业状态与同店目录）","通用压电蜂鸣器/小模块","低价蜂鸣器、LED与GPIO辅助模块产品族","靠少量低价小模块和现货便利销售，不依赖独特技术或系统方案","淘汰单品","标称108dB的压电蜂鸣器商品，页面未给出频响、驱动条件、寿命或声压测试方法","电子原型开发者和需要简单声响提示的爱好者","快速获得比普通小蜂鸣器更响的提示器件","5.49","商品售价5.49美元，卖家处于暂停营业；同店主要为tinyLED、IO Buddy、AtomIO等低价小模块，未见该SKU订单或评价证据","极高；压电蜂鸣器和带驱动蜂鸣器由元件分销商、电商平台和模块商大量供应","完全依赖上游蜂鸣器器件及其未公开的声压与可靠性参数","低；若仅分装或简单PCB，但批次声压、频率和极性一致性需抽检","中；108dB指标若未规定距离、电压和频率，容易引发性能争议","低至中；高声压近距离使用需安全警示","未提供开放硬件文件或商业复用许可","自动图为商品实拍文件名且与蜂鸣器页面来源一致，但未完成放大核对型号和尺寸，不能标为人工完全核验","淘汰","低客单通用器件、卖家暂停且缺乏独立销售证据；108dB参数也缺少可复核测试条件，不具备可防御商业价值","https://www.tindie.com/products/atomsoft/108db-piezo-buzzer|https://www.tindie.com/browse/supplies/?page=24&price=u50&ships_to=NO&sort_by=price_low","2026-07-25"
"9ce4723daa34cb0a","10Pcs Micro Usb To Dip Adapter","https://www.tindie.com/products/blinkingsilver/10pcs-micro-usb-to-dip-adapter","已逐页阅读（精确商品页缓存、价格、缺货时间与同店目录）","标准Micro-USB转2.54mm引脚转接板包","低价连接器转接板与电子杂货分装产品族","靠中国供应链采购、10件分装和杂货目录销售，不靠原创设计","淘汰单品","10块Micro-USB B型母座转DIP 2.54mm五针小转接板","面包板原型开发者、学生和维修者","将Micro-USB接口快速接入2.54mm面包板或排针","2.00","10件售价2美元，商品自2018-12-12起缺货；同店销售显示管、PCIe转接卡和机器人底盘等杂货，未见该SKU独立需求证据","极高；同类USB转DIP板在元件平台、淘宝和速卖通长期低价供应","完全依赖标准USB连接器和上游成品小板采购","低；但连接器焊接、镀层和引脚定义需抽检","低至中；Micro-USB接口老化且用户可能误用数据线和供电引脚","低","标准转售商品，无原创设计或开放许可资产","自动图文件名为IMG_4020_p，页面来源一致但未放大确认10件数量与焊接版本，保持未完全核验","淘汰","2美元十件装、长期缺货的标准转接板，价值仅是采购分装，无法形成毛利、品牌或技术壁垒","https://www.tindie.com/products/blinkingsilver/10pcs-micro-usb-to-dip-adapter|https://www.tindie.com/browse/supplies/?page=97&ships_to=FR","2026-07-25"
"74270bac18ecc9b4","032 Microdisplay 800X600 Pixels For Night Vision","https://www.tindie.com/products/oled-module/032-microdisplay-800x600-pixels-for-night-vision","已逐页阅读（精确商品页缓存、规格、选配板与卖家完整目录）","专业微型OLED显示组件","微型OLED、驱动板与近眼光学供应产品族","靠上游微显示渠道、尺寸/亮度/接口规格目录、驱动板和光学配套及小批量技术支持销售","市场参考；并入既有微显示供应产品族，不作为独立机会","SeeYA 0.32英寸800×600、400nit、90Hz MIPI微OLED，可选单目Type-C控制板，面向热成像和AR","热成像、夜视、电子取景器和AR设备研发团队","在极小体积内获得高像素密度显示和快速样机接口","89.98","售价89.98美元；卖家自2023-12-23起约24单并列出52款微OLED、驱动板、BirdBath和Pancake光学组合","中高；微显示渠道较专业但同一卖家及其他香港供应商已有大量相邻规格，单个尺寸不是市场空白","核心依赖SeeYA上游面板、MIPI驱动板和光学系统","高；需要坏点、亮度、色彩、接口、排线和批次一致性检测，终端还需光学装调","高；客户容易在驱动、时序、光学焦距、散热和坏点标准上产生支持需求","中；裸屏有限，但夜视、热成像和终端光机可能涉及出口、眼安全及行业要求","标准供应组件，未提供可复制制造文件或开放许可","原记录无合格英雄图；不得借用同店其他尺寸微显示或光学模组图片","市场参考案例","高像素密度微显示存在真实B2B需求，但商业壁垒属于上游渠道、检测和光学支持；该规格只是既有产品族的一项，不应虚增独立机会","https://www.tindie.com/products/oled-module/032-microdisplay-800x600-pixels-for-night-vision|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"a0ca44eb37317b18","036 I2C 4 Digit 7 Segment Display","https://www.tindie.com/products/erratic/036-i2c-4-digit-7-segment-display","已逐页阅读（精确商品页缓存、芯片、颜色、价格与卖家页）","通用I2C数码管模块","HT16K33数码显示与通用嵌入式显示模块产品族","靠小批量自制PCB和便利销售给创客，不具备难复制的系统壁垒","淘汰单品","基于HT16K33的0.36英寸四位七段I2C显示板，有红色和白色版本","Arduino、单片机原型开发者和仪表DIY用户","减少四位数码管的GPIO占用和扫描驱动工作","8.40","售价8.40美元；卖家页面只展示该小模块并说明为个人项目制作PCB，未见订单、评价或机构采购证据","极高；HT16K33四位数码管模块由Adafruit及大量低价供应商成熟提供","依赖通用HT16K33和标准七段显示器","低；常规PCB装配，主要是显示器颜色、亮度和焊接一致性","低至中；地址、库兼容、供电电压和亮度设置会产生基础支持","低","未见Gerber、BOM或允许商业复用的硬件许可","自动图来自商品页且文件名为实拍IMG_3560，大概率为本板，但仍未视觉核对HT16K33与四位显示布局","淘汰","典型成熟创客显示模块，功能和芯片组合高度标准化，既无销量证据也无差异化或竞争空白","https://www.tindie.com/products/erratic/036-i2c-4-digit-7-segment-display|https://www.tindie.com/stores/erratic/","2026-07-25"
"2202519c4e2f6bd5","049 Micro Oled Display 1920X1080 20000Nits Green","https://www.tindie.com/products/oled-module/049-micro-oled-display-1920x1080-20000nits-green","已逐页阅读（精确商品页缓存、亮度规格、缺货时间与卖家目录）","高亮单色微型OLED显示组件","微型OLED、驱动板与近眼光学供应产品族","靠上游面板渠道、规格目录、驱动板与光学配套销售","市场参考；并入既有微显示供应产品族","0.49英寸1920×1080单色绿色、标称20000nit的硅基OLED微显示，面向AR眼镜","高亮近眼显示、瞄具、夜视和工业取景设备研发团队","在强环境光或单色信息显示中获得高亮度FHD微显示","169.00","售价169美元，商品自2025-10-29起缺货；同卖家另有同规格255.97美元含不同驱动选项的重复页面及大量相邻规格","中高；专业器件供给有限，但同卖家存在重复规格页和完整微显示目录，单一页面不能代表空白","依赖上游硅基OLED面板、MIPI驱动和客户光学系统","高；20000nit寿命、烧屏、均匀度、坏点和热管理需专业验证","高；亮度寿命、驱动板匹配、光学耦合和批次差异均可能导致退换","中；高亮近眼应用需评估眼安全，部分夜视/瞄具用途可能有出口限制","供应组件，无开放制造资料或商业复用许可","原记录无合格英雄图；不得使用同店BirdBath、驱动板或其他0.49英寸版本代替","市场参考案例","有专业高亮显示需求，但属于同一微显示供应目录的规格变体，且已缺货、页面重复；价值在供应链与检测，不是独立开源机会","https://www.tindie.com/products/oled-module/049-micro-oled-display-1920x1080-20000nits-green|https://www.tindie.com/products/oled-modules/049-micro-oled-screen-1920x1080-20000nits/|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"16e8411d404b14ed","083 Micro Si Oled Display 25601440 1800Nits Mip","https://www.tindie.com/products/oled-modules/083-micro-si-oled-display-25601440-1800nits-mip","已逐页阅读（精确商品页缓存、选配驱动板、价格与卖家目录）","高分辨率微型OLED显示组件","微型OLED、驱动板与近眼光学供应产品族","靠上游面板渠道、完整规格目录、驱动与光学配套销售","市场参考；并入既有微显示供应产品族","0.83英寸2560×1440、1800cd/m² MIPI硅基OLED，可选双目Type-C或HDMI控制板，面向AR/VR","AR/VR头显、电子取景器和专业近眼显示研发团队","快速采购高分辨率微显示和配套控制板进行样机开发","359.00","售价359美元；同一卖家另有349美元90Hz近似重复页面，并经营约66款面板、驱动板和光学配件，店铺约72单","中高；器件专业但多个香港微显示商和同店重复规格已形成供给","依赖SeeYA或同类上游面板、MIPI接口与第三方光学系统","高；需坏点、亮度、时序、寿命、排线和驱动兼容测试","高；客户集成涉及控制板、光学、散热和版本匹配","中；终端近眼设备涉及眼安全、EMC及可能的出口限制","标准供应组件，无可复制设计许可","原记录无合格英雄图；不得拿同店0.83英寸90Hz版本或光学总成图代替","市场参考案例","高客单专业器件，但与同店大量规格及近重复页面属于同一供应产品族；商业价值来自渠道和测试服务，不是新独立机会","https://www.tindie.com/products/oled-modules/083-micro-si-oled-display-25601440-1800nits-mip|https://www.tindie.com/products/oled-module/083-micro-oled-display-25601440-1800nits-90hz/|https://www.tindie.com/stores/oled-modules/items/","2026-07-25"
"4a2c6079a0773035","091 Inch 128X32 I2C Iic Blue Oled 9934","https://www.tindie.com/products/icstation/091-inch-128x32-i2c-iic-blue-oled-9934","已逐页阅读（精确商品页缓存、评价、价格与760款卖家目录）","通用SSD1306 OLED显示模块","低价Arduino显示模块与电子杂货产品族","靠大规模中国供应链目录、促销和交叉销售，而非单个模块壁垒","淘汰单品","0.91英寸128×32蓝色I2C SSD1306 OLED模块，面向Arduino","Arduino、ESP和低成本仪表原型用户","快速添加低功耗小型文本或状态显示","5.60","页面显示1条评价、促销价5.60美元；ICStation约1853单、63条评价和760款商品，但销量优势属于目录和渠道","极高；SSD1306 0.91英寸模块是全球最常见的低价显示板之一","完全依赖标准OLED面板、SSD1306控制器和Arduino库","低；主要为来料坏点、排针和批次尺寸检测","低至中；地址、分辨率、供电和库配置常见但简单","低","商品未提供自身Gerber/BOM或商业复用许可","自动图文件名9934.3与商品编号一致，大概率为该模块，但仍未放大核对128×32面板和PCB丝印","淘汰","真实需求和成熟销量不等于新机会；该模块已被低价供应链完全商品化，无法建立差异化或毛利护城河","https://www.tindie.com/products/icstation/091-inch-128x32-i2c-iic-blue-oled-9934|https://www.tindie.com/stores/icstation/items/?page=2","2026-07-25"
"bf269bf1a733a0b5","099 180X180 Round","https://www.tindie.com/products/DisplayModule/099-180x180-round","已逐页阅读（精确商品页缓存、库存、卖家销量与完整圆屏目录）","标准0.99英寸圆形TFT组件","圆形TFT、AMOLED与触控显示供应产品族","靠大量尺寸、亮度和触控规格目录及进口渠道销售","淘汰单品；并入显示供应目录参考","0.99英寸180×180圆形TFT裸显示组件","穿戴设备、智能旋钮和小型仪表开发团队","快速获得极小圆形彩屏用于样机界面","14.99","售价14.99美元、库存10件；卖家自2016年以来仅约2单，却列出大量0.99至5英寸圆形TFT/AMOLED规格","极高；小尺寸圆屏由多家面板商、模块商和电商渠道成熟供应","完全依赖上游面板、驱动IC和排线供应","中；坏点、排线、驱动IC和机械尺寸需来料检验","中高；驱动型号、接口和初始化代码不明确易造成兼容争议","低至中；裸组件有限","标准供应组件，未提供开放制造许可","明确高风险错配：自动图文件名DM-OLED12-667show指向OLED，而页面产品是TFT；不能作为本商品英雄图","淘汰","标准显示组件、卖家销售验证极弱且英雄图类型冲突；单个规格没有商业空白","https://www.tindie.com/products/DisplayModule/099-180x180-round|https://www.tindie.com/stores/DisplayModule/","2026-07-25"
"c7f9bdc184de6ad0","10 Leds Board For Gpio Testing","https://www.tindie.com/products/industrialelectronics/10-leds-board-for-gpio-testing","已逐页阅读（精确商品页缓存、库存、用途与卖家销量/目录）","通用GPIO指示灯测试板","低价实验测试转接板和树莓派适配小板产品族","靠工程师自制少量便利小板销售，订单规模和壁垒有限","淘汰单品","带10颗LED、用于观察GPIO高低电平的简单测试板","嵌入式开发者、学生和实验室原型用户","不用示波器即可直观看到多路GPIO状态","8.00","售价8美元、库存5件；卖家自2025-02起仅约7单，目录只有MIPI/DSI树莓派适配板、测试延长板、FPC线和本LED板","高；LED加限流电阻测试板极易自制，并可被逻辑分析仪、面包板LED和现成测试板替代","依赖通用LED、限流电阻和连接方式，未形成系统价值","低；常规PCB装配","低至中；输入电压范围、共阳/共阴和连接定义若不清楚会烧灯或误判","低","未提供开放硬件文件或商业复用许可","自动图为商品页实拍日期文件，可能是本板，但文件名不含型号且未完成LED数量、接口与丝印视觉核验","淘汰","虽是实际自制板，但功能过于简单、订单少、替代方案多，无法形成有意义的商业护城河","https://www.tindie.com/products/industrialelectronics/10-leds-board-for-gpio-testing|https://www.tindie.com/stores/industrialelectronics/","2026-07-25"
"4f008b6f7c107d6c","10P23 142En9B 1023 142E9B Microcircuits 8 Legs","https://www.tindie.com/products/electronics16/10p23-142en9b-1023-142e9b-microcircuits-8-legs","已逐页阅读（精确商品页/卖家目录缓存、价格与库存型业务核验）","苏联老库存DIP-8微电路转售","复古苏联电子元器件与工业旧库存转售产品族","靠稀缺NOS库存、型号目录和收藏/维修客户渠道销售，无法持续制造","淘汰该库存SKU；仅作为长尾器件渠道案例","10P23/142EN9B系列DIP-8老式微电路库存，卖家目录标价39.98美元","苏联旧设备维修者、收藏者和需要原型号替换的工业维护人员","旧设备维修时难以找到原型号兼容器件","39.98","卖家约97款苏联电机、继电器、二极管和微电路库存；该型号标价39.98美元，未见独立订单或评价","单型号供给稀少但需求极小；竞争来自NOS渠道、现代替代器件和改造方案","完全依赖不可补充的旧库存、真伪、存储历史和老化状态","不制造；需做丝印、封装、静态参数和老化筛选","高；数十年器件性能和兼容性难保证，客户目标设备也可能故障","低至中；跨境旧器件、含铅材料和来源声明可能受要求","原厂旧器件转售，无开放设计或持续生产权","自动图为具体拍摄日期照片，大概率是旧芯片实拍，但未放大确认丝印是否准确对应10P23/142EN9B","淘汰","长尾维修需求可能真实，但商业模式是不可持续的NOS库存套利，不是可复制制造或开源硬件机会","https://www.tindie.com/products/electronics16/10p23-142en9b-1023-142e9b-microcircuits-8-legs|https://www.tindie.com/stores/electronics16/items/","2026-07-25"
