project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"a22e22a2c0ada83c","120 Of Our Pill Boxes To Holding Loose Engineering","https://www.tindie.com/products/rkondner/120-of-our-pill-boxes-to-holding-loose-engineering","已逐页阅读","工程物料收纳耗材/非电子硬件","电子工程元件收纳与库存管理用品","销售药盒式元件盒、托盘和标签等物理收纳用品；价值来自整理流程而非电子设计","淘汰为开源硬件商业候选；若拥有完整条码、BOM、补料和仓储软件服务，可作为工程物料管理业务另行研究","120个用于存放松散电子元件的塑料药盒式收纳盒","电子工程师、小型实验室、维修工作室和元件库存管理者","散装小元件容易混料、丢失和难以盘点","60.00","商品页标价60美元；同店另售50个带标签收纳盒41美元和工程托盘25美元，但未见该SKU订单、评价或复购数据","高；药盒、零件盒、抽屉柜和标签收纳方案大量存在","完全依赖通用塑料收纳盒和标签供应链，没有电子核心或独特制造工艺","低；主要是采购、标签、分装和包装，但体积运输成本明显","低至中；盒体破损、尺寸预期、标签粘性和运输压坏","低；普通塑料用品，但材料声明和跨境包装需管理","不属于开放硬件设计，页面未提供可复制设计或许可","基本匹配但需视觉抽检：应展示120个收纳盒或其托盘组合，不能使用电子板卡或库存软件截图代替","淘汰","解决的是通用收纳问题，本体不是电子硬件；缺少销售验证和不可替代性，成熟供应链与体积运费会压缩利润","https://www.tindie.com/products/rkondner/120-of-our-pill-boxes-to-holding-loose-engineering/|https://www.tindie.com/stores/rkondner/","2026-07-25"
"d7e7ce33eaa42248","122 240 X 240 Round Tft With Ctp","https://www.tindie.com/products/DisplayModule/122-240-x-240-round-tft-with-ctp","已逐页阅读","标准圆形TFT触摸显示组件","小尺寸圆形TFT/OLED显示供应产品族","从上游面板供应链获取多个尺寸、分辨率和接口的标准显示组件，通过规格覆盖、样品库存和选型销售","淘汰单一组件；只有围绕具体设备提供稳定供货、驱动板、工业温度、光学贴合、外壳和认证服务时才可重评","1.22英寸240×240圆形TFT，带电容触摸并通过SPI连接","仪表、穿戴设备、旋钮界面和嵌入式终端开发者","快速获得圆形彩色触摸显示样品用于原型和小批量设备","29.99","商品页显示仅余10件；同店销售大量1.19至2.47英寸圆形TFT/AMOLED，价格约19.99至99.99美元，未见该SKU独立订单或评价","极高；圆形240×240 TFT和触摸模组供应商及替代规格丰富","核心依赖上游LCD面板、触控层和控制IC，卖家主要提供选型与渠道","低至中；主要是采购和FPC/触控批次管理，若自制驱动板还需EMI与接口验证","中；坏点、亮度差异、触控固件、FPC脆弱和批次停产会产生支持","低至中；组件本身风险有限，最终设备承担EMC和材料合规","标准商业组件，未提供开放硬件设计或可复制许可","基本匹配但需视觉抽检：应展示1.22英寸圆形TFT及触控FPC，不能混用1.28/1.3英寸或AMOLED图片","淘汰","标准上游显示组件，同店大量近似规格；需求真实但竞争和替代性极高，不能重复计算为独立商业机会","https://www.tindie.com/products/DisplayModule/122-240-x-240-round-tft-with-ctp/|https://www.tindie.com/products/DisplayModule/13-ips-240-x-240-round-tft-with-ctp/|https://www.andersdx.com/products/","2026-07-25"
"8e323ec34720c8ff","023 Microdisplay 640X400 Ar Vr Oled Display","https://www.tindie.com/products/oled-module/023-microdisplay-640x400-ar-vr-oled-display","已逐页阅读","AR/VR近眼微显示组件套装","硅基OLED微显示与近眼光学供应产品族","销售多尺寸高亮微OLED、驱动板和目镜/鸟浴光学套件，通过高客单样品、小批量供货和选型支持服务AR/VR原型客户","保留为专业组件供应链市场参考，不作为可直接复制的开源硬件机会；进入需有稳定面板授权、光学设计、校准测试和客户支持","0.23英寸640×400、约3000cd/m²微OLED，搭配CVBS驱动板和近眼光学组件","AR眼镜、电子取景器、头盔显示、FPV和科研原型团队","以较低集成成本获得高亮度近眼显示模组进行快速原型验证","288.50","商品页标价288.50美元；卖家店铺约24单并列出52款微OLED、驱动板和光学产品，外部供应商也销售同规格套件","中高；专业度高于普通OLED，但同规格面板、驱动和光学套件已有多家供应商和大量近似SKU","强依赖上游硅基OLED面板、专用驱动和光学件供应","中高；需要光学对准、亮度/色彩/坏点检测、驱动兼容和防尘装配","高；客户会关注FOV、出瞳、亮度、接口、延迟、面板批次和光学一致性","中；最终近眼设备需评估光学安全、EMC和材料","未见开放硬件许可，页面为商业组件销售","基本匹配但需视觉抽检：应同时展示0.23英寸微显示、CVBS驱动板和光学组件，不能仅用通用镜片或其他尺寸面板","市场参考案例","有明确专业用途和高客单，但壁垒来自上游面板渠道、光学装调与支持，不是公开资料可复制的硬件；近似SKU很多","https://www.tindie.com/products/oled-module/023-microdisplay-640x400-ar-vr-oled-display/|https://www.tindie.com/stores/oled-module/items/|https://www.yxmicrodisplay.com/products/0-23-inch-sony-micro-oled-640x400-ecx336b-near-eye-display|https://www.jekedisplay.com/Sony-ECX336AF-023-inch-microdisplays-p.html","2026-07-25"
"2ebfdc6539c7a607","06 Micro Oled Screen 1080P 1920X1080 6000Nits","https://www.tindie.com/products/oled-module/06-micro-oled-screen-1080p-1920x1080-6000nits","已逐页阅读","高亮度FHD硅基OLED微显示组件","硅基OLED微显示与近眼光学供应产品族","以多规格微OLED面板、控制板和光学件组成专业样品目录，通过型号覆盖和小批量供货服务AR/VR设备开发者","作为同一微显示产品族的规格证据保留，不重复计算为独立机会；进入需掌握可靠面板渠道、驱动适配、检测和应用支持","0.6英寸1920×1080、标称6000nits硅基OLED微显示，可选双目Type-C控制板","AR/VR、头盔显示、工业取景和高亮近眼设备开发团队","获得高分辨率高亮度微显示和控制方案以缩短原型周期","199.00","商品页显示仅余8件；同店约24单并销售52款相近微显示、控制板和光学件，0.49至1.03英寸规格大量重叠","中高；技术门槛较高，但销售目录SKU高度重复且有多家供应商","强依赖上游硅基OLED面板和专用控制板，不具备可从公开资料复制的显示工艺","中；分销需做面板检测和包装，集成双目控制板还需同步、散热和接口测试","高；亮度真实性、寿命、坏点、刷新率、控制板兼容和停产均会引发争议","中；最终近眼显示产品需评估光学安全、EMC和长期使用风险","未见开放硬件许可，属于商业显示组件","无合格英雄图；需补充0.6英寸FHD微OLED本体及对应控制板实拍，不能借用同店其他尺寸组件","市场参考案例","专业高客单组件，但与前项属于同一供应产品族，缺少产品级销量和开放设计资料；作为供应链与价格参考，不新增机会","https://www.tindie.com/products/oled-module/06-micro-oled-screen-1080p-1920x1080-6000nits/|https://www.tindie.com/stores/oled-module/|https://www.tindie.com/browse/supplies-components/?price=o100&sort_by=popularity","2026-07-25"
"c43233c2413eab74","0857891020 10G Base T Fastjacks Rj45 Connectors","https://www.tindie.com/products/Ingketech/0857891020-10g-base-t-fastjacks-rj45-connectors","已逐页阅读","标准10G以太网磁性RJ45连接器","RJ45 MagJack与网络连接器供应目录","制造或分销多型号RJ45和带磁性网络插座，通过型号交叉、样品和批量询价销售","淘汰为独立硬件机会；只有形成认证、稳定量产、兼容数据库和大客户供应能力的连接器制造业务才有意义","兼容Molex 0857891020规格的10GBASE-T集成磁性RJ45 FastJack","网络设备PCB设计工程师、维修商和小批量硬件制造商","为10GbE端口获得集成磁性器件且封装兼容的RJ45连接器","3.80","商品页标价3.80美元并由Ingke Technology宣称制造；Tindie目录还有大量1.65至4.50美元的MagJack和RJ45替代件，未见该SKU订单或评价","极高；RJ45 MagJack由国际品牌及大量兼容厂商规模化供应","产品本身是标准连接器元件，价值依赖成熟模具、磁性器件和认证供应链","高；真正制造需要精密冲压、注塑、变压器绕制、耐压和高速信号测试；简单转售则无壁垒","中高；封装、PoE能力、插损、回损、耐压和焊接耐热不符会导致批量质量问题","中高；需满足安规耐压、阻燃、RoHS及网络性能规范","商业标准器件，无开放硬件设计许可","基本匹配但需视觉抽检：应展示0857891020兼容10G MagJack实物和引脚，不能混入普通百兆/千兆RJ45图片","淘汰","低价标准元器件而非完整产品；制造需要重资产与认证，转售则竞争极高且没有开源复制价值","https://www.tindie.com/products/Ingketech/0857891020-10g-base-t-fastjacks-rj45-connectors/|https://www.tindie.com/browse/supplies-components/?page=9&ships_to=US","2026-07-25"
"a3a45d974cca4bc0","10 Dof L3Gd20H Lsm303D Bmp280 Board 5V Ready","https://www.tindie.com/products/explorelabs/10-dof-l3gd20h-lsm303d-bmp280-board-5v-ready","已逐页阅读","通用多传感器IMU breakout板","Arduino/嵌入式传感器breakout产品族","将常见MEMS传感器加稳压和电平适配做成I2C/SPI小板，通过型号覆盖和低价样品销售给创客与学生","淘汰通用breakout；只有加入校准、同步采样、工业接口、外壳、软件和质量追溯成为完整惯导设备时才可重评","集成L3GD20H陀螺仪、LSM303D加速度计/磁力计和BMP280气压计的10自由度5V兼容板","Arduino和嵌入式原型开发者、学生和低成本姿态实验用户","用一块板快速获得姿态、磁场和气压高度数据","23.99","商品页已缺货；卖家约65单、19款产品，多数为常见IMU和气压breakout；相近9DOF板自2019年售罄，部分传感器板自2016年售罄","极高；多自由度IMU breakout长期由成熟品牌和低价模块供应，所用芯片也较老","完全依赖L3GD20H、LSM303D、BMP280及通用库，算法和终端产品由用户完成","低至中；PCB简单，但传感器采购、焊接良率和磁传感器板级干扰需控制","中；库兼容、坐标轴、校准、磁干扰和芯片停产会产生支持","低；低压开发板风险有限","页面未显示允许第三方复制销售的开放硬件许可","基本匹配但需视觉抽检：应展示标有三类传感器的单块10DOF板，不能使用同店9DOF或单传感器板","淘汰","典型通用传感器拼板，方案成熟甚至老化，长期缺货且高度可替代；没有完整应用、校准或服务壁垒","https://www.tindie.com/products/explorelabs/10-dof-l3gd20h-lsm303d-bmp280-board-5v-ready/|https://www.tindie.com/stores/explorelabs/items/|https://www.tindie.com/products/explorelabs/9-dof-imu-l3gd20h-lsm303-breakout-board-5v-ready/","2026-07-25"
"8df89a154c1763a9","10 Server Rack Open Frame 10U Half Rack","https://www.tindie.com/products/projectgo/10-server-rack-open-frame-10u-half-rack","已逐页阅读","独立小型机架结构产品","10英寸半宽Homelab机架与配件生态","面向家庭实验室和小型网络设备提供10英寸机架、托架、风扇、面板和专用安装件，价值来自尺寸生态、结构设计和配件组合","观察完整10英寸机架产品族而非单一框架；进入需验证订单、承重、兼容标准、包装运费和可扩展配件需求","两根10U垂直导轨组成的10英寸开放式半宽机架，用于服务器、网络和其他设备","家庭实验室用户、小型办公室、网络爱好者和空间受限的弱电安装者","19英寸机架过大，而路由器、小交换机和迷你服务器需要集中固定与理线","120.00","商品页标价120美元且仅余3件；卖家店铺只显示这一款产品，未见订单和评价；Tindie已有大量10英寸设备托架、风扇和安装件，说明生态需求存在","中高；10英寸机架相对垂直，但框架、壁挂柜、设备托架和3D打印配件已有多家卖家","依赖标准导轨、紧固件和用户自有网络设备，但产品可作为独立结构件使用","中；需要金属加工、孔距与垂直度控制、承重测试、表面处理和高体积包装","中高；设备宽度、孔距、深度、承重、缺件和运输变形易引发退换货","低至中；无主动电子电路，但承重、锐边、接地和材料声明需注意","未见结构图、CAD或允许商业复制的开放许可","基本匹配但需视觉抽检：队列图文件名含enclosure spec，应确认主图展示完整10U开放机架实物而非仅尺寸草图","观察名单","少数真正独立成品且对应明确Homelab痛点，但当前无销售评价，单一SKU、120美元价格、运输和兼容风险未验证","https://www.tindie.com/products/projectgo/10-server-rack-open-frame-10u-half-rack/|https://www.tindie.com/stores/projectgo/|https://www.tindie.com/browse/3d-printing-cnc/?page=2&stock=yes","2026-07-25"
"31be0b22bb6d3e6d","115X90Mm Ip66 Project Box Solderable Breadboard","https://www.tindie.com/products/CircuitSetup/115x90mm-ip66-project-box-solderable-breadboard","已逐页阅读","防水盒加通用焊接面包板套件","创客项目盒与原型板配件产品族","将标准塑料项目盒与定制洞洞板/ESP原型板配套销售，通过尺寸适配和低价多件包服务DIY市场","淘汰单一套件；只有针对明确户外传感、能源或工业安装场景加入端子、密封、供电和认证形成完整外壳平台才可重评","115×90mm防水防尘项目盒配合可焊接洞洞板的原型套件","DIY电子爱好者、ESP32原型开发者和临时户外小项目制作者","把面包板原型转移到可焊接PCB并装入防尘防水外壳","11.99","商品页自2021年8月起缺货；卖家约95单、1条评价，店内有多个9.99至10.99美元的面包板/项目盒组合；同类IP65/IP66外壳加原型板约22.95至24美元","高；标准防水盒、洞洞板和ESP项目盒组合供应充足，差异主要是尺寸和孔位","依赖通用塑料外壳和普通原型PCB，没有核心电子功能","低；PCB和盒体易采购，但密封等级、尺寸公差和配套孔位需要验证","中；用户可能误解IP66为完整装配后的防水保证，开孔和线缆会破坏密封","低至中；被用于户外或市电时存在应用责任，但本体为无源配件","未见允许复制销售的CAD、Gerber或开放许可","基本匹配但需视觉抽检：应同时展示115×90mm盒体与对应焊接板，不能只放ESP开发板或其他尺寸盒子","淘汰","低价通用项目盒套件，长期缺货且同类充分；没有完整终端功能、市场空白或足以覆盖支持和运输的客单","https://www.tindie.com/products/CircuitSetup/115x90mm-ip66-project-box-solderable-breadboard/|https://www.tindie.com/stores/CircuitSetup/|https://www.tindie.com/browse/DIY-Cases/","2026-07-25"
"1d13880bbc9e1230","1206 Breakout Board","https://www.tindie.com/products/nifteecircuits/1206-breakout-board","已逐页阅读","通用SMD封装转接裸板","低价元器件封装breakout产品族","为0402、0603、0805、1206、2512及常见IC封装制作简单转接板，依靠大量SKU和便利邮寄获取零散订单","淘汰；与前批0402 breakout属于同一产品族，只作为重复证据，不新增商业机会","把1206封装电阻或电容焊盘转接到便于原型使用的裸PCB","学生、电子爱好者和临时原型开发者","在面包板或大间距焊接环境中试用1206贴片元件","1.00","Tindie标价1美元且卖家暂停营业；店铺约300单、27条评价并销售多种1美元封装breakout，自营站1206三片套装约1.19美元","极高；设计极简单，开源板、PCB拼板和大量低价替代品普遍存在","只依赖普通PCB制造，没有关键器件、软件或系统价值","极低，但低客单使分拣、包装、平台和邮寄成本超过技术价值","低；主要是焊盘尺寸、板厚和邮寄损坏","低；无源低压PCB","未见明确开放许可，即使开放也不具备排他性","基本匹配但需视觉抽检：必须是1206 breakout板，不能使用0402/0603等相似SKU图片","淘汰","与已淘汰的0402板完全同类，售价1美元且无技术门槛；重复保留只会虚增机会数量","https://www.tindie.com/products/nifteecircuits/1206-breakout-board/|https://www.tindie.com/stores/nifteecircuits/|https://nifteecircuits.com/collections/all-products","2026-07-25"
"83cb8ec677103659","10 Led Emf Meter R2 Pcb","https://www.tindie.com/products/johnnyelectronic/10-led-emf-meter-r2-pcb","已逐页阅读","影视道具复制品PCB/可选装配套件","影视道具电子复制品与高客单组装成品","围绕特定影视道具销售裸PCB、预装MCU/音频/3D打印附件和229至289美元的组装复制品，通过外观还原、手工装配和粉丝收藏价值获利","仅保留为粉丝道具产品化市场参考；不作为通用硬件机会，进入前需原创外观、授权/IP评估和可持续粉丝渠道","用于制作《Supernatural》中Olivia款10 LED仪表外观复制品的r2 PCB，可选预装ATtiny1604、DFPlayer和3D打印附件","影视剧粉丝、cosplay和道具收藏者","获得接近剧中道具且无需自行设计PCB和采购特殊零件的复制品","10.00","PCB基础价10美元且仅余1件；同店完整10 LED道具售价229美元、经典款完整复制品289美元，卖家约7单、1条评价，销量证据仍弱","中；特定剧集道具较垂直，但可由手工作坊和3D打印卖家竞争，需求依赖粉丝热度","依赖影视作品造型、特定开关/天线/表头、音频模块和手工装配；基础版本甚至不是实际EMF仪器","中高；PCB简单，但高价成品需要外观件、装配、喷涂、音效和一致性控制","中高；买家会比较剧中外观、功能、声音、运输损伤和手工细节","中；低压电子安全压力有限，但影视IP、商标、外观复制和宣传边界风险明显","未见开放硬件许可，且影视道具造型存在IP依赖","基本匹配但需视觉抽检：当前记录应展示10 LED r2 PCB本体和选件，不能把229美元完整道具图当作10美元PCB主图","市场参考案例","展示了从10美元PCB到高客单手工成品的产品族思路，但本质是IP依赖的粉丝道具，销量有限且基础版不是测量设备","https://www.tindie.com/products/johnnyelectronic/10-led-emf-meter-r2-pcb/|https://www.tindie.com/products/johnnyelectronic/10-led-emf-meter-replica-assembled-r2/|https://www.tindie.com/products/johnnyelectronic/emf-meter-replica-assembled/|https://www.tindie.com/stores/johnnyelectronic/","2026-07-25"
