project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"346bac5dc847aed8","0-10v Analogue To RS485 Modbus RTU Converter DIN by L_E_Ds on Tindie","https://www.tindie.com/products/l_e_ds/0-10v-analogue-to-rs485-modbus-rtu-converter-din","已复核（原商品页索引摘要并以同类工业转换器交叉核验；价格与卖家销量未取到）","DIN导轨工业模拟量转Modbus转换器","工业模拟量采集、隔离与现场总线转换产品族","通过多输入类型、隔离、精度、宽温、DIN外壳、配置软件和长期供货构成B2B产品族，单一0-10V转换小盒并非壁垒","进入观察名单；需补齐价格、隔离等级、精度、EMC、实际订单与完整手册后才能判断是否存在小团队切入空间","把0-10V模拟输入测量值转换为RS485 Modbus RTU数字读数，页面摘要称可传输约1公里并连接PC或PLC用于BMS","楼宇自控集成商、PLC改造商、暖通与能源管理项目承包商","旧式0-10V传感器或控制信号需要低布线成本接入PLC/BMS并远距离传输","","原商品页摘要明确给出0-10V输入、RS485 Modbus、DIN形态、约1公里链路和BMS用途；同类Tindie串口转模拟量产品约70美元，工业多路模拟量/Modbus产品约115至168美元，但该SKU自身销量、售价和评价未公开","高；0-10V/4-20mA到Modbus、模拟量隔离器和DIN采集模块已有大量工业品牌及低价中国供给","依赖PLC/BMS Modbus生态、24V现场电源、RS485布线和传感器校准；若无隔离与宽温则难进入真实工业现场","中高；需要输入保护、ADC精度、温漂、隔离、浪涌、ESD、宽温和逐台校准验证","高；地址/波特率配置、接地环路、终端电阻、传感器标定和现场布线问题会产生支持","高；面向楼控和工业现场需EMC、浪涌、ESD、电气隔离、RoHS及责任边界验证","页面待核验，未发现可直接商业复用的开放硬件许可","基本相关但未完成视觉核验：自动图片文件名为An to Mo 1.jpg，与模拟量到Modbus主题一致，仍需查看本体铭牌和端子布局","观察名单","这是本批唯一接近专业完整设备的项目，客户和痛点明确；但成熟竞品很多，且缺价格、销量、隔离、精度和认证证据，不能仅凭DIN外壳和Modbus关键词判为商业机会","https://www.tindie.com/products/l_e_ds/0-10v-analogue-to-rs485-modbus-rtu-converter-din|https://www.tindie.com/products/lensentech/serial-to-analog-signal-converter/|https://www.tindie.com/products/luisenr/analog-output-module-4-ch-modbus-w-html-server/|https://www.domadoo.fr/en/lorawan-devices/8452-womaster-modbus-rtu-rs485-analog-io-to-lorawan-converter.html","2026-07-25"
"47a222823baeb7b4","10 Pcs Cherry M81F 1500 Keymodule Keyswitch M8","https://www.tindie.com/products/retro_devices/10-pcs-cherry-m81f-1500-keymodule-keyswitch-m8","已复核（原商品页索引与卖家目录交叉核验；商品已不在当前目录）","复古键盘旧库存开关元件包","复古计算机与键盘维修备件转售产品族","通过搜集停产元件、库存真实性和型号识别服务获利，价值来自渠道而非可制造设计","淘汰该单品；最多作为复古维修供应链案例，不进入开源硬件商业候选","10只Cherry M81F/1500系列M8键模块或键开关的元件包","老式Cherry键盘、终端机和复古计算机维修者","原装停产键模块损坏后需要同型号替换","","卖家当前约59单、2条评价，仅有5款复古计算机产品；该键开关商品已不在当前目录，未发现独立订单、评价或持续供货证据","中；具体旧型号稀缺，但需求碎片化，eBay、拆机件和专业键盘社区是主要替代渠道","完全依赖旧库存、拆机来源和Cherry型号真伪，无法通过公开设计持续制造","低制造、高清点风险；核心工作是库存筛选、清洁、触点状态和型号一致性","中高；旧件寿命、氧化、手感差异和不兼容容易退换","低；普通低压元件，但涉及旧件描述真实性和消费者退货责任","非原创设计及非开源制造项目，未见商业复用许可问题可转化为设计资产","大概率匹配但需视觉抽检：自动图为IMG_2857.JPG，无法仅凭文件名确认10只均为M81F指定型号","淘汰","它是停产元件包和渠道库存，不是可复制生产的开源硬件；市场极碎、供货不可持续，不能将复古稀缺性误判为制造型商业机会","https://www.tindie.com/products/retro_devices/10-pcs-cherry-m81f-1500-keymodule-keyswitch-m8|https://www.tindie.com/stores/retro_devices/items/|https://www.tindie.com/stores/retro_devices/reviews/","2026-07-25"
"bc20e29cfd26fcae","06Fhd Birdbath Optics Ar Smart Glasses Module","https://www.tindie.com/products/oled-modules/06fhd-birdbath-optics-ar-smart-glasses-module","已复核（原商品页链接、卖家目录与相邻BirdBath模块交叉核验；精确SKU页面缓存不完整）","AR眼镜BirdBath近眼显示光学模组","微型OLED、驱动板与BirdBath光学供应产品族","依靠面板渠道、光学件、装调、控制板、规格组合和小批量技术支持形成B2B目录","保留为产品族市场参考，不把0.6英寸/FHD规格变体重复计为独立机会","面向AR智能眼镜的0.6英寸FHD微OLED加BirdBath光学模组，具体FOV、接口和亮度在可访问页面中不完整","AR眼镜原型团队、工业头戴显示开发商和研究机构","快速获得可工作的近眼显示与光学路径，避免自行匹配面板、驱动和BirdBath镜组","","同一卖家约72单并有约66款微显示、驱动与光学产品；相邻0.71英寸FOV50 BirdBath模组售价574美元，另一店铺相近整套模组569至579美元","中高；BirdBath整套供应商少于普通屏幕，但同类规格和中国供应商已经很多，且行业高端方向正在转向更薄的棱镜和波导方案","高度依赖上游微OLED、专用驱动、排线、光学镜组和结构装调","高；需控制FOV、MTF、畸变、眼盒、焦距、亮度损耗、双目一致性和灰尘缺陷","高；接口、EDID、坏点、光学对准、佩戴距离和客户整机适配支持复杂","中高；模组本身有限，但面向头戴显示时涉及EMC、眼安全、材料和最终用途责任","闭源供应模组，未发现开放光学设计或商业复用许可","无合格英雄图；不得使用相邻0.71英寸BirdBath或裸微OLED图片替代该0.6英寸具体模组","市场参考案例","高客单专业需求存在，但它与前批微OLED和BirdBath条目属于同一供应产品族；真正壁垒是渠道、光学检测、装调和支持，不是公开项目可直接复制","https://www.tindie.com/products/oled-modules/06fhd-birdbath-optics-ar-smart-glasses-module|https://www.tindie.com/stores/oled-modules/items/|https://www.tindie.com/products/oled-modules/bird-bath-lenses-ar-glasses-optical-module-fov50/|https://www.tindie.com/products/hicenda/binocular-ar-glasses-birdbath-fov-optical-module/","2026-07-25"
"e5a5e9b7b6c69eec","05 Oled Microdisplay 16001200 1000Nits","https://www.tindie.com/products/oled-module/05-oled-microdisplay-16001200-1000nits","已逐页阅读（原商品页索引缓存与卖家目录）","近眼显示0.5英寸微型OLED模组","微型OLED、驱动板与近眼光学供应产品族","通过多尺寸面板、控制板、排线和光学配件形成小批量供应目录","保留为供应链市场参考；不将每个分辨率规格重复计算为独立商业机会","0.5英寸1600×1200、标称1000nit硅基OLED微显示，可选单目HDMI/Type-C或双目Type-C控制板","AR/VR、电子取景器、夜视、显微显示及仪器开发团队","在极小体积内获得高像素密度显示并减少自行开发专用视频驱动的成本","149.00","商品页售价149美元；卖家约24单并有52款微显示和光学产品，独立SKU订单与客户案例未公开","中高；同卖家已有大量0.39至1.03英寸规格，其他供应商也提供相近面板和驱动组合","高度依赖上游硅基OLED面板、专用控制板、排线和长期供货","高；坏点、亮度、刷新率、色彩、驱动时序、ESD与热管理均需检测","高；客户会遇到接口、分辨率、控制板兼容、坏点政策和光学匹配问题","中；作为模组风险有限，进入头戴、夜视或医疗整机后要求上升","闭源供应商品，未发现BOM、驱动源码或允许复制销售的许可","无合格英雄图；不能用BirdBath整机或其他尺寸屏幕图片代替","市场参考案例","产品本身具有专业用途和中高客单，但属于上游面板供应与集成目录；缺少开放设计、SKU销量和独特进入窗口","https://www.tindie.com/products/oled-module/05-oled-microdisplay-16001200-1000nits/|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"ddac88fed59494cd","055 Micro Oledos Display 1920X1080 90Hz 5000Nits","https://www.tindie.com/products/oled-module/055-micro-oledos-display-1920x1080-90hz-5000nits","已逐页阅读（原商品页索引缓存与卖家目录）","高亮度0.55英寸FHD微型OLED模组","微型OLED、驱动板与近眼光学供应产品族","靠高亮度面板渠道、检测分档、控制板和光学配套形成专业供应业务","保留为高亮近眼显示供应案例，不把0.55英寸规格当成新的独立市场机会","0.55英寸1920×1080、90Hz、标称5000cd/m²微型OLEDoS显示器，用于AR/VR头显","AR/VR头显、工业取景器、夜视和高环境光近眼显示研发团队","在高环境光或光学损耗较大的近眼系统中获得足够亮度与全高清分辨率","379.00","商品页售价379美元；卖家目录约52款商品、约24单，目录中存在多种相近亮度和尺寸规格，未见该SKU独立销量与应用案例","中高；高亮微OLED供应商较少但规格高度可替代，客户重视真实亮度、寿命和长期供货","依赖上游OLEDoS晶圆/面板、专用驱动、接口板和供应商分档","很高；5000nit下的寿命、烧屏、热管理、亮度均匀性、坏点和接口时序需要专业设备验证","高；亮度衰减、烧屏、坏点、驱动兼容和光学效率争议会造成复杂支持","中；组件本身有限，头戴应用涉及眼安全、EMC与最终整机责任","闭源供应模组，未见开放设计、数据手册许可或商业复制权","无合格英雄图；不得借用其他0.55英寸或BirdBath模组图片","市场参考案例","高客单与专业参数真实存在，但商业壁垒属于上游供应、测试分档和技术支持；同一卖家规格繁多，不能按每个尺寸虚增机会","https://www.tindie.com/products/oled-module/055-micro-oledos-display-1920x1080-90hz-5000nits/|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"c6460f4787e82073","083 Replacement","https://www.tindie.com/products/caiusarcade/083-replacement","已逐页阅读（Tindie目录、Lectronz完整商品页与卖家产品族交叉核验）","老街机停产定制芯片替代件","老街机停产芯片替代件产品族","依靠上百个长尾SKU、原板样本、逻辑逆向、兼容测试数据库和维修社群口碑形成业务","作为长尾维修产品族参考；不把083单SKU当成独立大市场机会","预装配的Konami 083定制IC兼容替代板，适用于Juno First、Pooyan、Hyper Sports、Track & Field、Gyruss等多款80年代街机PCB","街机PCB维修商、收藏者和仍运营老机台的场馆","083原芯片易失效且停产，损坏后会让昂贵原板无法工作","44.99","Tindie目录售价44.99美元；Lectronz完整页显示约44.33美元、库存5件；卖家约419单、14条评价并有114款长尾替代件","低到中；具体083兼容板供给少，但总市场极小，客户高度集中于复古维修圈","依赖特定Konami PCB、原板测试、逆向逻辑和用户焊接/安装能力","中；PCB简单但逻辑时序、不同板版与逐板功能测试要求高","高；原板可能存在其他故障，安装方向、插座、焊接和板版差异会导致支持","低至中；低压维修件，但存在逆向设计、商标、兼容声明和维修责任边界","商品页无代码或文档链接，未发现允许复制销售的开放硬件许可","疑似产品族图片复用风险：自动图片与06xx/08xx等记录共用同一来源，不能认定为083专属主图","市场参考案例","痛点和付费意愿明确，但商业价值来自完整长尾SKU与测试资源；单个083项目TAM很小、售后和IP边界重，不属于可直接复制的开源机会","https://www.tindie.com/products/caiusarcade/083-replacement|https://lectronz.com/products/-083-replacement|https://www.tindie.com/stores/caiusarcade/items/?page=2","2026-07-25"
"88c8c1bbfa5ae2ed","10 Inch Rack Blank","https://www.tindie.com/products/mauker/10-inch-rack-blank","已逐页阅读（原商品页与卖家目录）","10英寸小型机架空白面板","10英寸与19英寸家庭机架配件产品族","通过持续维护设备尺寸数据库、不同设备适配架、风扇架、配线架和空白面板形成目录，而非依赖单个3D打印件","保留为产品族市场参考；空白面板本身不进入严格候选","用于10英寸网络机架填补空U位的空白面板，可选颜色和面板类型","家庭实验室、小型办公室网络机柜和迷你服务器用户","封闭未使用机架空间、改善外观和一定程度引导气流","12.00","商品页售价12美元；卖家约64单、3条评价并有26款10/19英寸机架适配产品，说明小机架配件存在真实但规模有限的长尾需求","中高；标准空白面板可自制或从机架品牌购买，3D打印设计容易复制","依赖10英寸机架孔距、打印材料、用户机架规格和本地打印/运输成本","低至中；尺寸精度、翘曲、螺孔强度、表面质量和颜色一致性需要控制","中；不同机架公差、螺钉、层高、耐热和运输变形会产生退换","低；被动塑料配件，但材料阻燃、环境温度和声明仍需谨慎","未可靠核实模型文件与许可；商品本身未提供明确可复制销售授权","基本匹配但需视觉抽检：自动图文件名为商品拍摄时间戳，需确认面板类型与当前选项一致","市场参考案例","卖家证明10英寸机架配件可形成小型目录，但12美元空白面板无技术壁垒；机会在大量设备适配SKU和数据库，不在该单品","https://www.tindie.com/products/mauker/10-inch-rack-blank/|https://www.tindie.com/stores/mauker/items/","2026-07-25"
"6931837ccca305bf","1000 Base T Tab Down Magjack 2","https://www.tindie.com/products/Ingketech/1000-base-t-tab-down-magjack-2","已复核（原商品页索引、Tindie分类页和卖家目录）","千兆以太网集成磁性RJ45连接器","RJ45/MagJack连接器制造与替代料目录","依靠模具、认证、磁性件设计、兼容替代型号、量产质量和OEM渠道经营，不是小团队复制单个连接器","淘汰单一MagJack条目；只作为连接器制造商目录案例","1000BASE-T、Tab Down结构、集成磁性器件的RJ45 MagJack，列表价格约1.48美元","网络设备、工业控制和嵌入式硬件制造商的采购与研发团队","在PCB上完成千兆以太网物理连接、隔离变压器和LED集成","1.48","卖家为连接器制造商，Tindie仅约2单但列出多种100M/1G/10G、PoE和多口RJ45；同类Tab Down MagJack在目录约1.48至1.65美元","极高；Pulse、Halo、Bel、Würth、Molex、Amphenol及大量中国替代料供应商覆盖","依赖模具、磁性元件、镀金端子、安规材料、PHY兼容和大批量生产体系","很高；阻抗、回波损耗、插损、耐压、PoE温升、焊接共面度和寿命需实验室与量产控制","高；型号替代、封装尺寸、PHY兼容、PoE等级和批次质量错误会导致客户板卡失效","高；需UL/IEC连接器材料、耐压、RoHS/REACH、PoE安全和客户认证配合","非开源标准元件，未提供可复制模具、磁性设计或生产许可","可能是实际MagJack，但自动图片为通用Ingke GigE图，无法证明是标题中的具体第2型号","淘汰","真实工业元件但属于成熟供应链和模具制造业务，低客单且竞争极高；单个连接器页面没有开源商业参考价值","https://www.tindie.com/products/Ingketech/1000-base-t-tab-down-magjack-2|https://www.tindie.com/stores/Ingketech/|https://www.tindie.com/browse/supplies/?page=53&price=u50&ships_to=GB&sort_by=price_high&stock=yes","2026-07-25"
"c1a8eedfa319b1f8","1080P Lensgroup Optics Hmd Vr Headset","https://www.tindie.com/products/oled-module/1080p-lensgroup-optics-hmd-vr-headset","已复核（原商品页链接、卖家微显示/光学目录与相邻完整模组交叉核验；精确页面缓存不完整）","1080P近眼显示镜组与HMD光学模组","微型OLED、驱动板与近眼光学供应产品族","通过面板、镜组、Pancake/BirdBath方案、驱动板和定制支持形成专业供应目录","保留为近眼光学产品族案例，不按不同镜组名称重复计算机会","用于1080P HMD/VR头显的近眼显示镜组或光学模组，具体包含的屏幕、FOV和接口在可访问缓存中不完整","VR/HMD原型开发商、工业头戴终端和研究机构","快速取得与1080P微显示匹配的放大、聚焦和双目光学组件","","同卖家约24单、52款商品，目录中裸镜片约79至139美元，带微显示的Pancake或BirdBath完整模组约479至579美元；该精确SKU无独立销量和完整参数","中高；光学模组供应商数量有限，但同类Pancake、BirdBath、棱镜和成品AR模组规格很多","高度依赖特定微OLED尺寸、光学处方、镜片供应、结构公差和显示驱动","很高；FOV、畸变、MTF、眼盒、焦距、双目一致性、杂散光和装调需专业设备","很高；客户接口和结构差异、视度、眩光、成像边缘、灰尘与对准问题支持复杂","中高；最终头戴设备涉及EMC、材料、眼安全、人体工学和特定用途认证","闭源光学供应商品，未发现光学处方、结构文件或允许商业复制的许可","无合格英雄图；不得使用0.49/0.71英寸微显示、BirdBath或Pancake相邻产品图片代替","市场参考案例","这是专业高客单供应链中的一个规格条目，真正壁垒在光学设计、装调、检测和客户支持；缺少公开设计、独立销量和可复制许可","https://www.tindie.com/products/oled-module/1080p-lensgroup-optics-hmd-vr-headset|https://www.tindie.com/stores/oled-module/items/|https://www.tindie.com/products/oled-modules/103micro-oled-pancake-lenses-ar-optical-module/|https://www.tindie.com/products/oled-module/ar-birdbath-optics-19201080-50-fov-optical-modul/","2026-07-25"
"47cf3eef48e4a36a","10Pcs 2Edg508 Plug Type Terminal Connector","https://www.tindie.com/products/blinkingsilver/10pcs-2edg508-plug-type-terminal-connector","已复核（原商品页索引与英雄图URL核验；页面销量和价格未取到）","5.08mm可插拔接线端子元件包","通用接线端子与低价元件分装/转售产品族","依靠批量采购、库存和元件分装销售，单个SKU无设计或制造壁垒","淘汰；不把标准端子包当作开源硬件商业机会","10只2EDG508系列、5.08mm间距可插拔螺钉接线端子连接器","电子维修、工控PCB和DIY硬件用户","为电源或控制线提供可插拔螺钉端子连接","","原页面存在但未取得独立订单、评价或稳定价格；2EDG/Euroblock端子在LCSC、DigiKey、Mouser、AliExpress和大量元件商均有完整规格与低价供给","极高；标准5.08mm可插拔端子是成熟通用品，品牌和无品牌替代极多","依赖上游端子制造商、材料阻燃等级、电镀和批量采购价格","高于表面认知；若自行制造需模具、弹片/螺钉扭矩、爬电距离、插拔寿命和阻燃材料控制；单纯分装则无制造价值","中；间距、针数、插头/座配对、额定电流和质量差异会引起退换","中高；用于电源时涉及额定电压电流、阻燃、爬电距离、UL/VDE和责任声明","非开源标准元件，无原创设计或可复用制造资料","明确错配：自动图片URL文件名为High-quality-PVC-card-tray-ID-card-tray-for-Epson，显然不是接线端子主图","淘汰","这是低价标准连接器分装品，市场被原厂与供应链平台完全覆盖；同时旧版英雄图明确错配，没有任何理由进入商业候选","https://www.tindie.com/products/blinkingsilver/10pcs-2edg508-plug-type-terminal-connector","2026-07-25"
