project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"45aa1a0e3079d40e","testing_cicd-workshop-demo","https://gitlab.com/dictcloud/testing-cicd-workshop-demo","已复核（精确源记录缓存；页面当前未稳定加载）","CI/CD工作坊示例仓库","Workshop Badge Generator参与者分叉族","培训、课程和软件演示","与同族合并后淘汰","参与者在CI/CD工作坊中分叉的Badge Generator软件示例","工作坊组织者或学员；该分叉无独立客户","练习fork、流水线和部署","","精确源记录明确为Workshop Badge Generator工作坊分叉；0 stars、0 forks","不适用；同模板分叉数量多","依赖GitLab CI和上游模板","无硬件制造","培训模板维护","低","未核验","无硬件本体","淘汰","testing分叉属于已确认的软件培训模板族，不是电子徽章或独立硬件机会。","https://gitlab.com/dictcloud/testing-cicd-workshop-demo","2026-07-26"
"8ca23efd36204c6d","Badge Service","https://gitlab.com/codeclubkinsale/zen/zen-badge-service","已复核（精确源记录缓存；页面当前未稳定加载）","Java Spring微服务","CoderDojo数字徽章软件","软件托管、平台开发和维护","淘汰为硬件机会","管理CoderDojo Zen平台数字徽章的Java Spring微服务","CoderDojo平台运营者和软件开发者","管理学员数字徽章和成就记录","","源记录明确为Java Spring microservice；0 stars、1 fork，无硬件设计或商品","不适用；教育平台和数字徽章软件市场","依赖Java、Spring和CoderDojo Zen平台","无硬件制造","API、数据库和平台兼容维护","中；涉及未成年人教育数据时需隐私治理","未核验","无硬件本体","淘汰","badge在这里指平台内数字成就，不是电子徽章；纯软件服务不能计入开源硬件机会。","https://gitlab.com/codeclubkinsale/zen/zen-badge-service","2026-07-26"
"b62bad37bf209e97","dcsgonefirm-LIB","https://gitlab.com/Lachieinblack/dcsgonefirm-lib","已复核（精确源记录缓存与同族项目证据）","电子徽章固件库分叉","DCSGone安全会议徽章产品族","活动赞助、批量硬件和开源固件生态","与已复核徽章家族合并；本记录淘汰为独立机会","Circuit Crafters首个电子徽章项目的固件工程库分叉","安全会议组织者、徽章开发者和参与者","维护活动徽章固件和功能","","精确源记录明确为firmware engineering home；0 stars、0 forks；同族硬件项目已单独复核","高；会议电子徽章和固件项目众多","依赖同族徽章PCB、Espressif平台和活动内容","本记录无独立制造；完整徽章制造为中高风险","固件、无线、电池和活动现场支持","中；无线和电池由完整徽章承担","未核验；同族硬件许可不能自动套用到此分叉","无独立硬件英雄图","淘汰","这是已有DCSGone徽章家族的固件库分叉，不是新的硬件SKU或商业机会；只作为同族软件证据。","https://gitlab.com/Lachieinblack/dcsgonefirm-lib|https://gitlab.com/cryptoadvocate/dcsgonebadge","2026-07-26"
"fce8fb0983b0f2b0","GitLab Project","https://gitlab.com/ptrck-sh/modules/terraform-gitlab-project","已复核（精确源记录缓存；页面当前未稳定加载）","OpenTofu/Terraform基础设施模块","GitLab项目自动化软件","开源软件、咨询和DevOps服务","淘汰为硬件机会","管理GitLab分支保护、标签保护、徽章和变量的Terraform模块","DevOps团队和GitLab管理员","自动化GitLab项目配置","","源记录明确为OpenTofu/Terraform module；0 stars、0 forks，无硬件内容","不适用；DevOps基础设施模块市场成熟","依赖GitLab API、OpenTofu或Terraform","无硬件制造","API版本和平台兼容维护","低至中；访问令牌和权限配置风险","未核验","无硬件本体","淘汰","badges仅是GitLab项目配置项之一，项目本质为基础设施代码，不属于硬件。","https://gitlab.com/ptrck-sh/modules/terraform-gitlab-project","2026-07-26"
"dd12440deaf97a0f","vidyasetu","https://gitlab.com/vishnuprasad2004/vidyasetu","已复核（精确源记录缓存；页面当前未稳定加载）","教育软件应用","AI个性化学习平台","软件服务、课程和学校合作","淘汰为硬件机会","面向印度高中生的AI助手、测验、积分、好友和数字徽章应用","学生、学校和教育机构","提升学习个性化和游戏化体验","","源记录明确为教育app并列出AI、quizzes、badges和scores；0 stars、0 forks","高；教育应用和游戏化平台充分","依赖Web或移动端、AI服务和内容体系","无硬件制造","内容、模型、隐私和学校集成支持","高；未成年人数据、教育合规和AI治理","未核验","无硬件本体","淘汰","数字徽章和积分导致旧分类误判，实际是教育软件应用。","https://gitlab.com/vishnuprasad2004/vidyasetu","2026-07-26"
"2756e0f37c4d7a47","Minecraft Badges","https://gitlab.com/VinnyStalck/minecraft-badges","已逐页阅读（精确GitLab项目页）","网页状态徽章生成项目","Minecraft项目README徽章","开源网页工具和托管服务","淘汰为硬件机会","为Minecraft相关项目生成装饰性网页徽章的GitLab Pages项目","Minecraft软件项目维护者","快速展示项目状态或技术信息","","项目页明确写Fancy badges for Minecraft related projects，15 commits、1 branch，并链接GitLab Pages","高；shields.io及大量状态徽章服务成熟","依赖Web页面和SVG资源","无硬件制造","网页托管和模板维护","低","未核验","项目页图片是数字徽章，不是硬件产品图","淘汰","badge在该项目中是网页SVG状态图标，不是电子徽章或硬件。","https://gitlab.com/VinnyStalck/minecraft-badges|https://vinnystalck.gitlab.io/minecraft-badges","2026-07-26"
"1fcc17b646a24095","MightyCore","https://github.com/MCUdude/MightyCore","已逐页阅读（README、安装说明及链接硬件页）","Arduino核心软件包","AVR Arduino兼容软件生态","开源软件维护、文档及关联开发板销售","本记录淘汰；关联开发板需作为独立商品另审","支持多款ATmega芯片、Urboot和Arduino IDE的board core与bootloader","AVR开发者、教育用户和裸芯片使用者","让多款ATmega芯片使用Arduino工具链和调试功能","","GitHub源记录约712 stars；README明确称An Arduino core，并另行链接可购买的DIP-40开发板","软件工具链成熟；关联开发板也是成熟通用开发板市场","依赖Arduino IDE、PlatformIO、AVR芯片和Urboot","本仓库无独立硬件制造","芯片、bootloader、IDE和库兼容维护","低","仓库许可需按LICENSE文件执行，关联板硬件许可另查","自动图片是关联开发板，不是MightyCore软件包的独立英雄图","淘汰","MightyCore本身是Arduino硬件包语境中的软件core；不能把README中另售的通用开发板图片反向算作该软件仓库的硬件机会。","https://github.com/MCUdude/MightyCore|https://www.tindie.com/products/MCUdude/dip-40-arduino-compatible-development-board","2026-07-26"
"57af11c2f0290f03","Lanyard Badge Holder","https://gitlab.com/hartang/cad/lanyard-badge-holder","已复核（精确源记录缓存；页面当前未稳定加载）","通用CAD小件","证件与活动挂牌配件","3D打印文件、定制打印和活动配件销售","淘汰为独立商业机会","用于挂绳的通用Badge或ID卡夹","活动参与者、员工和证件持有者","把证件固定到挂绳","","源记录仅描述generic badge/ID holder；0 stars、0 forks，无价格、订单或独特结构证据","极高；证件卡套和3D打印模型高度通用","依赖标准挂绳和证件尺寸","低；普通打印或注塑","尺寸适配、耐用性和断裂","低","未核验","无合格英雄图","淘汰","通用证件卡夹没有明确差异化、市场空白或开源硬件壁垒，属于成熟低价配件。","https://gitlab.com/hartang/cad/lanyard-badge-holder","2026-07-26"
"d02c707b8a5c7740","Pimoroni Tufty Networking Conference Badge","https://gitlab.com/gitlab-accelerates-embedded/misc/tufty-badge","已复核（精确源记录与GitLab embedded主题缓存）","现成开发板应用Demo","Tufty会议名牌软件应用","开发者倡导、演示和上游开发板推广","淘汰为独立硬件机会","在Tufty LCD开发板上显示联系方式、二维码、波形和PCB动画的会议名牌","会议参会者和嵌入式演示人员","用现成屏幕板展示联系信息和嵌入式概念","","GitLab主题缓存明确描述automatic slideshow、QR codes、oscilloscope wave animations和PCB visualizations；无独立PCB、售价或订单","高；电子名牌、Badgeware和开发板展示Demo很多","完全依赖Pimoroni Tufty现成板和其软件生态","无独立制造；只需现成板写入应用","固件配置、二维码和网络功能支持","低至中；上游板承担硬件合规","未核验","自动图片展示Tufty上运行的Demo，是上游开发板应用图，不是独立产品英雄图","淘汰","这是把现成Tufty开发板用作会议名牌的应用Demo，不能把上游板本身当作项目可商业化硬件。","https://gitlab.com/gitlab-accelerates-embedded/misc/tufty-badge|https://gitlab.com/explore/projects/topics/embedded","2026-07-26"
"170ab82efda54427","Badges Docs_my_fork","https://gitlab.com/chrisidoko0017/badges-docs-my-fork","已复核（精确源记录缓存；页面当前未稳定加载）","文档仓库分叉","Fedora数字徽章文档","开源文档和社区贡献","淘汰为硬件机会","Fedora Badges文档站点的源仓库分叉","Fedora社区贡献者和文档读者","维护数字徽章平台文档","","源记录明确为Fedora Badges documentation source；0 stars、0 forks","不适用；文档项目","依赖Fedora文档工具链和上游内容","无硬件制造","文档同步和翻译维护","低","上游文档许可需核验","无硬件本体","淘汰","这是数字徽章文档的个人分叉，不是电子徽章或硬件。","https://gitlab.com/chrisidoko0017/badges-docs-my-fork|https://docs.fedoraproject.org/en-US/badges/","2026-07-26"
