project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"e3500cf9f1d53cb1","Christmas electronics gifts and decorations based on lego arduino, raspberry pi","https://community.dfrobot.com/projects-Christmas.html","已逐页阅读（精确DFRobot专题页）","项目聚合专题页","圣诞电子教程与社区内容聚合","通过内容流量、器件销售和品牌社区运营获客","直接淘汰；聚合页不计为硬件产品","收录圣诞灯、音乐、倒计时、装饰和开发板教程的专题目录","创客读者和DFRobot潜在器件购买者","寻找圣诞电子项目灵感","","页面列出大量不同作者和不同硬件项目，没有单一BOM、产品、价格或客户","极高；节日Arduino与树莓派教程数量巨大","依赖社区投稿和DFRobot生态","不适用；不是单一制造项目","不适用；内容页支持而非硬件售后","低","页面级许可不等于各项目许可","旧图只是专题中某个项目缩略图，不代表聚合页产品本体","淘汰","这是内容聚合与导购专题，不是一个可制造或可销售的硬件项目","https://community.dfrobot.com/projects-Christmas.html","2026-07-26"
"ea2157543540c2bf","12699 Bambu Badge","https://makerworld.com/en/models/12699-bambu-badge","已逐页阅读（精确MakerWorld模型页）","非电子3D打印品牌徽章模型","3D打印装饰件与品牌周边","依靠数字模型传播或授权打印销售","直接淘汰为硬件机会","两个带Bambu Lab标志或文字的圆形3D打印徽章","Bambu Lab用户和品牌爱好者","打印品牌装饰徽章","","MakerWorld页面约1.3k下载、19 likes，并有打印配置；不是电子硬件","极高；简单品牌徽章模型易复制且受商标约束","依赖Bambu Lab商标和3D打印机","低","低；主要是打印质量和颜色","中高；品牌商标与非商业许可限制","CC Attribution-NonCommercial","页面图片匹配3D模型，但不是电子硬件英雄图","淘汰","非电子3D模型，许可明确限制商业使用，且品牌IP风险高","https://makerworld.com/en/models/12699","2026-07-26"
"6b6dcb74202623e9","Gift Inspiration For Makers At The Arduino Store","https://blog.arduino.cc/2021/12/02/gift-inspiration-for-makers-at-the-arduino-store","已逐页阅读（精确Arduino博客文章）","官方商店礼品导购文章","Arduino生态导购与内容营销","通过官方商店销售开发板、套件、传感器和礼品卡","直接淘汰；文章不是产品","按预算和用途推荐Arduino商店商品的节日导购","Arduino礼品购买者","帮助非专业买家选择创客礼物","","文章链接多个现成商店品类和礼品卡，没有独立设计文件或产品本体","极高；官方生态导购本身不是可复制产品机会","完全依赖Arduino品牌、商店和现有商品目录","不适用","不适用","低","文章版权归Arduino，单品许可各自不同","无单一产品英雄图","淘汰","被旧库误当硬件项目，实际是商店营销内容","https://blog.arduino.cc/2021/12/02/gift-inspiration-for-makers-at-the-arduino-store/","2026-07-26"
"79c2e733a2f02847","rsbadges","https://gitlab.com/tangram-vision/oss/rsbadges","已逐页阅读（精确GitLab项目页）","Rust代码徽章生成软件","开发文档与代码徽章软件","通过开源工具、企业支持或内部工程效率产生价值","直接淘汰为硬件机会","使用Rust生成代码或README状态徽章的软件项目","Rust开发者和文档维护者","自动生成软件项目徽章","","GitLab 6 stars，属于Tangram Vision OSS软件组，没有硬件文件或商品证据","高；README徽章与状态图生成工具成熟","依赖Rust与软件托管平台","无硬件制造","软件兼容与维护","低","项目许可需在仓库核实","无硬件本体，英雄图不适用","淘汰","纯软件项目，仅因badge一词被误分到电子徽章","https://gitlab.com/tangram-vision/oss/rsbadges","2026-07-26"
"f0e0a0a28a05e8cc","Student_ID_Card","https://gitlab.com/francoisjacquet/Student_ID_Card","已逐页阅读（精确GitLab模块页及RosarioSIS主项目）","学生证打印软件模块","学校管理软件扩展","通过RosarioSIS托管、安装支持和软件服务收费","直接淘汰为硬件机会","为RosarioSIS生成可打印学生身份证件的PHP模块","学校行政人员和RosarioSIS用户","批量生成可定制学生证版面","","GitLab 0 stars、2 forks；主系统有托管服务，但该项目不包含实体卡或制卡硬件","高；证件排版和学生管理软件已有成熟供给","依赖RosarioSIS、PHP和打印机","无硬件制造","软件模板和打印兼容支持","中；处理学生个人信息需隐私保护","软件许可随RosarioSIS体系核验","无硬件本体，英雄图不适用","淘汰","纯软件打印模块，被badge关键词错误归类为电子硬件","https://gitlab.com/francoisjacquet/Student_ID_Card|https://gitlab.com/francoisjacquet/rosariosis","2026-07-26"
"2ea9d48079e545b7","The Bornhack 2026 Cyber Aegg Is A Badge With A Life Afterwards","https://hackaday.com/2026/07/17/the-bornhack-2026-cyber-aegg-is-a-badge-with-a-life-afterwards","已逐页阅读（精确Hackaday文章及活动徽章描述）","可转桌面设备的LoRa电子徽章","定制会议电子徽章产品族","用活动采购覆盖开发成本，并通过会后实用功能延长生命周期","作为活动硬件产品化参考，不把文章计为独立机会","nRF52840、LoRa、电子墨水、RFID游戏、时钟和MeshCore节点组成的蛋形徽章","BornHack主办方、参会者和MeshCore用户","降低活动徽章会后闲置浪费，同时提供现场互动","","2026年7月Hackaday完整介绍，项目由badge.team协助，具备活动和会后双场景；未见零售价格或外部订单","中高；会议徽章成熟，但会后桌面用途是较好的产品化方向","依赖活动采购、nRF52840、LoRa、电子墨水和MeshCore生态","高；射频、外壳、屏幕、电池和活动交期复杂","高；现场功能、网络配置和会后固件维护负担大","中高；LoRa频段、无线与电池认证","文章未给出完整设计许可","Hackaday主图显示具体徽章本体，匹配","市场参考案例","设计比一次性徽章更完整，但商业模式仍依赖活动定制和批量采购，缺少可复制零售证据","https://hackaday.com/2026/07/17/the-bornhack-2026-cyber-aegg-is-a-badge-with-a-life-afterwards/","2026-07-26"
"782a45368662a6c3","Open Game Station","https://www.crowdsupply.com/longan-labs/open-game-station","已逐页阅读（精确Crowd Supply项目、价格、融资与制造计划）","模块化8位掌机套件","开源复古游戏与教育套件","以低价模块化套件、扩展卡、文档和社区游戏生态销售","作为成熟产品案例，不直接复制","ATmega32U4、128×64 OLED、蜂鸣器、电池卡和可插模块组成的掌机","复古游戏玩家、Arduino学习者和创客教育用户","以低成本组装并编程经典8位游戏掌机","49.00","2020年23名支持者、筹资2498美元、104%达标；Pro版当前49美元在售","高；Arduboy、Game Boy兼容套件和多种教育掌机成熟","依赖Arduino/Arduboy游戏生态和Longan Card模块","中；多PCB卡、连接器、结构件和套件包装增加测试","中高；组装、游戏上传、连接器和模块兼容支持","低至中；电池和儿童教育场景需警示","页面称开源硬件，具体许可证需核验","Crowd Supply主图显示完整套件，匹配","市场参考案例","真实融资并持续在售，但销量规模小、客单低，且模块化掌机市场成熟","https://www.crowdsupply.com/longan-labs/open-game-station","2026-07-26"
"165694f2ab4d3d89","DOH-PCB-Badge","https://gitlab.com/mmaschenk/doh-badge","已逐页阅读（精确GitLab项目页与项目描述）","活动焊接赠品PCB徽章","创客活动焊接徽章","依靠活动赞助、课程和赠品传播组织品牌","直接淘汰为独立商业机会","Delft Open Hardware月度聚会用于现场焊接和赠送的PCB徽章","活动主办方和参会者","提供简短焊接体验和社区纪念品","","GitLab 0 stars、0 forks，项目描述明确用于月度活动赠送，未发现售价或外部客户","高；活动焊接徽章和LED名牌大量存在","依赖活动品牌和通用元件","低","中；初学者焊接和活动现场支持","低","许可需在项目中核实","旧表无合格英雄图","淘汰","活动赠品和教学小品，不具备独立客户、定价或竞争壁垒","https://gitlab.com/mmaschenk/doh-badge","2026-07-26"
"7047c7f7101038f5","Video Led Controller","https://www.crowdsupply.com/pixblasters/video-led-controller","已逐页阅读（精确Crowd Supply项目、更新、价格与文档）","专业FPGA LED视频控制器","大型LED视频墙控制与系统集成","销售高客单控制器、连接板、文档和系统集成支持","保留观察，进一步核验开放范围、客户结构和毛利","FPGA控制最多8192颗LED并把标准视频信号映射到LED条或面板的控制器","展览、舞台、广告、建筑灯光和专业创客","以较低成本构建实时大尺寸LED视频显示","375.00","筹资40904美元、91名支持者、481%达标；375美元控制器和60美元连接板在售，2026年仍有PCB升级更新并进入Mouser渠道","中；专业LED控制器很多，但直接视频输入和大规模同步有垂直差异","依赖FPGA、特定LED协议、外部5V大电流电源和显示结构","高；高速视频、FPGA、EMC、电源分配和大规模LED验证复杂","高；像素映射、线缆、电源、固件和现场集成支持重","中高；EMC、电气安全和大型装置责任","公开FPGA demo只覆盖部分功能，完整商业设计开放范围需核验","Crowd Supply主图为具体控制器本体，匹配","观察名单","具有高客单、持续销售和真实专业场景，是本批最值得深入研究的项目；但技术与售后门槛高且完整开放许可尚不明确","https://www.crowdsupply.com/pixblasters/video-led-controller|https://www.crowdsupply.com/pixblasters/video-led-controller/updates","2026-07-26"
"9bd00bc549d0f1b8","Anavi Macro Pad 8","https://www.crowdsupply.com/anavi-technology/anavi-macro-pad-8","已逐页阅读（精确Crowd Supply项目、价格、融资和开源资料）","开源8键宏键盘套件","成熟开源宏键盘产品族","通过PCB套件、预装套件、外壳和配件形成产品阶梯","作为产品族经营案例，不视为新市场空白","ATmega32U4、8键、背光、底灯和可选OLED的QMK宏键盘","内容创作者、程序员、设计师和游戏用户","用可编程快捷键提高桌面操作效率","44.00","筹资15794美元、242名支持者；Maker Kit 36美元、Developer Kit 44美元并持续在售","极高；宏键盘、QMK和RP2040小键盘已高度拥挤","依赖QMK、通用机械轴、ATmega32U4和OLED","中；套件、轴体、外壳和多配置SKU需要管理","中；QMK配置、焊接和系统兼容支持","低","项目宣称硬件和软件完全开源，具体许可证需核验","Crowd Supply主图为产品本体，匹配","市场参考案例","商业验证真实，但宏键盘已是红海；价值在长期产品族、文档和履约，而非单板机会","https://www.crowdsupply.com/anavi-technology/anavi-macro-pad-8","2026-07-26"
