project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"23ebcb75e48248ab","10X Flickering 3Mm Leds","https://www.tindie.com/products/terraintronics/10x-flickering-3mm-leds/","已逐页阅读","通用闪烁LED耗材/桌游场景配件","桌游与兵棋地形照明配件产品族","以低价LED包搭配城堡灯控PCB、地形照明套件和可下载3D灯具模型，价值来自场景化组合销售而非LED本身","淘汰单独LED耗材；只有形成有设计内容、安装方案和持续更新模型库的桌游地形照明产品族时才可作为业务参考","10颗3mm黄橙色烛光闪烁LED，并附卖家设计的灯具与壁灯3D模型目录访问权","DND、兵棋和微缩地形制作玩家","快速获得具有烛光效果的LED，并与现有城堡灯控板和地形灯具配套","4.95","商品页标价4.95美元，卖家暂停接单；店铺约409单、2条评价，并销售城堡LED控制板、地形灯光套件和拼装地形产品","极高；闪烁LED属于成熟通用元件，差异主要来自捆绑模型与同店产品","核心依赖通用3mm闪烁LED供应链，附加价值依赖卖家的3D灯具文件和场景生态","低；采购、抽检、分装和包装即可","低至中；颜色、闪烁频率、亮度批次差异和极性说明可能引发退换","低；普通低压LED，但需管理RoHS、材料和跨境小件包装","未见开放硬件许可；附赠3D模型的商业复用权未说明","基本匹配但需视觉抽检：应展示10颗3mm闪烁LED，不能仅用城堡PCB、灯控板或地形套件图片代替","淘汰","存在小众配套需求，但单价低、元件高度通用且卖家已把价值建立在完整地形照明生态上；单独复制LED包没有商业壁垒","https://www.tindie.com/products/terraintronics/10x-flickering-3mm-leds/|https://www.tindie.com/stores/terraintronics/","2026-07-25"
"d98c9f53d1d75546","110 Rc F1 Rain Light","https://www.tindie.com/products/phatdadracing/110-rc-f1-rain-light/","已逐页阅读","完整RC模型灯光配件","RC方程式赛车仿真灯光与车体细节配件产品族","围绕不同RC F1比例、尾翼和车架提供尺寸适配的灯板、外壳、组合包和相关小配件，通过高度场景化SKU服务核心爱好者","保留为小众爱好者附件产品化参考；进入该市场应建立多车架适配、耐候结构、安装文档和系列化SKU，而不是复制单一灯板","适用于1/10比例RC F1赛车的6V后雨灯，矩形多灯阵列以约4Hz和40%占空比闪烁，可选裸板或带3D打印外壳版本","RC F1竞速玩家、比例模型制作者和改装爱好者","普通单颗闪烁LED不够逼真且夜间辨识度低，需要尺寸和闪烁节奏接近真车的尾灯","12.50","商品有3条评价，产品评分5.0；卖家约605单、12条评价，并有多个比例、尾翼适配和组合灯光SKU；该商品自2025-12-22起售罄","中；普通RC灯具很多，但针对RC F1比例、尾翼和真车闪烁模式的细分产品相对少","依赖RC接收机6V供电、具体尾翼/车架尺寸和3D打印外壳，但已形成完整使用结果而非开发板拼装","低至中；PCB、LED和简单定时电路容易生产，难点在尺寸适配、灌封/防水和小批量SKU管理","中；安装空间、线长、外壳适配、雨水防护和碰撞损坏会产生支持需求","低；低压模型配件，主要关注材料、线材和电池/接收机接线说明","未见开放硬件设计或商业复用许可","基本匹配但需视觉抽检：应展示矩形多LED雨灯本体或安装在RC F1尾翼上的成品，不能用普通单LED或真车图片代替","市场参考案例","有真实评价、系列化SKU和明确细分客户，证明小众模型附件可以商业化；但单品客单低、市场窄且适配SKU多，更适合作为垂直产品族方法参考","https://www.tindie.com/products/phatdadracing/110-rc-f1-rain-light/|https://www.tindie.com/stores/phatdadracing/","2026-07-25"
"921f09b15958b329","0826 1X1T Gh F 1000 Base T With Poe Rj45 Jack","https://www.tindie.com/products/linkpp/0826-1x1t-gh-f-1000-base-t-with-poe-rj45-jack/","已逐页阅读","标准PoE千兆磁性RJ45连接器","RJ45 MagJack与网络连接器制造/分销目录","依靠模具、磁性器件、交叉料号数据库、认证和OEM/ODM能力向网络设备客户供应大量标准与定制连接器","淘汰为独立开源硬件机会；只有具备连接器制造、网络参数测试、认证和大客户供应链能力时才构成工业业务","兼容Bel Fuse 0826-1X1T-GH-F的单口千兆PoE+集成磁性RJ45插座，带LED、屏蔽和通孔焊接结构","路由器、交换机、网关、主板和小批量网络设备制造商","需要封装兼容、集成磁性器件和PoE能力的RJ45器件以缩短网络接口设计与采购","1.50","页面标价1.50美元；卖家宣称自1997年从事RJ45和网络磁性器件制造，列出ISO、UL、REACH、RoHS及大客户案例，并拥有大量1至2美元近似型号","极高；国际连接器品牌与大量兼容厂商规模化供应，料号替代和价格竞争充分","价值依赖精密连接器、磁性器件、模具、认证和量产供应链，不是可由公开PCB资料复制的产品","高；真正制造涉及冲压、注塑、变压器绕制、耐压、回损和高速信号测试；简单转售则无壁垒","中高；封装、PoE功率、插损、耐压、焊接耐热和批次一致性错误会造成批量损失","中高；需满足UL阻燃、安规耐压、RoHS/REACH和以太网性能规范","商业标准元件，未提供开放硬件设计许可","基本匹配但需视觉抽检：应展示LPJK6064AONL/0826兼容PoE+ MagJack实物及引脚，不能混入普通无磁性RJ45或其他端口数量型号","淘汰","这是低价标准工业元件而非完整产品；制造需要重资产、认证和大客户供应能力，转售又面临极高替代性，没有适合小团队的开源商业空白","https://www.tindie.com/products/linkpp/0826-1x1t-gh-f-1000-base-t-with-poe-rj45-jack/|https://www.tindie.com/stores/linkpp/","2026-07-25"
"2b4d724f48af6833","10 Pack Of Transparent Pots B10K","https://www.tindie.com/products/Sourcery/10-pack-of-transparent-pots-b10k/","已逐页阅读","透明电位器批量元件包","模块合成器面板元件与DIY配件供应产品族","通过Eurorack/DIY合成器所需电位器、插座、开关、PCB与面板形成一站式元件目录，利用社区口碑和组合采购降低客户找料成本","淘汰单独元件包；可作为垂直BOM配套与小批量元件供应案例，不应当成自研硬件机会","10只可在背面放置LED实现透光效果的B10K PCB安装电位器","Eurorack模块、合成器和发光控制面板DIY制作者","普通电位器无法实现旋钮区域透光效果，且小批量采购匹配封装较麻烦","10.00","商品标价10美元并自2025-08-15起售罄；卖家约1326单、119条评价，店内有30款Eurorack PCB、面板、插座和电位器等配套产品","高；电位器是成熟元件，透明外壳相对少见但仍可由专业元件渠道替代","完全依赖上游电位器供应商；卖家价值来自垂直选品和Eurorack配套目录","低；采购、参数抽检、分装和包装","中；阻值误差、手感、寿命、轴型、焊脚尺寸和透光一致性会产生退换","低；普通低压元件，需管理RoHS和材料声明","未见开放硬件设计许可，属于商业元件销售","英雄图错配：自动图片文件名指向“10 LED EMF PCB”，不是透明B10K电位器；必须更换为透明电位器实拍","淘汰","透明特征解决了真实面板需求，但产品本体仍是低价上游元件；卖家的优势是完整Eurorack供应目录和社区订单，不是该元件本身的技术壁垒","https://www.tindie.com/products/Sourcery/10-pack-of-transparent-pots-b10k/|https://www.tindie.com/stores/Sourcery/items/","2026-07-25"
"dd4f9ad16af196be","10 Pcs Rj45 8P8C Connector","https://www.tindie.com/products/blinkingsilver/10-pcs-rj45-8p8c-connector/","已逐页阅读","通用网络水晶头批量包/转售品","通用线缆连接器与低价电子配件转售目录","采购标准网络水晶头和其他通用小商品后以小包装零售，价值主要来自便利性而非设计或制造","直接淘汰；不属于可制造的独立硬件机会","10只CAT5e/CAT6用RJ45 8P8C压接水晶头","网络布线DIY用户、维修人员和小型工程安装者","临时或小批量制作网线时需要少量标准水晶头","2.00","商品标价2美元且已售罄；卖家约167单、4条评价，店内商品跨LED数码管、PCIe转接卡、机器人底盘等多类通用货品，未见原创设计证据","极高；水晶头在电商、五金和网络渠道广泛供应，批量价格极低","完全依赖标准上游水晶头供应链，无独特结构、文档或系统价值","低；采购、分装和包装","低至中；CAT等级、镀金厚度、线径兼容和压接失败会引发投诉","低；普通被动连接器，主要涉及材料、RoHS和阻燃声明","无开放硬件设计，属于标准商品转售","基本匹配但需视觉抽检：应展示10只RJ45 8P8C透明水晶头，不能使用带磁性插座、网线或其他连接器代替","淘汰","两美元通用耗材、供应极度充分且卖家目录呈现明显转售特征，没有产品独立性、毛利空间和可防御能力","https://www.tindie.com/products/blinkingsilver/10-pcs-rj45-8p8c-connector/|https://www.tindie.com/stores/blinkingsilver/","2026-07-25"
"e407a2d8e39f5cf9","1056K Memory Upgrade Board For The Atari 400","https://www.tindie.com/products/5cfab/1056k-memory-upgrade-board-for-the-atari-400/","已逐页阅读","复古计算机内存升级成品板","Atari复古计算机升级、替换与复刻硬件产品族","围绕特定Atari机型提供内存板、MMU复刻、系统板和扩展卡，以兼容知识、安装文档、测试设备和多SKU覆盖建立专业长尾业务","进入观察名单；正确路径是建立完整复古机型兼容数据库、测试治具、安装服务和系列化升级/替换件，而不是只复制一块内存板","为Atari 400提供48KB基础内存加1008KB Axlon兼容分页内存，总计1056KB的升级板","Atari 400收藏者、复古计算机玩家和维修升级服务商","原机内存极小且难以运行Atari 800兼容软件和SpartaDOS X等后期软件","77.42","商品标价77.42美元、仅余2件；卖家约273单、6条评价，并提供Atari 400/600XL/800/1200XL等多款内存升级、MMU复刻和系统板产品","中低；市场小众但可用替代件有限，竞争更集中于少数复古硬件专业卖家","强依赖Atari 400原机、Axlon兼容逻辑、旧系统总线和安装焊接；核心价值来自兼容测试与历史资料","中；PCB本身可小批量生产，但需要多版本原机测试、元件替代验证和安装说明","高；客户需拆机并在主板底部焊接4根跳线，兼容性、安装损坏和软件识别会带来较重支持","低至中；低压内部升级件认证压力有限，但需明确安装责任、ESD和旧设备损坏风险","页面只链接历史安装文档，未见本板Gerber、原理图或可商业复用许可","基本匹配但需视觉抽检：应展示1056K升级板本体、跳线和Atari 400安装状态，不能用其他Atari机型内存板替代","观察名单","具备明确付费痛点、较高客单、真实卖家订单和系列化产品族，是比普通模块更接近成立的长尾硬件业务；但TAM小、安装售后重且缺少开放许可，暂不能列为严格候选","https://www.tindie.com/products/5cfab/1056k-memory-upgrade-board-for-the-atari-400/|https://www.tindie.com/stores/5cfab/|https://www.digitpress.com/library/techdocs/atari_400_48k_ram.pdf","2026-07-25"
"cedca56d7e298e66","10Pcs Sw490 Th14 Copper Plated Spring Antenna","https://www.tindie.com/products/nicerf/10pcs-sw490-th14-copper-plated-spring-antenna/","已逐页阅读","通用490MHz弹簧天线批量元件","无线模块、天线与遥控器件供应目录","以大量LoRa、FSK、UWB、GPS和无线控制模块及配套天线形成宽SKU目录，通过规模采购、认证模块和批量销售竞争","淘汰单一天线元件；只有掌握天线设计、匹配测试、认证和模块生态时才可能形成无线器件业务","10只SW490-TH14铜镀层弹簧天线，标称增益2.15dBi","低成本无线遥控、传感器和490MHz附近设备开发者","在空间受限的低成本无线设备中需要小型板载弹簧天线","2.25","商品包售价2.25美元；NiceRF约1562单、35条评价并有约140款无线模块、天线和开发板，店内还销售多频段弹簧天线及认证LoRa模块","极高；弹簧天线是成熟低价元件，同类频段、长度和增益产品大量存在","完全依赖上游天线冲压/绕制与无线匹配环境；该SKU本身无软件或系统价值","低；批量元件采购和尺寸抽检即可，真正保证性能则需VNA、暗室或整机匹配测试","中；实际谐振频率、外壳与地平面影响、增益宣传和焊接方式会造成性能争议","中；天线本身通常不单独认证，但最终无线设备需满足频谱、发射功率和EMC法规","未见开放天线设计、尺寸图许可或可商业复用资料","英雄图疑似错配：自动图片文件名为“lora1280.jpg”，可能展示无线模块而非SW490-TH14弹簧天线；必须以天线实拍重新核验","淘汰","客单极低、规格通用且卖家优势来自庞大无线产品目录和供应链；单独销售或仿制该天线没有商业空白","https://www.tindie.com/products/nicerf/10pcs-sw490-th14-copper-plated-spring-antenna/|https://www.tindie.com/stores/nicerf/items/","2026-07-25"
"a087dbb534fa59ee","1268 Mhz Bandpass Rf Filter Beidou B3 Band","https://www.tindie.com/products/gpio/1268-mhz-bandpass-rf-filter-beidou-b3-band/","已逐页阅读","专业窄带射频滤波器成品板","SDR与专业射频前端滤波/放大产品族","围绕不同无线频段销售经过指标设计的滤波器、LNA、Bias-Tee、混频器和时钟模块，以测量能力、频段覆盖和专业口碑形成产品族","保留为市场参考；进入应具备VNA测试、屏蔽封装、批次校准和特定应用渠道，并寻找供应不足的频段，而非复制已有滤波板","中心频率1268MHz、约35MHz带宽、典型插损2dB、最大输入+10dBm的SMA接口带通滤波器","BeiDou B3、业余无线电、SDR接收和实验室射频用户","需要抑制蜂窝、LTE、UHF和915MHz强干扰以提高1268MHz附近弱信号接收质量","33.00","商品标价33美元、仅余6件；卖家GPIO Labs约1043单、22条评价，并形成覆盖403MHz、433MHz、GPS、ADS-B、5GHz、氢线等频段的滤波器和射频前端产品族","中高；专业度高于通用模块，但成熟滤波器厂商和同店多频段产品已经覆盖大量需求","依赖射频基板、滤波拓扑、SMA连接器和VNA测试；不依赖树莓派或Arduino，属于独立功能射频器件","中高；设计和量产需要材料控制、阻抗、焊接与逐批VNA验证，裸板还受外壳和安装影响","中；客户会关注中心频率、插损、抑制度、温漂、功率和实测曲线，缺测量报告易产生争议","中；被动接收用途风险较低，但若用于发射链路需确保功率、杂散和当地无线法规","未见原理图、Gerber、测量数据文件或开放硬件许可","基本匹配但需视觉抽检：应展示1268MHz滤波板及SMA接口，不能混用其他频段滤波器；最好补充VNA曲线作为证据图","市场参考案例","真实专业需求、明确指标和成熟卖家订单说明射频频段产品族可商业化；但现有卖家已覆盖大量频段，缺少开放资料和可见市场空白，暂不进入观察名单","https://www.tindie.com/products/gpio/1268-mhz-bandpass-rf-filter-beidou-b3-band/|https://www.tindie.com/stores/gpio/","2026-07-25"
"fed54e0c67392bdd","049 Micro Oled Display Birdbath Optics Module","https://www.tindie.com/products/oled-module/049-micro-oled-display-birdbath-optics-module/","已逐页阅读","AR眼镜微OLED与鸟浴光学成套组件","硅基OLED微显示与近眼光学供应产品族","销售多尺寸微OLED、驱动板、鸟浴和Pancake光学套件，通过高客单样品、小批量供货和选型支持服务AR/VR原型客户","作为同一微显示供应产品族的高集成规格证据保留，不重复计算为独立机会；进入需掌握稳定面板授权、光学设计、校准检测和客户支持","0.49英寸1920×1080微OLED搭配BirdBath鸟浴光学组件，可选HDMI或Type-C双目驱动板","AR眼镜、电子取景器、头戴显示和科研原型团队","快速获得微显示、驱动和近眼光学组合，避免从零完成光机电选型与装调","558.00","商品标价558美元；卖家店铺约24单并列出52款微OLED、驱动板和光学组件，0.49英寸裸屏约109美元、其他鸟浴光学套件约574至579美元","中高；专业集成门槛高于普通OLED，但多家显示供应商销售相似面板、驱动和BirdBath套件，同店SKU高度重叠","强依赖上游硅基OLED面板、专用驱动板和鸟浴光学件，核心制造技术并未开放","高；需要光轴对准、FOV/出瞳、亮度色彩、坏点、双目一致性、防尘和结构固定测试","高；客户会关注接口、延迟、FOV、眼盒、畸变、散热、寿命和批次停产，技术支持负担显著","中高；最终近眼产品涉及光学安全、EMC、材料和长时间佩戴风险","未见开放硬件或光学设计许可，属于商业组件销售","无合格英雄图；必须补充0.49英寸微OLED、对应驱动板和BirdBath光学组件的同套实拍，不能借用其他尺寸面板或通用AR眼镜图片","市场参考案例","高客单、用途专业且接近光机电组件方案，但壁垒属于上游渠道、光学装调和应用支持；与前批微显示属于同一产品族，不应新增为独立商业机会","https://www.tindie.com/products/oled-module/049-micro-oled-display-birdbath-optics-module/|https://www.tindie.com/stores/oled-module/items/|https://www.tindie.com/stores/microdisplays/items/","2026-07-25"
"eae76e232336c7ab","091 Inch Oled Display Breakout 091 Display","https://www.tindie.com/products/sbc/091-inch-oled-display-breakout-091-display/","已逐页阅读","通用SSD1306 OLED breakout板","小尺寸OLED显示与开发板模块红海","采购标准SSD1306 OLED模组后加简单引脚板并面向Arduino、树莓派和原型用户销售，主要依赖渠道与现货","直接淘汰；该类别只有围绕完整终端、专用外壳、软件和垂直应用形成成品才可重评","0.91英寸128×32白色SSD1306 I2C OLED显示breakout，支持3.3V/5V","Arduino、树莓派和嵌入式原型开发者","以简单I2C接口快速给项目增加小型文本或状态显示","8.49","商品标价8.49美元、仅余8件；卖家约212单、2条评价，并销售大量Raspberry Pi、Pico和Arduino HAT/开发板；SSD1306 0.91英寸模块在全球渠道极其常见","极高；同规格模块从几美元到十几美元大量供应，驱动和示例完全成熟","核心依赖标准SSD1306面板和通用I2C模块，没有独特软件、结构或系统价值","低；采购标准模组、焊接排针和抽检","低至中；坏点、颜色描述、I2C地址、排针焊接和尺寸差异可能产生退换","低；低压模块风险有限，最终设备承担EMC与材料合规","页面未提供原创设计或可商业复用开放许可","英雄图错配：自动图片文件名指向2.26英寸字符OLED模块，不是0.91英寸128×32 SSD1306板；必须更换为准确型号实拍","淘汰","典型通用模块红海，客单低且技术、供应和软件完全成熟；卖家的订单属于整个开发板目录，不能证明该模块存在新的商业空白","https://www.tindie.com/products/sbc/091-inch-oled-display-breakout-091-display/|https://www.tindie.com/stores/sbc/","2026-07-25"
