project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"30372a642d97cf6a","OpenAmigaJoyMouseSwitcher","https://github.com/SukkoPera/OpenAmigaJoyMouseSwitcher","已逐页阅读（精确 GitHub README 缓存）","独立小型适配器/复古维修配件","Amiga 输入外设适配","开源硬件设计、PCB 小批量制造或成品配件销售","保留为市场参考，不主张市场空白","Amiga 双 DE-9 输入口适配器；按鼠标或摇杆按键切换端口，并有跳线、3D 打印外壳和装配说明。","Amiga 复古电脑玩家、维修者与外设改装者","避免在后置端口反复插拔鼠标和摇杆，以及盲插造成短路损坏 CIA 芯片的风险。","","README 给出多款 A500/A600/A1200 实测兼容性、约 10mA 功耗、外壳和 PCBWay 制造链接；未给单品售价、订单或库存。","复古 Amiga 小众配件；缓存未给直接竞品价格或需求数据，不能据此判断空白。","依赖 Amiga 主机、鼠标/摇杆、DE-9 接头和用户自行装配或 PCB 制造。","低复杂度 PCB，但兼容不同主板修订、接头机械配合和元件焊接需测试。","用户接线、跳线设定与兼容性排障；README 明示 CD32 不可用且可能损坏设备。","低压外设；错误使用可损坏复古主机，README 无销售级认证资料。","CERN OHL v1.2；README 说明设计文档可修改/再分发，但附不担保条款。","README 的 render-top.png 是该适配器 PCB 渲染，能对应项目本体；不是经核验的零售商品主图。","市场参考案例","精确 README 证明它是能解决明确复古主机端口切换痛点的完整适配器，并给出兼容、装配和许可证资料；但没有单品价格、订单、竞品或可规模交付证据，且市场为小众既有生态，只保留为市场参考。","https://github.com/SukkoPera/OpenAmigaJoyMouseSwitcher|https://raw.githubusercontent.com/SukkoPera/OpenAmigaJoyMouseSwitcher/HEAD/README.md","2026-07-26"
"013435140ef13622","turtlpass-firmware-arduino","https://github.com/TurtlPass/turtlpass-firmware-arduino","已逐页阅读（精确 GitHub README 缓存）","固件/跨板卡软件项目","密码管理与 RP2040/RP2350 固件","GPL 固件、配套 CLI/浏览器扩展/Android 软件","不进入；本条没有可销售硬件本体证据","支持 130 多款 RP2040/RP2350 板卡的离线密码生成与 USB HID 自动输入固件。","已有兼容 RP2040 板卡的开发者/密码管理用户；未见本项目自有硬件商品付款方。","离线生成并输入确定性密码；README 的安全宣称未替代产品安全审计或硬件交付。","","README 给出 130+ 受支持板、UF2 发布、CLI/Chrome/Android 配套和 PID；未给自有设备、售价、订单、库存或制造资料。","密码工具和通用 RP2040 实现的市场拥挤度未在精确缓存中核验。","明确依赖各厂 RP2040/RP2350 开发板、Arduino-Pico、PlatformIO、加密库及主机扩展。","没有本条可制造的专属硬件；不同板型兼容和固件维护成为主要交付负担。","凭据恢复、固件更新、跨平台 HID 与安全事故支持风险高。","密码和 USB HID 场景存在安全责任；README 未给独立审计、威胁模型或合规证明。","GPL-3.0 仅覆盖此固件；README 未给配套硬件设计的商业复用许可。","README 展示的是 TurtlePass 标志和架构图，没有可核验的专属硬件产品英雄图。","淘汰","精确 README 写明这是适配 130 多种现成 RP2040/RP2350 板卡的固件及软件生态，而非自有硬件产品；没有专属 BOM、成品价格、销量或制造交付证据，且安全支持边界未闭合，按固件/第三方开发板方案淘汰。","https://github.com/TurtlPass/turtlpass-firmware-arduino|https://raw.githubusercontent.com/TurtlPass/turtlpass-firmware-arduino/HEAD/README.md","2026-07-26"
"cc499467d7f0113b","16KeyKeyboardPico","https://github.com/hackclub/OnBoard","已逐页阅读（精确 Hack Club OnBoard README 缓存）","树莓派 Pico 拼装宏键盘/个人项目","通用宏键盘","个人 PCB 制作，不构成已验证的产品销售模式","不进入；产品形态硬门槛不通过","使用 Raspberry Pi Pico 与 KMK 软件的 16 键个人宏键盘计划。","个人电脑使用者；未见独立硬件客户或采购主体。","快捷键输入；README 未说明不购买造成的专业损失。","76.32（README 写明含运费的制作成本，不是销售价）","精确正文只有个人项目简介和制作成本；无实物、订单、售价、用户或量产资料。","通用 Pico 宏键盘；精确缓存没有证明可进入的差异化或市场空白。","依赖 Raspberry Pi Pico 与 KMK。","无 BOM、测试、装配、外壳或量产记录。","个人固件配置、键位和 USB 兼容支持。","普通 USB 输入设备；README 未给任何认证或责任资料。","精确 README 未载明硬件或设计商业许可。","README 没有项目实物英雄图。","淘汰","精确正文仅称其为用 Pico 和 KMK 制作的 16 键宏键盘，并列出个人制作成本；没有独立产品、客户、销售或交付资料，属于成熟通用宏键盘拼装项目，淘汰。","https://github.com/hackclub/OnBoard","2026-07-26"
"7be747976c637174","Amir Z's Macros Keyboard","https://github.com/hackclub/OnBoard","已逐页阅读（精确 Hack Club OnBoard README 缓存）","教程衍生的通用宏键盘/个人项目","通用宏键盘","个人 PCB 制作","不进入；产品形态硬门槛不通过","9 键、可分配浏览器或应用命令的宏键盘。","个人电脑使用者；未见硬件付款方。","执行桌面快捷操作；只是泛用效率需求。","81.95（README 写为 JLCPCB 制作价，不是零售价）","README 链接现成 Pico macropad 教程并只给制作报价；无实物、订单、库存或客户资料。","通用宏键盘，精确缓存没有可验证的非红海差异。","教程来源和未说明的通用微控制器/USB HID 依赖。","无 BOM、测试、外壳和稳定制造资料。","固件映射、键位与 USB 兼容支持。","普通 USB 输入设备；无认证资料。","精确 README 未载明硬件设计许可。","README 无项目实物英雄图。","淘汰","精确 README 明示参考 Pico macropad 教程，内容只是 9 键快捷操作和 JLCPCB 制作价；没有产品完成度、客户或销售证据，按教程衍生的通用宏键盘淘汰。","https://github.com/hackclub/OnBoard","2026-07-26"
"44db27356bd5c73f","Brayden's RP2040 Motor Controller","https://github.com/hackclub/OnBoard","已逐页阅读（精确 Hack Club OnBoard README 缓存）","树莓派 HAT/机器人子板","机器人运动控制模块","个人机器人项目的 PCB/元件采购","不进入；通用 HAT 硬门槛不通过","供 Raspberry Pi 机器人使用、由 RP2040 控制四台电机并读取磁编码器的 HAT。","自建全向轮机器人的制作者；未见独立设备采购者。","为自建机器人提供电机与编码器接口，不是独立任务闭环。","约 53.10（PCB 3.10 加其余部件约 50，为制作成本）","README 只说明用途和个人元件成本；无实物、性能、销量、售价或量产资料。","机器人电机 HAT；精确缓存没有可证明的专业低供给或市场空白。","明确依赖 Raspberry Pi、RP2040、四电机和外接磁编码器。","电机功率、散热、保护和编码器兼容性均未给验证。","机器人整机接线、固件和故障排查负担高。","电机驱动风险存在；README 未给电流、电压、保护或认证资料。","精确 README 未载明硬件商业许可。","README 没有项目实物英雄图。","淘汰","精确正文明确把它定义为 Raspberry Pi 机器人用的四电机 HAT，且只有个人 PCB/零件成本；依赖现成主板和外部执行器，未证明独立产品、性能或交付能力，按通用子板淘汰。","https://github.com/hackclub/OnBoard","2026-07-26"
"78bb04e8815cc0eb","HybridController","https://github.com/hackclub/OnBoard","已逐页阅读（精确 Hack Club OnBoard README 缓存）","高风险个人车辆控制 PCB 原型","混动卡丁车控制","个人项目制作","不进入；未完成高风险原型","连接燃油和电机控制、显示速度/电池/模式的混动卡丁车控制 PCB。","作者自建卡丁车；没有可确认的产品客户。","整合个人混动卡丁车控制信息；README 自称为学习 KiCad 的项目。","63.79（README 写为板子制作成本，不是销售价）","精确正文没有实测、保护策略、实物、客户、售价、订单或交付记录。","车辆控制是高责任品类；精确缓存未提供直接竞品或市场空白证据。","依赖燃油系统、电机、电池、显示和整车集成。","动力系统故障、EMC、散热、失效保护与测试资料均缺失。","车辆安全故障、标定和现场支持风险极高。","涉及车辆动力控制；README 无功能安全、认证或责任边界。","精确 README 未载明硬件商业许可。","README 无项目实物英雄图。","淘汰","精确 README 把它描述为作者学习 KiCad 时为自建混动卡丁车制作的控制 PCB；没有安全设计、测试、成品、客户或交付证据，且车辆动力控制责任很高，不能作为商业候选。","https://github.com/hackclub/OnBoard","2026-07-26"
"77b42b0d9fee379b","Rajdeep's WS2812B Led Controller","https://github.com/hackclub/OnBoard","已逐页阅读（精确 Hack Club OnBoard README 缓存）","个人桌面 RGB 灯带控制板","消费级 RGB 灯带控制","个人学习和 PCB 代工","不进入；个人学习型通用控制器","通过红外控制桌下 WS2812B 地址灯带的 PCB。","个人桌面灯带使用者；未见付费客户。","控制桌面氛围灯；不是明确高价值损失。","60.54（五块 PCBA 最低起订及运费的制作成本）","README 明说是第一次用 EasyEDA、在面包板试过；没有产品售价、订单、实物销售或用户证据。","RGB 灯带控制器属于成熟消费电子品类；精确缓存没有差异化证据。","依赖 WS2812B 灯带、红外遥控和 JLCPCB PCBA。","仅个人试验，未见热、电源、EMC 或批量一致性资料。","红外协议、灯带兼容和电源问题会形成支持负担。","低压照明控制仍需电源/EMC 处理；README 未给资料。","精确 README 未载明硬件商业许可。","README 无项目本体英雄图。","淘汰","精确正文称其为作者第一次 PCB 学习中为桌下 RGB 灯带制作的红外控制板，只有五片 PCBA 制作成本和面包板试验；没有独立客户、产品化或差异化证据，按成熟通用控制器淘汰。","https://github.com/hackclub/OnBoard","2026-07-26"
"79a23e7240f951c1","Swaraj Macropad","https://github.com/hackclub/OnBoard","已逐页阅读（精确 Hack Club OnBoard README 缓存）","树莓派 Pico 拼装宏键盘/未验证个人项目","通用宏键盘","个人 PCB 制作","不进入；产品形态硬门槛不通过","3×3 开关、OLED 和旋钮的 Pico 宏键盘。","作者个人；未见购买者。","桌面快捷键输入；README 说做板原因是好奇。","2（仅裸 PCB，明确不含 OLED、旋钮、二极管和 Pico）","精确正文承认尚不确定能否工作；无完整成本、实物、销售或市场证据。","通用 Pico 宏键盘；无差异化或竞争空白资料。","明确依赖 Raspberry Pi Pico、OLED、旋钮、二极管和机械键。","作者未验证功能，且关键元件未计入成本。","组装、固件、键位与 USB 兼容支持。","普通 USB 输入设备；无认证资料。","精确 README 未载明硬件商业许可。","README 无项目实物英雄图。","淘汰","精确 README 明示这是因好奇制作的 Pico 宏键盘，未计入关键元件成本且作者说仍不确定能否工作；不能把未验证的通用拼装项目当商业机会。","https://github.com/hackclub/OnBoard","2026-07-26"
"59bc4b8600c4bbf8","pwm_lib","https://github.com/antodom/pwm_lib","已逐页阅读（精确 GitHub README 缓存）","非硬件 C++/Arduino 库","嵌入式 PWM 软件库","GPL 软件分发","不进入；非硬件硬门槛不通过","为 Arduino Due ATSAM3X8E 的八路硬件 PWM 和舵机抽象提供的 C++ 库。","Arduino Due 开发者；没有硬件购买者。","解决 PWM 周期和舵机控制的软件 API 限制，不对应独立硬件购买损失。","","README 给出示例、安装和一个自主帆船软件使用者；未见任何硬件商品、库存或量产资料。","同类嵌入式库供给情况未在缓存中核验；本条本身不是硬件产品。","依赖 Arduino Due、ATSAM3X8E、Arduino IDE/CMake 和 tc_lib。","不适用：没有可制造硬件。","软件兼容、工具链和 API 维护支持。","软件许可证和依赖责任。","GPL；没有硬件设计许可。","无合格硬件英雄图。","淘汰","精确 README 将 pwm_lib 明确定义为 Arduino Due 的 C++ PWM/舵机抽象库；即便列出一个帆船软件使用案例，也没有可销售硬件本体，按非硬件软件淘汰。","https://github.com/antodom/pwm_lib|https://raw.githubusercontent.com/antodom/pwm_lib/HEAD/README.md","2026-07-26"
"8c4d9e4c02921d75","TeleBall","https://github.com/sy2002/TeleBall","已逐页阅读（精确 GitHub API raw README 缓存）","DIY 复古掌机构建项目","复古游戏/创客娱乐","开放 CAD、PCB、BOM 与固件供自制","不进入；DIY 娱乐项目硬门槛不通过","使用 Arduino Nano、自制 PCB、3D 打印外壳和 8×8 LED 阵列的双人无线复古掌机。","复古电子爱好者；README 直说不能购买、必须自己制作。","休闲游戏和创客体验，不是明确的高价值付费痛点。","","README 提供 CAD、PCB、BOM、固件和项目页，但明确写“cannot buy”；无售价、订单、库存或量产证据。","复古掌机/DIY 游戏项目；缓存没有证明未被成熟供给覆盖。","依赖 Arduino Nano、在线 PCB 厂、3D 打印和 Arduino 库。","自制 PCB、外壳、无线联机和用户装配的一致性未验证。","DIY 构建、刷机、无线配对和维修支持会转移给用户。","无线与玩具安全边界未说明。","README 仅称 Open Source/Open Hardware，未给明确许可证版本。","README 的手持设备照片和对战照片展示项目本体，但不是零售主图。","淘汰","精确 README 明确说明 TeleBall 不能购买、需要自行制作，并把内容定位为复古 BreakOut/Tennis for Two 掌机；虽有完整 CAD/PCB/BOM/固件，但属于 DIY 娱乐构建项目，不是可验证的硬件商业机会。","https://github.com/sy2002/TeleBall|https://raw.githubusercontent.com/sy2002/TeleBall/HEAD/README.md","2026-07-26"
