project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"a278ae29374b2052","Pocket-Rainbow-MIDI-Controller","https://github.com/coronelguillermo85-art/Pocket-Rainbow-MIDI-Controller","已逐页阅读（精确缓存 GitHub README）","DIY控制器/拼装","MIDI控制器与电子乐器","开源DIY资料","不进入；通用DIY控制器","ESP32-S3、16按键和排线装在洞洞板上的便携 MIDI 控制器","电子乐手和自制乐器爱好者","需要低延迟触发虚拟乐器、采样器或 MIDI CC","", "README 给出 ESP32-S3、16 键、USB-MIDI 与 BLE-MIDI；未给价格、订单或销售","高；通用 MIDI pad/控制器已有大量成品和DIY方案","ESP32-S3 模组、洞洞板、排线和现成软件栈","手工布线与洞洞板装配不适合稳定复制","按键、蓝牙、固件和兼容性支持","低压设备仍需无线、USB与电池安全核验","README 标称 MIT；未单列硬件文件许可","缓存仅有图片链接，未取得可判读的成品英雄图","淘汰","README 明确是基于 ESP32-S3、洞洞板和排线的 16 键自制 MIDI 控制器；没有售价、订单、量产或差异化证据，且属拥挤的通用控制器品类。","https://github.com/coronelguillermo85-art/Pocket-Rainbow-MIDI-Controller|https://raw.githubusercontent.com/coronelguillermo85-art/Pocket-Rainbow-MIDI-Controller/HEAD/README.md","2026-07-26"
"34dd8168eea5d053","poseidon","https://github.com/pachterlab/poseidon","已逐页阅读（精确缓存 GitHub README/API）","实验室生物仪器DIY系统","微流控、注射泵与显微镜","开源仪器资料、研究机构自建","保留观察；需独立市场复核","含注射泵、显微镜、CAD、BOM、Arduino固件和 GUI 的开放生物仪器系统","微流控实验室、研究人员和教学实验室","以低成本完成泵送与显微观察，替代商用实验室系统","自建成本低于400美元（README；非商品零售价）","README 称其为商业系统的开源替代品，含论文、BOM和平台可执行程序；无订单/交付价格","中高；已有商用实验室设备及开源泵设计","Arduino CNC Shield、步进驱动、树莓派或电脑、3D打印件和通用器件","3D打印、运动机构、液路与校准需要测试治具","液体泄漏、堵塞、校准、软件安装和实验复现支持重","湿实验、溶剂、压力和实验室安全责任高；README 提醒干实验验证","README 要求先审阅许可，但缓存正文未给出明确硬件许可版本","README 含系统照片链接，但本缓存未提供可核验图片正文","观察名单","README 证明它是有泵、显微镜、BOM、CAD和 GUI 的完整研究仪器路线，并给出低于400美元的自建成本；但核心仍依赖通用 Arduino/CNC Shield 与3D打印，且压力、液路和湿实验风险很高，缺少可交付售价、校准和竞争证据。","https://github.com/pachterlab/poseidon|https://api.github.com/repos/pachterlab/poseidon/readme","2026-07-26"
"446f78662abe4298","Real-time-Embedded-Data-logger-using-ESP32","https://github.com/AbhishekChandanse/Real-time-Embedded-Data-logger-using-ESP32","已逐页阅读（精确缓存 GitHub README）","DIY数据记录器/课程项目","嵌入式数据采集","开源示例资料","不进入；第三方板卡拼装","ESP32、传感器、RTC和SD卡组成的环境数据记录方案","嵌入式学习者","记录环境数据并加RTC时间戳","", "README 定义为 ESP32 环境传感器到 SD 卡的数据记录系统；无售价、订单或量产资料","高；通用 ESP32 数据记录项目供给充足","ESP32、RTC、SD卡和现成传感器","未见固定BOM、结构、测试或量产资料","接线、存储、传感器漂移和固件支持","低压；数据完整性和存储失效仍需负责","缓存未见明确硬件许可","无合格硬件英雄图","淘汰","精确 README 是 ESP32 加现成传感器、RTC 与 SD 卡的数据记录方案，不是独立可交付产品；没有客户、价格或制造证据。","https://github.com/AbhishekChandanse/Real-time-Embedded-Data-logger-using-ESP32|https://raw.githubusercontent.com/AbhishekChandanse/Real-time-Embedded-Data-logger-using-ESP32/HEAD/README.md","2026-07-26"
"afd31523503977f0","Qute Lite Browser","https://gitlab.com/nesstero/qutelite","已逐页阅读（精确缓存 GitLab README）","非硬件软件","浏览器与开发工具","软件许可/维护","淘汰为硬件机会","Rust 编写的键盘驱动网页浏览器","Linux 桌面软件用户","提供极简键盘导航浏览体验","", "README 仅列 Rust、WebKitGTK、GStreamer 等软件依赖和安装命令","高；浏览器软件供给充分","依赖 Linux、WebKitGTK、GStreamer 与软件包","不适用：无硬件制造","软件兼容与安全更新支持","软件与第三方内容风险，不构成硬件合规","缓存未见硬件许可","README 图为浏览器截图","淘汰","精确 README 说明 QuteLite 是依赖 Rust 与 WebKitGTK 的浏览器软件，没有可销售硬件本体或硬件付款方。","https://gitlab.com/nesstero/qutelite","2026-07-26"
"0e2bae50548ed35d","DSH-AEGIS","https://github.com/TwinSailsStudios/DSH-AEGIS","已逐页阅读（精确缓存 GitHub README）","未验证安全硬件原型","物理密码管理器","开源原型资料","不进入；未实物验证的安全产品","ESP32-S3、OLED、按键和microSD组成的 USB 键盘式密码管理器","隐私敏感的个人用户","离线保存并通过 USB 键盘填充密码","", "README 明说“designed, not built”，仅KiCad验证；无售价、订单或实物测试","高；密码管理器与硬件密钥竞争强","ESP32-S3、microSD模块、Arduino核心与现成屏幕","尚未打样；README 已指出特定PSRAM脚位冲突","安全缺陷、丢失设备、兼容性与恢复流程支持重","密码、USB HID 与加密实现风险高","MIT；但不能代替密码安全审计和硬件复用边界","缓存含附件链接，但README确认尚未实物建成","淘汰","README 明确承认 PCB 从未下单、设备从未实物建成，并列出4位PIN、无锁定和需串口录入等安全缺口；不能把未验证的密码安全原型当成商业硬件机会。","https://github.com/TwinSailsStudios/DSH-AEGIS|https://raw.githubusercontent.com/TwinSailsStudios/DSH-AEGIS/HEAD/README.md","2026-07-26"
"b1ee29c65b968646","EnvironmentalDataLogger","https://github.com/dukov777/EnvironmentalDataLogger","已逐页阅读（精确缓存 GitHub README）","第三方开发板拼装/工程作业","环境数据采集","开源学习资料","不进入；第三方板卡拼装","DHT11、Nucleo F103、ESP32 DevKit 与 ThingSpeak 的分体数据记录器","嵌入式学习者","学习STM32到ESP32传输和云端上报","", "README 只报告一次DHT11链路测试，并主动列出无防御编程和HAL错误处理","高；通用环境采集项目密集","Nucleo、ESP32 DevKit、DHT11、ThingSpeak云服务","无产品级BOM、外壳、测试和交付资料","云账号、接线、传感器误差和代码维护","低压；云凭据与数据可靠性风险","缓存未见明确硬件许可","无合格硬件英雄图","淘汰","精确 README 指向 Nucleo F103、ESP32 DevKit、DHT11 和 ThingSpeak 的学习型拼装，且作者说明缺少防御式编程与错误处理；不具备独立产品完成度。","https://github.com/dukov777/EnvironmentalDataLogger|https://raw.githubusercontent.com/dukov777/EnvironmentalDataLogger/HEAD/README.md","2026-07-26"
"dd61b9799fc7fc99","KevinbotV3-KiCAD","https://github.com/meowmeowahr/KevinbotV3-KiCAD","已逐页阅读（精确缓存 GitHub README）","专用机器人控制板","教育机器人与控制板","开源板卡资料","不进入；专用子板无市场证据","Kevinbot Core 的 KiCad 控制板源文件","Kevinbot自制机器人用户","为特定机器人提供核心控制板","", "README 仅给板卡、PCB赞助和许可；无成品、价格、用户或交付证据","中高；机器人控制板市场与开源项目拥挤","依赖Kevinbot产品族、控制器和外部部件","仅PCB资料，未见BOM、测试或装配交付","机器人集成、固件和兼容性支持","低压板卡仍有机器人运动安全责任","硬件 CERN-OHL-S-2.0；文档 CC-BY-SA-4.0，第三方模型另有许可","README 图为板卡和渲染，不证明独立成品","淘汰","精确 README 只把它定义为 Kevinbot Core 控制板 KiCad 源码；它是依附机器人产品族的子板，缺少完整设备、售价和付款证据。","https://github.com/meowmeowahr/KevinbotV3-KiCAD|https://raw.githubusercontent.com/meowmeowahr/KevinbotV3-KiCAD/HEAD/README.md","2026-07-26"
"d4f17cefad44deb1","Line_Following_Robot","https://github.com/verma-suraj/Line_Following_Robot","已逐页阅读（精确缓存 GitHub README）","教程/拼装机器人","教育机器人","开源课程资料","淘汰为教程拼装","ESP32、TB6612、降压模块、电池、N20电机和TCRT5000拼装的循迹车","学生和创客","学习循迹、传感器校准和机器人控制","", "README 列出元件、接线、视频、代码和校准测试；无商品页或订单","高；循迹车教程极多","全部为现成开发板、传感器、电机和电池","接线与手工装配，未见产品化测试","调参、传感器误差和电池维护","锂电池、运动机构与儿童使用风险","缓存未见明确许可","缓存仅列参考图片/视频","淘汰","精确 README 是由 ESP32、TB6612、N20 电机和红外阵列组成的循迹车教学项目，核心价值是接线与代码示例，不是独立产品。","https://github.com/verma-suraj/Line_Following_Robot|https://raw.githubusercontent.com/verma-suraj/Line_Following_Robot/HEAD/README.md","2026-07-26"
"1f08ee02b7c15fec","Mech-50","https://github.com/andywarburton/Mech-50","已逐页阅读（精确缓存 GitHub README）","未测试键盘PCB","机械键盘","开源PCB资料","不进入；未测试通用键盘PCB","50%正交机械键盘 PCB","自制键盘爱好者","提供额外按键布局","", "README 明确警告不要下单，RGB接线错误、缺钢板且固件未完成","高；机械键盘PCB市场红海","需外接控制器、开关、键帽和QMK/KMK固件","尚未测试且设计问题未修复","键盘装配、固件与返修支持","低压USB设备风险低","缓存未见明确硬件许可","无合格硬件英雄图","淘汰","README 直接警告不要订购，列出 RGB 接线错误、兼容性差、缺钢板和未完成固件；未测试键盘 PCB 不能进入商业复核。","https://github.com/andywarburton/Mech-50|https://raw.githubusercontent.com/andywarburton/Mech-50/HEAD/README.md","2026-07-26"
"e10f615c08a69fbc","Modubot","https://github.com/AmbroiseTau/Modubot","已逐页阅读（精确缓存 GitHub README）","模块化教育机器人PoC","模块化机器人","开源学习/实验平台","不进入；学习型原型","以STM32立方模块构成的遥控两轮机器人平台","机器人学习者","学习协议、电路、PCB与固件","", "README 将目标定义为实践学习，当前仅Stage 2两轮PoC并有转向调参问题","高；模块机器人平台竞争拥挤","STM32、NRF24L01、连续舵机、3D打印结构和通用紧固件","模块与结构均处试验阶段，未见量产BOM和测试","电机调参、模块兼容和用户装配支持","电池、运动与反电动势风险；README承认1-2A限制","缓存未见许可","README 含PoC照片和PCB渲染，但不是可销售定型产品","淘汰","精确 README 把 Modubot 定位为学习平台，现阶段只是有直线行驶问题的两轮 PoC，后续电机控制、无人机等仍在路线图中；不应按完整机器人产品计入机会。","https://github.com/AmbroiseTau/Modubot|https://raw.githubusercontent.com/AmbroiseTau/Modubot/HEAD/README.md","2026-07-26"
