project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"f3def67421beee85","100 Mil 6Pin 2X3 Idc Flat Cable For Eg Atmel Ice","https://www.tindie.com/products/0x1B/100-mil-6pin-2x3-idc-flat-cable-for-eg-atmel-ice","已逐页阅读（精确商品页、卖家目录和同类线材比较）","编程调试器专用IDC排线","JTAG、SWD、ATMEL-ICE调试线缆和转接器产品族","价值来自覆盖多针距接口、兼容清单和配套转接器目录，不来自单根排线","仅作为工程调试附件产品族参考，不独立计商业机会","100mil针距、6针2×3母头IDC扁平线，用于ATMEL-ICE等程序器和调试器","嵌入式工程师、维修人员和开发板用户","调试器与目标板需要特定针距、针数和方向的连接线","4.50","商品售价4.50美元；卖家约64单、1条评价，并销售多种50mil/100mil调试线、JTAG转SWD和ATMEL-ICE适配器；同类6针线另有1.50美元供给","高；标准IDC线材供给充分，差异主要在兼容说明和小批量备货","完全依赖标准IDC连接器、排线和目标调试器针脚定义","低；需控制压接方向、第一脚、针距、长度和导通","中；针距、针数、方向和调试器型号误购","低；低压无源线材","标准线材，无可形成壁垒的开放设计资产","自动图URL来自精确商品SKU，但文件名通用；未视觉核对2×3针数和第一脚方向，不升级为人工完全核验","市场参考案例","单根线材低客单、低壁垒；只有形成多规格调试附件目录和清晰兼容文档才有小规模目录价值","https://www.tindie.com/products/0x1B/100-mil-6pin-2x3-idc-flat-cable-for-eg-atmel-ice|https://www.tindie.com/stores/0x1B/|https://www.tindie.com/products/embeddedprojects/100-mil-6pin-2x3-idc-flat-cable/","2026-07-25"
"22268630434492a4","1000 Mhz Or 1 Ghz Rf Low Pass Filter","https://www.tindie.com/products/gpio/1000-mhz-or-1-ghz-rf-low-pass-filter","已逐页阅读（精确商品页、卖家目录和同系列射频滤波器）","专业射频低通滤波器","GPIO Labs滤波器、LNA和偏置器射频产品族","价值来自频段覆盖、射频设计、测量验证、库存目录和技术信誉，而不是单个两端口小板","作为专业射频小批量产品族参考，不直接复制单一频点","截止频率约1GHz、标称10W功率处理和高带外抑制的射频低通滤波器","无线电实验室、SDR用户、射频原型和业余无线电用户","限制高频谐波和带外能量，保护接收链或满足发射频谱要求","30.00","售价30美元、页面显示仅余1件；卖家约1043单、22条评价，拥有约129款滤波器、LNA、振荡器和偏置器产品","中高；射频滤波器供给成熟，但小批量特定频段和现货目录仍有长尾价值","依赖射频基板、连接器、测试仪器和稳定供应的滤波器元件","中高；需逐件验证插损、回波损耗、截止曲线、功率和温漂","中；客户系统阻抗、功率、连接器和频段误用会导致效果不符","中；若用于发射链，频谱合规最终仍由整机负责","未见开放硬件文件或允许复制销售的许可","自动图URL与精确商品页和SKU关联；仍未视觉核对板号、外壳和1GHz版本","市场参考案例","市场和卖家能力真实，但机会在完整频段目录、测量能力和信誉，不在孤立复制这一个1GHz滤波器","https://www.tindie.com/products/gpio/1000-mhz-or-1-ghz-rf-low-pass-filter|https://www.tindie.com/stores/gpio/items/?page=2","2026-07-25"
"ef1bb87cd97be5fa","100V24S400V96S Tetra Bms Sub Board","https://www.tindie.com/products/tetra-aviation/100v24s400v96s-tetra-bms-sub-board","已逐页阅读（精确商品页、配套主板和卖家项目背景）","高压多串电池管理系统子板","24S至96S高压电池BMS主板与子板系统","价值来自高压采样、绝缘、故障安全、系统验证和航空级应用知识，不是普通电池保护小板","保留为高压BMS系统观察对象；未经完整安全资料不得复制或销售","用于100V/24S至400V/96S teTra电池管理系统的子板，需与860美元主板组成系统","eVTOL、高压电动车、电池实验平台和专业电池包开发团队","普通低串数BMS无法管理24S至96S高压电池包的分布式采样和安全控制","720.00","子板售价720美元且已售罄，配套主板售价860美元也售罄；卖家只展示两款BMS产品并称正在开发eVTOL，页面未显示订单、评价或第三方客户","中；高压BMS需求真实，但成熟汽车、储能和航空供应商壁垒极高","强依赖配套主板、采样线束、绝缘器件、接触器、电池包和整车安全架构","极高；需验证高压爬电间距、绝缘、采样精度、均衡、故障诊断和热设计","极高；线束、单体差异、软件配置、接触器和现场故障定位复杂","极高；高压电池、航空或车辆功能安全、EMC、火灾和责任风险","未见开放BOM、原理图、固件、测试标准或商业复用许可","自动图来自该商品页但文件名为通用DSC照片；无法区分主板/子板版本，未标记人工通过","观察名单","产品形态、客单和专业痛点成立，但缺少销售验证、技术资料、安全认证和可复制许可；风险远高于一般小团队能力","https://www.tindie.com/products/tetra-aviation/100v24s400v96s-tetra-bms-sub-board|https://www.tindie.com/products/tetra-aviation/100v24s400v96s-tetra-bms-main-board/|https://www.tindie.com/stores/tetra-aviation/","2026-07-25"
"76d1d55db581bfa7","103Micro Oled Pancake Lenses Ar Optical Module","https://www.tindie.com/products/oled-modules/103micro-oled-pancake-lenses-ar-optical-module","已逐页阅读（精确商品页和卖家完整微显示目录）","微OLED加Pancake近眼光学组件","微型显示、驱动板和AR/VR近眼光学供应产品族","价值来自上游面板渠道、亮度/坏点检测、驱动板适配、光学装调和规格目录","合并为微显示供应产品族证据，不按尺寸和光学组合虚增机会","1.03英寸2560×2560微OLED、Pancake光学和可选HDMI/Type-C驱动板的VR/AR模组","AR/VR原型、电子取景器、夜视和近眼显示研发团队","快速获得高分辨率微显示、驱动和光学组合，减少上游采购和初期装调","479.00","售价479美元；卖家约71至72单，目录约66款裸屏、驱动板、BirdBath、Pancake和光学件","中高；多家中国和香港供应商提供大量相近规格，规格页面高度重复","核心依赖上游微OLED面板、专用驱动IC和光学供应链","高；需做坏点、亮度、均匀性、MIPI/HDMI兼容、焦距和光轴检测","高；版本、驱动板、光学焦距、接口和坏点争议复杂","中；作为组件较低，但用于夜视、瞄具或可穿戴时责任和出口边界上升","标准供应组件，未见开放设计或商业复用资产","原记录无合格英雄图；不得用同店其他尺寸裸屏或BirdBath图片替代","市场参考案例","高客单专业供应市场成立，但这是既有微显示供应产品族的规格组合，不是新的独立开源商业机会","https://www.tindie.com/products/oled-modules/103micro-oled-pancake-lenses-ar-optical-module|https://www.tindie.com/stores/oled-modules/items/","2026-07-25"
"bd8e2fc7bb0494b8","10Pcspack Sw868 Th06 Copper Spring Antenna","https://www.tindie.com/products/nicerf/10pcspack-sw868-th06-copper-spring-antenna","已逐页阅读（精确商品页和同系列天线）","通用868MHz弹簧天线元件包","NiceRF低价弹簧、棒状和LoRa射频天线目录","价值来自上游批量生产、频段目录和国际分销，不来自单个天线设计","淘汰单品；仅作为成熟射频元件供应证据","10只装868±10MHz、50Ω、标称2.15dBi、VSWR≤2的铜弹簧天线","LoRa、遥控器、传感节点和低功耗无线设备制造者","以低成本为868MHz设备提供板载天线","1.57","10只装售价仅1.57美元；同卖家有915MHz、433MHz和多种棒状天线及大量无线模块","极高；标准频段弹簧天线由大量供应商低价供给","完全依赖上游天线冲压/绕制和客户PCB地平面设计","低；但实际性能强依赖安装、地平面和整机外壳","中；客户常把整机失谐、距离不足归因于天线","中；天线会影响整机射频认证和发射性能","标准采购元件，无开放设计资产","原记录无合格英雄图；不得使用915MHz或TH13等相似弹簧天线图片代替","淘汰","低价通用元件，竞争充分且性能依赖客户整机，不存在小团队可进入的产品空白","https://www.tindie.com/products/nicerf/10pcspack-sw868-th06-copper-spring-antenna|https://www.tindie.com/products/nicerf/10pcs-gain-215-sw915-th06-copper-spring-antenna/|https://www.tindie.com/products/nicerf/10pcspack-sw868-th13-copper-spring-antenna/","2026-07-25"
"a9caeb208328450f","12 390X390 Round Full Color Amoled","https://www.tindie.com/products/DisplayModule/12-390x390-round-full-color-amoled","已逐页阅读（精确商品页和卖家圆形显示目录）","标准圆形AMOLED显示组件","DisplayModule圆形TFT、AMOLED和触控显示目录","价值来自显示面板采购、规格覆盖、文档和样品供应，不来自该单一屏幕","淘汰SKU；不把标准上游显示组件当开源硬件机会","1.2英寸390×390圆形全彩AMOLED，提供MIPI或SPI接口","智能手表、圆形仪表、可穿戴和原型开发者","快速获得小尺寸圆形高对比度彩色显示组件","29.99","售价29.99美元、库存10件；卖家仅约2单，但目录覆盖多种0.99至5英寸圆形TFT/AMOLED，价格约8.99至119.99美元","极高；圆形屏和控制板在中国供应链和各电商平台大量存在","完全依赖上游面板厂、FPC、驱动IC和接口资料","中；需核对FPC、接口、电压、初始化和良率","高；规格、接口、驱动、触控和批次变更容易产生支持问题","低；作为低压组件，但终端产品另行认证","上游标准组件，无开放设计资产","原记录无合格英雄图；不得以同店其他圆屏或圆形TFT图片代替","淘汰","标准上游显示组件，卖家销售验证弱，市场供给高度成熟，不具备独立商业空白","https://www.tindie.com/products/DisplayModule/12-390x390-round-full-color-amoled|https://www.tindie.com/stores/DisplayModule/","2026-07-25"
"2275c2e90197b522","12 Channel Analog Shield For D1 Mini","https://www.tindie.com/products/deshipu/12-channel-analog-shield-for-d1-mini","已逐页阅读（精确商品索引、卖家目录和同系列D1 Mini扩展板）","D1 Mini多通道模拟输入Shield","D1 Mini低价Shield和创客扩展板产品族","价值来自公开设计、创客目录和配套文档，不来自单块5美元扩展板","淘汰单一Shield；开源资料仅作设计参考","为D1 Mini/ESP8266扩展约12路模拟输入的5美元Shield","D1 Mini创客、教学和简单传感器原型用户","ESP8266原生模拟输入通道不足","5.00","售价5美元、卖家暂休；卖家约296单、19评，拥有伺服、按键、LED矩阵、IO扩展和模拟输入等多款D1 Mini Shield，并称设计公开可协助量产","极高；D1 Mini、ESP8266扩展板和I2C ADC方案成熟且价格很低","强依赖D1 Mini机械接口、ESP8266生态和外部模拟前端","低至中；需验证ADC型号、量程、参考、保护和通道串扰","中高；库、板卡版本、模拟量程和接线支持","低；低压开发板","页面称设计公开，但本次未确认具体仓库许可和商业复用条款","原记录无合格英雄图；不得用同店其他D1 Mini Shield图片替代","淘汰","典型成熟生态扩展板，低客单且可替代方案众多；公开设计也不等于存在可持续商业空白","https://www.tindie.com/products/deshipu/12-channel-analog-shield-for-d1-mini|https://www.tindie.com/stores/deshipu/|https://www.tindie.com/products/deshipu/16-pin-expander-shield-for-d1-mini/","2026-07-25"
"b48c2a044b0702c4","1227 Mhz Gps L2 1176 Mhz Gps L5 Bandpass Filter","https://www.tindie.com/products/gpio/1227-mhz-gps-l2-1176-mhz-gps-l5-bandpass-filter","已逐页阅读（精确商品页、卖家目录和GNSS同系列）","专业GNSS L2/L5带通滤波器","GPIO Labs GNSS、ADS-B、业余无线电滤波器和LNA产品族","价值来自专业频段覆盖、RF测量、现货小批量和技术信誉","作为专业射频目录参考，不独立计新机会","1170至1270MHz通带、覆盖GPS L2 1227MHz和L5 1176MHz的射频带通滤波器","GNSS接收机、实验室、SDR和抗干扰原型开发者","在多频GNSS前端抑制带外干扰并保留L2/L5信号","63.00","售价63美元、库存6件；卖家约1043单、22评，并有约129款GNSS滤波器、预滤LNA和偏置器","中高；专业RF前端已有成熟供应商，但特定频段小批量仍有长尾","依赖SMA接口、射频基板、滤波元件和客户接收链阻抗","高；需验证插损、群时延、回波损耗、带外抑制和批次一致性","中；客户天线、LNA、偏置和频段配置会影响结果","低至中；接收链组件本身较低，若组合发射系统则另行合规","未见开放硬件设计或商业复用许可","原记录无合格英雄图；不能使用同卖家L1、B3或其他频段滤波器图片替代","市场参考案例","产品与付费场景成立，但商业优势属于成熟卖家的完整RF目录和测试能力，不是该单频段板的新机会","https://www.tindie.com/products/gpio/1227-mhz-gps-l2-1176-mhz-gps-l5-bandpass-filter|https://www.tindie.com/stores/gpio/items/?page=2|https://www.tindie.com/products/gpio/1575-mhz-gps-l1-bandpass-filter-with-bias-tee/","2026-07-25"
"4812dce9f398dcb7","0 30V 2Ma 3A Adjustable Dc Regulated Power","https://www.tindie.com/products/mmm999/0-30v-2ma-3a-adjustable-dc-regulated-power","已逐页阅读（精确商品页、同款变体和卖家目录）","通用可调线性电源DIY套件","低价电子DIY套件和通用模块转售目录","价值来自采购、分装和国际邮寄，不来自原创电源设计","直接淘汰","0至30V、约2mA至3A可调稳压电源DIY套件，带短路限流保护","电子初学者、维修和实验台DIY用户","低成本搭建基础可调直流实验电源","15.00","售价15美元；同卖家同款Hiland套件还有12美元、11.01美元变体，目录包含大量通用模块和DIY套件","极高；该经典电源套件在全球平台长期大量销售","完全依赖现成套件PCB、变压器、散热器、外壳和表头","中高；线性功耗、散热、变压器选择和装配安全","高；初学者焊接、调试、烧管、限流和外壳接线问题","高；接入市电变压器和裸露装配存在触电、火灾和安规责任","疑似转售套件，未见原创设计和开放许可","原记录无合格英雄图；不得使用同卖家其他电源模块或套件图片替代","淘汰","成熟低价DIY套件、重复SKU和高安全售后负担，不具备原创差异或可持续利润","https://www.tindie.com/products/mmm999/0-30v-2ma-3a-adjustable-dc-regulated-power|https://www.tindie.com/products/mmm999/original-hiland-0-30v-2ma-3a-adjustable-dc/|https://www.tindie.com/products/mmm999/regulated-power-supply-module-diy-kit/","2026-07-25"
"085d5927288f28e5","036 Inch Max7219 8 Digit Digital Tube","https://www.tindie.com/products/icstation/036-inch-max7219-8-digit-digital-tube","已逐页阅读（精确商品页和卖家同类显示模块目录）","通用MAX7219数码管显示模块","ICStation低价显示、转换器和焊接套件转售目录","价值来自低价采购、目录和物流，不来自MAX7219模块设计","直接淘汰","MAX7219驱动的0.36英寸八位红色LED数码管模块","Arduino、仪表、计数器和教学原型用户","用少量主控引脚驱动八位七段显示","10.19","售价10.19美元；ICStation销售大量MAX7219点阵、LED套件、电源模块和创客套件，同类模块全球供给充分","极高；MAX7219八位数码管模块是长期成熟通用品","完全依赖MAX7219、数码管和外部主控","低；需核对芯片真伪、亮度均匀性和焊接","中；库、级联、供电和亮度设置问题","低；低压模块","通用转售模块，无原创开放设计资产","原记录无合格英雄图；不得用同店MAX7219点阵或其他数码管模块图片替代","淘汰","成熟通用低价模块，需求已被供应链充分覆盖，没有商业空白","https://www.tindie.com/products/icstation/036-inch-max7219-8-digit-digital-tube|https://www.tindie.com/stores/icstation/items/","2026-07-25"
