project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"5dc1821c87385c4b","ef28-badge","https://github.com/eurofurence/ef28-badge","已逐页阅读（仓库README、硬件文件、图片与竞品站点）","会议电子徽章","定制会议电子徽章产品族","为会议主办方提供定制硬件、固件、批量制造和现场支持","仅作为会议定制徽章模式参考，不复制活动专用单品","ESP32-S3、17颗WS2812B、触摸按键、SAO接口和3节AA供电的会议徽章","会议主办方、赞助商和参会者","用可编程互动硬件增强活动身份识别和社区互动","","仓库31 stars、13 forks、182 commits并提供完整KiCad和固件；Badge Pirates展示60多个会议徽章项目","中高；定制徽章已有专业团队，机会取决于活动渠道和交付能力","依赖ESP32-S3、WS2812B、活动品牌与批量PCB装配","中高；需处理电源、EMC、批量良率、外壳和活动前交期","高；活动现场故障、固件升级和批量一致性会产生集中售后","中；无线或儿童活动场景可能增加认证要求","仓库许可需逐文件核实，项目自称开源硬件与固件","原图为项目本体实物，和README硬件一致","市场参考案例","产品完整且资料较好，但本质是一次性活动定制业务，壁垒在客户渠道、设计服务和按期交付，不是可直接复制的零售SKU","https://github.com/eurofurence/ef28-badge|https://www.badgepirates.com/","2026-07-26"
"3ef22b6c2b139288","As Seen on Show and Tell Badge","https://certification.oshwa.org/ca000006.html","已逐页阅读（OSHWA认证页与对应GitHub仓库）","社区主题PCB徽章/FeatherWing","社区纪念徽章与创客小品","依靠特定社区IP、活动传播和小批量纪念品销售","直接淘汰为独立商业机会","以Adafruit Show and Tell图案为主题，带6颗NeoPixel、光传感器和IMU的FeatherWing徽章","Adafruit社区成员和活动参与者","获得可编程社区纪念品","","OSHWA认证且仓库提供设计文件，但GitHub仅2 stars，未发现订单、价格或机构采购证据","高；PCB徽章与FeatherWing创意小品供给很多","依赖Feather生态、NeoPixel和特定社区视觉IP","低至中；小批量PCB与焊接容易，但批量一致性仍需测试","中；功能简单但活动交期和灯效固件会带来支持","低","硬件Solderpad、软件MIT、文档CC0","仓库存在front/back实物图，旧表无英雄图","淘汰","属于特定社区IP驱动的创客徽章，没有可验证付费市场或差异化，且不宜把社区图案直接商业复制","https://certification.oshwa.org/ca000006.html|https://github.com/gamblor21/SnT-Badge","2026-07-26"
"457aa993cdfd33b5","Beeping Blinking Badge Buddy","https://certification.oshwa.org/us002688.html","已逐页阅读（OSHWA页与精确GitHub仓库）","NFC能量采集SAO小徽章","无电池NFC互动徽章产品族","以NFC能量采集、灯光和声音反馈形成活动或名片互动","并入B4产品族，不把尺寸变体重复计为机会","CH32V003、RGB LED和压电蜂鸣器组成的NFC能量采集SAO徽章","安全会议、创客活动和电子名片用户","无需电池即可通过NFC场产生视觉与声音反馈","","OSHWA认证、GitHub 4 stars，提供手工装配设计；未发现售价、订单或批量客户","高；NFC名片、NFC灯和SAO徽章已有大量方案","依赖NFC能量采集芯片、CH32V003和SAO生态","中高；微型器件、能量预算、线圈调谐和手工焊接影响良率","中；不同手机NFC场强差异会导致体验投诉","低至中","CC0","仓库有正反面实物图，旧表无英雄图","淘汰","技术有趣但只是B4系列的紧凑变体，缺少独立市场证据，不应作为新的商业机会重复计数","https://certification.oshwa.org/us002688.html|https://github.com/gsteiert/nfcwchsao","2026-07-26"
"2c58b80fb858b708","Beeping Blinking Business-card Badge","https://certification.oshwa.org/us002690.html","已逐页阅读（OSHWA页、Hackaday项目日志与同类市场）","无电池NFC互动名片","无电池NFC互动徽章产品族","把电子名片、NFC能量采集、灯光和声音反馈做成可赠送成品","作为产品族和技术路线参考，不直接复制","1mm柔性PCB NFC名片，利用手机NFC供电并输出LED和蜂鸣反馈","会议演讲者、安全研究者、创客和企业活动用户","让电子名片在无电池情况下提供可见可听互动","","项目公开三种版本和装配日志，说明柔性板、QFN与压电材料难点；未发现稳定销量或机构订单","中高；NFC名片和互动徽章已有商业供应，差异化需依赖设计、品牌或定制服务","依赖NFC能量采集、手机兼容性和柔性PCB供应","高；柔性板、线圈调谐、压电材料和薄型装配影响良率","高；手机兼容性、识别距离和折弯损伤会导致退换","低至中","CC0","Hackaday有工作实物图，旧表无英雄图","市场参考案例","比普通LED名片更完整，适合作为无电池互动产品路线参考；但没有可靠销量，制造和手机兼容风险较高","https://certification.oshwa.org/us002690.html|https://hackaday.io/project/177897-beeping-blinking-business-card-badge-b4|https://idk.bz/idk-nfc/","2026-07-26"
"b568e34b63b02297","DCZia 30-in-One Badge","https://certification.oshwa.org/us002134.html","已逐页阅读（OSHWA页、GitHub仓库与教学手册）","单板电子实验教学套件","电子教学套件产品族","通过课程手册、器件实验、机构采购和批量教学支持收费","仅作课程产品化参考，当前不进入观察名单","一块PCB上集成30个基础电子电路实验并配套教学手册","学校、创客空间、青少年电子课程和自学者","减少面包板搭建时间，用一块板完成多种基础实验","","GitHub 10 stars并提供手册和制造文件，但未发现售价、销量或学校采购案例","高；Snap Circuits、Arduino入门套件和大量电子实验板已覆盖市场","依赖通用模拟器件、教学内容和教师支持","中；硬件简单但需要耐用接口、误接保护和批量测试","中高；课程讲解、器件损坏和学习支持成本明显","低","仓库显示Unlicense，OSHWA许可字段为Other，需进一步核对","项目页面有板卡和实验资料，旧表无英雄图","市场参考案例","真正价值在课程体系和机构渠道，不在PCB本身；当前缺少采购和教学成效证据","https://certification.oshwa.org/us002134.html|https://github.com/dczia/thirtyinone","2026-07-26"
"df56616eb1dc6093","DORS/CLUC 2024 Badge","https://certification.oshwa.org/hr000116.html","已逐页阅读（OSHWA认证页及项目资料链接）","电子墨水会议徽章","定制会议电子徽章产品族","面向活动主办方提供定制设计、批量制造、内容更新和现场支持","作为事件定制案例，不把活动单品计为独立机会","带电子墨水屏、红外收发、光传感器和触摸键的会议徽章","DORS/CLUC会议主办方、赞助商与参会者","提供低功耗身份显示和现场互动","","OSHWA认证并公开硬件、软件与文档许可；未发现单价、生产数量或后续商业客户","中高；电子墨水会议徽章已被多家活动硬件团队实现","依赖电子墨水屏、活动内容和定制固件","中高；屏幕采购、刷新、外壳、电池与批量烧录均需管理","高；活动现场故障和集中交付风险明显","中；无线或电池配置可能触发认证与运输要求","硬件CERN-OHL-P-2.0、软件MIT、文档CC0","未取得可确认具体成品的合格英雄图","市场参考案例","产品形态完整但完全依赖单次活动需求，商业能力属于定制服务和交付团队，不是该型号本身","https://certification.oshwa.org/hr000116.html","2026-07-26"
"4b7a2a18c9fc5c89","Fri3d Badge 2020","https://certification.oshwa.org/be000006.html","已逐页阅读（OSHWA页、GitHub硬件仓库和生产版本资料）","可扩展会议电子徽章","定制会议电子徽章产品族","通过活动定制、扩展生态、课程和批量交付形成价值","作为高完成度会议徽章参考，不计为独立零售机会","ESP32会议徽章，带LCD、加速度计、micro:bit兼容接口和扩展能力","Fri3d Camp主办方、参会家庭与创客","将身份、编程教育和活动互动集成到一块可扩展设备","","仓库5 stars、3 forks，存在多个修订版及生产REV03，并有CO2等扩展示例；未见独立零售销量","中高；会议徽章和教育开发板均已有成熟供给","依赖ESP32、显示屏、活动课程和扩展生态","高；多版本硬件、屏幕、连接器和活动前批量制造增加风险","高；面向家庭活动时使用指导、损坏和固件支持较重","中；无线和电池需考虑CE/FCC及运输","CC-BY-SA-4.0（OSHWA记录）","仓库有原型和生产版实物图，旧表无英雄图","市场参考案例","完成度和扩展性较好，但机会属于活动定制与教育服务，不应把2020活动版当可直接复制商品","https://certification.oshwa.org/be000006.html|https://github.com/Fri3dCamp/badge-2020","2026-07-26"
"3287e04fe0d4708e","OLIMEX-MUSICAL-BADGE","https://certification.oshwa.org/bg000088.html","已逐页阅读（OSHWA页与Olimex在售商品页）","低价焊接音乐徽章套件","成熟开源焊接套件产品族","依靠低成本设计、规模采购、品牌、分销和教育活动批量销售","作为成熟厂商低价套件案例，不作为新进入机会","触摸启停、CR2032供电的模拟音乐徽章焊接套件","学校、创客活动、电子入门者和礼品采购者","用极低成本完成可发声的入门焊接项目","2.95","Olimex商品页显示现货，单价2.95欧元，10至49件2.80欧元，50件以上2.66欧元，并提供原理图和装配文档","极高；低价焊接套件由成熟厂商和中国供应链充分覆盖","依赖Olimex品牌、规模采购和分销体系","低；电路简单，但低售价要求高效装配和质量控制","中；初学者焊接失败、电池和触摸灵敏度会产生支持","低；纽扣电池和儿童使用需警示","硬件CERN-OHL-S-2.0、软件GPLv3+、文档CC-BY-SA-4.0","商品页有具体套件实物图，旧表无英雄图","市场参考案例","真实在售且可量产，但价格已被成熟厂商压到极低，新进入者没有成本、渠道或品牌优势","https://certification.oshwa.org/bg000088.html|https://www.olimex.com/Products/Soldering-Kits/MUSICAL-BADGE/open-source-hardware","2026-07-26"
"172699d8b729a589","Eesas bitcoin keychain","https://github.com/hackclub/OnBoard/tree/main/projects/Eesas-bitcoin-keychain","已逐页阅读（精确项目README）","NFC加密货币地址钥匙扣","学生PCB钥匙扣与纪念小品","依靠个性化图案和小批量定制销售，技术壁垒很低","直接淘汰","印有比特币和闪电网络地址并带NFC标签的钥匙扣PCB","个人加密货币用户和赠礼者","便携分享钱包地址","37.00","项目README仅说明个人制作和37美元成本，没有销量、客户或批量制造证据","极高；NFC钥匙扣、加密货币周边和定制PCB礼品广泛存在","依赖现成NFC标签和个性化图案","低","低至中；NFC写入、地址错误和耐用性会导致问题","低","项目级许可未确认","README未提供可确认成品的合格英雄图","淘汰","个人学习项目，成本高于大量现成NFC钥匙扣，缺少产品独立性和市场验证","https://github.com/hackclub/OnBoard/tree/main/projects/Eesas-bitcoin-keychain","2026-07-26"
"c1b27bdfe067f7dd","HackerPCBNameTag","https://github.com/hackclub/OnBoard/tree/main/projects/HackerPCBNameTag","已逐页阅读（精确项目README及教程引用）","教程衍生NFC姓名牌","学生PCB名牌与NFC卡产品族","通过个性化设计和活动定制销售，但需稳定制造与安全验证","直接淘汰教程衍生Demo","基于Hacker Card教程增加可充电电池、LED和NFC能量采集设想的姓名牌","学生、黑客松和创客活动参与者","提供可发光的NFC姓名牌","74.30","README明确引用Hack Club Hacker Card教程，单件估算74.30美元，未提供成品销量或功能验证","高；NFC名牌和LED活动徽章已有大量方案","依赖教程设计、NFC能量采集和电池方案","高；NFC充电、自供电切换和电池安全需要实测","高；未验证的充电和电源路径可能损坏设备","中高；可充电电池和无线能量采集涉及安全责任","项目级许可未确认","README没有可靠成品主图","淘汰","教程衍生学生项目，成本高，关键充电功能未经商业级验证，不能当成可销售产品","https://github.com/hackclub/OnBoard/tree/main/projects/HackerPCBNameTag","2026-07-26"
