project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"e593a52a30c6bf79","OctoPrintAPI","https://github.com/chunkysteveo/OctoPrintAPI","已逐页阅读（精确GitHub README、代码范围与许可）","Arduino软件库","3D打印机远程状态软件集成","软件库、技术支持或课程内容","淘汰为硬件机会","供联网Arduino兼容微控制器调用运行在树莓派或Linux主机上的OctoPrint REST API的软件库","Arduino开发者、OctoPrint用户和DIY显示器制作者","让微控制器读取打印状态并控制OctoPrint，而无需自行实现完整API客户端","","仓库48 stars、24 forks、113次提交，已进入Arduino Library Manager；README明确要求用户自行制作显示器或控制器，项目无PCB、BOM和商品","高；OctoPrint API客户端、插件、显示器和打印机控制方案很多","强依赖OctoPrint、树莓派或Linux主机、网络与用户自备微控制器","无自研硬件制造","OctoPrint版本、网络、认证方式和不同Arduino网络栈兼容支持","低","GPL-2.0","无独立硬件本体；不存在合格产品英雄图","淘汰","这是软件库，不是可制造硬件。旧库因Arduino、树莓派和3D打印机关键词误判，不能进行硬件商业评分。","https://github.com/chunkysteveo/OctoPrintAPI","2026-07-26"
"3f81530af7040985","Adafruit PiCowbell CAN Bus for Pico - MCP2515 CAN Controller","https://certification.oshwa.org/us002391.html","已逐页阅读（精确OSHWA证书、Adafruit商品页与规格）","通用Pico CAN扩展板","微控制器生态通信扩展板","成熟品牌模块销售与分销","淘汰为新商业机会","为Raspberry Pi Pico增加MCP2515控制器与TJA1051收发器的CAN总线附加板","Pico开发者、汽车电子实验者和嵌入式原型用户","让不带CAN控制器的Pico快速接入CAN总线","12.50","OSHWA US002391；Adafruit商品ID 5728，单价12.50美元、100件价10美元并有成熟分销和文档体系","极高；CAN扩展板、Feather/Pico配件和低价MCP2515模块高度成熟","依赖Raspberry Pi Pico、MCP2515、TJA1051及Adafruit生态","低；标准小板制造，但需CAN时序、ESD和电气测试","接线、终端电阻、电压兼容和库版本支持","中；车载使用会放大EMC、瞬态和误接风险","OSHWA已认证；具体硬件许可按证书链接核验","官方商品图对应实际扩展板，可匹配本体但属于成熟商品图","淘汰","真实产品且资料完整，但它是12.50美元的成熟通用生态模块，市场和渠道已被品牌厂商覆盖，不是新的竞争空白。","https://certification.oshwa.org/us002391.html|https://www.adafruit.com/product/5728","2026-07-26"
"99f472004c1d7fbb","Ammeter Clock Controller","https://certification.oshwa.org/th000012.html","已逐页阅读（精确OSHWA详情、设计说明与许可）","创意时钟控制板","模拟仪表创意显示产品","开源设计、成品时钟或礼品小批量销售","仅保留产品化参考","使用逻辑芯片与CD4060计时，通过两个或多个电流表指针显示时间的控制电路","创意电子礼品买家、复古仪表爱好者和DIY时钟用户","把传统电流表转化为有视觉特色的时间显示装置","","OSHWA TH000012，硬件、软件和文档许可明确；未发现可核验商品售价、订单、评价或持续产品销售证据","中高；创意时钟、Nixie、模拟表针时钟和电子礼品供应较多","依赖外部电流表、外壳、电源和用户审美场景","中；电路简单，但成品一致性、表头校准和外壳决定体验","表头差异、走时校准、运输损伤和成品装配支持","低","硬件CERN-OHL-S-2.0；软件GPL；文档CC BY-SA","证书项目图可证明电路概念，但需成品正面图才算销售级英雄图","市场参考案例","项目有完整开放许可并能形成礼品，但缺少价格和付费验证，且创意时钟市场不空白；适合作为从电路到成品包装的参考。","https://certification.oshwa.org/th000012.html","2026-07-26"
"84f887d997da6f2c","Thermal Printer Controller","https://certification.oshwa.org/nl000011.html","已逐页阅读（精确OSHWA详情、功能与许可）","热敏打印机联网控制器","旧设备联网改造与嵌入式打印控制","开源控制板、小批量设备改造或垂直打印解决方案","保留为垂直改造参考","以ESP32为核心、支持Wi-Fi和Bluetooth编程控制热敏打印机的控制器","票据设备改造者、艺术打印装置开发者和嵌入式设备集成商","为现有热敏打印机构增加网络连接和可编程控制","","OSHWA NL000011，项目被认证为IoT开放硬件并采用宽松硬件许可；未发现稳定售价、订单和行业客户案例","中高；串口热敏打印模块、POS控制器和网络打印服务器成熟","依赖具体热敏打印机构、ESP32、电源和打印协议","中；需适配打印头、电机、电源瞬态和不同机构接口","机构兼容、耗材、过热、卡纸和驱动协议支持较重","中；电源、热部件和商用票据场景可能涉及额外要求","CERN-OHL-P-2.0","证书可确认控制板，但需确认图片是否展示完整控制器而非打印机构或接线图","市场参考案例","真实垂直需求存在，但单块通用控制板缺乏市场证据；商业化必须绑定特定打印机构和可交付场景，而不是只卖一块ESP32板。","https://certification.oshwa.org/nl000011.html","2026-07-26"
"1200f40a1e329548","DIY-Flow-Bench","https://github.com/DeeEmm/DIY-Flow-Bench","已逐页阅读（精确GitHub README、版本说明、设计文件与许可）","汽车发动机气流测试设备","低成本汽车性能测量工具","硬件套件、标定服务、整机和专业技术支持","进入观察名单，优先核验标定与客户付费","基于ESP32、汽车MAF或差压传感器、环境传感器、专用Shield和网页界面的容积流量测试台","发动机改装店、气缸盖加工者、赛车团队、职业院校和高阶DIY用户","商业流量台昂贵，用户需要比较气缸盖、化油器和进排气部件的流量变化","","仓库44 stars、14 forks、663次提交；已有V2候选版本、PCB Shield、软件和装配资料，并提到可获取Shield套件；作者定位为志愿非营利开源项目，暂无可核验成品价格、订单、标定报告和客户案例","中；专业商业流量台壁垒高，低成本DIY方案较少但二手设备和自制方案存在","依赖汽车MAF或差压传感器、鼓风系统、密封夹具、ESP32和可靠标定源","中高；气路、传感器量程、泄漏、温压补偿、夹具和标定决定有效性","标定、重复性、传感器替换、漏气诊断、机械夹具和用户方法培训较重","中；旋转风机、电气、噪声和测试工装安全","软件GPL-3.0；硬件CERN-OHL-W","仓库包含真实原型和专用板图；最终英雄图需选择完整流量台而非仅Shield或界面截图","观察名单","这是本批唯一具备明确专业痛点、完整系统和开放资料的垂直设备，但商业成立仍取决于可追溯标定、重复性数据、目标客户付费和可复制机械方案。","https://github.com/DeeEmm/DIY-Flow-Bench","2026-07-26"
"14502cb98db29bfa","Jackpot CNC Controller","https://certification.oshwa.org/us002434.html","已逐页阅读（精确OSHWA详情、V1 Engineering文档与生态）","多轴CNC控制器","低成本CNC整机控制生态","整机套件、控制器、机械件、文档与社区支持","作为成熟生态产品族参考","基于ESP32和FluidNC、集成6路TMC2209驱动、7路输入与4路输出的CNC控制器","MPCNC、LowRider、MP3DP、ZenXY用户及DIY数控设备制造者","以单板统一控制多轴步进电机、限位和辅助输出，降低DIY CNC配线复杂度","","OSHWA US002434；80×100毫米、9至24V、6路TMC2209；V1 Engineering已形成MPCNC等整机、商店、文档和论坛生态","高；FluidNC控制板、GRBL控制器和DIY CNC生态成熟","依赖FluidNC、TMC2209、V1 Engineering机械平台和完整机电系统","中高；多轴驱动、散热、EMI、端子可靠性和整机联调","固件配置、步进丢步、限位、噪声、整机机械和用户装配支持重","高；CNC旋转机械、主轴、激光扩展和电气安全","OSHWA认证，具体硬件许可由证书指向设计库","官方控制器图可对应本体，但不能只展示PCB而忽略其成熟整机生态","市场参考案例","产品真实且产品化程度高，但商业价值来自V1 Engineering整机、文档和社区体系，不是一个尚未被满足的控制板空白。","https://certification.oshwa.org/us002434.html|https://docs.v1e.com/electronics/jackpot/","2026-07-26"
"50b98bd1e51aef3d","Keyboard FeatherWing","https://certification.oshwa.org/se000012.html","已逐页阅读（精确OSHWA详情、功能与许可）","Feather生态掌上键盘显示扩展板","便携文本输入与微型终端","开源板卡、套件、终端应用和课程","作为完整交互板参考","带QWERTY键盘和约2.6英寸显示屏、可搭配Adafruit Feather主板构成掌上终端的FeatherWing","便携终端DIY用户、教育者、文本输入设备和小型控制台开发者","普通开发板缺少紧凑键盘与显示，需要一个可携带的完整交互面板","","OSHWA SE000012；硬件CERN许可、软件MIT、文档CC BY-SA；未发现当前售价、订单、库存或稳定用户案例","中高；Cardputer、Beepy、BlackBerry键盘板、掌上终端和宏键盘市场活跃","强依赖Feather主板、显示模组、键盘结构和外壳","中；键盘手感、显示、连接器、外壳和装配一致性重要","键帽、键盘矩阵、显示驱动、主板兼容和固件支持","低至中","硬件CERN开放许可；软件MIT；文档CC BY-SA","项目图可确认键盘显示板；若最终销售成品需要完整装配正面图","市场参考案例","比普通Breakout更接近完整交互产品，但Feather依赖重且缺少销售证据；当前掌上终端市场也已有大量成熟替代。","https://certification.oshwa.org/se000012.html","2026-07-26"
"42136717c06ddbbf","SNES OEM Controller PCB Replacement","https://certification.oshwa.org/us002604.html","已逐页阅读（精确OSHWA详情、项目发布与安装说明）","复古手柄维修替换PCB","停产游戏硬件维修配件","长尾维修SKU、兼容套件和改装服务","保留为维修产品族参考","替换原装SNES或SFC手柄内部PCB，并可增加LED和SOCD等功能的兼容电路板","复古游戏维修商、收藏者、改装玩家和赛事控制器用户","原装手柄PCB损坏或老化后缺少直接替换件，用户又希望保留原壳和按键","","OSHWA US002604；项目有版本发布、装配说明和针对克隆外壳的修改指南；未发现可核验售价、订单和保有量","中；复古维修件竞争不高但总市场小，第三方替换板和新手柄也存在","依赖原装或兼容SNES手柄外壳、导电胶、连接线及精确结构尺寸","中；需保证尺寸、按键触点、线序和不同壳体版本兼容","兼容差异、用户拆装、焊接、按键手感和退换货支持","低；但品牌、外观和兼容声明需谨慎","OSHWA已认证；具体硬件许可按项目库核验","项目图片应展示该PCB与原手柄适配；不接受普通SNES手柄图片替代","市场参考案例","这是明确的长尾维修痛点，但单SKU市场很小；可学习维修替换件产品族方法，不能把一个型号视为大规模商业机会。","https://certification.oshwa.org/us002604.html","2026-07-26"
"e0072fb4bd0ce8d8","ReactionGame","https://github.com/hackclub/OnBoard/tree/main/projects/ReactionGame","已逐页阅读（精确项目README）","学生反应游戏PCB练习","Hack Club OnBoard教育项目","教育活动、PCB入门和个人作品展示","淘汰为商业硬件机会","使用按钮和LED制作的简单反应速度小游戏，README仍保留模板提示，成本估算29.4美元","Hack Club参与者和初学PCB学生","作为第一次PCB设计练习完成一个可互动小游戏","29.40","精确README仅描述Simple reaction game with buttons and LEDs并给出成本估算；无完整产品说明、客户、销量、许可和独立市场证据","极高；反应游戏、LED小游戏和入门PCB练习大量存在","依赖Hack Club OnBoard活动、通用按钮、LED和微控制器","低；典型学生板卡","无商业售后体系，若销售则需处理焊接、按键和固件问题","低","项目级许可未在该README中确认","无合格销售级英雄图；项目提交图即使存在也只能证明学生作品","淘汰","这是教育活动中的简单PCB练习，README尚未完成模板内容，不能把制造成本或进入公开项目库当作市场验证。","https://github.com/hackclub/OnBoard/tree/main/projects/ReactionGame|https://github.com/hackclub/OnBoard/blob/main/projects/ReactionGame/README.md","2026-07-26"
"3716f7a84cb0113a","Adafruit MACROPAD RP2040 Bare Bones - 3x4 Keys + Encoder + OLED","https://certification.oshwa.org/us002024.html","已逐页阅读（精确OSHWA详情、Adafruit商品页与库存）","成熟RP2040宏键盘开发板","可编程输入设备生态","品牌硬件、配件、教程和分销","淘汰为新商业机会","集成RP2040、3×4热插拔按键、旋钮和OLED的宏键盘开发平台","内容创作者、快捷键重度用户、程序员和CircuitPython学习者","用可编程按键、旋钮和显示屏快速构建桌面快捷控制器","34.95","OSHWA US002024；Adafruit商品价34.95美元、100件价27.96美元，拥有完整教程与分销，检查时商品缺货","极高；Stream Deck、QMK/VIA宏键盘、RP2040套件和廉价成品大量存在","依赖Adafruit RP2040/CircuitPython生态、键轴、键帽和用户外壳","低至中；成熟设计但键轴、USB、旋钮和显示需测试","固件配置、键轴兼容、键帽、外壳和教程支持","低","OSHWA认证，具体硬件许可按证书项目库","官方商品图对应实际MacroPad，但它是成熟商品而非新机会证据","淘汰","这是已成熟商业化的宏键盘平台，品类高度拥挤；其品牌、教程和渠道不可被误算为新进入者的市场空白。","https://certification.oshwa.org/us002024.html|https://www.adafruit.com/product/5100","2026-07-26"
