project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"ff7cf75957198a4d","esp32-sram-puf-authentication","https://github.com/xtncl/esp32-sram-puf-authentication","已逐页阅读（精确GitHub README、研究数据与许可）","ESP32安全研究PoC","嵌入式设备硬件指纹与认证研究","研究代码、实验数据、咨询或安全方案集成","仅作为安全技术方法参考，不作为可直接销售硬件","利用ESP32 RTC SLOW SRAM上电特征生成认证令牌的研究验证系统","IoT安全研究者、设备厂商安全团队和高校实验室","减少设备端长期存储凭据带来的提取风险","","README明确定位为学习和实验用PoC；16台ESP32、6个月、44778次测量，MIT许可，48 stars、2 forks；无商品、订单或量产验证","中；PUF研究和安全芯片方案较多，但该实现简化且公开","强依赖ESP32 SRAM特性、服务器注册流程和温度/老化条件","若产品化需跨批次芯片、温度、电压、老化和攻击模型验证","偶发认证失败、注册流程、设备更换和长期漂移支持","中高；安全声明、密钥管理和客户系统责任边界","MIT；研究代码可复用，但安全产品责任不随许可消失","自动图片是SRAM位图可视化，不是硬件产品主图，判定错配","市场参考案例","技术证据比普通Demo完整，但作者明确定位为研究PoC，且稳定性、低温偏差和长期漂移不足以直接形成认证硬件商品。","https://github.com/xtncl/esp32-sram-puf-authentication","2026-07-26"
"b748b6bc30bf6308","teensy-control-voltage","https://github.com/newdigate/teensy-control-voltage","已逐页阅读（精确GitHub README、规格与许可）","Teensy 4.1 Eurorack控制电压Shield","Eurorack数字控制与信号接口模块","开源设计、DIY板卡、成品模块或定制集成","作为成熟细分模块设计参考，不视为市场空白","14HP面板、8路输入和8路输出、±10V 16位采样、MIDI、显示和编码器的Teensy扩展板","Eurorack模块开发者、数字合成器DIY用户和小型音频设备团队","让Teensy 4.1直接连接Eurorack控制电压、MIDI和面板交互","","仓库27 stars、6 forks，提供KiCad/FreeCAD设计并使用MIT许可；页面标记in development，未见售价、订单或稳定成品证据","高；Eurorack CV、Teensy音频模块和可编程模块已有大量供给","核心计算依赖Teensy 4.1、Teensy Audio和Arduino工具链","模拟前端精度、±10V保护、噪声、校准、面板和装配一致性要求较高","固件兼容、校准、模块电源、不同机箱噪声和用户编程支持","中；模拟音频/控制电压、EMC和电源反接保护","MIT，除非个别文件另行声明","自动图片是PCB背面；能对应项目，但不是合格销售英雄图","市场参考案例","属于较完整的专业模块设计，但仍是依赖Teensy的开发中Shield，市场拥挤且没有销售验证。","https://github.com/newdigate/teensy-control-voltage","2026-07-26"
"e699274a1a41504c","value-pasta-auto","https://github.com/mintynet/value-pasta-auto","已逐页阅读（精确GitHub README、硬件架构和设计文件）","汽车网络安全测试台原型","低成本汽车CAN安全教学与测试平台","完整测试台、课程、实验室设备、咨询和技术支持","保留为观察名单；需验证客户、BOM、可靠性和许可边界","以Teensy 4.0、多个CAN控制器、定制ECU板和I/O面板构建的Toyota PASTA低成本近似测试台","高校汽车安全实验室、车载网络培训机构、渗透测试团队和研发部门","商业汽车安全测试台昂贵且不透明，难以进行可重复CAN/OBD实验","","仓库86 stars、7 forks，公开多块PCB、Gerber和ECU架构，已实现网关与多总线功能；无售价、订单、课程采购或长期维护证据","中；专业汽车网络测试台昂贵，但CAN教学板、车辆仿真台和开源安全平台也不少","依赖Teensy 4.0、MCP2515、Arduino软件及大量现成显示/输入部件","多ECU板卡、线束、供电、CAN终端、故障注入和机箱装配复杂","线束错误、固件版本、车辆协议、实验课程和用户安全支持较重","中高；汽车安全研究双用途、供电与误操作风险","仓库MIT；外部概念、第三方库和硬件许可仍需逐项核验","自动图片仅是I/O子板，不是完整测试台英雄图；部分匹配但不合格","观察名单","它不是普通树莓派玩具，而是面向汽车安全的结果型系统；但仍是消费级硬件拼装的研究平台，缺少客户与商业验证。","https://github.com/mintynet/value-pasta-auto","2026-07-26"
"18c959bb8383b977","AD8232_Heart_Rate_Monitor","https://github.com/sparkfun/AD8232_Heart_Rate_Monitor","已逐页阅读（精确GitHub README、生产文件与许可）","成熟心电传感Breakout","生物电传感模块生态","成熟品牌模块、教程和分销","淘汰为新机会；仅作成熟开放硬件SKU参考","基于AD8232的单导联心率/ECG采集Breakout，含Eagle、生产面板、示例和接线教程","Arduino原型开发者、教学用户和健康设备实验者","快速采集单导联心电信号","","SparkFun成熟SKU，仓库约219 stars、197 forks，含完整生产文件和商品链接；类别已长期商品化","极高；AD8232模块和兼容板被大量品牌与低价供应链覆盖","依赖Analog Devices AD8232、电极、外部MCU和SparkFun教程生态","制造简单，但模拟噪声、人体接触、电极和测试需要控制","用户常误解为医疗设备；电极、噪声、接线和信号解释支持重","高；人体连接、电气安全、医疗宣传和诊断责任风险","硬件CC BY-SA 3.0，代码为开源/Beerware描述","自动图片是实际SparkFun板卡正面，项目匹配；但只是成熟模块主图","淘汰","真实且成熟的开放硬件产品，但已被SparkFun和大量兼容板卷透，单独复制没有竞争空白，且健康合规风险高。","https://github.com/sparkfun/AD8232_Heart_Rate_Monitor","2026-07-26"
"8d2962a05bb7f41f","dcp","https://github.com/device-context-protocol/dcp","已逐页阅读（精确GitHub README、规范、固件与许可）","设备控制通信协议与参考软件","LLM到物理设备的协议与中间件","协议生态、SDK、企业集成和软件服务","淘汰为独立硬件机会","让LLM以小于50字节帧、能力范围控制微控制器的草案协议、桥接器和ESP32参考固件","AI代理平台、IoT开发团队和设备软件厂商","MCP等上层协议对低资源微控制器过重且缺少细粒度能力控制","","仓库44 stars、3 forks，Draft v0.3，含规范、测试、ESP32参考固件和论文；无独立硬件、商品或制造文件","中高；设备代理协议、MCP桥接和IoT控制框架快速增多","依赖外部MCU、传输层、MCP主机和设备适配实现","无特定硬件制造；商业化重点是软件与兼容性","协议演进、兼容矩阵、安全审计和客户集成支持重","中高；物理设备控制的权限、安全和责任边界","MIT","自动图片是协议架构图，不是硬件主图，明确错配","淘汰","这是协议和软件参考实现，旧表因ESP32验证图误判成硬件；可能有软件商业价值，但不属于可制造硬件机会。","https://github.com/device-context-protocol/dcp","2026-07-26"
"fddb3e6a817cb29c","retromulator","https://github.com/reales/retromulator","已逐页阅读（精确GitHub README、依赖与许可说明）","软件合成器与DAW插件","经典合成器固件仿真软件","付费插件、预设内容和软件支持","淘汰为硬件机会","通过CPU/DSP仿真运行经典合成器和采样器固件的独立应用及AAX/VST3/AU插件","音乐制作人、复古合成器用户和DAW用户","无需购买和维护老旧硬件即可使用经典音色与工作流","","仓库43 stars、3 forks，整合多个开源仿真核心并提供统一JUCE界面；无可制造硬件","高；复古合成器插件、采样器和仿真软件市场成熟","依赖第三方GPL/LGPL/MIT仿真核心、原始固件和JUCE","无硬件制造","DAW兼容、版权固件、插件格式和长期系统适配支持","中高；原始固件、商标、音色和GPL组合许可边界复杂","多种GPL/LGPL/MIT依赖，商业分发必须逐项审计","无硬件本体","淘汰","它是软件插件，被hardware synthesizers文本误分；商业可能性属于软件授权，不是本任务的硬件产品。","https://github.com/reales/retromulator","2026-07-26"
"6034263915e10400","AgentDeck","https://github.com/puritysb/AgentDeck","已逐页阅读（精确GitHub README、设备列表与许可）","AI代理控制仪表板软件","多终端AI代理监控与控制软件","桌面应用、企业集成、订阅或硬件合作","淘汰为独立硬件机会；保留软件市场方法参考","在Stream Deck、手机、电子纸、ESP32屏和终端上显示并控制AI编码代理会话的守护进程与界面","使用多个AI编码代理的开发者和团队","同时管理多个代理时难以看到状态、定位项目和快速介入","","仓库约161 stars、27 forks，支持22种显示表面并有Mac应用；README明确称daemon才是产品，硬件只是显示方式","中高；AI代理管理工具快速增加，物理控制表面已有Stream Deck生态","强依赖Elgato、手机、ESP32面板和第三方AI代理","无统一自研硬件；不同表面适配和显示模板为主","代理兼容、平台更新、设备连接和企业权限支持","中；涉及本地代码执行、凭据和代理控制权限","MIT","自动图片是某个e-ink界面实例，不代表独立硬件产品；不合格","淘汰","项目自己明确软件守护进程才是产品，使用现成控制器和显示面板，不能把某张设备图包装成自研硬件机会。","https://github.com/puritysb/AgentDeck","2026-07-26"
"592c32621e386634","One-handed-Arduino-gaming-keyboard","https://github.com/AlexanderNistor04/One-handed-Arduino-gaming-keyboard","已逐页阅读（精确GitHub README、版本文件与许可）","Arduino单手游戏键盘DIY项目","单手游戏键盘与宏键盘","DIY设计、套件或小批量成品","淘汰为新商业机会","Arduino Pro Micro、36键、摇杆鼠标、可编程LED、定制PCB和3D打印外壳组成的单手游戏键盘","PC游戏玩家、DIY键盘爱好者和需要单手布局的用户","用较小桌面空间同时提供游戏键位、摇杆和鼠标辅助","","仓库3 stars、1 fork，包含多个硬件版本和Arduino代码；无订单、价格、用户评价或差异化验证","极高；单手键盘、宏键盘、Azeron类产品和DIY设计大量存在","强依赖Arduino Pro Micro、成熟轴体、LED和3D打印供应链","键盘矩阵、摇杆校准、外壳、轴体和USB适配装配","键位映射、摇杆漂移、固件、外壳公差和个人手型支持","低；USB输入设备常规EMC/ESD","MIT","无合格英雄图；仓库有项目文件但未取得可确认的销售主图","淘汰","完整度高于简单教程，但仍是Pro Micro加成熟键盘部件的低关注DIY项目，市场早已拥挤，没有商业验证。","https://github.com/AlexanderNistor04/One-handed-Arduino-gaming-keyboard","2026-07-26"
"60a740f3b9772bce","PS2KeyAdvanced","https://github.com/techpaul/PS2KeyAdvanced","已逐页阅读（精确GitHub README、支持平台与许可）","Arduino PS/2键盘协议库","旧键盘协议兼容软件","软件维护、嵌入式集成或技术支持","淘汰为硬件机会","在Arduino AVR、SAM、SAMD、STM32和ESP32上实现PS/2扫描码集2完整键盘协议的库","复古计算、嵌入式输入设备和旧键盘改造开发者","在微控制器上可靠读取传统PS/2键盘的完整按键与功能键","","仓库约164 stars、31 forks，31次提交，提供示例和多平台测试；无硬件设计、商品或制造资料","高；PS/2接口库和转换器方案成熟，需求持续缩小","依赖Arduino兼容平台和外部PS/2电气接口","无硬件制造","平台兼容、时序边界和旧键盘差异支持","低","LGPL-2.1","无硬件本体","淘汰","这是软件协议库，旧分类把keyboard关键词误认为键盘产品；不属于商业硬件候选。","https://github.com/techpaul/PS2KeyAdvanced","2026-07-26"
"d6f558f7fbb266e6","ground-station","https://github.com/sgoudelis/ground-station","已逐页阅读（精确GitHub README、功能页与许可入口）","浏览器卫星地面站软件套件","卫星跟踪、SDR与遥测软件平台","托管服务、专业支持、集成和培训","淘汰为独立硬件机会；保留软件平台参考","支持卫星轨道、RTL-SDR/SoapySDR/UHD设备管理、瀑布图、解码、自动观测和遥测浏览的Web套件","业余卫星用户、大学地面站、科研团队和无线电组织","把多个跟踪、SDR、解码和观测工具整合到统一浏览器界面","","仓库约4613 stars、815 forks、3297次提交，功能和社区验证强；硬件是外部SDR、转台和天线，不是仓库提供的产品","中；SatNOGS、Gpredict、SDR套件和专业地面站软件均存在","依赖RTL-SDR/USRP、天线、转台、TLE数据和外部解码器","无统一硬件制造","驱动、设备兼容、射频环境、数据源和部署支持重","中；频谱法规、卫星通信和远程硬件控制","仓库许可入口存在，具体许可需从LICENSE核验","自动图片是地球视图移动端UI截图，不是硬件，明确错配","淘汰","这是成熟的软件平台，商业价值可能来自部署和服务，但不能因支持SDR硬件就当成可制造硬件机会。","https://github.com/sgoudelis/ground-station","2026-07-26"
