"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"bb39e9312dcff357","083 Micro Oled Display 25601440 1800Nits 90Hz","https://www.tindie.com/products/oled-module/083-micro-oled-display-25601440-1800nits-90hz","已逐页阅读（精确商品页缓存、价格与卖家目录）","0.83英寸高分辨率微OLED供应组件","微显示、驱动板与近眼光学供应产品族","依靠上游面板、筛选、控制板、光学件和规格目录销售","市场参考；并入既有微显示产品族","0.83英寸2560×1440、1800nit、90Hz MIPI微OLED，可选控制板","AR/VR、EVF和工业近眼显示研发团队","小批量采购高像素密度高亮微显示并完成控制板适配","349.00","售价349美元；同店约24单、52款微显示/控制板/光学产品","中高；同店与其他供应商已有大量近规格组件","依赖上游面板、MIPI时序、控制板和光学系统","很高；小团队不能制造面板，只能筛选与集成","很高；排线、接口、控制板和机械尺寸容易混淆","中","标准供应组件，未见开放制造许可","无合格英雄图；不得借用相邻规格图片","市场参考案例","高客单专业器件，但只是供应目录规格变体，壁垒在渠道、筛选与支持","https://www.tindie.com/products/oled-module/083-micro-oled-display-25601440-1800nits-90hz|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"a8ce658c97e1cca5","091 Inch 128X32 Oled For Raspberry Pi","https://www.tindie.com/products/iotmcu/091-inch-128x32-oled-for-raspberry-pi","已逐页阅读（精确商品页缓存、库存与卖家目录）","树莓派0.91英寸SSD1306显示小板","树莓派低价OLED/HAT产品族","依靠成熟SSD1306模组和树莓派生态低价销售","淘汰成熟生态模块","0.91英寸128×32树莓派OLED板","树莓派DIY和状态显示用户","快速增加低成本文字/状态显示","4.98","售价4.98美元且缺货；卖家约45单、2评，并售多款低价PiOLED/节点板","极高；SSD1306树莓派小板高度同质化","强依赖树莓派、SSD1306和现成软件库","低","中；I2C地址、驱动库和系统版本支持","低","未见完整可商业复用设计许可","无合格英雄图；不得用普通SSD1306图片替代","淘汰","4.98美元成熟模块，价格和供应链已被卷透","https://www.tindie.com/products/iotmcu/091-inch-128x32-oled-for-raspberry-pi|https://www.tindie.com/stores/iotmcu/","2026-07-25"
"d7590b2cbd4ba5d6","100Mhz Precision Rf Oscillator Signal Source 13Dbm","https://www.tindie.com/products/power_modules/100mhz-precision-rf-oscillator-signal-source-13dbm","已逐页阅读（精确商品页缓存、评价与店铺信息）","固定100MHz射频信号源模块","低价固定频率RF测试模块产品族","装配固定频率振荡模块面向业余测试销售","淘汰单频通用模块","100MHz、约13dBm、3.3至15V供电固定信号源","业余无线电和基础RF实验用户","低成本获得100MHz参考/测试信号","20.95","售价20.95美元、1条好评；页面缺相噪、谐波、频稳和校准数据，卖家暂停","高；TCXO/OCXO、Si5351和成品信号源丰富","依赖现成振荡器件与外部测量设备","中高；需测频稳、温漂、相噪、谐波和输出功率","高；precision无可追溯指标","低至中","未见开放原理图、BOM或商业复用许可","无合格英雄图；需展示100MHz板本体和标识","淘汰","一条评价不足以弥补规格证据缺失，且单频低价模块易替代","https://www.tindie.com/products/power_modules/100mhz-precision-rf-oscillator-signal-source-13dbm|https://www.tindie.com/stores/power_modules/","2026-07-25"
"06fb25cb181cd840","1020Ma Linear Cc Led Driver","https://www.tindie.com/products/pnoxi/1020ma-linear-cc-led-driver","已逐页阅读（精确商品页、卖家订单与产品族）","5×10mm低功率线性恒流LED驱动小板","低价LED驱动与微型功能模块产品族","销售通用小板并靠同店适配器/升级板形成目录","淘汰低价通用模块","10/20mA恒流LED驱动，PWM调光，最大耗散约0.2W","LED原型、模型灯光和嵌入式DIY用户","以极小尺寸为LED提供恒流和PWM","2.79","售价2.79美元；卖家约167单、17评，但长期暂停","极高；可由廉价芯片、电阻或大量现成板实现","依赖通用恒流器件和外部PWM","低；需验证热耗散和电流档位","中；0.2W边界和LED压降易误用","低","未见明确开放设计和商业许可","无合格英雄图；需核对具体10/20mA版本","淘汰","基础功能小板，客单、产品独立性和差异化不足","https://www.tindie.com/products/pnoxi/1020ma-linear-cc-led-driver|https://www.tindie.com/stores/pnoxi/","2026-07-25"
"ffca55ef20643993","11Xx Replacement","https://www.tindie.com/products/caiusarcade/11xx-replacement","已逐页阅读（精确商品页、库存、售价和卖家目录）","Namco街机停产定制IC替代件","老街机停产芯片与专用网络替代件产品族","依靠上百长尾SKU、原板测试、逆向兼容和维修口碑","市场参考；并入既有街机维修替代产品族","替代Namco街机PCB所用11xx定制IC的兼容板","街机PCB维修商与收藏者","原定制IC停产失效后无法维修主板","42.99","售价42.99美元、库存4；卖家约399单、14评、112款维修产品","单SKU竞争低但TAM极小；价值来自完整目录","依赖特定Namco原板、逆向兼容和样板","中高；需逻辑、电气、时序和多板版本测试","高；用户焊接与原板复合故障支持","低至中；兼容逆向/IP边界","未见开放设计","无合格英雄图；不得用其他街机替代件图片","市场参考案例","真实痛点，但只是既有长尾维修产品族的一个SKU，不能重复计机会","https://www.tindie.com/products/caiusarcade/11xx-replacement|https://www.tindie.com/stores/caiusarcade/items/","2026-07-25"
"f06829c156369337","12 Port Active Antenna Splitter Rx","https://www.tindie.com/products/alftel/12-port-active-antenna-splitter-rx","已交叉核验（精确商品名、售价、卖家目录及同系列页面）","12路专业有源接收天线分配器","专业多路RF接收分配器与天线产品族","销售高客单RF分配器、LNA、天线并提供定制","观察产品族级垂直方案","将单路接收天线有源分配到12个接收端口","RF实验室、无线监测和多接收机集成商","一副天线同时驱动多台接收机并补偿分配损耗","449.00","目录列价449美元；卖家约160单、22款产品，另有8路549美元及多款LNA/天线","中；专业细分但成熟RF厂商和定制方案存在","依赖高线性LNA、RF网络、连接器、屏蔽外壳和测试仪器","很高；需增益平坦度、NF、隔离、回损、稳定性测试","高；频段、强信号和接收机差异大","中；接收设备较低但EMC需验证","未见开放原理图、BOM、布局或商业许可","无合格英雄图；不得用8口或退役多路型号图片","观察名单","高客单且痛点明确，但测量门槛、售后、闭源和专业竞争仍高","https://www.tindie.com/products/alftel/12-port-active-antenna-splitter-rx|https://www.tindie.com/stores/alftel/items/|https://www.tindie.com/products/alftel/triple-8-port-splitter-rx-only-for-wifi-and-bt/","2026-07-25"
"55186af132d93bce","032 Micro Oled Display 800X600 2000Nits Mipi","https://www.tindie.com/products/oled-modules/032-micro-oled-display-800x600-2000nits-mipi","已逐页阅读（精确商品页、售价和控制板选项）","0.32英寸800×600高亮微OLED组件","微显示、驱动板与近眼光学供应产品族","依靠上游面板、控制板选配、光学和规格目录","市场参考；并入既有微显示产品族","0.32英寸800×600、2000nit MIPI微OLED，可选Type-C/HDMI板","AR眼镜、夜视、EVF和微型成像团队","小批量获得高亮微显示并快速点亮","88.59","起价88.59美元并有多控制板选项；同店约24单、52款产品","中高；规格密集且有多个供应商","依赖上游面板、MIPI、控制板和近眼光学","很高；需坏点、亮度、色彩、寿命和时序筛选","很高；裸屏与控制板/接口易错配","中","标准组件，无开放制造资料","无合格英雄图；不得用同店另一0.32英寸版本","市场参考案例","专业供应链样本，不是可直接复制的独立开源产品","https://www.tindie.com/products/oled-modules/032-micro-oled-display-800x600-2000nits-mipi|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"729c4f05935143c9","03Mega Pixels High Definition Ov7725 Camera","https://www.tindie.com/products/mmm999/03mega-pixels-high-definition-ov7725-camera","已逐页阅读（精确商品页、规格、售价与同店目录）","OV7725低分辨率摄像头加STM32转接板","通用摄像头传感器与开发板模块产品族","采购成熟传感器和适配板面向MCU用户转售","淘汰过时通用模块","0.3MP OV7725摄像头、适配板和STM32驱动用途组合","STM32/MCU视觉入门和教学用户","快速连接并驱动并口低分辨率摄像头","20.00","售价20美元，无订单评价；卖家目录为通用Arduino模块和杂项转售","极高；OV7670/OV7725及现代摄像头模块供应充足","依赖OmniVision传感器、适配板和示例代码","低至中；需图像时序、镜头和批次测试","中高；驱动、时钟、电平和MCU性能问题","低","未见原创设计或可商业复用许可","自动图文件名通用，需确认同时展示OV7725与适配板","淘汰","标准且过时的摄像头开发模块，无独立产品结果或市场空白","https://www.tindie.com/products/mmm999/03mega-pixels-high-definition-ov7725-camera","2026-07-25"
"d36dc67bbc0c65c1","05 Micro Oledos Display 1600X1200 120Hz 1000Nits","https://www.tindie.com/products/oled-modules/05-micro-oledos-display-1600x1200-120hz-1000nits","已逐页阅读（精确商品页、售价、规格和控制板选项）","0.49/0.5英寸1600×1200微OLED组件","微显示、驱动板与近眼光学供应产品族","依靠上游面板、控制板、光学和规格目录","市场参考；并入既有微显示产品族","0.49/0.5英寸1600×1200、1000nit、120Hz MIPI微OLED","AR/VR、EVF和近眼显示研发团队","获得高分辨率微显示与快速验证控制板","149.00","售价149美元并提供多种控制板；同店52款相关产品","中高；多个相邻尺寸和亮度规格在售","依赖上游面板、MIPI驱动、控制板和光学","很高；需坏点、亮度、寿命、接口和排线检测","很高；标题/正文尺寸和控制板组合易争议","中","标准供应组件，无开放制造许可","无合格英雄图；不得借用其他0.5英寸版本","市场参考案例","属于既有微显示规格目录，应在产品族层面研究供应链与集成服务","https://www.tindie.com/products/oled-modules/05-micro-oledos-display-1600x1200-120hz-1000nits|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"89f6db6f2b60b9a8","054573 Replacement","https://www.tindie.com/products/caiusarcade/054573-replacement","已逐页阅读（精确商品页、售价、库存和卖家目录）","Konami街机停产定制IC替代件","老街机停产芯片与专用网络替代件产品族","依靠长尾SKU、原板测试、逆向兼容和维修口碑","市场参考；并入既有街机维修替代产品族","替代Konami街机PCB所用054573定制IC的兼容板","街机PCB维修商与收藏者","054573停产或损坏后无法修复主板","35.00","售价35美元、库存1；卖家约399单、14评和112款维修产品","单型号竞争低但市场极小；与054574等形成产品族","依赖特定Konami原板、样板和维修数据库","中高；需电气、逻辑、封装和多板版本测试","高；用户焊接和复合故障支持","低至中；逆向/IP边界","未见开放设计","图片文件名054573_latest与型号一致，仍需视觉核对版本","市场参考案例","真实长尾维修SKU，但商业资产是完整目录和测试知识","https://www.tindie.com/products/caiusarcade/054573-replacement|https://www.tindie.com/stores/caiusarcade/items/","2026-07-25"
