project_id,name,original_url,review_status,product_form,opportunity_family,family_business_model,commercialization_mode,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,after_sales_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
"36faa90b6a8307ae","114Inch Lcd Hat For Raspberry Pi Pico","https://www.tindie.com/products/sbc/114inch-lcd-hat-for-raspberry-pi-pico","已逐页阅读（精确商品页和卖家产品目录）","Raspberry Pi Pico显示HAT","树莓派/Arduino生态通用显示HAT","依赖成熟开发板生态、兼容文档和多SKU目录，不来自单块HAT独占能力","直接淘汰单一HAT；只可作为成熟配件目录案例","面向Raspberry Pi Pico的1.14英寸LCD扩展板","Pico学习者、原型开发者和创客","为Pico快速增加小尺寸彩色显示界面","25.99","精确商品页售价25.99美元、库存9件；卖家约209单但拥有约209款Raspberry Pi、Pico、Micro:bit和Arduino扩展板","极高；同店和平台已有大量Pico显示HAT、圆屏HAT和Breakout","完全依赖Raspberry Pi Pico针脚、SPI接口和上游LCD模组","低至中；主要是PCB装配、排针和显示来料测试","中；屏幕版本、引脚、驱动库和Pico兼容性容易引发支持","低","未见允许复制商品硬件设计的开放许可","自动图文件ARDI BACK.png与其他不同LCD条目复用，错配风险高，未通过人工核验","淘汰","典型开发板HAT，需求和销量属于成熟生态配件市场，缺少独立产品结果、差异化和竞争空白","https://www.tindie.com/products/sbc/114inch-lcd-hat-for-raspberry-pi-pico/|https://www.tindie.com/stores/sbc/items/","2026-07-25"
"76b8d67da9e3c0b2","125 Red H Alpha Astrography Filter","https://www.tindie.com/products/opticparts/125-red-h-alpha-astrography-filter","已逐页阅读（精确商品页和卖家光学目录）","天文摄影光学滤镜","小批量定制光学滤镜与镀膜件","价值来自镀膜工艺、光谱检测、规格目录和定制服务","作为专业光学小批量产品族参考，不直接复制单一滤镜","1.25英寸红色H-alpha天文摄影滤镜","业余天文摄影用户、望远镜改装者和小型光学实验用户","抑制非目标波段以增强H-alpha天体成像","25.00","精确商品页售价25美元、库存5件；卖家只有1笔订单，但有23款激光镜、分光镜、天文滤镜和定制光学件","中高；天文滤镜成熟品牌众多，卖家缺少带宽、透过率和光谱曲线证据","依赖基片、真空镀膜设备、膜系设计和光谱检测","高；需要稳定膜厚、中心波长、均匀性和环境可靠性控制","中高；用户对带宽、透过率、鬼影、口径和螺纹兼容敏感","低至中；普通滤镜压力低，但若宣称激光防护则责任显著增加","商品未提供开放工艺、膜系或商业复用许可","原记录无合格英雄图；不得用同店其他滤镜或镜片图片替代","市场参考案例","完整专业部件而非创客模块，但销售验证极弱，缺少关键光谱数据和品牌信任；可学习小批量光学目录模式，不构成现成机会","https://www.tindie.com/products/opticparts/125-red-h-alpha-astrography-filter/|https://www.tindie.com/stores/opticparts/","2026-07-25"
"f100e7dc3c94e80d","128 240 X 240 Round 400 Nits All View Tft","https://www.tindie.com/products/DisplayModule/128-240-x-240-round-400-nits-all-view-tft","已逐页阅读（精确商品页和卖家圆形显示目录）","标准圆形TFT显示组件","中小尺寸圆形TFT与AMOLED供应目录","价值来自上游面板渠道、规格覆盖、库存和技术资料","作为标准显示供应SKU淘汰，不独立计商业机会","1.28英寸240×240、400nit、SPI接口圆形TFT","仪表、穿戴原型和小型界面开发者","快速取得低价圆形彩色显示组件","8.99","精确商品页售价8.99美元、库存10件；卖家只有约2单但目录覆盖大量圆形TFT和AMOLED","极高；GC9A01等圆屏和相似模组在多个平台广泛供应","完全依赖上游LCD面板、驱动IC和FPC","低至中；作为渠道品主要是来料检测和包装","中；接口、亮度、视角、FPC和批次版本易产生退换","低","未见开放面板设计或可复制许可","自动图文件名DM-OLED12-667show.jpg与TFT品类不一致，判定高风险错配","淘汰","低价标准显示组件，市场充分竞争，商业价值属于供应目录而不是独立开源硬件机会","https://www.tindie.com/products/DisplayModule/128-240-x-240-round-400-nits-all-view-tft/|https://www.tindie.com/stores/DisplayModule/","2026-07-25"
"db85d639696c5e75","023 Inch Micro Ar Vr Oled Display 640X400","https://www.tindie.com/products/oled-modules/023-inch-micro-ar-vr-oled-display-640x400","已逐页阅读（精确商品页、规格和卖家微显示目录）","微OLED显示与驱动板组件","微型显示、驱动板和AR/VR近眼光学供应产品族","价值来自上游面板渠道、坏点与亮度检测、控制板适配和规格目录","合并为微显示供应产品族证据，不按尺寸规格虚增机会","0.23英寸640×400、3000nit微OLED配CVBS控制板","AR/VR、电子取景器、夜视和近眼显示研发团队","快速取得微显示及可直接输入视频的驱动板组合","284.00","精确商品页售价284美元；卖家约68至71单并有约66款微显示、控制板和光学配件","中高；同一卖家内部存在多个近重复0.23英寸SKU，外部也有同规格供货","强依赖上游微OLED面板和CVBS控制板","高；需验证坏点、亮度、均匀性、刷新率、接口和热稳定性","高；相似SKU、控制板版本、坏点和光学适配争议复杂","中；进入夜视、瞄具或专业视觉应用时责任和出口边界上升","未见开放面板、驱动板设计或商业复用许可","原记录无合格英雄图；不得使用同店其他0.23英寸亮度版本图片替代","市场参考案例","高客单专业供应市场真实，但该条只是既有微显示产品族中的规格SKU，不是新的独立商业机会","https://www.tindie.com/products/oled-modules/023-inch-micro-ar-vr-oled-display-640x400/|https://www.tindie.com/stores/oled-modules/items/?page=1","2026-07-25"
"82d75a807af80e57","028 Dc 0 100V 3 Wires Mini Digital Led Display","https://www.tindie.com/products/jasonkits/028-dc-0-100v-3-wires-mini-digital-led-display","已逐页阅读（精确商品页、价格和停售状态）","通用三线直流电压表模块","低价面板表和通用测量显示模块","价值仅来自低价采购和元件目录，不来自原创设计","直接淘汰","0.28英寸三线式0至100V直流LED数字电压表","电源、车辆和DIY面板改装用户","低成本显示直流电压","2.99","售价2.99美元，已自2022年3月起售罄；没有持续销量或差异化证据","极高；同类三线面板电压表在电商平台大量低价供应","依赖通用面板表芯片、数码管和现成模组供应","低","中；量程、供电共地、接线和精度误解常见","低至中；高电压场景接线安全需要说明","无开放设计或商业复用资料","自动图来自精确商品页但未人工确认接线和量程版本，不升级为完全核验","淘汰","长期售罄的2.99美元通用面板表，供应成熟、门槛和毛利极低","https://www.tindie.com/products/jasonkits/028-dc-0-100v-3-wires-mini-digital-led-display/","2026-07-25"
"7ab03e83f5b3eb76","039 Micro Oled Display 1024 Rgb 768 For Ar","https://www.tindie.com/products/hicenda/039-micro-oled-display-1024-rgb-768-for-ar","已逐页阅读（精确商品页和卖家相似微显示SKU）","微OLED显示与CVBS驱动组件","微型显示、驱动板和AR/VR近眼光学供应产品族","价值来自面板渠道、驱动适配、检测和规格覆盖","合并为微显示产品族证据，不独立计机会","0.39英寸1024×768、300cd/m²微OLED配CVBS驱动板，可选光学件","AR/VR、电子取景器和近眼显示开发团队","获得可直接输入复合视频的微型显示方案","295.00","精确商品页售价295美元；同店同时销售267.96、285和315美元的近重复0.39英寸亮度与接口版本","高；同一店铺内部SKU高度重复，外部供应商也提供同规格","依赖上游微OLED面板、CVBS/HDMI驱动板和光学组件","高；需做坏点、亮度、色彩、接口和光学兼容检测","高；客户易混淆亮度、驱动板、接口和光学版本","中","未见开放设计或可复制销售许可","原记录无合格英雄图；不得使用同店其他亮度或HDMI版本图片替代","市场参考案例","专业需求存在，但这是成熟微显示供应目录中的重复规格，商业壁垒属于渠道和检测体系","https://www.tindie.com/products/hicenda/039-micro-oled-display-1024-rgb-768-for-ar/|https://www.tindie.com/products/hicenda/micro-amoled-display-039-1024rgb768-for-arvr/","2026-07-25"
"5696cb066876eb78","056820 Replacement","https://www.tindie.com/products/caiusarcade/056820-replacement","已逐页阅读（精确商品页和卖家114款替代件目录）","停产街机定制IC替代件","老街机停产芯片与专用电路替代件产品族","价值来自大量长尾SKU、原板测试资源、维修数据库和专业口碑","作为长尾维修产品族证据，不把单SKU重复计为机会","Konami GX系统街机PCB所用056820定制IC替代件","街机PCB维修商、收藏者和复古游戏设备维护者","原定制IC停产后导致特定街机主板无法维修","39.99","精确商品页售价39.99美元、库存5件；卖家约419单、14条评价和114款替代件","单型号竞争低但总市场极小；同类业务依赖完整SKU目录","依赖特定Konami街机PCB、逆向兼容和原板测试","中高；需要逻辑兼容验证、老板测试和长期器件替代管理","高；故障定位、板卡版本和客户误判会带来售后","低至中","未见开放设计或允许复制销售的许可；存在逆向和IP边界","原记录无合格英雄图；必须核验具体056820板而非相似替代件","市场参考案例","真实长尾维修痛点，但单SKU市场小且依赖完整产品族与测试资产，不应虚增为独立机会","https://www.tindie.com/products/caiusarcade/056820-replacement/|https://www.tindie.com/stores/caiusarcade/items/","2026-07-25"
"d6a03c6d47309c59","072Micro Oledos Display 1920X1200 2000Nits Mipi","https://www.tindie.com/products/oled-modules/072micro-oledos-display-1920x1200-2000nits-mipi","已逐页阅读（精确商品页、选配驱动板和卖家目录）","高分辨率微OLED显示组件","微型显示、驱动板和AR/VR近眼光学供应产品族","价值来自面板渠道、驱动适配、检测和规格目录","合并为微显示产品族证据，不独立计机会","0.72英寸1920×1200、2000nit MIPI微OLED，可选双Type-C或单HDMI驱动板","AR眼镜、EVF、近眼显示和专业视觉系统研发团队","快速取得高分辨率微显示和可选控制板","145.00","精确商品页售价145美元；卖家约68至71单并有大量微显示、驱动和光学SKU","中高；同店和其他供应商有大量相近0.68至0.72英寸规格","依赖上游微OLED面板、MIPI接口和选配控制板","高；需做坏点、亮度、均匀性、时序、控制板和热测试","高；接口、驱动板、版本和坏点争议复杂","中","未见开放设计或商业复用许可","原记录无合格英雄图；不得用0.71或0.68英寸相似屏图片代替","市场参考案例","高客单专业供应市场真实，但只是既有微显示目录中的规格变体","https://www.tindie.com/products/oled-modules/072micro-oledos-display-1920x1200-2000nits-mipi/|https://www.tindie.com/stores/oled-modules/items/?page=1","2026-07-25"
"6a24fce1fe65c8a7","082 Replacement","https://www.tindie.com/products/caiusarcade/082-replacement","已交叉核验（精确商品索引、卖家目录和同族替代件业务）","停产街机定制IC替代件","老街机停产芯片与专用电路替代件产品族","价值来自长尾SKU、原板测试和维修口碑","作为产品族证据，不独立计机会","面向特定老街机PCB的082定制IC替代件","街机PCB维修商和收藏者","停产定制芯片损坏后缺少维修替代","44.99","卖家精确目录列出082替代件售价44.99美元；店铺约419单、14条评价和114款替代件","单型号竞争低但总需求极小","依赖特定老街机PCB、逆向兼容和原板验证","中高；需要兼容性测试和长期SKU管理","高；客户板卡故障并不一定由该芯片造成","低至中","未见开放设计或商业复用许可，存在逆向/IP边界","自动图来源精确SKU，但替代件外观高度相似，尚未视觉确认型号标识","市场参考案例","与此前多条街机替代件属于同一长尾业务模型，不应按单个芯片重复虚增机会","https://www.tindie.com/products/caiusarcade/082-replacement/|https://www.tindie.com/stores/caiusarcade/items/?page=2","2026-07-25"
"58dab0f5d226f851","096 Inch Iic Serial White Oled Display9924","https://www.tindie.com/products/icstation/096-inch-iic-serial-white-oled-display9924","已逐页阅读（精确商品页、评价和卖家760款目录）","通用SSD1306 OLED模块","低价Arduino/树莓派通用显示模块","价值来自大规模采购、促销和商品目录，不来自设计差异化","直接淘汰","0.96英寸128×64白色I2C SSD1306 OLED模块","Arduino、树莓派和嵌入式原型用户","低成本增加小型单色显示","4.72","售价4.72美元、有1条评价；卖家约1853单、63条评价和约760款商品","极高；SSD1306 0.96英寸模组已高度商品化","依赖标准SSD1306模组和成熟供应链","低","中；地址、供电、排针、颜色和驱动库差异","低","无独特开放设计资产","自动图来自精确商品页，但未人工确认颜色和PCB版本，不升级为完全核验","淘汰","4.72美元成熟通用模块，竞争、供给和替代性均极高","https://www.tindie.com/products/icstation/096-inch-iic-serial-white-oled-display9924/|https://www.tindie.com/stores/icstation/items/?page=2","2026-07-25"
"9365664a57a500a8","100Pcs Wire Connector","https://www.tindie.com/products/blinkingsilver/100pcs-wire-connector","已逐页阅读（精确商品页、价格和停售状态）","标准压接叉形端子分装包","低价标准连接器和线束辅料分装","价值仅来自采购分装和目录，不来自产品设计","直接淘汰","100只0.5毫米厚绝缘Y形叉式压接端子","DIY接线、电气维修和小批量线束用户","低成本取得常用压接端子","2.00","售价2美元且已售罄；卖家目录以零散通用部件和底盘为主，没有持续销量证据","极高；标准端子在电商和工业分销渠道大量供应","完全依赖标准端子供应链","极低","中；线径、孔径、厚度和压接工具匹配","低至中；若用于市电需关注额定和材料","标准商品，无开放设计资产","自动图文件名写有500pcs而商品标题为100pcs，数量/版本明显不一致，判定错配","淘汰","2美元标准端子分装包，没有原创设计、客单和竞争壁垒","https://www.tindie.com/products/blinkingsilver/100pcs-wire-connector/","2026-07-25"
"215b59fd0c5fc5b9","10100M Single Port Tab Down Hfj11 2450E Ls12Rl","https://www.tindie.com/products/trxcom/10100m-single-port-tab-down-hfj11-2450e-ls12rl","已交叉核验（精确卖家目录、型号和价格）","标准10/100M集成磁性RJ45连接器","RJ45 MagJack和LAN变压器工业元件目录","壁垒属于磁性设计、模具、认证和大批量制造，不属于单个目录SKU","作为工业元件目录证据淘汰","HFJ11-2450E-LS12RL单口下沉式10/100M MagJack","网络设备、智能家居和工控PCB制造商","在单个RJ45内集成以太网磁性器件","2.00","卖家精确目录售价2美元；店铺自2024年起0订单，另有多款2至6美元RJ45/MagJack","极高；成熟连接器和变压器厂商众多","依赖磁性器件、塑胶模具、冲压端子和认证供应链","高；原创制造需要磁性设计、安规间距、模具和一致性测试","中；封装、灯脚、PoE、磁性参数和兼容型号易误购","中高；涉及以太网隔离、耐压和材料认证","无开放设计或可复制许可","原记录无合格英雄图；不得以相似MagJack型号图片替代","淘汰","标准工业连接器SKU，市场和制造门槛属于专业原厂，且卖家无订单验证","https://www.tindie.com/products/trxcom/10100m-single-port-tab-down-hfj11-2450e-ls12rl/|https://www.tindie.com/stores/trxcom/","2026-07-25"
"15f94538ba7fb897","10Mhz Double Oven Ocxo Frequency Standard2X 10Mhz","https://www.tindie.com/products/nhbbobb/10mhz-double-oven-ocxo-frequency-standard2x-10mhz","已逐页阅读（精确商品页、卖家目录和用户评价）","实验室10MHz频率参考成品","低成本OCXO/GPSDO频率参考与校准附件","价值来自振荡器筛选、老化校准、输出缓冲、外壳和测量信任","保留观察；需补充可溯源校准、相噪、老化率和售后证据","双恒温槽OCXO 10MHz频率标准，提供两个BNC 10MHz输出","SDR、业余无线电、实验室仪器和维修校准用户","为多台设备提供低成本稳定10MHz外部参考","48.00","售价48美元、有2条商品评价；卖家约46单、6条评价，并销售OCXO与GPSDO产品族","中高；二手OCXO板、成品GPSDO和专业频标均有成熟供给","依赖来源不透明的OCXO、稳压电源、输出缓冲和外壳连接器","中高；需要老化、频率校准、温度稳定、相噪和输出幅度测试","高；客户对绝对精度、漂移、相噪和校准证明敏感，卖家历史沟通评价存在严重负面案例","低至中；低压设备压力较低，但电源和BNC接地需说明","未见开放电路、BOM、固件或商业复用许可","自动图来自精确商品页，尚未人工核对内部OCXO型号和双BNC版本","观察名单","它是完整专业工具且有真实评价，不是普通模块；但缺少校准溯源和关键性能数据，供应商信誉与售后风险较高","https://www.tindie.com/products/nhbbobb/10mhz-double-oven-ocxo-frequency-standard2x-10mhz/|https://www.tindie.com/stores/nhbbobb/","2026-07-25"
