"project_id","name","original_url","review_status","product_form","opportunity_family","family_business_model","commercialization_mode","actual_product","paying_customer","pain_point","price_usd","market_evidence","market_crowding","third_party_dependency","manufacturing_risk","after_sales_risk","compliance_risk","license_status","hero_image_verdict","final_bucket","verdict_reason","evidence_urls","reviewed_at"
"9490e619c350807f","10100Base T Vertical Rj45 Connector Hy951180A","https://www.tindie.com/products/trxcom/10100base-t-vertical-rj45-connector-hy951180a","已逐页阅读（精确商品缓存、售价与卖家目录）","10/100Base-T集成磁性RJ45连接器元件","标准RJ45/MagJack连接器目录产品族","依靠模具、磁性器件设计、批量制造和料号目录供货","淘汰单个目录元件","TRJD0110BANL/HY951180A等效的垂直10/100Base-T RJ45模块插座","网络设备PCB设计者、维修和小批量采购人员","采购特定脚位和封装的带磁性RJ45连接器","2.50","售价2.50美元；卖家店铺有9款2至6美元RJ45/MagJack，开店后0订单","极高；同类连接器由大量原厂和分销商标准化供应","完全依赖连接器模具、磁性结构和大批量供应链","高；真正制造需模具、镀层、磁性参数、耐压和网络一致性测试","中；脚位、屏蔽、LED和磁性参数错配会导致退货","中高；需耐压、EMC、材料与网络性能认证","标准商品元件，无开放制造资料或商业复用许可","自动图为数字文件名59.jpg，可能是连接器实拍，但未核对HY951180A标记，不能人工通过","淘汰","低价标准连接器，壁垒属于原厂规模制造和渠道目录；0订单店铺也不能证明新的市场机会","https://www.tindie.com/products/trxcom/10100base-t-vertical-rj45-connector-hy951180a|https://www.tindie.com/stores/trxcom/","2026-07-25"
"03fc7ce068b7c4b6","10Pc Hot Glue Sticks","https://www.tindie.com/products/mmm999/10pc-hot-glue-sticks","已逐页阅读（精确商品正文、售价与卖家目录）","热熔胶棒耗材转售","通用工具耗材与电子零件杂货转售产品族","依靠跨境选品、库存和多SKU目录加价销售","淘汰非原创通用耗材","10根用于热熔胶枪和手工制作的胶棒","手工、维修和DIY用户","补充常用粘接耗材","9.50","售价9.50美元；卖家约702单但目录约数百种杂货，无法归因到该SKU","极高；胶棒为全球通用耗材，电商和本地渠道充分","完全依赖现成胶棒供应链","不制造；若自制涉及胶配方、尺寸和软化温度控制","低至中；直径、长度、颜色和熔点不兼容","低至中；材料成分、烟气和运输标签","转售耗材，无原创硬件或开放资料","自动图看似商品包装实拍，但该记录不是可制造硬件机会","淘汰","通用耗材转售，不具备设计、技术、渠道或市场空白价值","https://www.tindie.com/products/mmm999/10pc-hot-glue-sticks|https://www.tindie.com/stores/mmm999/items/","2026-07-25"
"70477e9ee036892c","10Pcs Prototype Board For Espea","https://www.tindie.com/products/aprbrother/10pcs-prototype-board-for-espea","已逐页阅读（精确商品正文、缺货时间与卖家目录）","ESPea生态双面洞洞实验板10件包","开发板生态原型板与扩展板产品族","依靠自有开发板生态、低价附件和多SKU配套销售","淘汰低价生态附件；仅参考产品族运营","适配ESPea尺寸的双面通孔原型PCB，10片装","ESPea/ESP8266原型开发者","在特定开发板尺寸内快速焊接自定义电路","10.00","10片售价10美元，自2017-08-24起售罄；卖家约3033单、73款产品","极高；洞洞板和原型PCB供应充足，特定生态也已陈旧","强依赖ESPea尺寸和ESP8266生态","低；普通双面通孔PCB","低；尺寸、孔距和排针兼容","低","页面称设计产品，但未见可商业复用Gerber和许可","自动图p1.jpg大概率是板卡实拍，但不能证明版本和尺寸；不作为商业价值证据","淘汰","长期售罄的低价生态原型板，易复制且没有独立结果型产品价值","https://www.tindie.com/products/aprbrother/10pcs-prototype-board-for-espea|https://www.tindie.com/stores/aprbrother/items/","2026-07-25"
"e7dd875caea5c390","12 Channel 12 Bit Adc Hat For Raspberry Pi","https://www.tindie.com/products/cburgess129/12-channel-12-bit-adc-hat-for-raspberry-pi","已逐页阅读（精确商品正文、评价、库存与卖家产品族）","树莓派多通道ADC HAT","BurgessWorld ADC与Raspberry Pi扩展板产品族","靠多代HAT、装配选项、文档和售后支持销售","淘汰通用HAT；参考产品族和文档运营","MCP3208八路SPI加ADS1015四路I2C的12通道ADC HAT，可选EEPROM和完整装配","树莓派数据采集、传感器和电池监测用户","树莓派缺少原生模拟输入，需要多路ADC","25.50","售价25.50美元、1条评价、仅余3件；卖家约1283单、28条评价并拥有79款扩展板","极高；MCP3008/MCP3208/ADS1015/ADS1115 HAT和模块成熟","强依赖Raspberry Pi HAT机械生态、Linux库和现成ADC芯片","低至中；输入保护、参考电压、分压精度与EEPROM需测试","中高；评价反映新系统Python库兼容支持困难","低","页面可能链接设计资料，但商业复用条款未确认","自动图名称为具体拍摄文件，页面产品外观可能匹配；仍需核对该12通道版本","淘汰","有真实销量和良好硬件设计，但仍是成熟树莓派HAT；卖家信誉与文档能力不等于市场空白","https://www.tindie.com/products/cburgess129/12-channel-12-bit-adc-hat-for-raspberry-pi|https://www.tindie.com/stores/cburgess129/|https://www.tindie.com/stores/cburgess129/reviews/","2026-07-25"
"cc5982e99dd76da5","120240Pcs Set 24 Kinds Specification Micro Usb","https://www.tindie.com/products/mmm999/120240pcs-set-24-kinds-specification-micro-usb","已逐页阅读（精确商品正文、规格数量、售价与卖家目录）","Micro-USB母座多规格元件包转售","通用连接器与维修元件混合包产品族","靠批量采购、分装和多SKU跨境转售","淘汰元件包SKU","24种Micro-USB充电母座SMT插座，120或240件组合包","手机和消费电子维修、原型焊接人员","一次采购多种旧式Micro-USB座用于维修匹配","13.50","起价13.50美元；卖家约702单且目录数百项，但无该SKU订单评价","极高；连接器套装在多平台低价充分供应，Micro-USB需求在下降","完全依赖通用连接器供应链和分装","不制造；来料型号、镀层和脚位混装风险","中；24种规格识别困难、品质和适配争议","低至中；RoHS和材料声明","转售元件，无原创设计或开放制造资产","自动图image_35.jpg可能是混合元件实拍，但无法核对120/240件选项和24种规格","淘汰","低价元件分装和转售，市场成熟且技术与品牌壁垒极低","https://www.tindie.com/products/mmm999/120240pcs-set-24-kinds-specification-micro-usb|https://www.tindie.com/stores/mmm999/items/","2026-07-25"
"c48331109efbebc4","120V Electric Motor New Never Used Ac 60Hz","https://www.tindie.com/products/blenders/120v-electric-motor-new-never-used-ac-60hz","已逐页阅读（精确商品正文、来源机型、库存与卖家页）","拆机来源新品搅拌机电机备件转售","家电改装和剩余备件转售产品族","靠特定机型剩余库存和拆改项目零件销售","淘汰一次性库存备件","来自Ninja BN700搅拌机的120V 60Hz未使用电机","搅拌机维修、改装和实验用户","寻找特定Ninja搅拌机电机替换件或高转速交流电机","20.00","售价20美元、库存10件；卖家只有该单品，无订单与评价","中；特定机型备件可能短缺，但替换市场极小且一次性","完全依赖Ninja剩余电机库存和特定机型兼容","不制造；若再造需电机设计、动平衡、绝缘和寿命测试","高；接线、转速、安装尺寸、碳刷和负载适配","高；120V市电绝缘、触电、机械旋转和产品责任","品牌备件转售，无制造权或开放设计","原记录无合格英雄图；不得用其他搅拌机或通用电机图代替","淘汰","一次性特定家电库存转售，缺少持续供给、原创资产和可规模复制路径，且市电与机械风险高","https://www.tindie.com/products/blenders/120v-electric-motor-new-never-used-ac-60hz|https://www.tindie.com/stores/blenders/","2026-07-25"
"f8faad04bbcc4bfa","035 Inch 640X480 Micro Lcd Display Screen","https://www.tindie.com/products/oled-modules/035-inch-640x480-micro-lcd-display-screen","已逐页阅读（精确商品正文、分辨率、驱动板、售价与卖家目录）","0.35英寸微型LCD加CVBS驱动板","微显示、驱动板与近眼光学供应产品族","靠上游微显示渠道、控制板、光学附件和多规格目录销售","市场参考；合并到微显示供应产品族","0.35英寸640×480微型LCD，配AV/CVBS单目驱动板","单目观察器、EVF、工业取景和近眼显示原型团队","快速获得极小尺寸视频显示及模拟视频驱动","139.00","售价139美元；卖家约72单、66款微显示/控制板/光学产品","中高；专业但已有多家微显示供应商和大量相邻规格","依赖上游面板、CVBS驱动板和终端光学系统","高；坏点、亮度、寿命、排线、时序和光学装调需测试","高；面板版本、视频制式、焦距和机械适配复杂","中；近眼应用、医疗或瞄具用途可能附加要求","标准供应组件，无开放制造许可","自动图仅名为1.jpg，无法确认是否展示0.35英寸LCD本体及正确驱动板","市场参考案例","高客单专业供应品，但价值属于供应链、筛选和集成支持；只是既有微显示产品族的规格变体","https://www.tindie.com/products/oled-modules/035-inch-640x480-micro-lcd-display-screen|https://www.tindie.com/stores/oled-modules/items/","2026-07-25"
"69ef7e2a08d1f84a","052535 Replacement","https://www.tindie.com/products/caiusarcade/052535-replacement","已逐页阅读（精确商品正文、用途、价格、库存与卖家产品族）","街机停产定制RGB DAC替代件","老街机停产芯片替代件产品族","靠逆向兼容、维修数据库、原板测试资源和上百个长尾SKU销售","市场参考；并入街机维修替代件产品族","替代多款Konami街机PCB所用052535定制IC的RGB DAC兼容模块","街机PCB维修商、收藏者和复古游戏运营者","原定制RGB DAC停产导致图像电路无法维修","9.99","售价9.99美元、库存5件；卖家约419单、14条评价和114款替代件","低竞争但极小众；单个SKU需求稀薄","依赖具体Konami PCB、逆向兼容和原板测试样本","中；电气兼容、模拟视频质量和不同PCB版本需验证","高；故障诊断、焊接、兼容和原板其他故障易造成争议","低至中；维修配件认证压力低，但责任边界复杂","未见开放设计许可；可能涉及逆向和原芯片IP边界","自动图文件名为具体拍摄时间，可能展示替代板；仍需核对PCB丝印052535和接口","市场参考案例","真实长尾维修痛点，但9.99美元单SKU无法独立成业；价值在大量SKU和测试知识库，不应虚增为新机会","https://www.tindie.com/products/caiusarcade/052535-replacement|https://www.tindie.com/stores/caiusarcade/items/","2026-07-25"
"6007129f88871597","06Fhd Bb Optics Ar Glasses Module Fov 435","https://www.tindie.com/products/oled-module/06fhd-bb-optics-ar-glasses-module-fov-435","已交叉核验（精确标题、同店BirdBath/微显示目录和相邻售价；当前页面缓存不足）","0.6英寸FHD微显示配BirdBath AR光学模组","微显示、驱动板与近眼光学供应产品族","靠面板、驱动和BirdBath/Pancake光学组合及多规格目录销售","市场参考；合并到近眼显示供应产品族","面向AR眼镜的0.6英寸FHD微显示与约43.5°视场BirdBath光学组合","AR眼镜、HMD、EVF和工业近眼显示研发团队","快速采购已配套的微显示和近眼光学进行样机开发","","同店BirdBath FOV50°模块约574至579美元，0.6英寸FHD微OLED约185至199美元；店铺约24单、52款产品","中高；多家中国供应商提供面板、驱动和BirdBath组合","强依赖上游面板、光学件和控制板","很高；光学畸变、MTF、眼盒、良率、亮度均匀性和装调","很高；FOV、焦距、接口、左右眼和机械匹配争议多","中高；近眼显示眼安全及特定行业要求","供应组件，无开放光学或制造许可","原记录无合格英雄图；不能用同店其他BirdBath或0.6英寸屏幕图片代替","市场参考案例","专业高客单供应组合，但没有独立开源设计和市场空白；应作为供应链产品族证据而非单独机会","https://www.tindie.com/products/oled-module/06fhd-bb-optics-ar-glasses-module-fov-435|https://www.tindie.com/stores/oled-module/items/","2026-07-25"
"2c8485b9cdbb52a1","10 Irc 2 Ohm 10 Watt 5 Power Resistors","https://www.tindie.com/products/toober/10-irc-2-ohm-10-watt-5-power-resistors","已逐页阅读（精确商品正文、库存、价格与卖家说明）","美国旧库存线绕功率电阻转售","老库存电子元件与剩余物资转售产品族","靠收购剩余库存和长尾料号销售，无法持续制造","淘汰库存SKU","10只IRC美国制造2Ω、10W、5%线绕功率电阻旧库存","老设备维修、实验电源和功率电子DIY用户","低价获取特定阻值和功率的旧式线绕电阻","5.00","10只售价5美元、库存6份；卖家自2019年以来仅1单且只有该SKU","高；现代功率电阻替代品丰富，特定旧品牌需求有限","完全依赖剩余库存、存储状态和真伪","不制造；需抽测阻值、绝缘和老化","中；旧库存漂移、引脚氧化和实际功率降额","低","原厂元件转售，无开放设计或持续生产权","自动图IMG_7758.JPG可能是实物批次，但无法证明全部库存一致","淘汰","5美元旧库存元件清仓，卖家仅1单，不具备可持续制造、品牌或规模机会","https://www.tindie.com/products/toober/10-irc-2-ohm-10-watt-5-power-resistors|https://www.tindie.com/stores/toober/","2026-07-25"
