project_id,name,original_url,review_status,product_form,actual_product,paying_customer,pain_point,price_usd,market_evidence,market_crowding,third_party_dependency,manufacturing_risk,compliance_risk,license_status,hero_image_verdict,final_bucket,verdict_reason,evidence_urls,reviewed_at
3e962685646226dd,'0005292' replacement,https://www.tindie.com/products/caiusarcade/0005292-replacement/,已逐页阅读,维修替换件,Konami GX400 街机系统定制IC替代件,老街机PCB维修商与收藏者,原定制IC停产导致原板无法修复,49.99,"商品在售且仅余5件；卖家自2019年以来约416单、14条评价，并形成100余款老硬件替换产品族",中低竞争但总市场极小,依赖具体街机板卡与逆向兼容,兼容验证和小批量测试要求高,低至中；电子配件本身认证压力有限但存在责任边界,未见可商业复用的开源许可,待重新核验项目本体,观察名单,"是真实付费痛点和垂直市场，但TAM极小、兼容售后重、可能涉及逆向与IP边界；适合作为垂直维修产品方法参考，不直接复制单品",https://www.tindie.com/products/caiusarcade/0005292-replacement/|https://www.tindie.com/stores/caiusarcade/,2026-07-24
bd4d841ef29e1227,'005273/005273A/005273B' replacement,https://www.tindie.com/products/caiusarcade/005273005273a005273b-replacement/,已逐页阅读,维修替换件,Konami街机PCB定制阻容阵列替代件,老街机PCB维修商与收藏者,专用阻容阵列停产后难以维修,6.00,"商品在售且库存仅3件；同一卖家有完整街机替代件产品族",低竞争但极小众,依赖特定旧街机PCB,制造不难但兼容验证和SKU管理成本高,低,未见可商业复用的开源许可,待重新核验项目本体,市场参考案例,"需求真实但客单仅6美元且SKU极碎，单品无法支撑商业化；仅能作为多SKU维修替代件产品族案例",https://www.tindie.com/products/caiusarcade/005273005273a005273b-replacement/|https://www.tindie.com/stores/caiusarcade/items/,2026-07-24
2c19a18b5e1ff1ea,0-10V Spindle CNC I/O Module,https://www.tindie.com/products/33366583/0-10v-spindle-cnc-io-module/,已逐页阅读,专业系统配套模块,将CNC控制器输出转换为主轴VFD所需0-10V控制信号,小型CNC改造者与FluidNC用户,旧机改造时需要稳定主轴速度接口,12.00,"卖家约2313单、60条评价；拥有43款CNC控制器和I/O模块产品族；评价显示用户用于旧CNC升级",高；功能成熟且模块化产品族已经建立,依赖FluidNC/特定控制器生态但不是树莓派教程,制造简单，测试门槛低,中；连接VFD存在电气隔离与误接风险,开源生态存在但该商品许可需另查,待重新核验项目本体,市场参考案例,"痛点真实，但单模块售价低、复制门槛低、卖家生态和文档优势强；不适合孤立复制，应研究完整CNC升级产品族和服务",https://www.tindie.com/products/33366583/0-10v-spindle-cnc-io-module/|https://www.tindie.com/stores/33366583/,2026-07-24
e8601aa0f70213e7,100mW I/O module 8DI 8DO Modbus RTU ON-OFF Control,https://www.tindie.com/products/lensentech/100mw-io-module-8di-8do-modbus-rtu-on-off-control/,已逐页阅读,工业无线I/O设备,433MHz无线8路数字输入和8路继电器输出模块,泵站、灌溉、PLC远程I/O集成商,无互联网场景下远程开关量控制,100.00,"卖家约117单、4条评价；产品族覆盖65至950美元的无线RTU、泵控和SCADA模块",中高；工业无线I/O供应商很多,依赖433MHz无线链路和PLC/Modbus现场系统,中；需要EMC、射频和现场可靠性测试,高；不同国家433MHz法规、继电器负载安全与EMC,未见开源许可，疑似闭源商品,待重新核验项目本体,观察名单,"付费主体和场景清晰、客单高于创客板，但市场并不空白，且射频合规、现场售后、闭源资料风险高；可研究垂直方案而非复制模块",https://www.tindie.com/products/lensentech/100mw-io-module-8di-8do-modbus-rtu-on-off-control/|https://www.tindie.com/stores/lensentech/,2026-07-24
effaa0cab8e5ab00,100mW RF Module 433MHz RS232 RS485 TTL to wireless,https://www.tindie.com/products/lensentech/100mw-rf-module-433mhz-rs232-rs485-ttl-to-wireless/,已逐页阅读,通用通信模块,基于CC1100的透明串口转433MHz无线模块,嵌入式开发者与设备集成商,短距离串口无线替代布线,22.00,"卖家有完整无线通信产品族，但该单品没有独立订单或评价证据",高；透明串口无线模块属于成熟通用品,依赖CC1100和外部主机,低,高；射频法规和EMC,未见开源许可,待重新核验项目本体,淘汰,"通用模块、低客单、容易被现成模块和国内供应链替代，没有可见竞争空白",https://www.tindie.com/products/lensentech/100mw-rf-module-433mhz-rs232-rs485-ttl-to-wireless/|https://www.tindie.com/stores/lensentech/items/,2026-07-24
9ef6cb581a7846c0,12V Dosing adjustable Peristaltic pump +controller,https://www.tindie.com/products/power_modules/12v-dosing-adjustable-peristaltic-pump-controller/,已逐页阅读,成品部件组合,12V蠕动泵加调速控制器组合,水族、实验室和营养液用户,低成本定量输送液体,29.90,"商品页面存在但卖家处于暂停状态；页面未给出销量、精度、校准或独特功能证据",高；蠕动泵和控制器组合在电商平台高度通用,主要价值来自现成泵和控制器拼装,低至中,中；液体兼容、流量精度和长期寿命,未见开源许可,待重新核验项目本体,淘汰,"不是有差异化的独立产品，缺乏精度、校准、软件和应用壁垒，容易陷入低价采购转售",https://www.tindie.com/products/power_modules/12v-dosing-adjustable-peristaltic-pump-controller/,2026-07-24
3c29afb644b04b53,007-U 'Agent' Control Panel Interface Processor,https://www.tindie.com/products/AngelisElectron/007-u-agent-control-panel-interface-processor/,已逐页阅读,爱好者控制面板接口,扫描20个开关、驱动40个LED并解码2个旋钮的UART接口板,自制机器人、道具和控制台爱好者,减少大型控制面板布线与主控IO占用,59.00,"商品在售、仅余5件；卖家仅有4款相关控制面板产品，页面未显示订单和评价",中；I/O扩展方案多但特定面板集成较少,依赖外部主控和用户自制面板,中；小批量可做但文档支持重要,低,未见开源许可,待重新核验项目本体,市场参考案例,"产品比普通模块更接近解决方案，但客户仍是爱好者，需求规模和销售验证弱；可以借鉴产品化方式，不进入严格候选",https://www.tindie.com/products/AngelisElectron/007-u-agent-control-panel-interface-processor/|https://www.tindie.com/stores/AngelisElectron/,2026-07-24
9895c2f1ca301fcf,10Amp Dual DC Motor Driver Shield for Arduino,https://www.tindie.com/products/cytron/10amp-dual-dc-motor-driver-shield-for-arduino/,已逐页阅读,通用Arduino扩展板,双通道每路连续10A的Arduino直流电机驱动盾板,机器人和Arduino开发者,简化高电流电机驱动接线,20.50,"成熟厂商产品；页面显示自2022年2月起售罄；同店有大量电机驱动产品",极高；电机驱动板和Arduino Shield已高度成熟,强依赖Arduino Shield生态,中；功率器件散热和峰值电流验证,中；过流、发热和接线安全,未见可复制许可,待重新核验项目本体,淘汰,"典型成熟通用模块，市场被专业厂商和低价板卡覆盖，且产品长期售罄，不是新商业机会",https://www.tindie.com/products/cytron/10amp-dual-dc-motor-driver-shield-for-arduino/|https://www.tindie.com/stores/cytron/items/,2026-07-24
0c70cb648669f533,1200W High Power DC to DC Boost Converter,https://www.tindie.com/products/icstation/1200w-high-power-dc-to-dc-boost-converter/,已逐页阅读,通用电源模块/转售商品,10-36V升至12-80V的标称1200W升压板,电动车、太阳能和电池DIY用户,廉价高功率升压与充电,19.54,"由拥有约760款商品的ICStation销售；页面没有原创设计、开源资料或性能验证",极高；同类中国模块大量存在,核心价值来自现成通用模块,中高；标称1200W需要散热和保护验证,高；高功率电气安全、火灾和电池充电风险,未见开源许可且疑似转售,待重新核验项目本体,淘汰,"低价通用高功率模块，原创性与性能可信度不足，售后和安全风险远高于毛利空间",https://www.tindie.com/products/icstation/1200w-high-power-dc-to-dc-boost-converter/|https://www.tindie.com/stores/icstation/items/?page=9,2026-07-24
87b6b7588924db83,0-100% PWM DC Motor Forward Reverse Controller,https://www.tindie.com/products/icstation/0-100-pwm-dc-motor-forward-reverse-controller/,已逐页阅读,通用电机控制模块/转售商品,12-48V标称60A正反转PWM调速器,低成本电机DIY用户,无需编程的直流电机正反转与调速,15.29,"ICStation大规模商品库中的通用模块；Tindie同类30A、70V和多种电机调速器众多",极高；功能和外形均为成熟通用品,无独特软件或系统价值,中；大电流参数和散热真实性需验证,中高；大电流接线、过热和负载冲击,未见开源许可且疑似转售,待重新核验项目本体,淘汰,"需求存在但已被低价模块卷烂，无法建立差异化、品牌和售后优势",https://www.tindie.com/products/icstation/0-100-pwm-dc-motor-forward-reverse-controller/|https://www.tindie.com/search/?q=pwm,2026-07-24
